"geneSymbol","GSE_B_S01","GSE_B_S02","GSE_B_S03","GSE_B_S04","GSE_B_S05","GSE_B_S06","GSE_B_S07","GSE_B_S08"
"IMPDH1P8",8.488,8.777,7.121,8.718,8.424,13.243,8.215,11.39
"LOC127824361",9.934,7.314,8.759,8.141,6.273,7.873,7.816,8.176
"LOC126861671",9.845,7.386,10.143,14.177,9.076,5.478,7.125,8.715
"RGS2",8.717,9.512,11.184,11.201,8.504,11.714,10.002,7.442
"LOC105376789",11.026,8.503,8.845,8.916,8.866,7.74,8.724,6.957
"LOC127458478",7.397,10.561,10.993,8.992,8.342,7.91,9.937,8.751
"LOC111811967",8.576,9.591,6.234,7.2,7.803,12.548,7.862,4.973
"LOC129930544",8.012,9.561,9.609,10.855,8.781,8.599,7.942,8.589
"LOC130005871",9.436,7.027,8.485,8.827,9.629,8.083,6.732,7.893
"LOC129992815",11.897,7.86,11.325,6.465,7.188,10.545,5.945,8.08
"LOC105375913",9.763,9.028,9.513,10.587,10.385,9.611,9.436,10.132
"LOC127897087",8.765,9.199,11.941,7.472,9.603,9.613,8.017,5.963
"ARL4C",7.053,9.514,11.778,9.671,9.019,11.714,12.006,7.073
"LOC122149325",10.595,8.078,8.692,6.872,6.403,7.444,6.013,7.344
"LOC129389507",8.22,8.309,7.347,8.462,10.784,10.747,8.58,8.254
"LOC110121097",8.683,8.055,7.726,9.669,4.736,5.964,12.436,8.764
"IL18RAP",7.223,10.208,9.462,11.183,9.736,9.613,7.815,8.372
"RNU1-101P",6.665,11.545,8.429,8.147,6.863,8.845,6.962,11.742
"NPCA1",9.897,10.8,7.764,9.963,6.437,10.154,10.897,5.987
"LOC129933609",13.835,9.154,10.28,6.771,8.339,8.513,8.876,8.042
"LOC125418065",5.941,5.825,9.928,8.593,10.927,6.969,9.197,7.862
"LOC125078050",7.018,11.252,8.356,9.082,9.129,11.133,10.136,8.713
"LOC127269776",7.852,7.977,9.867,7.611,3.06,10.359,10.086,9.172
"LOC130064574",12.915,8.026,9.614,10.935,6.098,8.003,10.59,8.149
"LOC130057328",9.331,7.059,9.302,8.636,7.237,9.295,8.321,8.891
"LOC127825256",7.153,7.443,7.109,9.174,9.994,10.52,10.45,7.28
"LOC105373389",12.715,8.894,11.79,7.781,8.434,10.328,7.211,10.005
"LOC127889368",9.129,4.57,10.321,9.685,10.01,9.863,10.978,10.059
"LOC127830653",10.317,10.477,6.889,5.973,5.096,6.189,6.49,6.667
"ERVK-14",7.76,3.911,9.813,7.635,9.253,9.426,6.134,7
"LOC126805605",8.268,9.776,7.723,6.855,9.442,8.493,8.932,8.935
"OR7E16P",7.847,7.803,10.603,12.514,8.539,10.042,10.644,8.256
"LOC129998997",7.217,12.898,10.174,11.283,8.524,9.171,8.07,10.696
"LOC121587544",5.764,9.936,9.249,9.506,9.411,5.901,9.328,9.646
"LOC129997394",8.883,8.22,5.503,9.287,10.312,11.452,6.413,5.298
"LOC127893210",10.565,10.387,7.223,8.03,8.031,7.702,8.137,6.585
"LOC129931990",5.188,12.425,8.254,7.585,10.158,11.972,5.223,8.797
"LOC127397701",10.072,8.144,9.501,6.182,9.111,7.884,8.877,8.789
"LTBP2",6.757,6.342,6.943,11.127,5.381,8.182,12.851,8.781
"LOC127814452",9.839,9.748,6.56,8.904,9.424,6.463,9.768,9.3
"LOC127406336",8.243,10.365,7.896,6.172,7.858,9.756,8.79,6.901
"SERF2-C15ORF63",7.077,8.774,8.091,9.542,9.469,7.725,9.193,10.079
"LOC127459276",8.647,9.43,9.639,8.132,7.62,7.604,10.643,9.759
"ZBTB8A",12.024,7.474,11.723,10.362,6.536,7.487,10.268,8.816
"LOC130056576",7.242,6.808,6.615,11.019,7.415,11.876,11.194,9.879
"LOC127274396",8.524,9.011,8.129,8.049,8.111,8.511,10.985,13.316
"LOC129390287",8.872,6.147,5.517,9.84,7.617,8.265,6.975,7.435
"LOC129995900",9.041,6.937,6.866,10.804,10.113,9.34,11.12,9.334
"LOC129933529",12.663,11.985,7.722,6.592,8.349,7.928,7.527,7.103
"HNRNPC",11.377,12.409,6.807,8.612,8.569,10.398,5.306,9.349
"TP53TG3E",8.927,11.896,11.559,9.749,8.197,9.123,9.483,6.379
"LOC129389385",13.765,5.771,8.03,6.349,8.006,10.949,8.05,12.172
"LOC126860369",6.856,7.911,11.784,12.363,11.11,9.349,7.615,10.612
"LOC127400420",6.663,11.312,9.9,7.66,8.703,11.22,8.635,7.214
"LOC129993764",8.836,9.137,10.136,10.93,6.423,6.818,8.592,10.154
"LOC127830594",7.539,10.767,9.728,9.238,8.24,8.38,8.08,8.54
"LOC129936075",11.425,9.199,6.758,7.836,8.1,9.096,9.58,10.181
"LOC127829167",7.182,9.168,8.569,6.681,1.826,9.135,10.496,8.352
"LOC127815342",8.925,6.541,10.203,10.776,8.063,9.151,7.684,11.198
"ACKR3",8.421,5.39,8.112,8.051,10.149,7.374,5.099,7.275
"LOC129664266",11.166,8.838,7.988,11.009,5.714,10.229,8.937,10.775
"LOC124903376",10.145,9.654,9.026,10.568,11.026,9.051,8.905,9.867
"HNRNPA3P2",7.251,10.115,10.256,11.548,7.58,7.278,9.68,10.519
"LOC127408322",7.373,7.678,10.568,8.612,8.09,9.59,5.824,9.556
"LOC127882885",7.377,8.628,7.707,8.192,7.732,7.277,8.895,8.038
"HNRNPA1P11",7.297,10.78,8.713,10.498,10.33,11.942,9.695,10.632
"LOC127891612",8.238,6.988,10.602,9.169,6.019,8.872,7.979,9.157
"LOC127401642",5.548,8.253,8.181,8.839,11.201,8.663,10.179,12.355
"LOC124906991",11.275,8.759,7.656,8.379,9.546,10.918,9.714,9.357
"LOC130002006",7.968,11.862,8.376,6.49,7.281,11.343,7.31,9.448
"LOC129934934",7.863,8.703,8.566,8.143,7.372,8.936,7.118,9.819
"LOC127819572",6.056,8.701,9.595,6.753,8.652,7.586,10.125,8.398
"LOC127884847",12.057,9.247,7.361,7.098,8.751,9.361,7.821,9.759
"PURG",7.098,8.114,9.293,10.083,8.158,8.505,9.547,7.128
"LOC127823718",7.949,9.743,7.89,11.347,8.819,10.232,7.367,6.885
"LOC127890141",8.054,8.38,6.664,7.802,8.126,9.036,9.928,10.449
"LOC129994025",9.453,10.044,6.611,10.619,10.748,7.894,10.384,9.608
"HOTAIR",7.741,9.893,9.203,7.67,7.533,8.554,6.065,8.801
"LOC127274823",8.209,9.908,7.152,6.975,7.757,9.591,7.882,6.529
"LOC127271635",8.642,8.049,10.804,4.4,8.657,6.029,8.019,10.569
"LOC129661515",8.093,6.538,8.66,8.419,7.059,5.678,11.546,10.837
"LOC129932868",9.287,10.303,9.533,5.742,7.888,5.121,10.073,10.948
"LOC130006271",10.785,5.846,12.126,10.703,4.341,10.589,8.832,8.303
"LOC127401264",6.484,7.314,9.186,6.771,8.941,8.039,10.784,9.514
"LOC130056236",7.531,8.022,5.774,9.35,10.369,10.697,13.498,9.322
"LOC127897186",11.444,13.125,7.179,8.549,9.898,11.609,6.716,8.548
"LOC129931322",10.355,7.6,8.833,7.061,6.297,6.498,10.682,10.488
"LOC111556107",10.408,7.394,7.637,12.682,8.981,9.457,9.565,6.374
"LOC112997587",10.559,8.924,8.277,11.59,8.017,10.203,9.943,5.64
"COPS5P2",8.151,10.61,7.831,11.493,9.899,9.827,10.313,9.304
"LOC130065909",11.807,7.024,10.492,9.772,8.984,9.709,8.902,9.028
"LOC130000498",10.488,9.256,7.378,8.529,8.797,9.476,9.256,8.71
"LOC124905091",6.58,6.515,9.077,8.345,10.503,6.665,11.915,8.9
"LOC126807565",8.071,8.081,9.83,6.1,7.673,7.945,7.625,8.442
"LOC127886827",9.469,6.429,12.005,7.778,6.11,10.744,11.359,12.739
"LOC127830768",7.303,6.928,12.045,11.132,5.842,10.333,11.566,7.108
"LOC124904996",7.589,8.814,7.981,12.065,6.982,9.805,8.792,4.49
"LOC130008783",10.131,7.515,9.83,9.299,10.648,9.113,10.151,10.802
"LOC130060291",10.003,9.703,8.752,6.57,8.23,8.848,6.232,10.365
"LOC127898195",9.975,7.847,9.738,7.398,7.026,7.836,9.378,8.242
"TRA-AGC16-1",9.322,10.69,10.521,8.903,7.581,8.646,9.558,6.127
"LOC110120831",10.266,9.469,9.532,7.226,11.482,10.986,8.91,8.964
"LOC124905277",10.161,8.185,8.933,6.607,8.544,10.704,10.94,8.471
"LOC124901105",11.868,10.785,7.323,11.396,7.892,8.499,9.609,12.708
"LOC127822363",9.493,9.024,9.175,9.875,8.402,9.361,8.178,8.911
"LOC127825117",8.109,8.282,8.614,9.515,10.472,9.345,9.334,8.034
"LOC124905426",9.351,5.152,7.42,7.672,5.794,9.998,9.68,7.976
"LOC126860379",12.442,9.463,7.217,8.468,6.22,10.142,9.843,9.144
"LOC130063780",10.874,7.718,11.267,4.713,6.613,11.838,7.839,10.45
"LOC127888058",8.114,8.934,7.465,9.575,10.262,9.603,8.557,6.854
"LOC127888218",6.714,5.887,11.207,10.326,7.743,8.024,7.614,12.289
"LOC130065007",9.268,7.573,11.903,4.5,7.682,8.14,6.72,10.234
"LOC126859831",6.673,10.33,8.823,11.232,4.444,8.021,7.094,10.664
"LOC105369930",11.604,10.406,10.18,7.643,7.62,9.445,11.035,9.643
"LOC126861460",8.28,7.287,9.592,9.073,10.896,5.805,8.402,8.016
"LOC130007598",7.694,9.101,8.72,10.212,9.04,9.287,6.507,9.051
"LOC124909457",7.903,8.052,7.664,5.656,9.015,7.252,8.025,8.168
"LOC130065949",8.483,7.566,10.826,9.425,5.982,9.142,9.819,6.741
"CYP8B1",7.773,7.513,7.579,6.427,7.984,11.582,7.243,7.51
"LOC127889179",6.872,9.766,6.749,6.854,9.256,8.023,9.613,9.245
"LOC127886685",8.74,8.359,9.338,6.865,8.126,10.799,6.567,6.649
"LOC126861936",10.425,8.525,6.616,6.989,10.744,10.592,9.535,8.126
"LOC127402209",11.729,9.801,10.139,9.899,8.68,10.408,9.544,8.041
"LOC124907541",7.089,9.335,5.581,6.498,7.348,11.086,9.736,10.114
"LOC129995651",7.589,11.422,6.409,10.934,9.689,5.886,10.005,9.515
"RUNX2-AS1",9.037,12.633,8.054,9.667,9.691,9.615,10.619,7.67
"LOC128462415",10.55,8.947,8.504,14.119,7.238,6.956,8.266,8.925
"LOC129929272",7.726,8.663,9.412,11.682,8.238,9.197,7.753,7.209
"SPMIP4",8.865,6.336,8.19,8.896,7.836,6.929,6.896,4.692
"LOC127828772",9.563,8.326,8.685,8.318,8.847,9.328,9.027,6.858
"LOC127890137",6.669,6.909,4.826,11.401,8.277,9.398,9.331,10.999
"LOC127893630",8.869,8.973,9.416,7.343,6.977,9.378,10.471,8.823
"LOC110121128",7.222,10.994,7.474,8.493,11.46,6.204,8.505,8.652
"PHKA1P1",10.707,6.831,9.025,10.335,6.895,12.893,10.747,10.927
"LOC130006875",7.258,7.536,9.022,9.966,8.649,9.852,7.826,10.845
"RWDD3-DT",9.91,7.757,12.054,7.894,9.474,10.785,10.333,9.767
"LOC127398625",6.326,8.396,12.224,7.1,8.934,11.395,9.841,10.313
"CBR3",8.609,8.64,7.108,8.105,8.306,11.834,8.916,6.938
"LOC126862103",6.927,6.71,9.499,9.551,8.914,6.34,12.536,11.587
"LOC127408662",7.793,9.07,11.741,6.485,7.33,6.035,11.641,10.634
"IL3RA",9.625,9.396,8.735,8.789,8.714,10.05,6.521,5.691
"LOC121132677",8.159,8.926,5.657,8.295,10.904,12.114,7.672,7.874
"LOC127889978",6.816,8.339,10.35,6.672,9.095,5.342,7.324,9.015
"LOC130010058",8.364,8.292,8.931,7.979,6.869,8.876,10.581,10.942
"NDFIP1",10.638,11.734,9.352,12.014,8.016,7.838,9.345,10.678
"LOC129994629",10.35,7.771,9.633,7.248,11.816,5.256,8.81,9.41
"LOC127402930",8.159,5.858,7.15,9.561,7.924,7.95,9.252,8.217
"LOC127405610",9.829,9.172,7.437,6.037,8.226,7.837,9.141,11.463
"LRRC37A4P",10.143,9.011,7.096,5.962,7.644,11.69,7.4,7.387
"LOC124252638",8.37,7.366,7.602,9.334,9.635,9.863,9.249,6.173
"LOC127888553",12.007,6.082,8.115,12.421,7.092,9.007,8.874,8.137
"AP2A2",8.717,11.147,9.008,8.526,8.393,9.122,7.215,9.432
"LOC127820199",6.638,11.14,9.816,10.633,7.149,10.082,9.638,8.919
"LOC129931737",7.966,7.371,6.762,9.205,7.461,6.181,10.251,7.374
"LOC127818358",8.568,8.491,9.178,10.102,10.077,10.302,7.624,5.562
"LOC125177334",7.931,12.114,7.235,8.679,10.703,4.245,7.297,9.439
"VN2R12P",8.689,12.011,9.105,9.617,11.554,10.413,7.194,10.046
"LOC129929609",7.489,9.049,11.393,8.705,7.143,9.434,8.348,7.381
"C1orf74",5.935,9.824,10.224,10.702,6.55,10.654,11.083,8.706
"LOC127825672",7.543,8.82,7.586,6.617,8.329,8.827,6.707,6.763
"LOC107984246",7.688,7.649,9.226,7.344,9.35,9.892,6.948,10.645
"LOC121725054",12.846,8.112,8.271,9.609,10.304,5.367,8.036,10.026
"LOC108281119",6.948,11.056,8.274,9.528,8.375,8.168,12.211,6.942
"LOC127892630",9.5,8.76,6.125,7.271,7.49,6.514,7.194,6.384
"LINC02971",6.231,8.512,8.454,11.607,8.542,5.6,7.198,10.304
"LOC130065502",6.559,9.87,5.865,8.256,10.177,9.506,4.112,10.587
"LOC130065117",8.314,6.642,8.939,8.364,10.827,5.518,9.932,9.635
"LOC127273454",13.273,10.921,8.045,10.02,6.052,6.906,12.304,8.245
"LOC126806979",10.744,8.844,9.141,9.381,9.302,9.952,8.834,9.744
"LOC127890440",9.677,10.031,9.715,7.23,6.963,8.599,7.638,6.761
"TSPY18P",8.681,6.275,9.624,9.329,9,8.28,6.245,9.392
"LOC127739539",9.738,8.477,9.762,6.788,7.564,7.993,7.893,7.637
"LOC129994798",11.788,10.599,9.275,10.348,9.499,9.937,11.889,10.692
"PHKA1-AS1",10.993,10.085,9.36,6.846,7.666,7.441,10.283,8.621
"LOC127827121",7.684,6.693,5.761,11.256,8.857,13.675,9.437,8.586
"LOC124909293",8.646,10,10.651,9.45,8.973,11.753,11.231,9.365
"LOC130067171",9.527,7.671,7.526,8.499,10.232,8.816,10.77,8.885
"RNU6-592P",8.263,11.443,12.992,7.302,8.978,11.861,11.225,8.115
"LOC127826136",8.945,7.344,7.776,5.694,11.223,5.197,10.119,8.31
"RPL32P35",8.971,7.498,10.511,8.045,9.607,10.408,9.372,12.462
"LOC129389767",8.46,9.897,11.552,10.812,7.267,7.644,5.963,8.088
"LOC125177415",9.203,7.521,7.959,8.163,8.488,9.783,10.363,10.648
"LOC127407875",7.899,8.654,11.995,12.946,10.341,9.372,8.565,8.633
"RN7SL116P",10.831,12.753,3.556,7.412,8.372,5.427,9.148,5.726
"LOC124625847",10.573,7.055,10.096,4.842,10.759,7.67,7.778,7.193
"LOC105369543",9.038,8.646,12.142,9.799,8.082,10.438,7.825,13.22
"LOC129663918",7.662,8.827,4.297,8.026,11.628,8.374,6.792,6.288
"LOC124902242",6.897,12.156,10.815,10.246,8.89,8.994,9.06,5.428
"LOC127397856",8.469,8.068,9.463,11.406,5.476,10.225,10.196,8.031
"LOC129992810",8.193,9.974,8.761,10.153,11.996,9.069,7.632,8.691
"LOC130002638",8.763,7.471,8.948,6.685,9.939,7.656,7.888,8.993
"OR2A1",7.811,5.847,10.34,8.572,7.036,8.403,7.939,7.276
"MIR129-1",10.08,9.887,7.457,5.077,10.692,8.48,8.733,8.888
"LOC129391093",7.628,8.181,8.845,10.057,9.463,10.038,11.39,10.041
"LOC105371060",10.412,9.631,8.531,4.486,10.924,11.201,11.042,10.493
"LOC127830783",12.834,12.941,7.057,10.222,12.376,9.642,6.251,10.91
"LOC127460293",10.044,6.957,6.296,6.766,8.738,8.679,9.164,8.12
"LOC126859772",7.305,7.817,11.775,5.685,10.142,5.445,9.309,9.413
"LOC130057630",9.293,9.917,6.156,9.558,12.129,6.95,5.58,5.156
"LOC130068635",10.251,12.281,8.336,8.959,6.218,6.796,8.047,11.223
"LOC132090519",8.138,5.361,7.511,8.387,6.566,6.25,6.075,6.002
"LOC130068642",10.486,11.738,8.98,12.43,7.969,9.694,8.422,9.281
"LOC128966631",6.507,9.332,8.474,11.767,10.115,11.246,6.466,12.41
"LOC127407610",8.437,12.126,9.72,11.378,6.958,10.739,10.791,11.722
"LOC124904467",7.933,9.147,8.708,11.491,7.677,9.686,8.651,8.695
"LOC105379216",5.378,10.855,7.701,8.73,7.697,10.105,8.296,9.092
"LOC127883856",10.926,7.293,10.484,9.148,6.434,7.997,9.886,9.778
"LOC130066693",9.7,7.563,13.227,10.188,11.867,8.312,11.689,8.859
"LOC127897292",4.96,11.106,9.742,10.637,11.294,8.23,12.757,7.353
"LOC125387252",7.24,9.05,7.094,3.562,8.515,8.413,10.314,6.281
"LOC127895350",6.059,10.979,10.749,8.97,8.289,6.724,7.757,9.958
"LOC130002261",8.577,8.825,6.917,8.725,8.458,6.673,8.953,9.581
"LOC122056817",9.733,7.022,5.455,9.358,10.209,8.228,11.993,12.558
"LOC107988033",10.631,7.7,9.086,8.789,5.961,8.985,8.559,9.037
"LOC127271674",8.358,7.222,11.711,13.984,10.447,10.282,8.535,10.455
"LOC268276",7.259,7.661,7.158,9.556,8.491,8.57,11.177,9.361
"LOC129992823",5.75,8.652,7.889,6.442,5.512,5.624,11.952,11.074
"LOC127270803",8.817,9.129,8.782,7.796,9.812,13.09,9.316,8.757
"RTL8A",7.481,8.349,11.438,9.535,6.462,4.55,10.15,9.201
"TCF19",12.326,7.195,5.897,7.541,7.749,9.17,10.158,8.528
"LOC127825132",9.87,6.736,8.157,12.815,6.857,9.081,6.446,9.259
"LOC124905765",10.012,10.605,6.281,9.746,8.607,5.288,5.237,9.572
"DYNLT4",7.211,10.4,8.832,10.92,10.822,10.422,11.491,8.815
"REG1B",8.972,9.163,6.162,8.862,11.605,8.684,5.504,8.007
"LOC132090345",10.014,7.855,11.361,9.957,9.569,9.345,8.956,8.458
"LOC129992789",6.682,7.49,8.431,6.192,7.429,5.936,5.128,11.909
"LOC127406838",8.402,8.637,7.528,8.911,7.121,7.83,8.95,7.678
"LOC101927145",9.139,11.141,12.619,9.621,9.453,8.214,7.701,7.629
"LOC105372825",8.54,8.261,8.571,11.986,8.532,8.692,8.982,12.241
"LOC127889108",6.836,8.365,9.117,10.528,7.944,7.357,9.458,10.88
"ZNF239",11.658,9.288,8.872,6.128,10.307,7.342,7.618,8.393
"EVI2A",5.533,7.888,9.541,8.939,10.27,6.741,9.549,6.406
"LOC130063943",10.466,8.173,8.313,8.987,9.163,9.246,8.667,10.362
"LOC127459020",8.367,8.926,8.685,10.279,10.539,8.19,7.197,10.547
"LOC130003061",9.964,7.144,4.893,6.435,7.73,7.532,7.698,8.859
"LOC105377213",9.907,11.682,12.457,8.407,8.424,7.373,7.09,9.123
"ADAM8",7.879,7.074,7.349,7.242,10.637,9.372,9.027,11.716
"LOC130004473",9.333,12.101,5.127,11.141,8.354,6.064,8.772,9.678
"LOC127825069",5.942,11.937,8.82,8.276,10.783,9.659,6.448,7.163
"LOC127396769",11.006,9.529,9.713,7.664,7.928,7.918,6.293,10.072
"IQCF6",13.71,9.502,5.187,11.586,10.387,8.806,8.847,7.242
"LOC127893983",9.816,8.009,9.762,8.497,12.117,6.175,8.537,7.558
"TNRC18",8.279,6.684,7.506,9.431,8.785,8.671,8.896,7.87
"LOC124908636",9.655,8.481,9.176,4.997,6.355,9.288,6.653,7.998
"LOC129390361",7.474,6.319,7.244,9.416,10.237,5.305,8.569,10.217
"LOC127399752",7.365,8.195,8.182,9.354,9.561,10.175,4.587,9.491
"LOC127824089",7.016,8.854,9.313,9.914,9.31,9.19,9.733,9.711
"LOC129932781",10.919,9.133,8.506,11.138,9.554,9.295,6.263,8.642
"USP30",9.048,8.585,8.352,8.474,12.702,11.423,9.06,6.744
"LOC105374989",9.14,10.57,8.124,8.726,10.778,7.571,7.022,8.481
"LOC131696449",9.528,9.424,6.717,8.605,8.295,7.867,5.285,9.312
"LOC127887261",8.064,7.767,6.947,11.85,6.694,7.929,9.064,6.882
"LINC02713",6.575,6.048,11.378,9.18,9.302,12.856,9.453,6.982
"LOC127458809",10.364,9.589,7.349,9.558,6.937,10.835,11.61,7.639
"LOC129998988",8.934,6.161,8.049,8.985,10.13,8.368,8.801,12.66
"ENUR2",10.297,8.774,7.176,7.736,7.671,6.18,7.511,10.442
"SCGB1C1",7.874,10.777,10.213,8.085,8.619,6.463,8.562,10.536
"LOC130059890",10.794,8.335,7.592,8.848,7.841,9.105,6.328,9.118
"LOC123864092",12.698,9.404,10.042,10.823,8.344,10.684,9.377,6.554
"LOC127888055",9.881,11.366,7.718,9.066,6.914,7.9,9.109,5.774
"LOC127457295",5.793,9.426,10.637,7.007,9.206,8.96,10.829,7.765
"LOC127266985",9.27,7.268,7.867,8.035,10.583,7.679,6.734,12.065
"LOC127272994",8.228,10.811,10.349,9.252,9.126,10.925,6.283,11.367
"LOC127272563",7.614,10.593,7.435,9.034,9.058,7.113,6.589,7.875
"LOC127457055",13.943,7.499,9.478,6.823,5.291,8.8,6.529,10.882
"LOC129938232",7.089,6.694,7.05,9.23,9.487,6.602,7.27,9.029
"LOC127889987",9.388,8.492,7.518,7.941,7.465,7.087,7.527,10.109
"LOC127823614",10.32,11.805,8.937,9.197,12.15,9.962,8.308,9.031
"TTC38",8.854,5.922,8.362,6.634,8.244,9.017,8.053,5.539
"LOC127405883",7.473,9.421,7.425,8.879,8.313,9.843,11.679,8.121
"LOC127814507",10.294,7.487,11.251,7.188,9.847,9.204,8.268,9.369
"LOC127275778",12.02,9.06,4.143,8.798,12.479,6.773,7.722,9.82
"LOC129663494",8.846,9.866,8.603,8.792,9.49,11.017,5.982,4.982
"LOC107986196",9.536,10.83,8.966,9.127,8.016,8.429,9.488,9.791
"MIR3130-2",8.927,8.255,9.214,11.582,5.358,8.328,10.161,7.912
"LOC130063185",8.861,9.746,7.827,9.57,12.458,7.441,8.85,9.583
"LOC129931560",9.542,7.861,9.093,9.258,7.878,10.059,6.958,6.416
"LOC127274846",11.086,7.425,9.415,6.515,8.372,5.169,13.411,6.34
"LOC127273662",6.042,9.54,10.743,6.494,9.384,8.878,5.15,10.708
"LOC127814983",8.045,9.484,9.228,8.071,8.691,9.215,8.081,8.257
"LOC124905396",8.119,6.659,6.586,9.148,11.915,10.934,7.823,6.649
"WNT3A",7.056,9.024,10.068,11.375,5.69,10.252,10.406,8.766
"LOC105369463",11.109,10.949,9.839,8.553,5.448,9.893,7.027,8.226
"LOC126860084",8.855,6.3,9.458,11.178,8.668,11.128,10.508,10.876
"LOC129931473",9.852,9.196,7.411,7.771,10.52,10.307,12.041,7.413
"LOC127271579",5.354,8.356,8.391,6.705,7.894,4.661,8.669,9.478
"LOC127896501",10.232,10.243,8.259,8.364,9.265,8.761,8.043,9.782
"LOC100288172",6.154,6.093,6.293,9.832,4.833,8.57,9.88,10.454
"PPP2R5D",9.661,7.819,11.301,10.066,9.711,9.275,9.51,9.814
"RN7SL132P",10.503,7.942,6.803,10.093,9.648,8.058,8.787,9.789
"LOC127406572",7.882,7.84,10.984,7.06,9.435,8.213,11.119,7.167
"LOC129937891",7.463,6.914,7.45,6.941,8.973,7.233,6.553,7.065
"LOC126806566",9.37,7.548,8.959,7.122,10.257,6.297,11.981,8.468
"COX8CP1",6.885,8.971,8.692,10.518,9.853,9.657,6.752,9.638
"RNY4P22",10.509,10.659,9.41,8.334,9.058,10.758,10.22,7.665
"LOC127888897",8.39,10.567,7.475,9.708,7.564,12.319,8.402,9.369
"TMEM26-AS1",9.684,7.158,8.217,7.395,8.695,10.527,9.312,11.721
"LOC130006986",6.828,9.298,5.068,7.287,6.512,7.002,8.949,10.864
"LOC127819312",8.633,6.125,12.522,8.776,9.25,7.934,12.443,8.94
"LOC129935558",9.983,9.294,7.512,7.589,7.869,9.786,10.602,9.858
"OSBPL9P1",10.315,11.055,13.1,9.725,8.751,7.502,8.291,8.581
"LOC129997023",6.745,8.475,8.166,11.437,8.873,12.135,5.988,10.5
"LOC129664649",8.981,13.206,10.552,4.685,9.383,8.875,6.345,7.865
"MCOLN1",9.287,10.857,8.103,11.751,6.999,5.757,8.311,10.887
"LOC121740736",8.519,9.308,9.33,8.233,9.025,9.814,6.924,8.712
"LOC130064184",5.377,10.177,4.943,7.307,9.487,11.508,7.083,7.497
"LOC130055512",8.797,8.531,9.318,8.59,7.518,12.399,9.469,10.523
"LOC129931880",9.968,12.26,6.113,10.527,5.661,6.1,6.998,9.309
"LOC127399609",8.893,8.691,10.83,9.16,4.686,9.038,6.996,10.615
"HNRNPCP3",7.369,7.819,8.345,7.989,11.326,9.674,8.11,8.155
"LOC126806694",7.673,11.13,10.886,8.691,11.176,11.468,9.041,10.563
"RNU4-6P",7.225,9.092,9.914,7.802,10.868,7.702,7.023,12.22
"LOC127276058",9.056,10.715,9.525,7.904,7.254,7.303,6.749,10.259
"LOC130057894",9.534,10.331,10.641,8.23,12.151,9.463,8.033,7.878
"LOC127460500",8.662,10.214,9.408,8.262,8.147,11.173,14.225,10.726
"OR7E154P",7.359,6.361,10.965,8.95,7.67,8.841,8.895,10.116
"LOC127889986",7.386,11.762,8.421,9.889,6.281,9.344,7.684,9.008
"LOC127459411",8.737,6.306,6.668,11.974,11.544,7.859,6.981,9.564
"LOC124905590",12.998,8.617,10.092,9.058,9.818,9.04,5.045,8.066
"LOC130000574",8.03,7.136,6.868,9.416,10.018,10.93,7.262,6.548
"FLJ43315",8.437,12.071,8.935,7.834,6.57,8.913,7.234,7.348
"ZNF705A",8.443,6.322,9.962,6.694,11.73,11.51,8.323,10.913
"LOC127816130",9.794,11.031,6.907,9.382,11.289,7.783,9.98,7.061
"LOC130063256",9.507,9.817,7.524,8.471,9.671,9.63,10.252,5.579
"LOC130062103",6.822,7.752,6.879,11.445,6.932,8.187,11.843,5.27
"GUCY1A1",9.724,9.181,11.725,9.43,7.878,9.547,10.074,11.23
"LOC127890661",10.532,8.803,5.752,10.166,8.522,8.37,10.469,9.01
"BEND3",9.498,9.579,9.159,8.007,8.439,9.815,11.1,9.075
"LOC127403970",9.005,7.735,9.837,10.016,8.194,8.597,9.596,8.668
"RNF13",4.196,8.359,9.848,7.788,9.502,8.656,9.701,8.251
"LOC129663669",5.331,11.267,9.358,8.995,7.949,9.08,7.505,7.8
"RNA5SP108",8.028,8.331,8.198,11.305,12.281,10.631,9.363,8.867
"LOC129390522",8.196,7.565,7.758,10.902,10.897,10.502,5.876,10.457
"LOC130008816",6.769,7.216,9.968,9.347,10.448,6.003,9.529,7.71
"LOC124902817",9.502,7.763,5.862,9.243,6.368,11.138,5.989,9.863
"LOC127456979",7.393,7.175,8.28,9.291,10.434,9.449,9.092,9.88
"LOC130056563",8.7,11.521,10.392,8.568,9.369,8.478,6.93,6.447
"LOC129663935",6.893,8.66,11.725,9.145,9.278,9.833,7.912,9.317
"LOC127818383",5.769,4.636,9.608,9.111,7.881,9.351,8.77,10.685
"LOC129995582",6.295,10.242,11.6,7.781,4.817,5.457,8.04,10.529
"GKN3P",6.213,8.655,7.549,7.956,10.057,7.5,8.738,10.304
"LOC130009930",9.963,5.606,7.101,10.11,9.888,10.565,7.725,7.123
"KBTBD6",8.317,9.676,10.81,4.925,8.835,8.96,10.68,6.17
"LOC129663787",7.043,7.848,9.597,10.856,5.717,9.003,8.564,9.726
"LOC130002632",6.686,9.748,9.105,4.569,9.351,9.768,9.527,8.433
"LOC124902063",7.686,9.033,9,10.438,7.778,6.138,7.114,6.572
"TRBV10-1",9.578,9.39,6.965,9.069,10.811,6.766,8.65,7.624
