# synthetic, for demo only -- 400 cells x 132 genes, Poisson counts
# 12 TF programs x 8 targets + 24 unlinked genes; truth in ground_truth_edges.csv
cell,TF01,G001,G002,G003,G004,G005,G006,G007,G008,TF02,G009,G010,G011,G012,G013,G014,G015,G016,TF03,G017,G018,G019,G020,G021,G022,G023,G024,TF04,G025,G026,G027,G028,G029,G030,G031,G032,TF05,G033,G034,G035,G036,G037,G038,G039,G040,TF06,G041,G042,G043,G044,G045,G046,G047,G048,TF07,G049,G050,G051,G052,G053,G054,G055,G056,TF08,G057,G058,G059,G060,G061,G062,G063,G064,TF09,G065,G066,G067,G068,G069,G070,G071,G072,TF10,G073,G074,G075,G076,G077,G078,G079,G080,TF11,G081,G082,G083,G084,G085,G086,G087,G088,TF12,G089,G090,G091,G092,G093,G094,G095,G096,U001,U002,U003,U004,U005,U006,U007,U008,U009,U010,U011,U012,U013,U014,U015,U016,U017,U018,U019,U020,U021,U022,U023,U024
Cell0049,11,6,1,6,1,9,16,14,8,0,3,2,12,2,3,2,2,1,2,6,1,6,5,0,2,1,4,11,18,9,7,15,7,5,16,2,6,17,15,19,6,35,15,1,3,6,5,2,2,3,4,12,0,8,1,6,2,1,6,11,7,3,2,8,3,3,2,2,4,5,0,5,23,8,1,6,5,17,2,8,14,2,7,10,2,9,1,5,0,8,2,6,2,3,5,4,11,2,4,3,1,13,11,22,2,8,11,1,0,1,5,5,3,7,7,1,1,3,2,5,12,11,6,2,3,9,7,3,6,14,2,4
Cell0050,8,4,2,11,0,7,20,14,5,5,0,2,11,5,4,3,1,4,0,1,0,5,14,1,0,0,6,13,17,6,6,17,12,11,20,1,15,15,8,20,13,38,11,0,1,6,10,0,3,3,6,12,1,14,3,5,1,6,12,8,5,3,3,13,9,5,7,2,6,4,3,10,5,12,1,9,4,16,1,5,8,3,5,9,4,3,2,6,3,9,1,1,2,0,4,5,10,6,0,5,3,9,13,20,5,8,4,5,5,1,1,4,1,1,1,1,3,8,6,0,3,6,4,4,3,5,5,1,2,2,6,1
Cell0051,3,10,2,7,3,13,21,16,8,2,2,4,7,2,3,7,1,3,3,5,1,5,5,3,1,2,4,10,20,7,6,13,7,2,14,0,23,23,13,24,6,43,17,4,2,1,6,1,0,4,6,15,0,9,1,5,0,2,10,9,3,4,1,6,2,3,2,0,4,7,4,2,8,4,2,7,6,7,0,9,13,1,7,12,2,5,4,2,0,16,6,8,2,3,4,7,3,3,1,7,3,6,10,6,2,6,5,2,3,3,3,3,4,9,4,1,3,1,2,1,7,7,8,2,3,10,4,1,3,6,1,1
Cell0052,2,2,17,3,12,3,7,3,2,6,4,3,5,6,5,8,7,4,5,2,7,3,5,4,4,4,8,1,3,3,1,4,2,1,3,13,4,6,1,10,4,7,6,12,12,7,10,6,4,3,4,9,1,9,1,9,2,2,14,11,7,11,2,8,2,3,6,2,4,14,4,12,2,2,6,3,2,4,1,3,9,3,16,3,5,5,3,5,3,8,2,5,6,2,3,3,4,4,1,5,3,2,5,4,0,3,2,4,2,2,1,6,3,13,9,3,1,6,3,3,10,14,3,2,1,5,0,0,5,2,3,5
Cell0053,3,1,9,4,3,4,10,6,5,6,6,3,4,1,3,4,3,3,1,4,3,7,8,7,3,1,8,3,6,5,3,5,6,1,6,2,2,2,3,7,0,7,6,9,7,10,4,3,4,3,5,6,4,9,9,27,15,0,3,1,21,21,14,12,10,2,7,5,8,13,6,17,1,1,11,2,4,7,2,1,0,2,4,5,0,9,3,4,1,11,1,1,7,0,4,1,3,1,1,1,3,6,6,3,3,3,6,1,2,4,0,11,5,4,3,5,7,0,7,5,9,14,5,8,2,5,3,5,8,5,4,4
Cell0054,5,4,10,1,4,5,6,0,3,11,4,10,1,3,2,10,2,8,4,6,6,5,7,5,4,3,5,1,5,3,1,3,1,4,4,5,2,1,9,5,1,9,7,10,3,7,3,1,2,5,3,6,3,11,10,19,4,2,1,2,20,22,4,27,7,3,7,5,10,22,6,37,4,4,10,4,3,3,9,3,1,0,10,8,0,6,1,5,3,9,2,3,4,1,3,6,7,3,0,5,8,9,6,9,2,7,3,4,6,4,4,10,0,12,4,2,3,2,8,0,6,14,2,3,2,9,7,8,2,6,4,6
Cell0055,6,3,6,1,5,7,6,5,2,7,4,6,4,4,2,7,5,6,2,4,4,5,7,2,1,2,6,1,0,0,2,0,1,1,5,7,5,4,5,8,1,7,9,11,5,10,6,4,4,4,1,2,4,5,15,27,7,4,1,2,16,21,14,18,6,2,6,6,13,16,11,24,3,2,11,3,1,5,5,2,3,4,5,12,6,3,2,7,1,9,1,3,9,5,2,3,5,2,1,5,5,6,10,12,3,5,5,7,9,5,8,7,4,5,5,2,3,5,7,3,4,12,2,4,3,2,5,0,8,3,4,9
Cell0056,8,3,3,2,1,5,13,8,5,8,3,3,4,5,3,8,0,5,4,3,0,6,8,3,3,1,4,0,3,3,2,4,1,4,11,5,11,9,5,7,4,12,8,3,6,23,2,11,6,19,2,4,7,5,7,12,4,2,7,4,6,13,1,13,5,5,4,5,5,12,2,11,4,0,17,3,0,3,7,0,1,5,4,3,2,5,3,7,1,13,4,2,5,6,4,4,10,1,2,3,7,4,5,5,0,4,2,7,1,1,3,6,8,8,2,2,11,4,3,4,5,15,7,0,9,10,3,4,7,3,3,2
Cell0057,2,6,5,0,4,7,9,7,3,16,9,8,5,4,6,8,1,6,0,1,2,1,9,2,1,3,6,4,9,2,2,6,4,2,8,3,1,0,3,1,1,4,2,31,18,3,6,3,5,2,2,11,1,11,3,7,3,6,10,7,3,12,1,4,2,10,0,1,3,1,0,2,6,2,5,2,1,1,7,2,6,1,5,11,1,9,1,4,1,14,0,0,6,1,0,1,2,5,2,1,5,5,7,3,2,0,5,6,7,2,4,6,0,12,2,5,0,1,1,2,3,2,5,1,2,5,6,2,11,1,2,1
Cell0058,3,4,4,3,3,2,8,4,2,6,4,6,6,4,1,4,3,5,4,4,2,4,9,3,4,3,11,7,6,3,3,11,3,1,17,4,7,5,1,7,2,5,9,8,6,29,1,13,12,12,0,3,6,3,8,4,1,5,8,6,8,6,1,9,6,1,1,0,7,11,3,14,0,2,7,4,6,2,4,2,0,5,7,3,4,10,4,7,1,5,2,2,3,2,3,0,7,1,1,2,10,3,3,6,3,3,7,7,4,1,11,3,8,6,4,8,1,2,2,0,3,3,4,5,7,6,4,2,7,2,3,4
Cell0059,5,8,1,8,1,11,12,9,8,2,2,2,5,0,0,1,2,1,0,2,1,1,14,1,2,1,4,6,15,3,5,15,6,2,13,4,26,21,17,17,16,42,13,1,1,7,11,3,3,0,9,12,4,9,3,6,1,1,8,9,5,7,1,13,3,3,4,6,5,5,2,5,12,7,5,5,2,16,1,4,8,3,3,18,0,6,2,7,4,11,3,5,2,4,2,4,8,1,2,8,1,12,14,10,5,6,11,3,13,6,7,6,3,10,9,2,6,2,11,1,3,6,2,3,6,2,2,1,12,4,1,6
Cell0060,11,9,1,9,0,9,26,10,13,3,0,2,6,0,2,8,0,4,2,1,1,1,14,1,1,1,6,9,15,7,8,12,8,5,15,2,20,25,15,22,8,44,18,1,1,4,12,1,0,4,13,7,0,12,2,5,5,1,10,4,3,9,5,8,7,4,3,1,9,6,3,9,12,5,2,5,3,15,0,5,11,3,2,9,1,7,2,4,1,8,0,3,3,2,4,3,7,3,2,2,1,13,11,13,4,6,12,1,1,5,3,8,4,16,9,1,2,3,7,3,0,11,3,3,3,15,3,4,11,6,7,2
Cell0061,5,0,3,3,3,6,10,4,5,4,6,3,3,6,3,3,5,4,2,3,4,7,4,10,0,4,7,2,1,1,6,6,3,1,7,3,8,5,6,11,7,12,7,11,5,11,6,4,2,6,3,7,2,11,2,7,2,0,9,9,9,6,2,7,4,6,3,2,6,1,2,9,8,1,2,7,3,8,1,1,4,5,7,6,7,2,3,6,4,4,5,5,7,0,6,6,14,3,2,7,4,6,7,7,7,7,11,3,3,2,2,6,4,12,3,2,2,4,2,3,3,8,3,7,1,7,3,4,3,3,4,2
Cell0062,9,9,1,7,1,15,23,11,5,5,0,2,4,2,1,6,1,0,3,0,0,2,12,2,2,0,7,12,16,9,4,14,15,7,28,0,15,13,12,17,11,40,15,1,2,3,10,2,3,3,3,11,0,11,4,8,1,1,7,4,8,12,6,8,4,1,3,0,4,7,3,6,18,2,1,5,4,17,0,3,18,4,5,12,1,7,1,4,1,8,2,2,1,2,4,5,6,3,2,3,2,17,11,17,4,9,9,2,6,2,1,9,7,19,7,2,6,26,3,4,3,4,5,3,2,7,5,2,5,5,2,2
Cell0063,4,3,11,1,2,6,11,4,5,6,4,4,3,2,7,7,2,4,7,2,2,8,9,4,3,5,6,0,4,5,0,4,2,0,4,4,9,3,5,2,3,9,6,7,8,13,7,5,6,13,2,4,3,12,9,18,3,1,2,1,18,22,7,16,12,1,6,11,11,19,4,22,2,0,10,4,3,4,3,1,4,1,7,5,0,4,0,2,3,13,1,3,5,4,3,4,3,6,2,4,8,8,5,6,0,4,6,3,5,5,11,7,2,14,2,4,2,1,3,3,3,7,5,3,4,7,5,3,3,5,2,1
Cell0064,4,6,6,1,2,8,4,5,2,13,1,4,2,1,3,5,4,1,1,4,2,5,10,1,1,1,7,3,1,5,4,2,2,2,3,7,6,3,4,8,2,13,6,12,4,10,2,5,3,6,3,7,3,8,3,17,4,1,7,8,11,9,3,6,1,2,2,0,6,8,2,8,4,3,5,5,0,9,1,5,6,4,13,2,4,2,4,7,4,4,2,8,4,1,3,4,9,1,2,6,5,8,7,7,2,6,13,1,10,2,7,3,1,6,5,2,1,0,4,2,7,2,2,2,3,9,6,1,5,5,1,4
Cell0065,3,6,6,6,3,6,8,5,3,8,7,5,1,2,7,3,2,1,5,4,3,8,4,8,6,3,12,2,3,6,2,5,7,3,8,7,4,5,2,7,0,7,5,14,12,10,1,3,3,7,2,8,3,5,11,25,8,0,1,0,13,16,13,20,6,1,4,5,13,15,6,23,4,3,7,2,2,3,5,1,7,4,4,5,3,5,0,3,0,11,1,6,7,0,1,2,9,8,0,7,3,8,7,7,2,5,6,2,5,3,6,7,3,1,9,1,0,1,3,1,4,1,2,9,10,11,2,1,13,2,9,3
Cell0066,1,2,8,0,6,5,6,3,3,9,2,2,4,1,1,4,1,5,8,7,5,2,7,7,2,8,8,1,5,5,0,7,1,0,7,4,2,2,3,7,4,9,4,14,5,10,4,3,5,5,2,5,1,4,0,7,4,5,9,12,5,10,4,18,5,2,13,1,8,14,7,19,12,7,6,7,3,13,2,3,9,5,20,3,12,1,8,9,3,4,5,8,3,2,3,3,7,2,3,1,8,4,6,8,6,2,6,1,2,4,4,6,8,4,3,2,4,1,6,4,4,8,3,1,5,3,2,2,2,8,9,1
Cell0067,5,4,8,3,1,5,13,5,10,13,3,6,5,3,4,1,1,5,3,3,3,5,4,2,6,4,5,2,5,3,2,2,3,3,6,1,2,2,4,4,1,7,8,10,9,7,5,0,4,5,7,7,2,8,1,5,5,4,6,5,11,9,5,6,1,6,3,0,2,2,5,5,11,8,6,4,4,4,1,6,9,3,11,1,6,3,3,6,5,7,4,3,2,2,2,3,7,1,2,2,5,8,9,11,5,3,6,2,15,4,10,3,2,16,12,2,5,4,14,1,12,5,4,2,1,3,7,0,6,4,2,7
Cell0068,2,0,6,3,6,6,8,4,4,7,5,3,4,3,4,5,1,8,5,2,2,4,7,3,4,1,4,3,4,1,1,4,1,3,5,4,3,9,7,10,6,7,8,6,9,17,2,7,9,9,1,6,5,8,15,19,10,3,0,1,18,6,10,33,8,0,15,6,10,21,6,31,4,3,9,1,2,2,3,3,5,3,4,5,4,2,4,5,4,8,1,7,3,2,5,4,7,5,1,3,6,3,7,6,1,2,4,3,3,4,2,3,11,4,3,1,1,1,5,4,9,8,9,1,6,4,11,1,5,2,2,4
Cell0069,4,1,6,1,2,5,11,8,7,4,2,1,4,1,3,6,0,3,4,6,2,3,8,2,2,2,7,2,4,4,1,5,2,0,8,3,4,6,2,10,4,17,4,7,5,15,5,7,6,10,5,4,4,6,1,6,6,3,5,8,5,8,3,8,8,4,10,5,8,10,6,12,3,1,14,1,2,3,6,2,1,3,3,7,0,8,4,8,2,8,2,4,6,4,0,5,4,6,2,3,10,5,5,4,2,4,3,2,2,2,6,9,1,12,2,1,2,7,4,3,5,11,6,6,3,5,7,4,2,5,4,3
Cell0070,5,3,10,3,5,10,10,4,2,8,5,5,4,4,5,6,2,4,5,3,2,7,5,5,5,3,10,1,4,6,1,7,5,2,9,0,3,8,2,6,1,7,4,5,6,9,4,4,2,11,3,9,4,2,9,32,12,0,2,1,16,28,10,23,6,3,8,3,11,19,8,24,5,1,10,2,0,1,6,0,7,1,7,9,0,2,2,5,3,8,1,1,5,1,1,1,7,6,1,4,8,2,4,9,3,3,8,4,10,6,6,21,4,7,7,2,5,4,6,5,10,15,7,0,3,2,1,0,5,6,1,5
Cell0071,15,9,2,12,1,10,15,18,7,3,6,5,6,6,2,4,2,1,4,2,4,6,8,3,1,4,7,10,10,6,8,9,11,2,14,0,16,20,6,19,8,41,7,0,1,2,7,2,2,4,12,13,0,7,2,6,4,1,7,10,3,11,3,8,3,4,10,0,10,8,2,6,14,7,3,9,5,21,2,3,17,3,5,22,0,7,0,1,2,12,5,8,0,4,2,2,11,1,0,3,5,7,10,5,2,3,9,1,0,5,4,2,10,18,7,2,1,5,7,3,8,9,1,1,10,3,8,3,4,3,5,12
Cell0072,0,1,8,1,3,2,9,5,2,8,7,9,6,3,3,6,2,3,5,4,4,2,6,4,2,4,11,0,3,2,0,4,2,1,4,7,1,4,7,8,3,9,4,11,5,4,10,3,4,4,6,7,2,9,8,8,3,1,7,12,5,8,2,12,4,3,6,2,10,8,4,17,6,0,3,6,6,7,3,2,12,4,10,7,3,2,2,9,1,8,1,3,6,0,2,4,3,5,1,1,3,9,5,4,3,0,7,8,11,4,4,8,1,5,3,1,2,3,11,4,14,18,10,5,4,8,1,2,5,2,1,3
Cell0073,2,1,10,3,2,3,5,6,1,5,8,4,3,3,7,9,2,8,6,4,4,4,7,5,2,6,7,1,4,2,0,4,2,0,7,3,5,6,3,1,2,9,4,8,6,11,4,7,6,9,3,9,1,5,7,26,8,2,4,2,12,30,12,23,1,2,10,3,11,19,15,28,1,4,6,3,1,1,4,2,4,1,2,12,2,10,1,2,2,13,0,2,13,1,1,1,2,4,0,1,3,7,6,6,2,2,3,5,9,7,5,12,3,7,7,4,3,5,3,1,7,12,1,1,7,16,2,1,6,8,6,3
Cell0074,3,1,4,3,3,12,10,7,4,6,3,5,4,4,4,4,3,5,4,4,3,2,8,3,2,4,9,5,4,5,2,3,3,2,5,4,8,6,11,12,5,16,8,3,5,18,1,9,5,11,2,3,5,4,2,14,0,8,3,5,10,9,5,12,4,3,8,4,7,15,6,16,2,0,14,0,1,1,4,1,3,2,6,8,3,8,2,7,0,13,2,8,1,2,6,3,9,4,0,0,8,8,3,4,1,2,6,4,4,8,1,2,2,7,7,1,5,5,20,4,3,19,2,2,7,4,4,4,2,4,3,4
Cell0075,13,8,4,8,1,9,22,12,10,3,2,1,5,1,4,5,3,4,1,3,2,3,13,1,2,0,2,5,17,7,3,9,6,4,14,2,10,14,16,25,6,35,16,2,4,10,9,2,4,2,15,10,4,12,2,3,3,1,10,6,9,7,3,9,6,6,6,2,4,6,0,2,16,4,6,4,3,20,2,7,13,3,3,14,4,5,3,2,2,19,3,7,2,3,5,11,14,1,5,8,5,13,17,10,6,7,12,2,5,8,2,8,5,14,3,1,2,7,3,0,3,17,1,2,0,4,10,3,10,5,7,4
Cell0076,3,3,5,3,1,4,4,5,5,14,7,2,6,6,3,9,4,6,2,3,1,4,5,5,4,4,11,1,0,3,5,1,1,3,7,8,7,4,6,8,0,10,7,2,4,7,7,2,2,8,6,9,4,8,9,28,7,0,1,1,18,25,11,17,9,0,5,7,12,13,5,19,3,1,7,2,0,1,2,1,5,2,5,2,2,6,1,4,1,13,3,5,3,2,3,1,4,7,2,2,9,4,6,5,1,2,1,3,6,3,4,24,1,7,3,1,5,8,1,2,5,3,3,6,1,2,1,7,5,12,5,6
Cell0077,1,1,12,2,2,4,3,3,4,8,3,4,6,1,6,3,3,5,5,6,4,9,2,2,3,4,5,2,5,2,0,4,0,1,5,2,7,3,8,5,2,6,5,4,4,3,13,2,0,5,11,9,2,6,4,12,5,4,5,13,6,4,6,16,5,1,5,1,8,13,5,15,4,4,3,8,2,8,2,3,6,3,10,3,7,3,5,12,6,2,0,9,4,4,6,6,10,2,4,0,10,8,9,5,6,5,4,3,5,5,3,2,8,15,2,2,4,1,5,4,7,10,5,1,3,9,7,3,10,8,5,2
Cell0078,0,0,15,0,3,4,6,3,2,4,3,6,2,0,3,6,1,8,5,6,5,4,3,6,6,4,9,3,3,4,2,7,3,2,6,3,5,2,3,3,0,7,7,10,10,11,9,0,2,5,5,8,3,10,3,10,3,1,3,4,7,14,7,4,5,4,10,3,7,8,3,14,3,3,7,1,3,10,3,1,6,2,14,4,2,4,6,8,3,3,3,10,4,3,6,6,12,4,2,0,7,4,3,4,3,3,1,4,4,5,2,10,3,6,0,1,4,4,12,2,3,2,3,1,4,7,10,1,5,5,1,2
Cell0079,2,2,6,3,5,4,13,4,0,9,6,7,3,4,4,7,5,6,2,3,1,4,7,1,2,0,3,3,8,1,1,5,4,0,6,7,1,3,0,2,0,1,2,19,10,10,3,2,3,4,3,2,0,4,2,5,3,5,9,13,4,1,0,1,2,2,1,0,4,4,4,5,2,0,6,4,2,1,4,0,1,3,4,3,4,2,5,3,3,8,0,1,11,0,2,0,1,12,1,0,17,5,4,3,0,1,0,15,6,5,4,4,11,8,2,1,1,1,1,4,6,3,4,1,6,5,4,2,9,3,8,7
Cell0080,5,6,4,5,3,6,11,6,4,1,2,1,11,0,0,2,0,3,2,4,2,1,11,2,4,0,5,11,18,8,4,19,8,13,22,1,16,20,10,24,12,36,16,2,1,3,8,1,1,9,6,13,4,9,2,9,4,0,3,6,9,1,1,11,6,1,5,2,6,5,5,14,14,6,1,2,4,15,0,2,10,3,7,6,4,4,3,2,1,11,1,4,0,2,5,3,4,0,2,6,2,10,11,9,3,6,7,3,8,1,3,4,0,16,1,3,3,5,13,1,7,10,0,1,7,7,20,4,4,4,3,1
Cell0081,2,4,4,3,1,5,11,8,3,7,4,1,7,3,2,4,0,6,2,2,1,4,7,3,0,4,6,1,2,3,3,1,0,1,8,5,0,5,4,11,2,7,6,11,11,13,9,5,1,10,5,8,0,11,2,12,2,2,6,6,8,11,1,8,4,9,2,1,2,4,1,4,10,5,1,4,4,4,4,5,8,7,17,5,5,2,3,12,4,5,5,6,0,6,6,9,8,2,1,14,1,10,16,16,5,4,13,5,8,7,6,5,0,4,2,5,2,5,7,0,5,10,1,1,8,7,1,11,7,6,2,1
Cell0082,1,3,4,3,4,4,12,5,3,9,3,4,4,3,2,6,1,4,9,6,5,5,1,9,3,7,5,0,1,1,1,5,0,0,6,6,6,5,6,6,4,10,1,8,1,8,1,3,1,4,5,1,2,3,8,26,11,2,4,3,13,21,10,18,6,1,9,9,14,13,7,13,4,4,5,2,5,1,3,1,4,1,3,12,2,12,0,3,5,15,0,3,7,2,5,2,4,4,2,2,5,10,8,5,3,5,9,6,14,7,7,10,1,15,5,0,6,7,0,2,7,6,5,1,2,1,3,1,2,2,2,1
Cell0083,6,2,5,1,0,5,12,1,4,11,4,7,4,6,3,11,2,8,6,2,2,3,11,1,3,2,1,4,4,2,3,6,3,2,10,1,2,6,9,7,6,11,6,0,5,15,2,8,10,17,0,3,9,5,3,11,1,4,3,5,6,15,5,8,4,5,5,2,5,6,3,8,2,2,15,2,3,6,6,0,1,0,5,5,1,2,4,7,7,8,2,3,7,3,1,2,7,3,0,1,7,5,5,1,0,3,2,6,7,9,2,4,5,9,6,2,2,2,1,2,7,17,10,1,3,14,6,0,3,4,7,6
Cell0084,9,10,2,7,1,15,16,13,7,3,3,5,9,1,2,2,0,5,1,0,2,4,13,3,3,5,8,12,14,12,10,12,5,6,18,0,28,14,14,21,4,45,13,2,3,3,9,3,3,0,7,9,1,9,2,11,3,1,6,8,5,8,5,11,6,4,7,5,7,13,4,13,6,5,1,4,5,15,1,7,14,1,6,9,1,7,2,9,3,14,2,4,1,6,1,3,7,9,2,10,3,12,17,13,8,7,10,3,13,9,3,3,5,11,3,3,2,1,2,1,13,13,5,1,3,3,8,4,4,0,4,1
Cell0085,4,2,6,5,4,4,12,3,7,28,13,8,5,11,10,10,5,12,1,1,3,3,8,3,0,5,6,3,4,1,4,2,4,2,5,5,1,0,0,4,0,2,6,22,8,1,8,2,1,1,5,10,3,9,2,2,0,4,15,14,0,7,0,4,4,6,3,1,4,1,6,6,4,2,6,1,1,3,2,2,5,4,5,7,4,2,2,6,2,10,1,3,9,1,1,1,6,8,0,3,12,3,5,2,2,1,2,5,4,1,5,6,2,9,4,2,4,3,7,2,2,3,1,4,4,2,3,1,7,1,9,0
Cell0086,18,9,0,11,0,13,27,14,9,8,5,8,14,1,2,4,0,4,3,5,2,5,19,1,1,1,3,11,20,12,4,12,8,6,21,1,15,26,12,15,5,43,15,3,6,2,9,1,2,1,14,15,0,10,4,5,4,2,13,8,2,6,4,7,4,3,3,0,6,5,2,13,14,7,4,6,2,12,1,4,8,2,1,13,1,7,0,3,2,15,4,8,3,0,4,1,4,3,0,2,3,9,9,14,3,4,6,4,3,7,0,12,5,14,3,3,4,1,0,3,9,4,5,5,6,12,20,2,4,2,3,2
Cell0087,4,1,6,1,5,1,5,9,1,3,3,2,6,1,3,7,1,6,4,4,5,5,6,8,6,0,8,1,9,3,2,6,4,2,6,1,3,3,6,9,2,9,7,3,9,16,5,3,13,6,4,6,3,11,2,5,2,3,5,5,3,12,3,12,3,0,7,4,9,8,7,20,1,2,30,2,3,1,12,0,4,1,9,12,3,7,4,9,3,14,0,8,5,1,0,3,8,7,2,2,2,2,3,3,2,4,2,9,7,2,5,3,1,10,4,9,5,3,7,1,4,5,4,2,5,4,6,2,4,4,2,2
Cell0088,3,3,9,0,6,3,8,5,4,6,3,3,3,6,4,2,2,7,5,8,4,6,3,4,3,6,6,3,5,2,2,7,5,3,8,6,3,5,4,3,2,5,6,7,6,6,6,3,6,8,3,7,6,7,5,3,2,7,9,9,8,5,2,14,8,2,7,4,13,12,6,8,10,5,2,1,2,9,3,3,10,4,7,2,7,5,4,7,1,5,2,3,2,2,4,6,10,4,4,2,9,4,6,2,2,4,1,5,4,5,14,4,7,10,1,3,6,3,5,2,6,8,7,2,14,10,10,6,6,7,1,8
Cell0089,16,8,1,10,3,5,27,5,9,9,2,7,8,1,3,4,1,4,2,2,0,2,9,1,1,1,3,7,16,6,5,12,8,3,13,0,16,17,15,29,10,49,5,3,1,5,3,4,3,6,3,10,1,16,0,6,1,7,15,14,3,3,5,8,6,9,5,2,5,10,2,11,19,3,2,3,12,25,2,14,13,4,2,8,2,6,1,5,1,11,2,7,5,2,5,1,5,0,1,13,3,15,15,16,3,2,11,2,10,1,2,26,10,13,5,1,3,2,2,4,3,9,2,6,8,4,1,1,11,3,10,1
Cell0090,11,11,2,9,5,9,21,13,6,8,5,4,7,3,1,2,1,1,2,4,0,3,8,2,4,0,8,5,12,9,3,12,11,6,11,3,25,10,8,21,5,36,14,1,4,4,10,1,2,3,5,6,2,10,3,5,4,3,2,8,6,9,6,7,2,3,2,5,4,6,2,10,13,2,3,4,6,11,3,8,12,1,9,6,3,4,2,5,3,6,1,6,2,3,1,1,6,2,3,7,1,14,11,10,4,5,9,1,5,2,6,4,2,13,6,1,3,1,3,0,6,0,1,2,7,12,6,5,2,2,2,0
Cell0091,4,5,8,1,0,2,9,5,2,9,5,6,3,4,4,14,2,5,2,7,5,2,3,2,3,5,5,1,5,3,3,3,4,1,2,4,6,3,5,6,2,5,4,9,7,8,7,2,4,6,7,3,7,1,16,30,19,1,0,3,26,30,22,16,6,1,8,3,11,15,7,26,2,2,7,2,1,2,2,3,5,1,5,13,2,4,4,8,3,9,2,1,4,2,4,2,10,7,0,2,8,7,4,6,2,6,4,6,3,0,8,8,7,5,4,4,2,2,5,1,11,3,8,4,3,3,12,2,1,6,1,1
Cell0092,7,10,5,7,1,8,18,10,13,3,3,1,1,4,2,7,1,4,2,0,2,5,11,1,2,1,6,15,19,10,6,21,7,7,12,1,25,19,13,19,10,35,7,2,3,6,13,0,2,3,8,5,2,8,1,6,0,5,5,9,4,7,4,8,8,1,2,7,14,10,3,15,14,10,1,6,4,14,0,1,15,1,5,7,1,6,3,3,4,15,1,10,3,3,5,3,9,4,0,3,1,11,10,12,4,8,14,2,5,2,12,4,5,11,6,0,4,1,2,0,5,13,4,2,1,4,0,0,4,4,5,7
Cell0093,5,7,8,5,4,4,12,6,2,2,2,4,3,4,2,8,1,4,3,7,3,4,7,6,0,3,8,1,1,2,1,2,2,1,4,4,2,4,4,6,3,7,3,12,10,9,5,6,4,5,5,11,1,10,5,12,6,2,7,4,3,12,2,8,2,4,5,3,8,6,3,7,11,3,2,4,4,10,1,4,8,1,6,7,4,4,3,6,2,9,2,4,3,6,4,6,8,1,2,10,5,5,8,4,3,3,5,1,7,6,5,9,1,5,0,6,0,3,16,1,1,12,6,1,3,11,4,7,1,7,3,3
Cell0094,2,1,9,0,10,1,9,3,3,10,6,6,2,2,3,6,4,3,1,5,3,2,3,5,5,1,11,4,2,0,2,0,8,0,3,7,4,2,3,4,5,13,12,3,9,6,4,6,0,5,5,11,6,10,5,27,8,2,1,1,14,20,8,32,15,1,9,4,5,22,7,32,4,4,6,2,1,1,1,2,5,3,10,6,2,6,1,8,0,12,0,2,6,1,0,1,4,10,1,4,7,5,9,11,2,4,6,3,3,4,1,12,0,10,3,7,1,2,8,9,4,9,5,14,7,16,8,1,2,9,6,0
Cell0095,5,2,4,6,1,2,13,6,4,6,3,6,4,2,4,6,4,3,5,7,0,6,7,7,8,2,3,2,6,3,2,2,0,0,3,7,3,6,6,1,3,17,6,7,5,7,4,3,2,5,4,7,2,11,2,13,2,1,6,9,7,8,2,6,3,7,5,3,4,7,0,5,7,3,5,2,4,5,2,4,5,5,11,6,4,5,6,4,3,7,7,4,1,0,7,7,8,1,2,4,3,12,9,12,4,4,8,3,9,5,7,7,5,18,6,2,2,2,3,7,4,7,4,2,2,1,10,8,6,6,7,2
Cell0096,0,2,11,1,5,2,4,2,2,6,6,4,5,0,4,6,1,7,2,5,6,9,6,1,6,3,11,2,4,4,1,2,5,1,12,2,4,1,3,9,0,11,4,6,11,11,6,5,5,2,11,0,1,12,4,6,5,4,3,11,11,9,4,19,3,5,4,0,8,12,5,10,11,4,7,6,6,12,1,7,7,9,18,4,6,1,5,13,9,3,1,10,2,1,6,2,14,1,2,0,5,1,5,2,3,1,3,10,7,2,9,3,6,11,7,4,5,1,6,2,2,21,5,1,1,5,3,3,6,2,9,5
Cell0097,2,0,9,2,1,2,4,1,0,8,6,5,4,2,2,5,4,4,5,9,5,3,6,9,4,7,12,2,7,1,1,8,5,0,10,3,9,6,1,11,1,12,6,10,7,3,6,5,4,3,8,7,1,11,2,13,1,5,8,8,3,9,2,17,8,4,4,3,9,13,6,14,5,4,3,0,2,14,2,2,6,8,13,2,3,0,7,15,11,2,2,7,0,1,4,4,8,4,2,1,3,2,6,6,0,5,6,12,8,1,2,8,5,5,6,3,5,2,9,0,7,4,7,3,5,9,10,5,8,4,0,1
Cell0098,7,6,1,3,2,5,18,10,7,3,0,5,10,0,2,4,2,3,0,1,1,5,6,0,0,1,4,12,18,2,4,9,9,7,18,2,16,17,17,14,11,38,13,1,3,2,16,3,1,2,20,20,1,21,2,6,2,4,7,9,1,4,3,6,6,0,5,2,7,4,6,15,10,6,5,4,6,5,1,2,12,1,1,10,2,4,4,4,1,10,3,5,2,3,4,5,6,2,1,3,2,7,16,16,6,8,15,3,9,5,2,6,4,3,9,1,1,3,4,3,6,16,3,0,10,15,8,9,3,1,1,2
