"","G001","G002","G003","G004","G005","G006","G007","G008","G009","G010","G011","G012","G013","G014","G015","G016","G017","G018","G019","G020","G021","G022","G023","G024","G025","G026","G027","G028","G029","G030","G031","G032","G033","G034","G035","G036","G037","G038","G039","G040","G041","G042","G043","G044","G045","G046","G047","G048","G049","G050","G051","G052","G053","G054","G055","G056","G057","G058","G059","G060","G061","G062","G063","G064","G065","G066","G067","G068","G069","G070","G071","G072","G073","G074","G075","G076","G077","G078","G079","G080","G081","G082","G083","G084","G085","G086","G087","G088","G089","G090","G091","G092","G093","G094","G095","G096","G097","G098","G099","G100","G101","G102","G103","G104","G105","G106","G107","G108","G109","G110","G111","G112","G113","G114","G115","G116","G117","G118","G119","G120","G121","G122","G123","G124","G125","G126","G127","G128","G129","G130","G131","G132","G133","G134","G135","G136","G137","G138","G139","G140","G141","G142","G143","G144","G145","G146","G147","G148","G149","G150","G151","G152","G153","G154","G155","G156","G157","G158","G159","G160","G161","G162","G163","G164","G165","G166","G167","G168","G169","G170","G171","G172","G173","G174","G175","G176","G177","G178","G179","G180","G181","G182","G183","G184","G185","G186","G187","G188","G189","G190","G191","G192","G193","G194","G195","G196","G197","G198","G199","G200"
"cell0099",50,50,57,17,30,33,57,32,72,44,45,23,34,30,37,29,47,37,25,33,32,27,35,18,54,29,21,54,62,52,27,31,32,18,26,26,42,38,28,40,2,0,6,3,1,1,0,2,3,4,2,0,1,4,6,1,2,7,4,3,0,0,1,3,5,3,10,2,10,14,4,1,7,2,8,0,5,3,16,1,1,0,11,1,1,12,0,8,5,2,1,7,7,4,4,5,6,8,0,3,5,3,2,0,8,12,1,5,2,3,1,4,4,3,2,0,4,2,14,5,1,0,5,6,4,9,5,16,4,1,5,15,6,1,0,3,3,7,4,17,0,3,8,3,5,12,11,1,15,0,5,3,0,9,4,5,1,7,3,6,2,5,1,0,5,0,6,8,0,0,1,10,3,4,5,13,0,15,1,1,5,9,0,0,8,9,15,9,0,7,12,17,4,7,1,22,4,2,7,0
"cell0100",51,43,66,14,36,19,47,31,44,45,51,32,24,38,33,17,52,30,20,39,34,31,28,12,44,32,22,51,67,43,33,36,41,14,31,18,48,31,24,39,1,0,5,2,1,2,0,0,1,5,6,1,1,2,5,2,3,7,14,0,1,1,0,1,6,9,12,1,10,21,4,2,6,0,6,0,3,0,13,6,3,1,8,2,1,17,0,4,1,1,1,5,6,4,4,4,6,5,3,8,3,1,0,0,4,14,5,2,1,3,2,4,2,5,1,2,1,2,8,3,5,1,6,13,0,12,5,20,0,4,8,6,2,0,0,3,2,3,7,20,0,10,10,4,7,10,11,1,10,3,5,0,0,7,5,4,2,11,4,3,2,1,0,1,3,1,7,9,0,1,0,7,1,3,5,13,0,15,2,3,3,7,0,1,3,2,17,7,0,5,6,16,4,9,0,14,11,1,9,2
"cell0101",1,1,3,1,10,0,4,8,3,6,6,9,6,1,1,4,2,6,6,13,9,2,2,1,5,3,12,3,6,4,6,2,2,13,11,0,1,10,2,9,39,27,55,20,30,60,42,40,27,21,22,30,14,52,43,26,36,37,60,19,18,30,47,47,25,51,23,30,42,32,16,31,16,29,21,29,28,27,42,64,2,3,1,4,3,0,10,2,0,7,3,0,8,0,3,2,3,5,6,9,17,1,1,5,0,3,6,1,14,9,0,0,4,10,3,3,3,8,0,7,1,0,6,15,2,1,11,2,2,6,3,7,9,5,18,6,0,4,0,0,0,16,1,4,5,4,5,0,2,1,0,8,5,0,3,4,2,3,2,3,3,5,3,0,3,3,7,3,9,7,5,18,5,4,0,3,0,2,5,3,2,6,5,3,14,7,5,6,3,6,2,0,26,3,5,0,10,2,0,2
"cell0102",1,0,1,1,6,0,2,7,3,8,4,8,10,1,1,9,1,9,11,12,10,2,0,0,6,3,16,8,3,4,5,5,1,9,9,0,2,10,0,9,34,30,56,23,54,61,36,45,32,18,24,16,10,38,34,27,33,31,63,17,21,31,40,52,29,45,33,25,48,35,19,35,21,33,27,33,34,34,53,68,0,4,0,3,6,1,6,4,3,1,3,2,15,0,3,1,4,10,7,8,25,0,0,1,1,10,3,0,8,10,0,1,4,9,5,5,6,8,1,1,0,0,6,12,4,4,8,3,2,7,1,10,2,7,14,2,1,6,2,4,1,14,0,7,6,2,12,0,4,0,0,2,8,1,7,1,1,1,2,9,5,8,3,3,1,2,4,4,4,8,8,22,5,8,1,3,2,4,0,2,4,3,5,6,12,11,3,6,2,8,3,2,18,8,4,0,5,1,0,1
"cell0103",5,1,4,1,3,0,2,7,2,10,2,6,1,1,0,7,1,12,7,8,5,1,3,0,4,0,12,9,1,5,3,3,4,17,8,0,3,8,1,8,34,28,49,26,28,62,46,33,31,40,26,21,19,35,39,28,35,31,62,22,21,31,46,48,21,53,31,43,56,36,15,26,23,36,26,36,31,35,60,56,2,3,1,3,7,2,7,11,0,3,4,2,18,1,0,5,1,7,10,4,17,0,0,0,2,13,5,0,12,13,2,1,1,15,5,3,4,9,1,1,0,0,5,9,3,1,7,2,2,5,2,4,2,5,13,5,3,4,1,3,1,15,4,6,2,2,12,2,4,0,1,8,8,1,6,3,7,0,2,7,1,4,4,1,4,6,3,4,2,6,1,24,7,6,0,3,0,11,6,5,3,5,4,2,9,3,2,3,2,7,1,3,11,5,2,0,9,4,0,2
"cell0104",0,1,6,1,5,0,1,4,3,9,2,5,5,2,0,3,3,13,10,10,7,4,0,1,2,3,17,7,7,4,3,2,6,10,3,0,4,6,1,13,44,25,53,21,35,53,36,24,32,19,26,27,21,53,51,24,40,20,55,24,16,35,33,45,29,55,33,33,43,29,14,27,16,31,29,38,25,38,49,60,2,6,0,8,8,3,7,6,0,6,2,0,18,1,0,1,4,11,8,3,15,0,1,2,2,7,10,0,12,7,0,0,3,7,3,1,4,10,0,4,0,0,8,19,4,5,13,3,4,3,4,12,2,9,21,2,1,2,3,1,2,18,0,10,4,1,8,1,4,1,1,4,8,2,2,3,4,0,4,8,1,8,4,2,2,1,4,6,6,5,7,16,9,4,0,3,1,4,1,3,3,8,5,2,11,6,0,3,2,7,2,3,14,7,4,0,8,2,0,0
"cell0105",0,0,6,1,6,2,1,9,4,7,2,12,6,0,0,5,3,15,8,6,7,1,3,0,2,4,10,5,7,5,3,3,2,15,15,0,3,9,1,10,47,13,62,23,45,64,40,45,33,29,28,23,11,43,38,26,40,37,54,23,15,29,38,49,29,39,20,33,38,32,14,22,25,33,27,32,35,23,43,71,3,4,1,4,4,2,9,3,1,5,3,2,12,1,2,1,0,9,7,8,23,2,0,3,0,8,5,1,7,9,0,1,2,12,3,3,4,12,0,7,0,0,6,14,3,5,10,2,1,5,0,15,2,4,21,5,1,3,2,1,0,19,2,13,1,0,14,0,2,0,1,4,6,0,6,7,0,3,4,6,1,7,1,1,1,5,6,6,6,3,4,23,3,5,0,5,1,3,2,5,0,10,2,7,10,7,3,5,1,6,2,4,16,4,2,0,6,1,0,2
"cell0106",1,2,2,2,3,2,5,5,0,5,4,5,2,0,1,5,3,7,8,10,6,2,1,0,5,5,12,6,6,5,1,1,1,15,6,0,2,12,0,13,38,26,52,19,55,64,44,49,40,20,28,24,13,36,35,25,29,36,56,24,12,43,40,47,30,52,26,32,56,32,16,24,17,31,37,33,33,27,48,60,2,2,1,4,2,2,6,1,1,3,1,1,16,1,4,2,3,10,5,8,8,0,0,1,2,10,7,2,6,6,1,0,4,14,9,1,4,2,0,2,0,0,5,15,7,2,9,1,0,6,1,6,5,1,11,7,3,5,6,1,1,12,5,6,3,2,7,0,4,1,0,4,9,0,6,3,3,2,5,7,2,9,4,1,1,5,5,5,1,7,5,23,2,6,0,5,0,7,3,3,4,7,4,3,14,9,5,7,1,8,1,0,16,3,2,1,13,2,0,2
"cell0107",2,1,9,4,2,1,3,8,1,6,7,5,6,0,1,4,0,7,8,5,10,0,0,0,3,4,9,7,3,5,6,4,4,12,4,0,3,4,0,9,31,21,58,20,29,52,22,40,29,20,28,20,14,30,47,36,40,32,58,28,17,27,41,49,28,41,26,39,58,33,17,37,23,35,38,36,24,36,50,51,2,5,0,4,7,4,10,5,3,5,3,0,15,1,0,4,6,6,5,7,11,0,0,4,0,8,3,0,19,10,0,1,1,10,6,3,3,2,1,9,0,0,9,14,3,4,10,0,0,3,3,15,4,1,8,2,1,7,1,4,0,15,2,10,5,1,12,0,4,0,0,7,13,0,7,2,3,2,3,3,2,7,7,7,4,1,6,4,3,7,1,20,7,7,0,1,0,6,1,5,3,4,3,2,6,5,4,8,1,7,0,3,16,3,3,0,14,2,0,3
"cell0108",0,2,2,3,8,0,3,4,1,8,4,7,5,0,1,7,1,16,11,10,8,1,2,0,4,4,11,4,1,3,5,1,1,13,11,1,3,10,1,14,38,36,64,24,44,52,28,26,42,12,27,23,9,32,45,30,46,34,53,28,24,34,39,45,34,41,34,32,55,49,21,27,17,33,31,47,25,33,55,62,1,1,2,3,4,3,9,11,1,2,5,0,12,1,0,5,5,10,7,10,14,0,0,3,2,6,3,1,13,6,2,2,5,10,4,4,4,3,1,6,0,0,3,17,4,5,11,3,8,4,2,14,1,2,9,2,2,5,0,0,4,7,2,1,5,3,8,0,4,4,2,10,10,1,5,3,4,2,4,6,4,12,3,4,2,5,5,4,6,8,7,24,9,6,0,2,2,3,1,5,2,6,6,5,11,4,2,4,1,8,1,1,16,3,3,0,11,3,1,3
"cell0109",0,4,2,2,4,1,3,3,4,8,6,5,2,0,1,5,0,10,6,13,15,0,2,0,3,2,10,3,1,3,4,4,3,12,8,1,4,9,1,8,43,35,42,28,42,54,35,28,35,28,26,26,12,44,59,35,32,27,57,28,12,36,44,54,22,55,29,29,51,37,16,46,18,34,34,44,29,38,41,52,2,5,3,4,4,1,11,5,2,4,2,0,13,0,0,3,2,4,3,6,13,0,0,4,0,5,7,0,14,12,1,0,2,14,5,7,2,10,0,6,0,0,6,19,4,6,15,3,3,6,1,6,2,2,8,6,2,3,1,1,0,7,2,7,3,2,15,1,3,2,2,3,10,2,3,5,1,4,2,7,3,5,5,2,0,4,7,8,1,8,5,15,4,8,0,3,1,1,6,1,4,5,4,3,20,6,3,7,1,11,1,2,14,4,5,0,11,2,0,3
"cell0110",0,0,7,3,6,0,3,6,2,9,5,13,0,0,0,7,3,6,9,8,11,1,1,0,1,8,7,5,3,5,4,4,3,13,13,0,0,10,0,9,20,22,46,20,58,51,29,37,30,25,23,22,16,46,43,16,35,40,62,23,8,29,40,41,25,51,37,24,47,29,11,24,20,33,39,39,37,26,63,58,2,3,1,2,5,2,10,7,3,4,6,2,10,4,1,0,5,6,4,9,12,0,0,4,0,6,6,4,15,10,0,0,6,14,6,3,1,8,0,4,0,0,4,15,2,3,7,3,2,8,2,7,5,1,8,6,1,7,2,2,0,14,1,5,1,0,9,0,9,2,0,6,9,3,6,5,2,6,1,5,5,14,11,1,4,5,4,3,2,6,6,16,7,11,0,2,1,1,4,2,3,4,7,4,7,3,4,2,2,3,0,2,8,4,8,0,10,0,0,1
"cell0111",0,0,4,2,7,2,4,3,4,7,6,8,8,1,0,5,3,22,11,11,7,2,4,0,6,1,11,3,0,7,10,3,1,13,8,0,6,6,0,12,39,16,44,27,45,46,31,43,31,23,21,24,22,33,50,14,43,30,55,16,15,33,45,50,30,38,31,39,49,30,20,33,21,28,33,34,34,31,60,64,1,1,0,3,5,3,5,9,1,8,1,0,7,4,1,5,4,10,8,11,17,0,0,1,0,8,7,1,14,3,2,0,4,6,6,6,3,3,1,4,0,0,10,13,0,6,5,1,3,4,2,9,3,5,14,2,1,6,0,2,0,14,3,10,1,1,11,2,6,2,0,11,6,2,5,2,3,2,2,7,3,5,4,0,0,2,9,4,6,4,1,17,3,3,0,6,2,2,6,4,4,8,5,6,10,5,2,6,0,11,6,3,16,5,2,1,8,1,0,1
"cell0112",1,1,8,1,2,1,4,6,3,9,0,7,4,0,1,7,0,10,14,10,5,1,1,0,3,1,7,3,4,4,4,4,6,9,7,0,4,3,0,10,35,30,55,24,34,58,40,41,38,20,24,30,13,55,34,26,35,25,51,18,20,37,37,53,20,39,19,32,53,29,15,26,22,27,29,36,30,37,63,64,0,4,2,2,1,0,11,5,1,4,2,2,17,0,0,6,2,10,3,7,20,0,0,2,1,6,4,2,16,4,0,2,1,13,5,1,5,3,1,7,0,0,7,18,3,5,12,1,5,5,3,8,2,3,17,4,2,5,3,3,1,11,2,6,2,2,4,0,7,0,0,8,6,0,7,6,3,1,1,3,2,4,5,7,1,2,8,2,4,7,3,27,2,5,0,3,1,5,6,3,6,10,4,7,17,7,4,9,3,6,0,0,14,3,1,2,7,0,0,3
"cell0113",0,1,9,2,3,1,1,8,1,7,3,4,5,1,0,2,1,11,4,11,7,0,6,1,3,0,12,7,1,9,2,3,6,13,10,1,3,14,0,9,46,20,53,28,41,47,45,43,34,20,25,28,14,37,34,31,30,37,69,15,24,25,40,60,41,51,34,35,39,35,19,24,24,33,21,36,36,38,41,75,1,7,2,2,6,1,10,8,1,5,3,3,17,3,2,5,5,14,5,14,20,0,0,1,0,13,8,1,12,6,2,0,5,15,8,2,5,1,0,1,0,0,2,11,4,6,7,1,3,6,5,7,3,5,14,5,0,4,1,1,1,9,1,12,2,2,5,2,2,2,0,6,8,3,6,1,3,4,0,7,3,5,5,1,1,6,9,8,2,7,5,21,4,6,1,3,2,4,4,3,0,5,3,4,14,5,4,3,2,7,3,0,22,3,4,0,7,4,0,1
"cell0114",1,0,6,0,3,0,2,7,0,11,2,6,4,0,0,4,0,8,12,7,11,0,2,0,6,3,12,2,4,5,3,10,3,7,6,0,3,9,0,14,34,16,52,35,38,51,36,33,26,25,22,31,15,42,44,26,33,43,50,22,20,28,36,53,23,50,25,24,57,25,16,17,14,24,26,35,38,32,62,50,1,3,0,5,8,3,8,3,0,3,6,2,13,2,3,5,4,6,5,6,9,0,0,0,1,7,3,0,17,7,0,0,4,13,14,1,2,9,0,4,0,0,8,7,3,4,13,2,2,5,2,9,2,2,9,5,2,8,3,2,1,16,2,14,3,1,5,0,6,0,0,6,3,0,3,3,5,3,1,2,2,8,3,2,1,2,3,4,9,7,2,25,4,3,0,7,2,4,4,4,0,3,2,3,10,5,3,4,4,8,2,3,11,2,3,1,9,0,0,3
"cell0115",1,2,4,1,5,1,1,1,0,12,1,7,3,0,0,6,1,15,9,7,9,0,3,0,4,2,7,2,5,5,4,1,2,9,6,0,3,7,0,6,34,32,57,23,48,61,26,52,46,17,21,28,12,54,38,35,40,28,62,16,20,38,43,52,24,43,32,34,42,41,16,37,22,31,29,34,41,28,60,63,0,3,0,2,4,3,8,4,1,5,7,0,12,1,2,5,5,6,3,4,16,0,0,2,0,7,0,0,14,7,2,1,2,11,11,1,2,5,1,4,0,0,4,10,3,7,6,3,8,6,3,8,2,3,16,3,3,7,5,1,1,5,5,3,4,3,6,1,7,2,0,9,7,0,2,5,2,1,3,5,3,7,4,4,4,2,10,2,9,2,7,20,3,5,0,3,1,4,3,3,2,3,2,4,7,4,1,8,2,8,0,3,10,7,1,0,9,1,0,2
"cell0116",0,1,6,3,4,0,3,3,2,6,6,5,5,2,0,9,0,7,8,8,6,1,3,0,8,1,16,3,4,5,1,6,4,19,4,1,2,4,0,11,33,24,56,27,32,51,37,38,48,23,24,39,16,39,55,32,27,35,54,22,13,36,31,40,25,41,27,39,53,34,19,27,27,33,26,33,34,23,50,72,1,6,3,3,3,0,6,8,2,1,4,2,12,0,1,5,7,0,8,5,20,0,0,2,0,5,3,0,19,11,1,2,0,4,4,1,4,10,0,6,0,0,7,19,3,3,7,4,9,2,3,11,1,2,11,9,3,3,3,1,0,10,1,6,15,4,7,1,4,0,1,10,9,1,3,4,1,1,2,5,0,3,1,3,2,4,4,5,1,13,8,19,5,3,0,4,3,9,3,2,6,2,5,4,9,5,2,8,1,3,3,2,13,2,3,0,12,1,0,1
"cell0117",1,0,4,2,3,1,2,8,3,5,3,2,9,1,1,6,2,13,10,17,7,1,5,2,7,2,15,6,3,4,5,4,3,9,5,0,5,7,0,9,34,30,51,21,42,52,25,31,30,24,24,32,9,45,35,32,21,25,76,20,18,34,31,42,25,49,24,29,39,29,13,37,17,38,34,26,28,19,46,52,1,6,1,1,6,1,11,3,0,5,1,2,16,2,3,3,4,8,6,4,18,1,0,3,0,7,7,1,13,11,0,0,5,12,4,3,2,7,0,4,1,0,3,22,3,6,10,1,3,5,1,8,2,4,13,4,0,10,2,0,1,15,0,6,4,2,11,0,4,2,1,6,5,0,4,3,3,3,3,2,2,4,4,5,3,5,7,5,1,5,5,20,5,7,0,5,3,6,5,5,6,10,2,4,19,0,2,3,5,4,1,2,15,3,4,1,6,3,0,1
"cell0118",0,2,6,3,2,1,6,9,0,9,7,7,2,1,0,4,2,12,11,6,9,1,2,0,4,3,9,10,6,6,3,3,3,12,8,0,2,9,0,11,29,18,48,22,39,70,45,31,33,18,31,35,13,43,47,26,41,27,76,20,19,33,26,49,30,61,32,30,53,38,18,21,12,30,27,28,24,43,54,68,3,5,1,2,5,2,8,10,2,7,3,3,16,2,3,3,6,13,6,5,21,1,1,1,0,4,6,0,11,8,1,4,1,10,3,7,4,5,0,8,2,0,3,17,1,4,8,1,3,10,3,13,3,10,11,7,0,7,1,0,0,19,2,13,3,3,8,1,1,2,1,3,11,2,8,5,4,0,1,2,2,6,2,2,2,3,11,1,7,7,7,24,3,4,0,2,2,2,0,12,5,8,5,3,17,5,1,1,0,12,0,1,19,6,2,0,11,0,0,2
"cell0119",2,1,1,1,7,0,2,5,2,14,2,6,5,1,0,4,4,16,7,14,7,0,1,0,5,2,12,3,6,5,0,4,4,14,2,1,3,9,0,14,33,21,46,25,37,70,40,38,31,23,26,29,19,44,46,17,30,31,77,18,16,31,43,56,32,49,22,28,39,31,14,39,15,40,21,29,30,26,56,65,0,2,2,3,5,1,5,4,2,5,2,2,12,2,3,2,7,7,4,8,12,0,0,5,0,11,4,0,9,10,1,1,5,9,6,6,3,7,2,4,1,0,4,12,5,5,5,3,5,7,3,10,0,1,12,3,2,7,1,4,2,11,2,5,7,1,6,0,2,0,1,5,7,0,3,0,3,2,4,5,1,3,6,2,1,8,7,1,0,6,6,18,4,8,0,4,1,4,5,1,0,3,3,4,15,2,3,4,5,7,1,2,17,4,6,0,7,0,0,4
"cell0120",3,2,8,3,4,1,3,4,3,10,6,9,3,0,0,5,2,8,5,16,7,4,1,0,2,2,15,5,5,3,1,5,3,23,8,2,4,12,1,8,29,23,62,27,45,57,36,32,41,21,21,21,12,38,40,30,34,27,53,18,15,37,41,40,25,41,23,22,49,29,15,23,14,30,15,39,27,22,49,57,6,1,2,2,2,0,8,6,2,7,4,2,12,3,1,5,4,13,6,9,17,0,0,4,0,10,3,1,14,13,1,1,7,16,3,3,3,7,0,7,0,0,7,13,5,5,6,2,6,4,0,13,2,2,10,4,2,7,1,3,0,19,6,8,3,2,10,1,5,2,0,3,8,5,2,2,3,1,1,3,4,5,5,4,0,2,5,1,5,9,4,20,0,12,0,4,3,6,5,2,3,8,2,7,13,4,3,5,1,7,2,1,19,3,5,0,11,1,0,2
"cell0121",2,1,3,1,3,2,5,3,5,7,7,14,8,0,0,6,2,8,6,11,13,0,1,0,3,1,6,7,3,6,5,5,1,11,3,0,0,10,0,11,30,31,44,28,41,57,42,38,39,24,28,21,18,39,39,30,38,27,53,14,22,37,33,55,25,46,23,23,48,34,17,27,22,32,39,40,34,36,55,63,3,3,0,8,5,2,5,7,2,4,0,1,9,1,2,3,3,15,8,4,15,0,0,3,1,11,2,1,11,5,0,0,3,12,4,3,1,9,0,4,1,0,7,16,5,6,15,2,5,2,0,14,2,4,14,10,2,10,3,0,0,15,2,13,0,1,5,1,4,0,1,4,8,3,5,2,3,5,5,3,6,6,5,4,2,7,5,4,6,7,2,23,4,7,0,1,2,3,1,5,2,10,5,2,21,3,1,3,2,7,0,2,15,2,2,0,7,3,0,2
"cell0122",0,2,3,0,2,0,3,3,6,7,8,8,5,0,1,3,2,6,13,11,11,4,3,0,4,2,8,7,5,1,6,4,3,14,9,0,2,11,0,16,37,27,58,37,33,55,50,50,26,19,31,26,7,55,46,29,39,33,65,15,19,37,31,33,34,41,31,28,53,37,18,30,21,30,30,50,27,35,58,61,1,5,1,1,5,0,9,6,4,5,4,0,19,3,1,5,6,5,2,9,19,2,0,0,0,2,2,2,2,8,0,0,3,10,3,4,3,9,1,1,1,0,3,17,4,8,15,5,6,3,0,9,3,4,14,3,1,9,1,1,0,14,3,13,2,2,10,0,5,1,1,8,5,3,3,2,3,1,1,6,1,9,4,3,2,3,6,13,4,5,4,15,8,7,0,5,2,4,5,6,0,4,5,2,13,3,4,2,2,7,1,1,10,1,2,0,10,0,0,2
"cell0123",2,0,7,1,3,1,10,7,2,10,1,5,5,1,0,4,0,9,8,6,12,1,1,0,2,2,15,6,4,6,4,5,3,12,5,0,3,6,1,7,33,26,60,20,45,63,35,44,39,23,31,28,10,45,47,19,43,39,66,30,23,48,34,56,21,44,25,37,55,27,14,25,16,42,29,41,27,31,48,68,0,2,0,5,3,0,8,8,1,3,4,1,10,0,1,0,3,8,5,8,15,1,0,4,2,15,2,0,11,14,0,0,3,9,2,4,1,5,2,1,0,0,8,13,3,4,10,8,3,3,5,6,1,3,19,5,1,8,1,2,1,12,7,9,5,1,9,0,1,0,2,3,6,2,4,2,2,1,9,5,3,3,6,3,5,3,3,4,4,6,5,28,4,5,0,4,2,7,2,3,4,7,4,3,21,3,2,5,2,4,3,2,13,3,5,0,9,1,0,0
"cell0124",0,1,10,1,2,2,5,9,1,8,3,6,6,2,0,2,1,15,10,14,5,0,1,0,4,6,10,4,4,0,0,3,0,10,6,0,3,7,0,12,40,25,69,16,39,59,27,34,29,21,25,23,9,42,32,21,31,48,63,21,22,38,36,50,36,34,30,36,50,26,17,32,18,25,23,31,34,40,50,45,0,2,2,1,5,2,9,4,4,5,5,0,14,4,3,2,5,11,9,4,13,1,0,3,0,9,2,0,12,7,1,1,2,14,6,6,4,5,1,7,1,0,2,11,4,4,6,1,2,2,2,8,4,8,19,3,3,5,2,3,0,9,5,10,0,0,11,0,1,2,0,6,9,0,9,4,4,1,4,2,5,9,1,1,1,8,6,3,4,11,6,19,6,2,0,2,2,2,5,3,6,8,6,5,8,5,2,5,3,8,1,2,16,3,5,1,13,1,0,3
"cell0125",1,2,4,2,4,0,1,8,5,9,4,10,4,0,0,3,0,13,3,15,8,4,0,0,8,1,8,4,5,5,2,5,5,13,9,1,2,10,0,11,30,24,54,29,40,55,24,42,31,16,28,24,8,41,34,20,40,38,67,27,13,32,36,47,27,43,34,38,49,41,16,24,15,37,22,30,42,25,54,77,2,2,0,2,1,0,7,7,0,1,2,0,16,3,0,3,1,5,6,8,11,1,0,5,3,11,6,1,13,6,1,0,1,17,1,5,1,5,1,4,0,0,10,9,1,6,7,4,6,4,1,13,3,4,12,4,4,3,2,1,1,13,2,8,7,1,5,0,7,0,0,7,6,0,2,5,3,1,6,4,3,4,5,4,4,3,0,7,6,6,4,20,6,11,0,6,3,3,3,2,1,5,2,6,9,6,4,5,4,11,2,2,14,6,1,1,7,2,0,1
"cell0126",1,1,6,2,4,1,6,0,3,9,3,6,8,0,0,3,1,15,11,15,9,0,0,1,6,2,5,5,7,3,7,1,3,17,6,0,1,8,1,15,32,23,48,23,41,44,44,35,32,20,25,23,9,40,36,33,31,33,74,22,23,41,35,59,31,52,29,33,47,28,11,31,22,24,38,35,28,42,66,59,1,5,2,5,8,4,5,6,1,6,4,1,11,2,0,1,6,6,3,9,17,0,0,2,2,12,5,1,7,5,0,2,5,13,8,1,1,5,1,5,0,0,4,11,3,4,9,3,4,2,0,15,4,3,7,1,3,10,0,1,0,17,6,11,14,3,3,0,3,1,0,6,10,2,3,3,4,1,2,8,1,7,5,0,3,2,7,2,4,9,5,23,4,3,0,3,3,1,4,3,2,5,5,6,13,5,3,7,3,3,2,0,14,5,7,0,13,1,0,4
"cell0127",0,1,4,1,5,0,6,6,2,7,6,9,5,1,0,6,2,10,11,13,8,0,0,0,0,1,11,4,2,2,5,3,4,11,12,1,1,12,1,15,23,27,40,23,47,58,27,40,26,28,30,25,12,44,38,29,34,37,66,19,21,32,31,36,23,46,26,29,54,26,18,27,20,21,21,33,29,41,44,61,0,4,1,4,3,2,7,6,1,6,1,1,9,0,3,3,8,8,5,6,10,0,0,5,1,5,6,1,6,8,1,1,3,19,6,5,5,7,0,5,0,0,7,16,1,6,13,0,2,2,4,4,1,2,6,10,0,3,2,4,2,15,5,7,3,1,9,1,2,1,1,6,5,0,2,4,5,0,2,4,3,8,3,1,4,7,4,4,7,7,4,13,2,2,0,2,3,4,3,1,2,5,2,4,13,2,4,3,5,9,0,0,11,8,6,0,10,2,1,3
"cell0128",2,1,3,3,2,0,3,6,3,12,4,5,8,0,0,9,0,6,9,8,6,0,3,0,8,3,19,8,3,5,3,4,6,19,7,2,2,6,1,10,46,22,49,24,43,50,41,50,30,25,22,25,13,41,33,22,38,32,62,24,18,27,43,40,18,46,20,28,46,38,15,26,23,23,30,26,36,36,48,67,2,3,1,2,7,1,7,7,0,2,2,1,14,3,1,0,7,4,3,3,14,1,0,2,0,9,4,2,19,8,2,0,2,13,4,1,0,7,1,2,1,1,6,13,2,6,6,2,5,3,1,10,5,2,13,2,3,2,0,1,1,20,0,6,2,1,8,0,7,5,0,11,6,1,3,0,1,1,1,3,1,5,5,2,2,5,4,6,2,5,5,20,5,3,0,4,4,1,3,3,1,8,3,1,14,6,3,6,2,6,2,2,12,1,2,1,6,1,0,3
"cell0129",2,2,6,5,2,0,1,6,2,12,4,8,8,2,0,2,0,14,9,9,5,2,0,0,0,1,8,3,5,3,4,6,2,14,9,1,2,6,1,5,32,24,44,21,50,60,30,47,32,8,28,27,13,49,35,25,33,41,50,24,17,31,37,40,16,41,25,43,41,42,11,33,20,27,21,21,24,31,62,50,1,2,0,7,3,3,6,5,0,3,2,0,11,3,2,2,3,4,8,10,17,1,0,7,0,9,7,0,9,13,2,0,9,8,4,5,4,7,1,5,2,0,8,7,2,1,8,5,3,3,1,9,5,1,6,1,2,6,0,2,1,14,1,5,7,0,8,0,4,0,0,3,6,1,5,1,4,4,2,7,5,5,8,4,1,2,3,4,4,8,3,16,5,4,0,4,1,3,5,4,3,7,4,4,10,3,3,8,4,3,3,5,15,4,4,1,16,3,0,1
"cell0130",1,0,7,1,2,2,3,4,5,11,9,10,6,1,0,3,0,7,9,9,6,1,4,0,2,3,9,2,3,4,6,4,1,19,5,0,5,6,0,10,37,24,67,32,46,62,32,46,35,17,24,44,24,46,48,26,41,34,73,25,20,32,54,48,29,38,29,37,58,28,16,26,10,32,33,32,36,27,55,53,2,3,4,1,6,2,9,5,1,8,0,1,6,0,3,3,3,4,5,9,14,0,0,1,0,11,6,2,7,11,1,0,1,6,6,2,4,8,1,1,2,1,7,9,5,4,13,1,4,5,0,7,4,1,13,10,2,5,1,1,1,14,4,9,5,2,14,0,2,2,0,8,7,1,8,4,4,1,2,4,3,5,5,4,2,0,7,4,3,7,6,28,1,9,0,3,1,0,0,3,3,8,5,4,15,3,3,2,0,7,1,3,13,4,3,1,7,2,0,1
