,TF00,TF01,TF02,TF03,TF04,TF05,TF06,TF07,TF08,TF09,TF10,TF11,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079,GENE080,GENE081,GENE082,GENE083,GENE084,GENE085,GENE086,GENE087,GENE088,GENE089,GENE090,GENE091,GENE092,GENE093,GENE094,GENE095,GENE096,GENE097,GENE098,GENE099,GENE100,GENE101,GENE102,GENE103,GENE104,GENE105,GENE106,GENE107
CELL0222,14,1,1,0,0,2,11,1,16,6,0,5,1,2,0,4,0,7,3,7,2,8,5,7,3,12,8,4,0,4,3,4,2,6,5,4,2,1,56,3,1,1,5,1,3,28,49,1,1,6,11,4,0,3,15,1,3,1,7,7,1,3,81,0,7,17,6,1,0,2,1,6,0,11,3,6,0,0,10,2,2,6,8,2,4,1,5,2,11,2,3,24,30,2,0,0,11,3,2,2,9,5,10,5,1,2,5,3,2,77,3,17,68,10,1,13,3,1,7,4
CELL0223,15,2,0,5,4,7,3,80,6,1,11,1,0,1,3,9,0,5,3,1,0,4,9,2,1,7,7,4,2,0,7,6,3,0,1,4,7,4,90,3,1,2,3,4,1,13,59,4,3,5,8,10,1,1,6,0,2,1,0,3,0,1,23,1,10,8,1,0,1,0,0,2,0,18,9,4,1,5,0,6,0,3,0,9,7,19,0,9,5,29,1,13,19,0,0,0,13,0,1,2,8,0,11,31,3,3,3,3,9,16,2,10,23,6,0,9,3,5,57,1
CELL0224,3,0,9,5,1,4,4,4,2,1,5,1,0,3,6,1,3,9,2,3,1,1,5,4,3,3,0,0,0,2,0,5,1,2,1,4,3,8,3,3,4,2,0,1,3,2,0,2,1,3,21,2,2,1,3,2,19,3,7,3,3,1,14,1,4,3,0,1,4,0,1,2,0,7,1,1,4,0,2,2,3,6,1,1,2,1,4,1,3,6,0,4,6,7,2,0,8,1,0,2,6,33,4,2,0,2,1,4,7,2,3,6,7,7,4,7,4,4,0,3
CELL0225,2,0,1,1,0,0,1,0,6,5,1,1,0,3,1,3,2,3,4,2,1,1,6,1,1,0,4,1,1,0,2,10,1,1,0,1,4,2,11,1,0,2,1,7,0,7,3,2,4,0,10,5,7,0,1,0,6,2,2,0,0,6,1,13,4,1,4,2,0,1,2,0,0,0,11,2,8,0,3,4,1,7,1,0,0,1,9,1,2,2,0,4,16,2,3,0,2,5,2,0,5,32,2,11,0,0,0,0,2,2,8,6,35,3,14,1,0,4,0,1
CELL0226,14,19,1,3,0,7,7,0,0,3,0,4,12,2,3,4,0,4,2,11,0,2,3,8,6,4,9,2,2,8,1,0,7,2,2,2,0,1,0,5,9,3,1,6,2,5,0,2,3,3,9,1,426,1,1,1,25,2,0,5,4,0,0,0,4,0,0,4,14,3,0,19,3,11,1,4,13,8,0,1,0,7,8,8,4,2,0,2,10,78,1,18,1,7,13,22,16,1,4,0,6,2,44,52,7,0,2,3,9,0,5,19,0,4,43,6,3,3,2,1
CELL0227,3,1,8,2,3,12,5,3,0,1,6,2,6,0,1,0,0,10,1,4,1,2,17,1,1,4,17,2,6,6,2,2,5,0,0,12,0,2,8,3,2,8,5,2,3,6,1,3,2,4,16,10,403,3,0,2,44,4,3,17,2,4,0,11,2,2,9,3,14,1,4,2,3,1,2,0,75,0,4,10,3,3,1,8,3,0,2,7,3,11,6,11,1,2,8,1,4,1,3,1,16,218,6,3,2,3,1,11,1,1,9,16,8,8,44,4,1,8,1,7
CELL0228,8,6,9,1,0,3,9,0,1,0,3,1,24,0,3,4,0,3,2,0,2,3,3,1,0,3,4,0,10,7,3,0,2,0,0,1,0,3,0,4,218,0,3,2,1,2,0,3,2,3,13,11,295,2,1,0,287,0,4,39,177,1,3,3,5,1,0,0,25,0,0,6,2,8,0,2,13,3,1,2,0,5,1,6,1,0,1,1,1,13,3,6,0,255,72,20,3,0,0,8,3,170,2,8,1,1,0,7,6,0,2,4,0,7,288,3,1,2,0,0
CELL0229,1,0,0,5,0,0,1,38,4,0,5,4,0,2,3,4,3,14,6,0,0,2,0,0,3,2,0,3,0,2,0,5,0,0,1,5,11,1,396,3,0,2,1,6,1,56,307,5,2,5,2,4,0,3,21,1,0,4,0,7,0,1,181,1,2,1,1,1,0,0,1,3,0,19,19,6,0,0,2,3,1,9,0,2,0,31,0,2,2,11,1,14,24,0,0,0,2,1,2,5,1,0,4,10,2,0,2,5,3,389,1,17,63,7,0,8,1,3,259,5
CELL0230,5,0,2,2,0,7,53,1,2,3,22,0,9,1,0,3,0,2,0,3,0,0,5,2,1,1,1,1,1,5,3,1,2,1,0,6,0,1,1,2,21,0,0,3,1,3,1,4,0,7,35,3,325,2,0,0,231,1,11,82,26,0,3,20,1,5,0,1,9,8,0,5,4,3,0,3,66,1,7,1,0,4,1,0,1,0,2,2,1,1,1,13,2,40,10,3,3,3,2,5,2,281,4,5,1,9,5,1,7,0,4,3,1,9,189,16,2,12,0,2
CELL0231,2,5,0,10,2,5,1,17,0,0,1,7,8,0,5,6,0,0,2,5,1,4,3,1,0,5,8,7,0,5,5,3,2,1,4,3,0,9,5,2,22,2,12,5,0,22,2,5,3,2,21,1,2,4,3,1,12,1,4,25,6,3,19,3,5,5,0,6,3,2,0,4,1,37,2,6,3,1,2,3,0,6,4,2,1,2,2,6,3,9,6,6,3,9,0,3,1,5,1,7,6,9,21,10,6,0,5,4,5,3,4,26,10,9,2,20,3,5,11,6
CELL0232,8,2,3,12,0,3,0,1,1,5,4,1,0,0,0,3,3,6,4,2,2,8,1,1,2,2,2,2,4,10,2,9,0,4,0,2,8,2,3,3,1,3,1,0,2,3,0,9,1,8,14,13,7,4,1,2,13,0,4,0,0,1,1,4,2,1,4,2,0,0,1,0,0,0,5,4,18,1,1,1,0,3,4,0,1,0,0,3,7,1,0,3,47,2,9,1,5,2,1,0,0,23,0,2,1,4,1,3,0,1,0,1,11,1,15,1,1,2,1,1
CELL0233,6,2,9,12,0,19,1,8,3,0,5,12,0,2,4,8,1,3,2,1,6,4,6,1,0,1,1,0,3,4,4,3,1,1,2,5,2,6,9,2,4,2,0,2,2,1,9,6,2,5,85,4,1,2,1,0,92,1,0,3,2,9,9,8,2,1,9,2,1,1,6,1,0,7,12,2,15,1,31,1,3,2,3,5,3,0,12,2,3,1,3,3,55,0,1,0,9,4,1,0,2,355,4,1,0,2,0,3,0,7,2,7,21,0,1,0,3,2,1,5
CELL0234,6,0,0,3,7,0,0,96,2,0,0,0,1,1,2,10,1,1,2,0,0,5,3,4,1,3,19,1,0,3,2,3,0,1,2,5,0,5,199,1,0,4,1,4,1,24,295,4,5,1,2,7,0,0,23,1,0,0,5,2,0,0,7,0,3,0,1,2,0,0,1,8,0,16,47,0,0,5,1,0,1,5,1,3,3,135,0,2,3,27,3,18,17,0,0,1,2,1,0,4,0,0,14,47,4,2,0,7,2,339,8,36,103,3,0,10,2,3,302,1
CELL0235,14,5,37,2,1,2,2,3,5,5,3,5,5,0,3,6,0,6,1,0,1,5,5,4,1,2,0,2,6,1,2,8,0,1,1,8,0,9,0,2,0,1,6,1,2,0,0,2,2,1,3,5,390,2,0,2,74,2,1,3,7,1,0,44,1,1,0,6,8,2,1,4,13,0,1,3,243,4,3,6,1,2,6,0,3,1,2,2,3,3,1,10,3,4,122,0,2,1,5,1,5,391,2,3,0,2,1,1,2,0,0,2,4,4,153,3,0,2,1,0
CELL0236,8,0,0,19,0,3,4,12,8,11,82,13,0,1,2,2,30,12,2,0,6,8,3,6,1,9,0,1,0,7,3,11,0,4,1,3,95,1,42,4,1,2,1,2,2,12,42,5,1,3,100,4,0,1,4,9,17,1,6,2,0,26,45,2,9,17,8,7,0,3,19,0,0,6,24,4,21,0,33,1,2,2,4,0,1,0,12,2,5,0,4,0,507,0,0,0,7,2,2,3,9,100,0,2,3,2,0,6,6,34,3,16,147,5,2,1,1,6,0,5
CELL0237,3,6,7,23,0,5,15,1,0,5,3,0,6,2,6,11,0,7,3,0,0,11,4,2,2,1,4,11,5,16,3,6,3,6,0,3,1,0,4,2,13,4,2,4,3,7,1,4,1,2,4,7,656,7,1,0,8,5,10,2,6,3,1,12,3,0,8,8,5,0,2,1,9,1,4,5,33,6,2,1,0,4,6,6,1,4,3,6,8,11,0,2,6,3,44,1,5,2,1,3,9,24,6,18,1,5,2,1,4,1,7,7,9,9,51,1,0,6,0,2
CELL0238,8,17,5,1,0,3,1,1,1,1,6,13,6,0,3,4,1,3,5,2,4,0,8,9,0,5,3,3,4,8,3,5,1,4,3,6,0,3,1,1,6,5,1,3,2,3,1,9,4,5,32,1,113,3,5,1,83,6,2,31,11,12,10,14,8,2,4,0,23,4,0,3,3,1,0,6,4,1,4,1,0,10,3,7,10,1,1,1,9,13,0,13,1,9,28,3,2,1,1,7,13,10,7,16,3,1,1,11,13,0,11,11,2,5,49,1,2,12,5,0
CELL0239,0,5,24,25,0,1,0,0,1,26,13,8,0,1,4,2,102,3,0,1,2,5,7,2,1,4,0,1,2,3,1,20,1,0,2,5,260,5,32,0,0,1,2,5,18,4,0,0,0,0,344,7,6,2,0,17,189,0,0,1,0,16,0,20,5,0,45,2,0,1,85,0,1,2,14,0,354,0,29,2,0,1,5,0,0,0,151,0,2,0,0,0,309,0,42,0,0,7,1,0,5,328,0,0,1,1,0,2,8,0,3,5,58,6,87,0,1,2,0,1
CELL0240,3,4,0,7,1,1,5,3,2,2,3,5,2,0,5,2,0,2,2,2,0,2,0,1,1,1,0,1,0,2,4,4,0,2,1,2,5,9,6,2,2,3,1,3,3,3,7,4,0,8,35,2,0,3,4,2,1,5,2,2,2,1,75,0,1,4,3,4,1,0,0,2,0,8,0,1,2,0,8,0,0,4,3,6,3,5,3,3,3,5,0,7,4,2,0,1,5,3,0,3,1,1,3,2,1,1,2,2,0,1,2,5,16,5,0,7,2,3,3,3
CELL0241,2,4,5,26,0,0,5,4,16,6,13,14,5,1,5,3,4,10,5,2,0,10,2,6,6,13,7,2,0,6,3,14,1,2,2,8,14,9,6,2,2,8,5,5,8,7,4,9,1,6,127,4,2,3,3,3,121,2,7,1,1,28,8,3,2,4,5,4,4,2,1,0,0,1,11,3,74,0,37,4,0,14,2,1,2,0,41,6,6,1,4,2,88,2,6,0,6,6,6,3,8,733,2,1,4,7,2,7,10,1,8,2,21,9,36,3,4,3,0,1
CELL0242,2,2,4,29,0,0,0,0,2,5,3,0,2,0,1,0,2,4,2,0,1,4,1,2,2,3,0,0,2,2,0,1,0,0,1,2,16,1,2,0,0,1,2,0,2,3,1,3,1,4,33,4,3,2,0,2,107,0,2,3,0,3,0,3,4,2,37,1,2,3,6,1,1,0,1,4,18,0,10,2,2,7,1,0,2,0,2,3,2,3,0,0,64,2,5,0,1,0,1,4,7,328,0,4,0,0,0,6,4,4,4,2,7,0,15,0,3,3,0,1
CELL0243,18,2,0,1,8,18,16,13,2,3,21,6,11,0,6,8,0,9,2,6,6,2,7,11,5,4,18,3,1,4,2,1,5,10,2,6,0,4,6,3,41,2,3,1,1,4,1,21,2,6,3,6,12,1,19,0,0,0,6,19,50,0,45,1,13,10,2,7,6,3,0,14,0,11,0,8,0,6,4,3,4,3,2,4,6,11,0,4,5,90,2,38,1,53,0,46,11,5,2,9,5,1,17,62,1,1,39,5,3,1,2,5,8,24,0,19,1,15,342,6
CELL0244,10,1,0,2,0,1,7,35,3,3,40,2,0,3,3,8,1,14,2,2,1,6,15,6,7,4,5,2,1,3,5,1,5,2,0,8,8,9,49,3,2,3,1,2,1,34,57,6,4,6,152,4,0,3,9,4,2,1,2,4,3,26,500,2,6,18,8,6,0,0,9,0,0,9,2,3,0,0,24,3,0,2,5,3,6,6,20,8,4,0,0,3,129,4,0,1,15,3,3,3,2,12,6,1,5,3,3,2,5,27,13,21,28,7,1,12,2,3,6,1
CELL0245,11,0,11,10,1,8,1,20,11,7,58,7,1,2,0,2,81,5,2,0,1,5,3,4,4,1,0,2,2,3,3,17,0,4,4,10,156,1,71,1,1,4,3,4,15,4,14,5,1,3,83,6,0,8,0,27,147,4,3,5,0,71,3,17,3,14,14,1,0,2,11,1,0,0,83,4,46,0,68,3,1,1,6,0,1,0,122,2,3,0,1,0,222,0,0,0,7,1,0,6,4,528,0,0,2,2,0,1,6,24,7,7,27,1,5,3,1,2,0,9
CELL0246,2,0,7,4,0,0,20,3,8,2,2,1,10,2,0,4,0,5,8,5,1,2,7,4,0,6,4,2,1,11,5,3,0,3,2,3,3,2,3,5,3,2,2,3,3,5,0,12,5,4,14,5,48,6,2,0,36,1,2,30,10,8,9,4,3,0,0,5,21,0,1,0,2,1,0,3,8,4,5,6,3,4,4,2,1,0,1,3,9,8,7,15,1,8,5,2,8,0,0,4,8,15,5,5,0,2,2,5,5,1,6,5,6,1,25,5,5,9,2,4
CELL0247,2,6,1,5,0,2,21,5,1,3,0,1,10,2,1,3,0,11,3,5,0,2,0,7,3,3,1,1,2,10,1,2,0,5,2,7,0,3,0,5,12,2,2,1,0,0,0,0,4,11,12,1,44,5,1,1,25,1,1,10,7,1,1,6,5,2,4,10,4,5,1,7,1,2,0,9,20,0,5,2,2,3,2,3,2,0,0,3,2,9,1,5,1,6,21,2,11,7,0,0,3,30,1,3,4,2,1,6,4,1,2,3,1,0,56,0,0,2,0,1
CELL0248,1,2,1,3,0,1,1,17,2,8,5,6,0,1,0,0,57,1,1,1,2,2,2,2,5,2,1,6,0,5,2,11,2,1,2,4,286,6,164,3,0,3,3,0,1,7,187,9,2,10,10,4,0,2,2,4,0,1,3,0,0,13,12,0,2,0,5,0,0,1,3,1,0,2,55,2,3,0,15,3,1,5,3,1,0,12,8,3,6,4,1,3,386,0,0,0,1,1,2,5,4,5,0,2,0,2,0,1,3,138,1,6,134,3,0,3,0,2,11,3
CELL0249,12,2,17,23,1,2,2,4,2,4,9,8,1,2,4,2,19,5,4,1,1,4,3,3,2,3,2,4,2,7,6,22,4,2,2,9,21,4,17,3,1,3,3,5,18,15,2,7,0,21,28,8,1,8,5,12,26,1,6,2,2,28,0,14,4,2,2,3,1,6,0,2,0,4,16,1,82,1,15,3,0,13,5,3,2,1,12,7,8,1,6,1,39,2,2,0,7,5,5,6,4,320,3,2,0,1,0,7,7,45,5,14,19,5,5,0,0,8,6,4
CELL0250,3,2,5,1,0,1,1,1,0,1,2,0,4,1,1,4,0,0,0,1,0,4,3,7,0,5,2,0,0,3,1,4,2,3,1,5,0,0,0,1,20,2,1,2,2,0,0,6,0,1,10,1,286,0,2,2,14,1,2,8,13,1,1,6,2,3,1,1,10,3,0,2,3,1,0,7,58,1,0,0,1,1,2,1,1,1,1,0,2,3,3,6,0,15,6,3,5,2,0,3,1,103,12,24,0,0,4,2,5,0,6,4,1,4,15,0,1,2,1,2
CELL0251,8,0,3,2,4,14,11,3,1,0,2,2,10,2,0,5,0,3,2,5,6,7,3,2,2,2,8,7,1,7,4,6,2,2,2,8,0,1,1,1,28,0,1,4,3,5,0,5,2,12,2,5,114,1,1,1,14,0,3,10,31,1,1,10,2,2,1,2,11,4,2,16,4,5,0,7,21,9,0,1,1,9,5,2,1,1,2,4,2,16,3,44,0,30,1,11,5,8,3,3,9,20,15,43,1,0,5,5,5,0,7,2,1,8,10,4,2,3,10,0
CELL0252,3,2,5,2,1,5,26,0,4,1,6,2,34,2,2,2,0,10,6,8,3,4,9,13,5,1,3,3,1,22,2,5,6,4,3,8,0,6,0,4,59,5,2,14,0,6,0,6,3,4,84,6,670,5,1,0,478,6,0,16,95,1,0,23,11,1,1,3,26,8,1,10,4,1,0,17,164,0,1,7,0,12,7,11,4,0,5,5,6,8,0,7,1,47,28,5,7,6,0,2,13,509,41,22,2,4,8,6,5,0,4,1,0,9,347,5,4,5,4,0
CELL0253,1,2,1,7,1,2,3,0,6,4,27,3,0,3,1,3,1,5,1,4,2,2,0,1,0,0,0,0,0,2,0,7,1,0,1,1,5,1,5,4,2,1,0,3,1,13,5,0,5,6,31,6,0,1,1,4,29,1,1,0,1,7,2,9,5,7,4,4,1,2,3,0,0,1,7,2,4,0,8,1,0,1,4,0,2,0,15,1,7,2,1,8,83,1,1,0,4,2,2,0,4,200,2,2,0,5,0,1,4,6,5,6,30,5,5,2,1,9,0,0
CELL0254,9,0,1,27,1,12,5,5,5,4,1,1,8,1,4,2,0,15,6,4,3,5,8,8,0,5,1,0,4,12,5,3,4,2,0,3,0,8,0,3,4,4,3,6,8,6,1,1,1,7,22,4,23,2,2,2,29,2,0,1,17,3,1,9,2,2,18,3,5,2,5,4,1,1,1,4,160,0,1,6,2,3,2,1,3,1,6,8,8,6,3,5,8,11,16,1,6,2,3,3,3,507,6,4,1,6,3,13,7,1,0,4,2,3,9,2,9,2,0,0
CELL0255,2,0,1,18,0,1,5,27,7,3,2,5,1,0,1,10,0,7,8,2,3,4,4,3,7,7,3,3,0,18,12,1,2,3,7,4,0,8,31,1,2,1,5,2,1,22,41,16,3,3,22,4,0,3,11,0,26,2,10,4,4,2,69,2,9,11,3,9,3,1,1,7,0,22,1,4,0,0,5,6,0,5,1,8,1,3,2,7,3,15,6,26,36,2,0,1,3,4,1,1,9,4,6,18,4,4,12,3,5,3,8,24,8,8,4,37,2,6,4,2
CELL0256,0,6,21,7,0,13,3,1,11,5,8,19,2,0,3,4,2,9,4,1,4,11,9,5,4,15,1,2,3,3,3,29,4,3,3,1,4,3,1,1,5,2,3,7,11,1,0,9,1,10,148,4,8,2,1,4,500,0,4,5,5,13,0,34,13,2,18,10,4,2,8,5,0,3,1,4,504,0,31,1,1,5,3,3,5,1,22,1,10,0,1,7,14,8,51,0,4,2,3,6,4,721,3,1,0,3,1,7,12,1,1,3,8,8,65,1,2,11,0,8
CELL0257,5,1,0,0,2,0,13,11,4,0,4,9,0,0,2,2,0,2,0,3,0,3,5,1,2,3,3,2,0,5,2,1,1,1,0,1,0,3,2,0,2,2,0,1,0,7,8,1,0,3,0,1,0,1,3,0,2,1,1,1,0,0,13,1,2,2,0,0,0,2,0,4,0,5,2,1,0,0,0,1,1,3,0,3,0,2,0,3,0,14,1,12,3,0,0,3,0,1,0,2,1,0,13,5,1,3,0,1,5,10,3,3,5,2,1,1,0,1,14,0
CELL0258,13,1,1,17,0,1,2,9,0,0,0,1,1,2,2,5,2,1,4,3,4,2,10,11,1,5,9,1,1,8,2,30,6,2,4,0,10,3,44,3,3,5,3,5,2,8,7,11,2,4,4,3,1,6,6,0,14,5,8,15,0,1,3,5,8,2,8,5,5,2,0,7,0,9,30,9,8,1,11,1,3,7,3,6,5,5,2,3,6,4,5,12,15,0,0,0,3,5,3,3,5,4,7,10,3,1,0,4,8,102,11,7,16,3,1,0,2,3,7,2
CELL0259,2,7,4,12,0,2,1,24,0,5,0,7,0,3,1,5,1,13,5,5,0,9,2,4,3,1,3,1,2,3,3,5,0,2,2,6,2,1,14,0,0,5,3,4,2,5,16,3,2,2,5,5,1,0,4,0,2,1,2,4,2,3,6,2,4,6,0,5,0,1,1,6,0,1,4,1,6,1,6,3,0,3,2,10,2,3,3,7,3,6,2,14,32,2,0,1,0,0,5,0,1,0,7,15,2,4,1,2,3,20,2,7,28,2,0,2,8,9,9,4
CELL0260,6,10,1,6,0,7,7,2,4,12,9,16,4,1,7,3,1,5,6,0,4,9,3,9,1,4,3,0,0,4,1,6,2,9,0,5,2,5,3,5,6,3,3,1,6,6,2,2,4,1,19,3,2,5,2,0,10,11,3,3,2,3,27,2,12,10,3,4,3,3,0,1,1,7,2,5,5,0,15,4,0,9,5,6,1,0,1,2,0,5,5,7,0,5,1,6,2,3,1,4,1,22,23,3,1,3,3,10,6,2,7,14,16,4,2,1,3,6,4,1
CELL0261,18,0,3,3,2,5,2,51,0,1,11,3,1,1,2,2,2,7,4,2,1,5,3,7,2,4,3,1,0,4,5,1,4,3,3,13,6,8,46,5,0,4,3,2,1,11,149,12,2,5,7,0,0,2,7,0,2,0,9,0,0,2,62,0,4,10,2,0,1,2,2,1,1,7,10,6,1,0,10,2,0,4,3,4,1,3,5,3,9,4,4,17,84,2,0,2,6,1,0,3,5,0,9,3,2,4,2,7,2,152,5,28,69,3,0,5,1,2,96,3
CELL0262,19,6,1,11,2,2,42,4,1,0,0,2,7,0,5,1,0,3,4,5,1,1,8,7,0,3,7,1,3,5,1,3,1,2,0,3,0,7,0,0,64,4,2,1,0,0,0,4,0,8,0,6,304,6,8,0,3,0,7,0,40,0,1,3,4,0,0,2,11,1,0,56,6,15,0,5,2,175,0,1,1,0,3,4,1,6,0,3,4,294,6,38,0,69,4,431,3,3,1,3,2,0,96,409,0,2,7,1,3,0,1,2,2,0,1,11,1,2,93,1
CELL0263,11,0,8,2,2,16,4,5,7,12,5,4,4,6,2,7,4,4,3,5,0,3,7,5,1,20,6,8,1,4,2,4,1,6,3,2,12,2,18,7,0,6,9,4,2,5,0,3,5,13,17,2,6,7,3,4,48,0,4,4,2,7,5,9,1,10,2,8,1,1,1,6,6,12,10,10,20,1,5,1,2,4,4,5,2,1,1,2,3,17,3,16,9,1,9,0,5,2,5,1,5,36,3,27,0,5,1,5,5,2,13,25,11,27,9,5,1,4,5,6
CELL0264,1,0,5,27,15,2,2,2,5,18,9,3,0,2,1,3,225,4,2,0,1,4,3,5,4,5,0,2,0,4,3,11,0,2,1,7,54,3,179,1,0,5,0,4,4,3,131,3,3,9,1,1,0,3,1,17,0,4,5,0,0,0,0,13,4,1,13,8,0,1,6,7,2,0,226,3,44,0,10,3,15,2,5,0,1,21,3,1,6,3,1,0,49,0,1,0,5,3,2,1,3,1,1,10,2,2,0,1,4,44,3,3,360,2,0,1,2,7,3,0
CELL0265,4,5,7,45,1,7,3,2,34,7,9,2,1,2,2,8,15,11,5,2,4,20,15,6,4,12,1,0,4,4,3,22,1,3,4,13,99,2,11,1,3,1,6,3,5,2,1,8,8,7,37,8,65,1,0,2,8,4,1,2,0,6,0,43,8,4,19,8,0,1,47,1,4,2,42,5,630,1,3,3,4,9,6,0,1,5,13,4,9,3,6,14,31,0,20,0,12,3,4,5,8,695,6,5,1,2,0,5,1,19,6,3,22,3,31,1,1,5,2,3
CELL0266,8,6,0,5,3,1,24,17,3,7,2,5,0,3,7,9,0,5,1,3,7,14,3,13,0,0,14,6,3,4,3,6,3,7,0,1,4,3,3,3,3,0,2,8,3,6,2,8,4,4,1,6,7,3,8,0,2,5,0,4,3,0,19,1,5,0,1,4,3,1,0,7,1,15,2,7,0,3,0,2,0,2,4,7,3,2,1,1,42,26,7,8,5,4,0,10,3,1,3,1,3,0,5,28,0,4,4,1,2,12,9,9,10,6,1,3,1,10,69,6
CELL0267,2,0,9,8,0,8,1,1,2,3,6,1,1,2,1,3,2,2,1,1,2,3,0,0,2,3,0,0,2,4,3,4,2,0,0,2,9,0,0,3,2,1,1,2,3,1,2,1,1,1,97,8,24,3,0,7,287,0,2,1,8,4,0,12,1,5,8,3,3,0,7,1,1,4,0,2,114,0,5,3,0,4,2,0,1,0,7,0,1,2,0,0,21,4,116,0,3,0,0,3,0,311,3,2,1,3,0,2,1,0,1,1,1,2,156,0,1,4,0,1
CELL0268,2,1,14,65,0,1,7,9,8,11,15,4,0,3,5,6,478,8,3,1,2,4,6,9,4,4,0,0,1,5,4,78,2,3,1,2,481,2,358,7,0,2,11,4,63,8,37,2,1,2,96,4,0,3,1,35,18,2,8,0,0,104,3,22,2,4,44,1,0,3,62,0,0,0,356,0,175,0,111,3,2,2,2,0,4,1,197,2,1,0,2,0,528,0,3,0,4,2,1,0,8,461,0,0,2,3,0,6,3,113,8,9,424,11,17,1,5,7,0,0
CELL0269,7,3,1,7,0,3,2,4,3,7,20,22,1,0,1,2,1,2,2,2,3,7,8,1,4,10,3,3,0,8,5,10,3,3,6,6,0,5,5,0,2,2,8,4,1,9,5,3,1,4,64,9,2,2,2,3,35,0,8,0,0,4,32,9,11,9,3,4,3,4,1,6,1,10,9,3,17,0,5,3,4,6,2,3,3,0,3,8,3,3,7,3,9,1,2,1,4,4,1,2,2,142,11,12,2,9,1,7,10,9,5,12,35,14,3,2,4,9,1,7
CELL0270,2,12,56,22,0,5,2,0,9,4,7,0,3,0,1,2,5,8,0,1,0,6,1,5,1,8,0,0,10,4,2,10,2,2,2,2,8,1,0,1,0,0,3,5,7,2,0,3,0,1,68,4,331,2,0,9,295,0,2,0,1,41,0,183,3,0,11,1,0,2,14,1,7,1,2,1,293,0,119,7,0,1,5,1,0,0,56,2,2,0,1,0,31,3,299,0,5,1,0,1,2,315,0,1,1,0,0,2,1,0,8,3,2,6,322,0,0,4,0,0
CELL0271,2,1,1,29,1,2,2,3,5,0,6,5,2,3,2,2,5,1,5,1,3,2,4,3,4,5,0,2,4,13,1,8,2,0,0,1,5,2,4,1,5,4,4,4,7,7,1,1,2,3,4,7,28,3,0,1,10,2,4,4,0,6,1,18,5,0,8,3,0,5,11,1,2,1,1,4,148,2,12,1,3,3,4,0,1,0,2,2,6,4,1,6,12,1,3,0,1,2,0,3,3,156,0,5,0,1,0,3,2,4,3,20,15,8,21,0,1,2,0,1
CELL0272,0,0,3,2,0,1,1,0,4,3,1,5,0,0,2,6,5,0,1,0,4,1,0,2,3,0,4,2,0,1,0,2,1,1,0,2,15,0,7,2,0,1,0,1,1,0,1,2,5,2,5,3,6,1,0,3,12,1,6,3,2,4,0,4,2,1,2,1,0,0,4,1,1,0,14,1,50,0,12,1,0,2,0,0,1,0,11,2,3,0,1,1,36,0,3,0,1,0,0,5,2,30,1,3,0,0,0,1,1,3,2,0,14,2,13,0,0,0,0,1
CELL0273,0,1,2,9,0,2,3,8,3,7,6,1,1,1,3,3,0,1,5,1,0,5,7,4,4,5,1,2,2,3,5,7,0,0,0,0,9,3,1,2,2,3,1,1,1,2,14,0,1,2,20,9,0,1,3,0,5,1,1,1,3,2,10,3,3,3,3,1,1,1,3,2,0,15,6,4,4,0,5,0,2,0,7,1,2,0,12,6,3,3,2,6,9,2,0,2,2,1,0,0,3,45,1,3,0,0,0,1,2,3,5,2,15,7,0,0,1,2,2,3
CELL0274,4,4,0,0,2,7,10,10,0,0,0,2,3,1,2,1,0,7,2,9,2,1,9,5,2,1,6,1,2,0,1,1,3,1,1,2,0,3,0,1,56,2,5,2,0,3,4,2,1,0,1,1,30,2,4,0,1,1,2,15,57,0,32,0,8,5,1,4,11,1,0,13,1,12,0,9,0,4,0,3,0,2,2,4,0,1,0,1,3,44,1,31,1,67,0,68,7,0,0,1,2,0,40,29,1,1,16,2,3,0,4,4,1,2,1,13,1,3,19,0
CELL0275,8,2,0,0,2,0,3,5,0,4,0,3,2,0,3,3,0,4,1,2,3,2,5,3,2,4,7,1,2,1,2,1,0,1,1,3,0,4,3,1,9,5,2,1,0,22,6,2,0,5,2,1,6,2,2,0,1,3,6,5,9,1,66,1,2,3,0,2,3,0,0,2,0,14,0,1,0,0,0,4,0,5,0,3,0,7,0,0,7,18,1,12,1,6,0,6,3,0,1,3,2,0,47,14,1,0,9,0,3,1,5,26,6,5,1,34,1,1,21,3
