# synthetic, for demo only -- module 563 CONCORD
,batch,cell_type,true_time
C00627,batch1,Intermediate,0.3556370863817859
C00628,batch3,Mature,0.915118614889683
C00629,batch1,Mature,0.7515396876083913
C00630,batch1,Progenitor,0.2737311702333963
C00631,batch3,Mature,0.938026319637804
C00632,batch2,Progenitor,0.02523275610463449
C00633,batch1,Progenitor,0.18482401447839825
C00634,batch3,Progenitor,0.241902971147135
C00635,batch2,Mature,0.7320800833698843
C00636,batch2,Intermediate,0.5261680305016215
C00637,batch3,Intermediate,0.4643754078940663
C00638,batch2,Progenitor,0.2225333387721835
C00639,batch2,Mature,0.7564671103596112
C00640,batch1,Progenitor,0.11710640805159289
C00641,batch2,Progenitor,0.24734122040485584
C00642,batch1,Mature,0.8063603195749761
C00643,batch3,Intermediate,0.451047464466092
C00644,batch3,Mature,0.8768177365996089
C00645,batch1,Intermediate,0.601664104232256
C00646,batch3,Mature,0.789544646958382
C00647,batch3,Progenitor,0.18740327292912107
C00648,batch3,Progenitor,0.31622186767646676
C00649,batch3,Intermediate,0.3767060518006826
C00650,batch2,Intermediate,0.4941992058820347
C00651,batch3,Intermediate,0.4724670244775304
C00652,batch1,Mature,0.8224661575824719
C00653,batch1,Progenitor,0.1731905319120426
C00654,batch3,Mature,0.8514859146296521
C00655,batch2,Mature,0.8890462941434096
C00656,batch1,Progenitor,0.07551903556109762
C00657,batch2,Progenitor,0.009390369621182337
C00658,batch1,Progenitor,0.29275297281953516
C00659,batch1,Intermediate,0.4007447677615643
C00660,batch2,Mature,0.9704494067485071
C00661,batch1,Progenitor,0.07140859705348279
C00662,batch2,Mature,0.7813052652283013
C00663,batch1,Intermediate,0.47542495358772874
C00664,batch3,Progenitor,0.12987352477313463
C00665,batch1,Intermediate,0.36608030867065855
C00666,batch2,Intermediate,0.3809014070809107
C00667,batch2,Progenitor,0.24357250030214583
C00668,batch3,Progenitor,0.2943637575238798
C00669,batch2,Intermediate,0.419918831202575
C00670,batch1,Mature,0.9622613949147543
C00671,batch3,Intermediate,0.458860568981583
C00672,batch3,Mature,0.9501350121123174
C00673,batch2,Progenitor,0.03053207158355553
C00674,batch1,Progenitor,0.0661102585732195
C00675,batch1,Progenitor,0.027815906197269258
C00676,batch3,Intermediate,0.6659446382623543
C00677,batch2,Progenitor,0.22023269111379518
C00678,batch2,Intermediate,0.5764201812930485
C00679,batch2,Mature,0.7953661356054246
C00680,batch1,Progenitor,0.33181391865850374
C00681,batch2,Progenitor,0.2456774927090868
C00682,batch2,Mature,0.7254085871405749
C00683,batch3,Intermediate,0.4758977932995704
C00684,batch3,Progenitor,0.1492101460493006
C00685,batch3,Progenitor,0.08744511746968864
C00686,batch2,Mature,0.7371675011394206
C00687,batch1,Mature,0.8604123348789248
C00688,batch3,Mature,0.8903620782835129
C00689,batch1,Intermediate,0.5100890074847036
C00690,batch3,Progenitor,0.15345456636464716
C00691,batch2,Progenitor,0.22565741227847802
C00692,batch2,Intermediate,0.4535238890209351
C00693,batch3,Mature,0.8518573736056136
C00694,batch3,Intermediate,0.6501974188352687
C00695,batch3,Progenitor,0.2742069569533242
C00696,batch3,Mature,0.7559386415571794
C00697,batch2,Intermediate,0.4354401753206102
C00698,batch2,Mature,0.9827639451941653
C00699,batch2,Intermediate,0.4287271374848053
C00700,batch2,Mature,0.8371963489035462
C00701,batch2,Progenitor,0.01454163136101938
C00702,batch3,Mature,0.7182212650931682
C00703,batch3,Intermediate,0.39847844278491207
C00704,batch3,Intermediate,0.4990093079898348
C00705,batch1,Progenitor,0.19882580036557884
C00706,batch3,Mature,0.9295115137269889
C00707,batch3,Progenitor,0.19964501338118745
C00708,batch2,Intermediate,0.5615867040751434
C00709,batch3,Intermediate,0.5973456235768031
C00710,batch2,Mature,0.8584434272995116
C00711,batch3,Intermediate,0.4666665396856099
C00712,batch2,Mature,0.8298912811609488
C00713,batch1,Intermediate,0.5238965642269047
C00714,batch2,Mature,0.9563346594226189
C00715,batch2,Mature,0.7166078337322687
C00716,batch3,Mature,0.9121052609840152
C00717,batch1,Mature,0.9423605323086545
C00718,batch1,Mature,0.8022461563180587
C00719,batch2,Progenitor,0.12236754659550675
C00720,batch2,Progenitor,0.12442859823434937
C00721,batch2,Intermediate,0.6162417502970512
C00722,batch3,Progenitor,0.2712066827619659
C00723,batch2,Intermediate,0.38515232422627244
C00724,batch1,Progenitor,0.17382817662362737
C00725,batch2,Mature,0.7621716630603876
C00726,batch2,Mature,0.8544977036455471
C00727,batch3,Progenitor,0.1328046270642882
C00728,batch1,Intermediate,0.5168349367640347
C00729,batch1,Intermediate,0.39501292999758697
C00730,batch2,Mature,0.7900153179807999
C00731,batch2,Intermediate,0.4649923001754772
C00732,batch2,Mature,0.7308090491481728
C00733,batch3,Intermediate,0.5661038765794069
C00734,batch2,Mature,0.9782481140195477
C00735,batch3,Intermediate,0.4196330759479471
C00736,batch2,Mature,0.9876708696600728
C00737,batch2,Intermediate,0.4154385832931349
C00738,batch3,Progenitor,0.1826686513908088
C00739,batch3,Mature,0.78208106043741
C00740,batch2,Progenitor,0.2717190023531588
C00741,batch3,Intermediate,0.5657547308350559
C00742,batch2,Intermediate,0.6460150798913267
C00743,batch3,Progenitor,0.19967725815300985
C00744,batch2,Progenitor,0.03440693567802455
C00745,batch1,Mature,0.9870333435599575
C00746,batch3,Mature,0.8173901430779064
C00747,batch2,Progenitor,0.12370525495947704
C00748,batch1,Mature,0.8479694301231584
C00749,batch1,Progenitor,0.25813020175160895
C00750,batch3,Progenitor,0.24728474038832604
C00751,batch1,Mature,0.7726163503831625
C00752,batch2,Mature,0.7573620123571221
C00753,batch2,Mature,0.8459573439320407
C00754,batch1,Progenitor,0.13665200788665877
C00755,batch1,Mature,0.7475861752250856
C00756,batch2,Intermediate,0.46982387427320615
C00757,batch3,Progenitor,0.3258834081273855
C00758,batch2,Mature,0.7343028775489074
C00759,batch2,Mature,0.8451430809582015
C00760,batch2,Progenitor,0.3224607575631726
C00761,batch2,Progenitor,0.15481155666046198
C00762,batch3,Mature,0.991684718333888
C00763,batch1,Mature,0.9191899892378982
C00764,batch3,Progenitor,0.28984114981603737
C00765,batch1,Mature,0.8144143079996651
C00766,batch1,Progenitor,0.08969322221638654
C00767,batch1,Mature,0.9125459074536547
C00768,batch1,Mature,0.7746522352650038
C00769,batch3,Progenitor,0.19686311476052654
C00770,batch3,Progenitor,0.2956872469976992
C00771,batch3,Intermediate,0.5955548548409993
C00772,batch1,Intermediate,0.355757664231393
C00773,batch3,Mature,0.7362338159474545
C00774,batch2,Intermediate,0.5923628693439936
C00775,batch1,Progenitor,0.20702865256798964
C00776,batch1,Intermediate,0.6101095098839756
C00777,batch3,Progenitor,0.014059085148911854
C00778,batch3,Progenitor,0.11174781530304423
C00779,batch3,Progenitor,0.16120781710665166
