# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,CD3,CD4,CD8A,CD19,CD14,CD56,CD16,CD25,CD27,CD45RA,CD127,HLA-DR,PD1,CD38
CELL0362,216,1057,5036,1063,1365,296,1473,14,1135,827,15,721,13,21
CELL0363,1901,2214,57,64,294,974,1,47,248,53,9,228,1,11
CELL0364,4867,1551,81,0,310,2318,2,30,68,81,14,106,8,42
CELL0365,102,434,5017,1830,3670,348,461,15,905,329,19,1340,3,32
CELL0366,3657,1102,71,1,980,423,59,16,53,46,6,142,10,12
CELL0367,932,5003,643,755,1112,1710,848,10,4130,960,3,1408,13,5
CELL0368,78,2112,5011,924,1421,510,203,2,405,5051,6,674,20,9
CELL0369,648,524,4630,4370,5066,807,1206,7,1491,77,9,229,20,17
CELL0370,343,619,2540,1850,4040,958,545,5,1304,4901,14,928,5,10
CELL0371,282,460,798,1642,1193,795,130,30,219,5064,34,407,29,14
CELL0372,253,2470,5216,2888,1237,411,1758,10,2478,1017,27,175,78,17
CELL0373,1117,1186,68,0,955,4835,2,5,191,8,6,171,37,63
CELL0374,182,1175,1479,1854,1986,1577,82,13,221,4992,6,1416,12,3
CELL0375,168,213,2614,275,635,10,232,10,578,2725,0,726,12,2
CELL0376,500,2255,2591,3092,3616,2450,2147,36,3332,292,25,1,25,14
CELL0377,355,935,566,749,1305,1498,444,21,297,1431,23,638,12,10
CELL0378,848,596,4938,3199,881,367,721,15,1014,448,17,518,27,7
CELL0379,491,220,872,685,1364,611,85,16,226,4933,10,1829,32,5
CELL0380,1284,5005,653,171,617,904,586,2,3010,4872,5,2084,0,7
CELL0381,2130,1028,68,136,777,2305,10,32,239,3,5,13,11,18
CELL0382,279,676,1681,920,1328,4985,713,22,349,1468,2,361,7,8
CELL0383,473,4988,376,98,565,705,906,19,767,1090,7,1324,4,12
CELL0384,393,349,4818,3891,1879,215,12,16,2327,452,23,1056,20,17
CELL0385,1215,233,3863,2508,3089,1264,958,7,2502,670,33,407,35,16
CELL0386,26,545,535,3190,3676,16,2703,11,1206,94,18,82,12,17
CELL0387,263,150,4973,2100,5032,315,1922,28,1116,821,7,642,26,13
CELL0388,293,1670,3080,2228,3526,33,1613,29,619,161,13,74,28,14
CELL0389,331,6,2231,2599,2029,1132,1764,7,1604,389,17,182,13,7
CELL0390,528,767,5073,5052,2309,72,2161,10,1226,937,14,341,10,10
CELL0391,6,12,2358,1545,4917,1940,1448,38,4934,147,37,512,27,51
CELL0392,243,447,2149,3085,473,34,198,7,79,2488,17,2062,18,18
CELL0393,667,613,4865,4678,800,182,815,15,1283,340,14,438,8,6
CELL0394,165,1142,2760,1976,285,894,50,2,408,2972,49,398,71,11
CELL0395,2287,848,175,239,676,2441,200,4,415,160,7,292,15,24
CELL0396,57,389,781,4832,1144,1065,2,1,202,2823,66,198,8,12
CELL0397,120,206,547,2397,1859,17,12,3,589,4913,17,2166,12,11
CELL0398,599,463,3595,408,2781,1705,260,26,669,4916,20,1485,4,16
CELL0399,4954,2012,1,97,160,3270,3,3,308,75,10,5,12,23
CELL0400,240,4,2191,1345,2617,32,2327,26,1353,1070,8,580,37,5
CELL0401,186,662,5008,4078,4988,521,506,30,466,451,19,363,6,4
CELL0402,1266,1968,6,40,265,859,2,20,231,47,5,3,61,31
CELL0403,484,183,1145,3600,4897,1072,769,25,2902,511,4,203,25,12
CELL0404,100,759,5108,3164,4850,56,770,21,996,546,8,326,10,9
CELL0405,361,390,974,3315,5098,420,363,16,882,237,22,46,10,14
CELL0406,957,347,856,2072,2266,829,28,8,835,1802,8,1218,26,10
CELL0407,715,600,5029,2939,5045,668,1172,23,1107,215,2,726,5,19
CELL0408,146,735,951,2407,3995,358,115,22,446,4979,7,673,36,34
CELL0409,872,582,1125,5082,5023,73,1884,24,790,45,10,6,23,12
CELL0410,456,16,1083,415,994,713,80,20,469,3024,9,1205,26,21
CELL0411,235,809,5067,3501,1872,417,119,21,564,2714,6,1158,8,14
CELL0412,213,519,1173,896,123,17,1,7,291,1668,10,4904,32,22
CELL0413,1520,2659,252,47,332,1629,8,23,107,101,6,185,9,13
CELL0414,154,1246,1373,2327,1475,4,234,14,525,2172,12,1254,43,20
CELL0415,848,1022,2521,2361,5011,508,982,22,1784,314,20,244,19,7
CELL0416,1392,264,225,1,279,711,96,37,141,252,5,9,20,16
CELL0417,4299,2217,2,762,398,14,3,19,504,78,5,288,44,14
CELL0418,149,391,1548,5029,3894,31,1854,14,1370,187,50,68,15,38
CELL0419,407,1402,1093,1119,1134,22,66,19,337,3023,5,1185,13,13
CELL0420,2213,189,642,2788,5074,72,1282,7,3465,144,14,565,7,13
CELL0421,93,488,1044,2369,4939,1187,2608,16,1930,320,28,116,4,14
CELL0422,935,1105,5021,3091,597,522,4342,41,2358,1088,15,3771,15,11
CELL0423,799,521,1670,1850,5070,721,3208,37,5051,271,11,59,8,19
CELL0424,600,4963,401,449,883,668,254,4,766,3674,13,3475,5,40
CELL0425,127,12,1543,1267,1067,550,158,8,174,5119,40,1656,9,8
CELL0426,1119,973,111,77,284,1928,5,32,315,515,10,203,12,27
CELL0427,674,1893,4974,531,1507,7,104,15,981,2686,9,1821,6,14
CELL0428,9,200,1505,3003,1092,17,446,6,373,3595,25,297,58,54
CELL0429,356,499,4897,993,2723,64,667,11,896,1374,38,432,12,5
CELL0430,283,663,3233,1342,1367,239,1438,16,4934,556,18,956,10,7
CELL0431,206,5092,17,637,21,1505,113,24,1667,478,13,1590,12,16
CELL0432,245,1172,5116,1148,4035,419,946,7,966,174,33,298,41,14
CELL0433,522,723,2530,1192,2192,172,15,10,412,2025,16,995,13,5
CELL0434,780,340,1479,400,2509,2180,57,23,209,4955,25,169,19,7
CELL0435,967,477,1361,1941,442,27,117,5,274,4841,12,808,10,23
CELL0436,365,594,1013,2519,1306,547,153,14,150,4658,14,224,15,27
CELL0437,195,419,2609,1406,4892,439,2530,8,1347,200,13,258,9,14
CELL0438,304,420,914,1054,1598,241,138,48,792,4345,12,473,26,8
CELL0439,451,298,2338,1347,393,146,231,4,309,1980,3,1671,30,16
CELL0440,1308,1660,31,65,201,1943,70,21,281,2,2,129,23,32
CELL0441,709,38,368,395,4594,647,206,15,555,2140,10,2675,17,10
CELL0442,341,5097,34,135,16,462,855,14,2241,2071,10,2973,11,8
CELL0443,889,256,308,1118,628,865,120,8,894,1454,12,1455,30,6
CELL0444,1892,5015,434,118,163,1005,383,17,272,3,9,14,22,16
CELL0445,630,1511,1213,1469,654,15,1,19,6,2429,3,4500,16,13
CELL0446,511,238,3336,2219,1007,429,80,28,206,1957,39,803,31,13
CELL0447,440,263,1784,2035,755,24,87,9,574,1468,60,1166,16,10
CELL0448,150,5032,240,554,458,1294,951,3,1601,2596,11,2903,7,10
CELL0449,1020,1221,46,18,380,3722,5,14,59,18,2,363,10,12
CELL0450,53,1746,3152,3346,4910,1073,1656,9,474,583,10,225,22,29
CELL0451,372,434,5081,2886,4643,164,548,26,2732,679,8,1529,23,24
CELL0452,795,34,4958,564,2174,1375,633,40,1174,1945,28,669,4,31
CELL0453,1028,5091,22,193,233,1365,179,28,1418,1176,6,1325,7,6
CELL0454,475,375,4159,1907,5094,116,3050,29,959,287,15,105,16,3
CELL0455,288,629,1077,4545,954,16,129,11,221,5097,10,2107,20,6
CELL0456,411,1485,4943,1223,669,689,927,32,628,2041,3,316,8,8
CELL0457,595,429,3487,5000,4746,1818,260,48,295,1100,18,32,14,12
CELL0458,4384,612,6,2,367,490,2,44,13,371,11,4,21,5
CELL0459,995,230,4947,3767,4867,1738,161,22,1014,228,9,349,12,17
CELL0460,724,5068,283,223,3421,1452,371,22,2720,3304,5,3276,5,7
CELL0461,2138,1087,920,1442,2948,56,851,14,309,210,4,491,12,15
CELL0462,513,783,1032,4607,2390,665,1214,8,2477,400,17,561,7,3
CELL0463,79,853,1316,5030,1808,15,331,16,437,1942,18,327,11,10
CELL0464,99,378,5031,3895,1455,20,13,21,318,4983,41,1181,51,41
CELL0465,344,1754,5125,5077,2034,658,155,13,845,611,36,344,37,16
CELL0466,3204,1137,65,117,420,906,102,57,10,106,6,21,41,4
CELL0467,338,290,1361,1782,4925,693,3553,26,1108,148,3,224,32,19
CELL0468,285,213,2197,3345,3554,23,176,17,758,4691,14,2431,21,25
CELL0469,325,731,4757,4546,634,816,630,26,247,1827,10,1248,23,10
CELL0470,704,763,4940,2261,5023,566,396,26,862,500,21,593,4,15
CELL0471,794,759,1135,4862,3988,681,1745,17,504,219,18,180,26,17
CELL0472,336,5015,80,992,799,734,903,6,2064,2716,14,1634,9,3
CELL0473,2986,831,1,0,155,2433,287,7,126,4,4,263,23,9
CELL0474,363,4837,242,267,649,1614,1796,6,1058,1196,10,1675,8,5
CELL0475,94,444,202,1781,853,397,428,12,690,3124,28,202,27,2
CELL0476,5071,2955,96,92,1130,2582,159,32,160,3,10,24,12,8
CELL0477,1230,473,2761,1744,2770,560,3315,22,894,248,14,3,23,14
CELL0478,293,2857,834,4130,792,20,1,8,306,545,13,5133,48,9
CELL0479,230,261,1395,1102,2328,708,199,2,1038,3364,14,2013,24,5
CELL0480,253,5116,29,223,450,1131,294,10,1571,2614,5,5007,3,7
CELL0481,465,213,2141,4816,5088,641,2088,28,1044,591,8,176,15,58
CELL0482,3400,492,87,40,395,2486,246,26,216,40,6,42,18,14
CELL0483,934,251,1925,3376,3250,397,62,8,634,5014,25,1168,39,11
CELL0484,460,1360,5102,2267,3183,1000,521,16,171,1042,5,72,22,21
CELL0485,511,184,1631,2316,2984,28,661,48,5066,888,7,174,16,7
CELL0486,1161,905,4977,2872,1260,353,1486,20,908,936,13,833,18,5
CELL0487,324,198,4297,4038,2474,232,718,46,1209,972,24,622,12,8
CELL0488,666,1557,498,3812,2699,34,4912,61,1352,181,7,544,17,16
CELL0489,418,7,5150,5156,1489,184,3388,24,1258,437,31,1369,19,15
CELL0490,2073,1055,5,50,325,5046,0,30,64,2,8,11,26,13
CELL0491,1520,2409,4427,5071,2825,276,139,39,404,766,11,362,17,40
CELL0492,1121,3013,75,48,376,1375,90,31,152,771,5,2,25,40
CELL0493,406,5060,242,57,2565,80,1502,17,5034,2583,7,704,20,6
CELL0494,250,35,3442,4931,2468,1729,148,12,745,1669,13,3700,26,11
CELL0495,159,773,2192,1669,182,8,367,5,1853,4967,39,816,17,12
CELL0496,514,584,533,1859,1377,1011,354,2,339,4585,39,1878,23,25
CELL0497,519,5067,256,111,79,193,981,14,1983,4146,21,1464,8,19
CELL0498,256,497,1147,1162,903,723,235,28,410,4052,21,832,18,2
CELL0499,4913,923,658,2,462,2272,5,16,260,147,3,11,9,23
CELL0500,391,205,1241,2303,2333,64,4063,21,4896,226,21,109,14,36
CELL0501,148,307,4909,1794,361,1005,412,8,231,1847,12,4282,16,40
CELL0502,571,13,921,2374,383,15,156,3,2,1929,55,10,68,13
CELL0503,2979,621,75,40,259,185,4,20,218,53,5,280,33,16
CELL0504,638,941,5006,2059,1336,574,356,20,3276,548,9,1504,27,12
CELL0505,38,214,847,1426,1714,4952,388,7,1110,4878,54,1162,14,8
CELL0506,2742,858,84,0,201,1957,0,57,1354,187,2,244,44,15
CELL0507,777,1326,1239,4846,5115,2602,3653,4,1581,1233,16,195,21,18
CELL0508,463,590,5048,1561,4647,876,80,14,696,648,24,1537,7,9
CELL0509,303,1008,2551,4443,3475,36,1183,20,3566,145,14,449,40,29
CELL0510,255,617,945,1020,1245,15,220,3,590,2054,14,277,50,13
CELL0511,289,1532,5024,3696,4660,77,967,17,534,194,4,177,3,16
CELL0512,4562,4021,41,22,176,1177,1,9,273,48,7,4,15,21
CELL0513,455,204,2437,1180,1052,189,57,6,4968,4959,18,2167,17,5
CELL0514,248,502,985,4794,255,474,45,14,345,4469,15,1844,45,4
CELL0515,4991,1281,3,32,88,179,4,53,445,89,10,9,30,12
CELL0516,98,11,3342,544,2584,3865,85,6,1066,1528,7,935,14,8
CELL0517,131,987,2237,2102,5032,1245,2701,35,615,309,29,2,11,30
CELL0518,1293,86,5041,763,2833,780,2869,16,367,636,8,236,7,9
CELL0519,1858,4746,265,33,195,1662,2,42,129,11,10,5,8,17
CELL0520,204,355,1261,2686,4393,18,2473,5,2222,248,8,182,10,32
CELL0521,2512,3246,37,19,633,4272,8,25,123,17,6,2,47,32
CELL0522,2196,4160,151,128,210,4661,2,16,75,4,22,43,19,40
CELL0523,578,490,1167,3232,4151,2696,1176,1,1124,1093,17,307,11,15
CELL0524,986,2347,7,337,10,216,1160,2,780,923,9,2268,9,9
CELL0525,13,824,736,375,607,14,583,11,33,5089,21,3690,37,22
CELL0526,534,5038,526,539,357,779,264,11,1660,571,9,2821,14,5
CELL0527,1067,4996,22,1427,1153,351,146,9,1102,3609,8,2546,3,8
CELL0528,163,1,5003,3738,525,522,1930,12,178,975,34,823,8,32
CELL0529,2710,762,827,2145,5035,1766,5065,16,842,248,30,4,18,10
CELL0530,1292,17,1977,369,4927,1319,1126,12,833,966,13,233,15,20
CELL0531,169,194,1941,1865,5043,18,37,10,900,2267,18,5017,16,11
CELL0532,463,407,4948,2812,2253,120,969,14,866,315,13,1023,13,5
CELL0533,144,1315,2761,3138,1109,12,446,10,1282,1991,45,577,14,7
CELL0534,288,2,1045,853,1728,689,283,14,1897,5084,11,1865,25,15
CELL0535,941,15,3797,975,291,454,107,6,959,2586,36,933,6,4
CELL0536,793,1788,132,67,209,828,14,14,577,223,3,113,20,57
CELL0537,60,247,452,1315,4982,539,3,2,189,2975,18,624,12,33
CELL0538,2092,331,646,3,124,1899,4,7,522,0,2,57,19,2
CELL0539,972,1421,5023,3619,2318,711,344,64,964,1173,11,1962,14,4
CELL0540,371,216,689,4575,5099,481,2568,23,1833,205,12,155,6,5
CELL0541,49,163,987,409,512,155,174,17,239,5131,41,1520,37,3
CELL0542,164,209,4983,2642,2008,274,1294,10,5110,744,3,524,12,10
CELL0543,334,851,5032,1581,3544,475,682,28,546,606,7,262,4,10
CELL0544,1455,1891,4281,3486,5193,120,663,29,1124,965,2,645,8,14
CELL0545,80,1356,4971,3534,761,253,2282,39,559,897,11,542,15,7
CELL0546,3216,539,50,48,910,1041,262,12,75,58,28,166,4,17
CELL0547,851,5050,260,647,336,305,232,3,455,1656,7,3884,6,9
CELL0548,305,347,1171,207,436,821,2,5,484,4208,6,7,5,4
CELL0549,186,1893,4076,5095,788,506,631,20,360,455,26,1098,30,27
CELL0550,763,4985,510,241,2993,845,1852,10,2871,1148,37,1375,13,10
CELL0551,763,595,631,5034,4428,730,1140,9,2112,1288,9,513,72,10
CELL0552,843,2509,5003,5005,4987,1937,199,19,446,632,25,88,15,28
CELL0553,146,355,29,2214,676,973,50,21,354,4536,31,1332,8,14
CELL0554,388,311,2049,1038,1390,386,70,8,2163,4240,20,3009,6,5
CELL0555,857,1211,2476,1571,4927,581,741,21,446,948,7,1214,10,3
CELL0556,988,1030,4936,1558,1416,426,228,5,2127,1333,0,1240,13,31
CELL0557,324,3738,1173,4280,3839,71,1766,6,2995,105,10,123,33,15
CELL0558,255,4969,5,245,308,1653,1339,13,2761,1540,2,822,6,2
CELL0559,94,424,1800,890,743,426,47,9,247,4929,12,875,37,12
CELL0560,388,2074,4270,3772,4970,359,684,20,556,1121,5,242,4,12
CELL0561,579,5004,147,373,1210,683,754,4,1243,860,13,705,11,7
CELL0562,3923,2072,71,54,206,1257,125,21,716,75,7,6,21,30
CELL0563,203,5012,493,142,220,2218,298,11,4398,801,4,5003,18,16
CELL0564,234,860,1427,3583,1555,666,117,15,532,2573,10,327,19,2
CELL0565,406,5195,747,30,558,2185,840,17,1677,4139,12,2375,22,12
CELL0566,704,585,2759,4691,5020,834,1222,33,4628,733,19,225,33,18
CELL0567,1021,1830,6,25,284,732,11,31,247,620,7,2,10,10
CELL0568,332,277,770,1486,4964,205,2341,61,1546,697,16,255,23,34
CELL0569,1186,4895,29,175,1746,736,2161,3,358,752,38,2222,10,11
CELL0570,350,1499,3608,217,144,634,193,25,158,3368,45,1986,9,18
CELL0571,518,1024,3557,3058,2099,1405,977,27,711,83,26,315,30,19
CELL0572,112,466,930,431,1183,1126,8,17,359,5034,34,4904,69,2
CELL0573,3381,179,4972,5007,2585,241,190,5,1403,338,12,591,17,19
CELL0574,10,2,5009,5024,4869,523,629,8,505,505,24,1701,23,5
CELL0575,511,4882,36,52,545,654,392,4,395,5003,11,1631,15,10
CELL0576,835,1014,2998,1265,2051,350,2830,35,817,95,27,409,17,11
CELL0577,554,1608,1343,4921,1525,441,500,1,1323,2828,24,2072,41,28
CELL0578,1684,521,4102,4532,2339,35,4937,26,2125,408,16,354,23,20
CELL0579,1261,457,6,73,90,1303,287,63,743,3,10,1,16,20
CELL0580,4848,538,5058,1772,4999,192,13,9,1394,1168,8,848,7,22
CELL0581,175,906,293,230,691,333,94,5,95,4994,12,2206,9,2
CELL0582,1354,2329,4863,4552,2237,420,428,4,427,1883,7,1152,29,14
CELL0583,926,3423,24,184,866,463,1477,8,1951,472,1,1046,11,7
CELL0584,436,3327,4798,1930,4418,2349,326,5,3345,637,9,584,5,7
CELL0585,458,367,4967,3178,2148,802,2512,28,1461,1590,17,1039,26,9
CELL0586,445,2094,4986,1641,2001,135,2040,20,1843,670,12,722,13,43
CELL0587,5081,515,186,108,411,978,6,20,174,83,2,5,16,15
CELL0588,1019,218,5171,1638,3687,415,1004,23,1916,2562,45,1023,11,7
CELL0589,824,5137,1057,723,1199,231,218,1,1094,3191,5,2259,33,5
CELL0590,160,967,4988,3734,1007,368,1664,13,378,817,8,1347,22,7
CELL0591,508,297,4985,1865,1863,703,951,15,5020,623,22,1103,10,3
CELL0592,921,639,5134,1938,3290,657,239,17,872,849,21,458,15,3
CELL0593,173,5036,12,492,456,491,1133,5,3425,2890,7,4946,21,4
CELL0594,3839,2232,4,112,194,3298,7,15,241,1,21,441,23,19
CELL0595,548,894,4916,4958,5034,663,838,17,296,717,29,177,1,37
CELL0596,4592,1256,43,143,135,2345,19,10,329,79,10,9,30,20
CELL0597,246,932,1425,2952,809,18,271,17,74,409,38,296,32,12
CELL0598,647,494,850,4126,4783,1747,776,3,888,575,20,47,17,13
CELL0599,257,1312,1657,2311,1331,504,455,20,2641,392,15,389,27,8
CELL0600,2,185,2636,1495,3583,1354,194,60,891,1551,3,187,13,18
CELL0601,1402,552,40,65,480,970,4,65,553,223,21,183,16,19
CELL0602,1986,2182,723,68,185,4046,6,43,310,8,4,18,25,85
CELL0603,883,5002,8,261,20,1246,524,3,1042,1030,1,329,5,25
CELL0604,418,645,1023,1687,3427,1051,1416,26,3576,191,18,87,43,52
CELL0605,668,2065,1202,1687,4486,1030,1697,29,510,514,43,142,19,19
CELL0606,621,269,1630,3534,1933,1116,2548,20,2221,336,18,1010,37,9
CELL0607,296,506,4973,2059,4635,82,2693,86,594,949,10,115,20,15
CELL0608,605,797,386,5027,1362,56,2043,67,2052,325,18,145,6,14
CELL0609,505,5062,31,387,637,2240,358,3,1022,1892,7,453,8,7
CELL0610,379,1198,4977,4999,3609,208,640,16,516,869,21,321,20,42
CELL0611,105,122,1119,1570,504,181,92,4,233,4884,8,734,13,10
CELL0612,716,245,336,1339,833,1500,653,14,597,2979,26,1202,28,2
CELL0613,47,844,653,573,4878,289,385,76,133,5027,15,1642,13,17
CELL0614,4989,1300,109,41,296,4625,2,8,459,61,6,0,13,11
CELL0615,396,458,2435,5082,5005,14,270,12,1043,3359,9,359,4,23
CELL0616,655,767,654,2349,1169,24,13,18,168,4156,23,847,33,30
CELL0617,865,26,2625,912,757,970,2,23,275,1615,30,274,14,14
CELL0618,507,710,4902,4449,4998,690,449,4,580,612,7,4967,19,9
CELL0619,442,5011,14,263,1704,1078,173,15,505,3250,12,1710,4,11
CELL0620,842,225,1469,5013,740,376,227,16,2155,2183,16,2509,15,5
CELL0621,4956,3419,80,216,359,1195,213,19,521,3,2,4,17,16
CELL0622,334,1037,763,4074,4994,1180,1385,8,1379,605,5,206,17,39
CELL0623,118,349,2106,1424,1164,395,299,28,211,2556,21,2161,8,16
CELL0624,2440,4095,129,23,134,3193,3,15,505,157,10,2,32,15
CELL0625,5077,540,20,31,303,1956,17,11,135,43,1,88,8,38
CELL0626,2425,586,73,165,517,1204,123,11,348,114,2,13,19,12
CELL0627,742,556,985,1008,1499,7,650,5,597,364,11,1032,20,11
CELL0628,506,19,2053,1877,4869,34,4932,23,2176,321,5,146,12,25
CELL0629,638,1736,569,5138,4269,391,3695,11,644,406,6,328,7,31
CELL0630,428,5028,6,577,713,412,1024,13,1351,923,41,2218,9,7
CELL0631,81,34,2667,959,1331,1050,28,9,427,4142,17,1936,16,7
CELL0632,1413,222,4939,2331,4783,292,385,10,518,1364,8,279,10,7
CELL0633,198,486,1294,1136,3780,509,235,19,221,1392,20,1396,23,19
CELL0634,338,393,1104,1955,1091,1500,255,15,134,5015,16,599,8,11
CELL0635,334,2085,4956,4337,4996,1001,331,13,1363,999,2,858,23,8
CELL0636,899,49,3388,3807,4964,52,630,14,759,39,15,1103,8,22
CELL0637,76,139,476,1723,1373,553,395,16,457,3330,13,717,5,12
CELL0638,335,577,781,970,559,9,162,23,184,4951,8,1245,32,20
CELL0639,664,4905,10,314,651,887,1437,5,1282,729,8,952,6,18
CELL0640,616,712,1170,2034,5043,1960,4951,7,3334,495,26,136,4,9
CELL0641,183,557,603,4188,1263,38,295,26,65,3591,19,182,22,15
CELL0642,2035,1470,135,17,331,977,5,14,251,107,5,12,20,17
CELL0643,911,1933,1514,2478,2968,33,764,7,1793,34,8,265,10,24
CELL0644,655,294,4121,4624,2423,960,1247,14,506,620,20,1127,13,18
CELL0645,243,8,3258,964,1681,554,783,12,446,710,15,1463,11,54
CELL0646,639,880,1599,5150,4672,2343,1839,14,464,348,34,109,22,12
CELL0647,1086,497,2874,4975,4910,1633,300,18,257,1832,12,944,17,18
CELL0648,641,1335,2798,1643,1575,4260,1913,15,2401,409,17,207,24,27
CELL0649,548,780,310,2,312,3550,2,25,113,71,5,133,28,15
CELL0650,674,717,2875,3531,3497,516,7,11,641,2056,45,261,9,22
CELL0651,481,2229,1905,3638,869,406,1187,14,1799,138,33,281,10,21
CELL0652,86,1516,1900,2197,1178,414,2947,7,680,186,25,341,29,18
CELL0653,548,249,2524,998,1169,490,4,16,337,2387,16,1471,17,30
CELL0654,4344,1214,659,218,612,4231,101,24,314,0,19,393,20,6
CELL0655,61,3,3650,4425,717,18,632,24,97,4031,13,708,35,9
CELL0656,434,237,5045,1638,2734,305,520,20,866,1304,15,329,23,31
CELL0657,1129,412,4974,3897,4847,213,1221,33,351,432,5,811,17,18
CELL0658,337,2464,5075,4212,4915,859,3436,11,407,111,15,306,5,8
CELL0659,606,776,1954,3933,2952,812,1775,9,678,203,7,184,16,8
CELL0660,475,2476,2830,1469,4864,287,762,17,593,473,12,148,39,24
CELL0661,290,7,2212,2470,998,1019,197,18,355,5033,27,1114,16,9
CELL0662,397,157,1549,1610,1194,29,210,21,640,2872,4,1427,21,8
CELL0663,366,88,4931,3323,1852,135,771,5,2340,367,10,528,14,9
CELL0664,524,438,2232,4724,5144,1892,1427,13,942,70,12,114,11,9
CELL0665,216,904,5015,981,4169,191,1327,16,1103,469,35,1038,30,25
CELL0666,358,441,1195,5076,4146,181,1190,7,1323,352,17,113,48,3
CELL0667,221,158,214,781,1595,859,1,19,116,649,20,1964,10,11
CELL0668,851,700,741,2527,4917,52,1441,6,986,38,7,125,10,12
CELL0669,228,291,465,943,318,17,249,9,346,4488,11,997,15,15
CELL0670,705,854,1282,744,764,1551,68,15,802,4994,6,2732,9,14
CELL0671,819,427,2861,1317,2217,1335,1881,11,4062,157,25,798,24,26
CELL0672,404,355,2036,1186,867,1212,941,27,2453,125,31,73,10,11
CELL0673,1004,598,4780,2848,2150,1264,231,10,1211,349,8,292,24,27
CELL0674,198,661,2922,1544,1430,279,348,4,422,4836,15,450,19,6
CELL0675,205,258,4598,2072,1194,257,2851,14,5041,1784,37,1041,14,9
CELL0676,820,295,5032,2606,922,1245,2097,32,1364,2510,19,755,12,5
CELL0677,252,260,3218,3590,4917,1252,1117,23,1857,114,7,88,11,12
CELL0678,342,5063,23,189,287,879,523,5,2033,3328,3,2205,6,6
CELL0679,103,990,5049,2280,698,957,373,18,3015,882,10,308,18,10
CELL0680,341,8,740,7,1030,622,400,20,1024,2264,10,438,17,12
CELL0681,1367,1188,10,2,606,1873,1,9,252,7,6,109,27,12
CELL0682,190,947,1445,2101,1902,785,274,8,1045,3987,5,666,16,5
CELL0683,114,1102,1754,3793,1967,505,670,7,154,2511,20,1877,10,21
CELL0684,120,519,1738,2451,4997,39,2749,9,1199,293,9,117,21,33
CELL0685,2448,426,276,0,585,1800,231,35,198,7,8,17,28,5
CELL0686,280,2364,2038,2394,4974,57,5126,29,1005,729,11,448,27,15
CELL0687,271,3,493,1590,1560,24,281,11,806,1670,47,1959,77,7
CELL0688,3391,713,0,1,179,2332,5,10,220,47,16,11,11,14
CELL0689,296,251,1058,3378,1043,243,142,5,417,4952,13,3014,12,5
CELL0690,277,460,1419,3929,5015,335,1418,45,2111,274,11,225,20,8
CELL0691,388,1490,4983,3129,1221,404,2000,6,1971,2207,5,654,23,4
CELL0692,242,850,1272,4120,5070,64,4873,26,1274,130,6,1132,6,10
CELL0693,301,1023,5032,4439,1573,796,1312,62,1204,983,14,527,19,14
CELL0694,4,379,454,1589,850,42,71,6,465,4881,12,430,26,5
CELL0695,95,172,408,2863,1948,67,1256,24,564,937,18,136,6,8
CELL0696,1345,204,5007,5037,2778,159,4408,10,1573,531,13,434,6,8
CELL0697,572,1641,5198,2301,5009,162,557,20,515,1443,22,536,29,6
CELL0698,1994,4924,1667,2710,5063,38,2462,13,887,146,9,405,22,6
CELL0699,614,410,1193,4961,2155,1133,2660,18,936,106,18,797,23,31
CELL0700,307,195,5040,5016,1864,348,370,10,1316,5109,10,702,102,5
CELL0701,2645,1518,79,3,188,1787,116,26,11,59,10,9,11,10
CELL0702,870,61,5018,873,4077,395,2,13,639,5093,23,2416,20,21
CELL0703,743,1318,721,2908,5062,397,1605,19,624,153,20,728,23,23
CELL0704,328,5068,26,157,390,1190,727,5,1958,2653,6,603,15,9
CELL0705,397,184,1708,1117,2560,89,220,12,576,361,4,550,50,16
CELL0706,195,151,2371,1915,1475,896,735,11,307,1217,22,307,17,9
CELL0707,85,1091,1471,1752,1144,14,33,22,912,5059,17,836,28,14
CELL0708,380,373,2809,416,1642,4828,915,44,3234,199,24,262,24,9
CELL0709,162,2156,1668,4976,1168,167,66,24,323,2988,47,737,22,6
CELL0710,525,1084,2509,797,587,728,93,71,242,5014,38,1742,32,8
CELL0711,725,564,5058,2943,4428,129,1218,8,986,839,9,2110,4,19
CELL0712,68,330,2709,564,1831,612,451,25,128,2170,34,207,53,7
CELL0713,1570,505,5112,3879,2056,1143,322,14,1229,190,12,377,18,6
CELL0714,489,5027,1144,241,673,1972,172,16,1456,1189,13,3426,21,20
CELL0715,492,4949,4,243,308,998,499,23,504,1614,15,3649,8,6
CELL0716,303,260,459,1915,4817,41,1757,19,1782,578,14,95,11,12
CELL0717,1337,538,1196,3327,5044,41,4091,12,505,49,40,68,9,16
CELL0718,629,1233,876,1589,1773,1514,5132,8,1780,130,18,493,32,12
CELL0719,671,3927,1283,1515,4560,1441,46,9,299,4988,9,1449,50,8
CELL0720,118,178,1180,1230,468,41,95,2,440,470,29,1175,22,10
CELL0721,199,770,5016,3789,4149,141,598,14,465,737,21,853,23,10
CELL0722,1055,585,1519,5034,2714,907,936,17,1293,453,34,313,10,8
CELL0723,258,639,1441,474,519,333,119,15,222,2745,19,831,17,3
CELL0724,1212,756,5066,1981,3237,201,2561,9,1493,1274,23,1106,10,33
