# synthetic, for demo only -- not real CITE-seq data (571_captain_rna_protein_fm)
,GENE000,GENE001,GENE002,GENE003,GENE004,GENE005,GENE006,GENE007,GENE008,GENE009,GENE010,GENE011,GENE012,GENE013,GENE014,GENE015,GENE016,GENE017,GENE018,GENE019,GENE020,GENE021,GENE022,GENE023,GENE024,GENE025,GENE026,GENE027,GENE028,GENE029,GENE030,GENE031,GENE032,GENE033,GENE034,GENE035,GENE036,GENE037,GENE038,GENE039,GENE040,GENE041,GENE042,GENE043,GENE044,GENE045,GENE046,GENE047,GENE048,GENE049,GENE050,GENE051,GENE052,GENE053,GENE054,GENE055,GENE056,GENE057,GENE058,GENE059,GENE060,GENE061,GENE062,GENE063,GENE064,GENE065,GENE066,GENE067,GENE068,GENE069,GENE070,GENE071,GENE072,GENE073,GENE074,GENE075,GENE076,GENE077,GENE078,GENE079
CELL0079,11,2,11,11,38,0,15,3,14,8,17,2,53,7,21,5,3,10,6,1,5,13,13,33,0,17,20,0,22,3,1,1,42,0,3,20,162,9,6,0,10,8,5,2,14,1,4,5,6,5,6,2,3,13,4,6,5,3,4,3,11,7,16,7,7,2,3,7,0,6,0,1,14,7,2,0,6,18,1,0
CELL0080,2,2,4,2,5,2,2,1,5,4,9,1,4,0,6,0,9,4,2,18,1,0,3,1,4,1,17,2,5,9,0,2,0,4,6,1,2,1,0,1,0,1,3,19,0,2,0,0,1,10,14,2,2,3,2,2,9,3,1,14,0,2,2,5,1,6,7,3,2,1,3,0,3,14,14,3,1,0,0,10
CELL0081,5,0,8,3,5,2,2,1,3,8,5,5,5,0,8,1,13,5,3,19,5,0,11,9,5,5,16,5,4,9,0,1,1,2,4,1,0,3,0,0,3,1,2,17,0,2,2,2,2,8,20,0,1,1,3,1,15,0,0,10,4,1,4,9,4,10,12,3,2,0,2,0,2,13,17,6,1,2,3,13
CELL0082,4,11,2,2,6,2,0,13,1,1,0,0,7,1,22,2,2,1,3,15,25,8,2,1,1,2,1,2,0,3,5,2,1,0,2,1,0,5,3,5,4,1,2,4,2,5,6,20,0,2,1,1,9,9,21,6,1,1,10,5,16,14,28,19,13,3,14,1,4,8,9,12,2,0,2,0,18,16,2,10
CELL0083,14,11,1,6,3,8,5,0,5,4,0,2,1,2,0,3,2,1,4,1,1,1,1,4,0,1,11,10,0,22,4,8,1,2,0,2,0,0,1,1,5,7,1,0,1,5,0,5,2,9,11,8,4,0,2,0,2,0,10,5,2,2,2,2,2,1,1,1,5,0,6,9,0,4,0,7,2,12,5,0
CELL0084,3,0,13,21,12,7,2,5,7,19,1,9,5,10,8,2,0,3,3,11,4,3,16,10,1,7,13,2,1,3,13,2,3,2,0,0,2,8,4,0,12,4,9,0,1,4,0,10,4,9,3,15,10,31,1,1,15,1,0,6,95,4,15,0,23,13,14,2,7,2,2,47,0,0,9,46,0,3,2,5
CELL0085,1,3,4,3,8,1,1,0,3,3,8,4,18,2,8,1,12,9,5,18,8,0,9,6,5,3,28,5,2,9,0,2,0,1,4,5,1,1,0,0,3,3,11,21,3,4,2,1,0,11,26,4,2,7,0,1,16,0,1,15,2,4,5,7,3,5,9,6,2,2,1,0,7,15,16,5,1,2,3,19
CELL0086,4,23,2,1,17,6,3,22,2,5,1,2,15,2,37,2,3,4,4,10,44,24,3,0,1,4,1,2,1,6,15,1,4,3,6,2,2,5,6,8,15,3,4,3,0,13,19,23,5,1,8,3,15,13,32,1,1,0,15,12,22,24,33,23,26,14,27,2,4,11,15,25,7,1,8,1,28,13,4,10
CELL0087,1,2,5,4,4,3,3,0,3,5,7,4,14,1,9,0,8,7,2,10,1,0,2,2,2,5,18,4,1,10,0,3,1,3,4,4,0,3,0,1,0,2,4,12,2,1,2,2,1,3,32,0,3,5,1,0,11,1,1,7,4,1,3,7,2,8,13,0,3,4,4,0,3,17,10,2,1,0,3,17
CELL0088,4,6,0,3,5,1,0,11,2,0,0,0,7,2,29,2,2,4,4,11,33,6,0,0,1,0,0,3,1,3,10,0,2,0,1,0,1,3,5,3,5,2,2,5,1,9,14,16,1,2,3,2,5,7,12,3,4,1,7,5,12,13,19,14,15,8,11,1,3,6,3,10,1,2,4,0,19,6,0,7
CELL0089,6,5,33,33,19,9,5,7,17,36,12,13,1,12,4,2,1,6,5,20,4,6,35,16,4,16,15,7,6,2,12,8,6,6,1,4,5,15,11,0,21,11,33,2,0,6,1,9,8,11,0,14,10,27,2,5,22,2,0,12,136,9,17,2,32,50,26,6,10,10,1,92,2,2,19,82,0,5,6,8
CELL0090,10,3,12,6,6,1,4,2,9,8,18,9,13,0,20,3,21,16,16,28,12,0,8,14,10,1,32,6,9,19,0,4,2,2,8,4,2,0,0,0,5,4,5,37,3,0,4,6,1,16,35,1,9,8,3,3,34,2,2,23,5,5,3,6,4,8,23,3,5,6,8,0,8,32,30,7,2,3,3,22
CELL0091,2,9,0,0,11,3,2,13,0,2,0,0,10,1,18,1,1,3,1,7,29,9,2,1,0,4,0,1,1,4,9,1,2,2,4,0,2,0,2,10,5,2,5,3,1,3,12,16,0,1,4,1,6,8,12,2,0,1,10,3,13,8,21,7,19,9,6,0,2,8,9,18,3,1,2,1,15,9,0,8
CELL0092,2,4,1,2,10,2,0,12,1,2,1,2,6,1,22,3,0,1,2,3,22,9,0,1,6,1,0,1,1,2,5,2,3,0,3,0,1,3,0,4,5,0,2,3,0,6,16,15,1,1,2,1,7,3,15,2,0,1,11,3,16,11,30,7,11,7,3,3,1,7,7,16,1,4,2,0,15,8,4,3
CELL0093,3,0,14,14,8,4,2,3,4,17,4,4,1,5,1,3,0,4,1,15,1,2,23,13,1,13,1,4,1,4,4,6,5,3,0,0,2,3,6,0,13,3,11,0,2,5,0,8,6,7,2,12,3,20,2,0,16,1,1,4,71,8,23,1,17,13,8,2,7,13,3,54,1,1,7,34,0,0,2,9
CELL0094,6,3,18,16,15,7,1,2,10,20,4,7,3,7,6,6,1,5,3,21,3,6,24,18,0,13,13,4,5,6,13,5,5,4,0,1,4,5,9,0,15,3,32,0,0,6,1,7,4,14,3,10,11,23,1,4,22,0,3,5,89,8,11,0,19,27,18,4,4,6,3,72,4,1,13,79,2,4,4,9
CELL0095,5,20,3,2,10,3,1,20,3,0,0,0,15,2,24,2,4,3,4,8,32,5,1,1,1,4,0,1,2,5,9,0,2,1,4,0,0,4,4,6,10,1,3,5,1,2,11,17,1,0,5,2,11,10,17,5,2,0,3,6,17,9,23,14,16,13,17,1,5,11,2,18,4,2,4,2,11,18,5,4
CELL0096,7,2,22,33,13,8,5,9,10,31,4,5,2,10,6,6,1,6,5,20,3,7,19,19,1,16,9,6,6,3,6,0,8,5,2,1,6,5,7,0,13,0,34,1,2,5,1,10,8,6,4,8,4,32,3,8,19,2,1,7,114,8,17,2,25,25,21,1,8,5,4,73,3,2,13,65,2,3,7,9
CELL0097,1,1,5,7,5,1,1,1,4,5,4,5,8,1,5,0,10,8,3,16,1,0,4,5,6,1,24,2,4,5,1,1,1,1,4,3,0,2,1,2,2,1,3,24,2,2,2,7,0,8,16,0,4,6,2,2,8,4,0,6,3,2,6,4,0,2,9,4,0,3,3,0,1,19,14,5,1,2,1,24
CELL0098,4,4,16,20,11,7,5,4,3,7,2,5,2,3,5,2,1,4,4,11,1,1,29,12,0,5,9,3,5,2,9,2,7,0,2,2,2,3,3,0,11,3,21,1,0,6,1,5,1,6,0,12,6,20,1,1,15,1,0,5,82,9,15,0,26,24,19,0,4,4,2,64,0,4,9,34,2,4,5,4
CELL0099,3,2,2,6,7,0,2,2,5,10,4,6,10,5,6,1,16,10,6,24,8,0,11,7,7,6,24,1,2,8,0,2,1,5,8,1,3,5,0,3,1,2,4,25,4,0,2,6,1,11,23,1,3,8,1,2,12,4,1,11,6,2,5,12,3,3,12,3,0,0,2,0,4,18,19,6,1,2,3,19
CELL0100,8,4,13,26,12,6,4,4,9,14,3,5,2,9,4,6,3,1,0,14,2,4,18,10,5,9,8,1,11,2,12,4,2,2,1,1,5,3,7,0,14,1,18,2,1,3,0,8,5,11,1,15,2,23,0,2,23,2,1,6,78,8,12,0,26,29,9,1,6,4,2,67,4,3,8,44,0,0,2,8
CELL0101,9,5,0,0,11,3,1,17,3,1,0,0,14,2,34,4,1,1,1,8,28,10,0,0,3,1,0,2,0,1,6,4,4,1,4,1,4,8,5,7,12,0,0,3,1,6,21,19,0,1,6,0,12,5,15,0,0,2,14,1,19,10,35,11,14,10,15,0,2,14,4,11,2,3,4,2,27,15,2,7
CELL0102,5,10,0,0,8,3,0,7,0,0,1,0,11,0,21,2,0,2,0,6,24,7,3,0,2,1,0,0,0,1,8,0,1,1,4,0,2,1,4,4,8,0,3,4,0,4,9,10,0,0,2,1,8,1,17,2,1,0,7,3,7,12,9,8,11,8,7,0,2,8,5,8,0,2,2,0,11,4,5,5
CELL0103,7,3,11,16,14,1,0,4,5,16,7,8,0,3,3,5,0,2,1,9,2,5,8,11,2,9,8,4,5,2,6,3,5,4,2,0,3,7,4,0,10,0,15,0,0,2,1,9,4,4,2,4,0,31,1,1,15,1,1,5,77,3,11,1,13,19,12,1,7,6,2,67,0,3,7,50,2,6,4,4
CELL0104,18,17,0,3,2,10,5,0,13,9,2,8,1,2,1,1,3,3,5,1,0,0,0,11,0,3,12,14,0,36,3,11,1,1,1,4,1,2,4,2,13,15,1,2,2,4,4,7,2,16,16,13,9,3,1,0,0,3,6,5,0,6,3,2,7,2,1,1,4,0,13,11,2,2,1,12,0,11,2,2
CELL0105,2,2,22,23,14,6,1,5,18,21,5,9,3,8,2,6,0,5,4,12,5,5,18,12,2,15,9,3,7,3,11,1,5,3,0,5,0,5,4,0,11,0,24,0,0,3,0,11,6,13,3,15,9,30,1,6,21,2,1,11,75,13,8,3,25,30,20,1,5,5,1,67,2,2,11,51,0,3,6,7
CELL0106,2,4,7,15,38,0,13,3,9,6,11,5,47,7,18,7,0,2,1,0,2,4,7,25,0,15,12,0,13,6,1,2,34,1,0,15,130,5,5,4,2,5,3,7,10,2,2,5,6,4,5,0,1,10,3,5,5,6,3,4,10,7,20,5,2,2,2,3,0,3,1,0,15,6,0,0,4,15,3,1
CELL0107,5,2,15,30,9,6,4,5,11,17,2,7,4,8,10,5,1,4,5,19,2,2,24,12,0,12,7,4,6,3,12,1,7,3,0,1,1,6,6,0,14,1,23,1,1,10,0,7,8,8,2,12,9,29,1,5,26,0,1,8,119,7,21,1,26,29,28,1,8,8,1,65,0,1,12,63,0,3,4,8
CELL0108,3,2,7,9,33,2,9,3,4,2,8,3,28,5,13,3,2,4,0,2,3,6,12,23,0,8,12,0,15,2,0,1,25,2,1,17,99,4,2,0,6,5,1,1,10,4,3,2,8,6,3,2,0,2,2,2,0,6,0,3,14,5,17,10,0,3,1,1,0,4,2,0,7,3,0,0,6,16,2,2
CELL0109,3,2,10,3,7,1,1,4,4,6,0,1,8,3,8,1,13,5,8,9,2,0,8,4,4,5,22,5,1,14,0,1,0,0,1,3,0,0,0,3,3,0,7,22,4,2,6,3,1,8,28,1,7,5,1,1,13,2,2,16,4,2,6,9,6,6,17,3,2,2,2,1,2,26,14,4,2,1,1,17
CELL0110,18,17,3,2,2,12,5,0,17,7,1,3,0,3,2,1,5,1,13,1,1,0,0,4,3,0,23,14,5,32,0,18,5,7,1,3,0,3,11,3,9,16,2,1,2,3,3,13,3,13,23,23,11,1,1,1,2,3,11,8,0,11,3,4,9,1,5,0,10,1,17,23,1,3,1,17,2,16,1,2
CELL0111,6,7,3,0,8,4,0,10,4,2,0,2,8,2,25,4,0,2,3,8,28,8,3,1,3,1,0,0,1,1,5,1,2,1,4,0,2,1,4,3,8,0,2,1,0,10,10,21,1,0,2,3,10,1,14,3,2,0,8,7,10,10,26,13,14,10,9,0,7,7,6,12,3,0,3,1,18,11,0,5
CELL0112,6,5,14,6,8,0,4,2,9,8,10,4,11,3,11,0,14,8,11,20,4,1,12,9,9,1,32,4,4,13,0,3,0,1,3,6,0,2,0,1,0,2,4,35,2,1,6,9,0,11,37,2,7,8,0,1,11,2,0,16,10,1,4,10,0,11,23,4,3,2,5,0,5,33,13,4,4,3,2,21
CELL0113,1,0,4,7,10,0,2,3,5,10,3,2,11,0,9,1,10,10,6,24,1,0,8,6,1,2,24,3,8,11,0,3,2,4,4,5,0,1,2,2,3,2,2,21,1,1,1,3,3,15,26,1,2,4,1,0,11,1,0,13,2,5,5,1,2,9,15,8,0,5,1,1,3,23,19,4,2,4,1,23
CELL0114,1,4,3,6,6,1,1,1,4,7,10,3,13,1,11,2,17,6,7,10,7,1,10,7,4,2,17,7,0,16,0,2,0,1,7,3,2,1,1,4,1,2,3,27,1,2,2,3,0,12,27,5,7,4,3,0,20,1,1,17,8,3,2,6,6,10,11,7,4,1,3,0,5,17,17,11,4,5,2,17
CELL0115,4,1,4,7,20,0,7,3,4,1,4,1,15,1,9,3,0,1,2,0,1,3,3,13,0,14,6,1,3,1,0,0,13,0,0,8,44,3,0,1,2,5,1,2,0,0,0,3,8,1,2,0,0,5,2,0,1,4,0,2,7,2,1,6,0,2,2,0,1,1,1,0,11,2,0,0,4,8,0,1
CELL0116,4,0,10,13,39,0,18,1,7,9,13,0,29,5,10,4,1,5,1,1,3,6,8,44,0,15,11,0,17,2,2,1,25,2,1,15,143,9,4,3,8,5,4,6,6,0,4,3,7,6,4,1,2,4,5,6,6,8,2,2,7,6,12,8,2,1,1,5,0,7,4,0,13,3,2,0,5,18,4,1
CELL0117,4,2,23,36,29,2,5,9,9,28,9,15,2,5,9,2,3,5,3,17,4,5,32,11,7,22,17,3,6,3,9,8,6,6,1,6,0,8,4,0,13,3,27,1,1,10,0,11,6,15,0,18,10,31,3,4,35,5,0,4,115,10,15,3,36,34,19,2,13,12,7,89,3,3,16,76,1,3,5,12
CELL0118,10,5,10,18,33,1,11,2,6,8,10,3,49,4,24,4,3,6,2,0,2,4,7,49,2,17,14,0,26,7,0,1,33,2,0,18,156,15,1,4,7,9,4,5,10,2,3,1,7,7,4,3,2,7,3,5,6,10,2,6,9,8,14,16,2,1,4,2,1,7,0,0,13,4,1,0,9,12,2,1
CELL0119,12,5,37,29,20,6,6,3,11,34,13,9,4,10,4,7,0,4,4,24,2,9,33,21,2,10,9,2,2,0,10,6,8,1,0,1,1,7,11,0,17,2,35,3,2,10,0,15,8,13,1,14,5,28,4,5,28,1,2,2,139,11,14,1,31,31,23,0,10,6,4,90,0,1,8,65,0,4,5,12
CELL0120,6,4,24,34,19,5,8,2,15,22,7,15,3,8,2,4,0,2,5,27,3,4,26,20,2,13,13,4,5,4,10,3,7,5,0,2,6,10,3,0,13,4,33,2,1,7,0,18,7,14,2,7,7,33,8,4,33,4,0,3,119,12,22,0,32,37,27,0,6,15,2,72,2,1,11,56,3,7,8,11
CELL0121,6,8,29,31,29,4,2,7,13,33,3,21,5,16,5,2,2,7,4,27,5,3,37,14,3,21,13,1,4,3,19,6,9,3,1,7,4,9,14,1,18,5,36,0,3,10,1,17,12,16,2,13,9,38,2,3,37,5,2,10,142,13,38,2,50,29,26,2,7,6,7,109,1,5,15,89,1,7,6,14
CELL0122,1,3,13,15,38,0,21,1,13,6,9,4,45,10,26,9,1,5,3,2,1,7,11,39,1,18,16,1,14,5,0,1,36,0,0,19,150,9,2,6,10,8,5,6,10,0,0,3,14,9,10,4,0,7,2,5,8,7,4,3,16,7,10,7,5,2,5,7,2,8,1,0,15,2,3,0,5,21,3,1
CELL0123,6,3,8,12,45,1,13,1,10,10,6,5,38,11,18,10,0,6,3,1,4,7,15,28,0,14,14,0,14,2,1,3,36,1,1,31,147,10,4,4,14,9,3,3,13,3,4,3,9,5,9,3,1,11,3,3,3,10,6,7,13,8,12,15,1,5,4,7,0,4,1,0,11,2,0,1,5,22,3,0
CELL0124,22,23,0,4,5,9,4,0,13,6,0,2,2,1,2,3,3,2,14,1,1,0,0,8,2,2,16,17,0,27,3,9,4,8,2,3,2,1,2,1,12,17,1,1,4,3,4,12,2,19,17,6,5,3,0,1,1,1,11,4,1,8,1,0,7,1,2,1,12,1,13,13,1,2,0,14,0,11,3,1
CELL0125,4,4,5,7,5,0,0,0,3,5,6,3,9,1,9,2,10,10,6,15,1,0,7,2,2,0,17,5,4,8,0,3,0,2,6,2,1,2,0,0,2,1,4,30,1,1,3,4,1,9,25,4,3,3,6,0,17,3,0,10,2,4,7,9,1,8,14,6,1,3,6,1,3,19,23,5,2,4,4,14
CELL0126,5,3,9,17,40,0,11,4,10,7,8,4,44,7,16,5,1,10,3,1,3,5,12,43,2,17,16,2,17,5,3,3,37,2,2,17,139,12,8,4,14,8,5,5,11,1,1,3,10,7,4,2,1,11,7,8,2,13,6,3,7,8,17,11,3,3,4,4,0,3,5,1,11,7,4,1,4,31,4,0
CELL0127,7,4,17,16,7,6,4,2,8,17,7,8,0,6,3,4,0,3,5,16,3,3,22,6,4,11,7,1,3,3,11,0,4,3,0,1,5,6,2,0,16,3,19,0,1,4,0,12,3,6,1,8,9,18,1,2,20,1,0,3,72,5,13,1,17,21,13,2,7,5,3,67,0,2,10,49,0,3,2,7
CELL0128,12,2,13,15,54,4,13,6,7,9,9,7,40,5,20,6,1,9,5,1,3,8,12,24,0,22,21,0,22,4,2,1,40,1,1,23,165,7,7,0,3,9,2,1,15,1,2,1,4,10,6,3,0,4,5,6,4,9,4,5,14,7,19,15,5,4,4,6,1,3,4,0,20,6,1,1,7,30,3,1
CELL0129,11,12,1,2,9,6,2,20,2,1,1,1,14,5,45,4,4,2,6,11,54,10,2,2,3,5,0,1,0,8,11,2,8,2,4,0,1,3,4,11,14,0,2,9,0,12,26,24,5,1,4,2,13,14,29,5,0,2,12,9,21,19,39,15,34,22,16,1,10,17,5,20,3,1,4,1,30,19,3,15
CELL0130,8,2,5,8,5,0,3,2,1,12,8,4,9,1,8,1,13,5,4,13,3,0,6,4,8,5,31,2,0,9,0,2,0,3,3,2,1,1,0,2,0,0,2,27,3,4,3,6,0,12,26,3,4,3,7,1,9,8,1,14,9,0,7,6,0,9,15,5,2,2,3,0,3,30,24,5,2,0,2,25
CELL0131,3,4,7,19,22,0,9,2,6,5,9,5,29,9,14,4,3,7,0,0,1,3,5,32,0,7,13,0,10,2,0,2,25,1,0,8,99,6,3,2,8,3,2,3,4,0,1,4,7,4,4,1,0,5,3,0,2,3,1,3,14,5,8,12,2,3,1,2,0,1,3,0,1,1,0,0,2,16,0,1
CELL0132,3,1,15,16,9,4,1,1,7,12,3,8,1,7,3,5,0,4,4,5,2,4,13,8,3,8,5,4,1,3,5,1,2,4,1,1,2,2,2,0,6,2,15,1,1,2,1,8,3,5,1,7,3,15,2,0,24,0,0,3,74,4,9,3,14,17,11,3,5,3,3,46,0,5,9,24,2,1,5,6
CELL0133,3,6,0,1,10,3,1,10,2,1,0,0,5,1,15,1,4,2,2,4,31,14,0,0,2,4,1,0,0,1,8,0,2,1,4,0,4,2,2,2,13,0,4,6,0,6,10,10,0,0,5,0,8,5,14,2,1,0,8,3,16,5,25,12,6,4,6,0,4,9,5,13,1,0,1,1,10,7,1,8
CELL0134,7,1,11,5,8,1,1,1,4,11,4,9,18,0,14,1,21,10,9,29,8,0,7,6,8,2,22,6,3,13,1,3,1,2,7,5,1,2,1,4,2,3,6,27,4,2,0,10,2,7,41,1,4,4,2,2,22,1,1,13,7,4,12,8,4,15,19,6,3,4,6,1,3,30,29,6,3,6,3,31
CELL0135,2,2,6,6,5,2,1,1,4,10,12,11,11,1,10,0,16,11,11,15,5,0,9,6,5,3,30,5,5,17,0,5,2,1,4,2,3,4,1,0,5,1,5,36,4,2,1,1,2,8,31,4,2,7,2,1,24,4,0,14,4,2,6,6,2,6,15,6,3,3,8,0,1,25,15,5,5,2,5,19
CELL0136,2,2,3,7,7,1,1,1,5,6,9,3,11,0,7,3,12,5,4,14,5,0,7,3,5,3,27,6,2,9,2,2,1,2,4,2,0,3,0,0,2,3,4,25,3,0,2,1,1,8,23,2,3,7,3,2,13,1,0,17,9,0,7,6,6,2,11,3,4,4,4,0,3,23,16,4,0,2,5,18
CELL0137,5,1,11,10,10,3,2,3,5,10,2,4,0,3,3,3,0,2,2,3,2,3,21,6,0,8,9,0,4,3,6,2,3,4,0,0,3,5,3,0,5,2,17,0,1,3,0,10,1,9,1,5,6,15,2,2,13,3,0,2,62,8,10,0,20,19,12,0,4,3,2,53,0,1,5,23,1,0,5,3
CELL0138,6,2,7,13,52,0,12,2,6,7,4,6,39,7,20,4,2,4,0,1,2,8,13,27,1,20,17,1,13,5,0,1,40,3,0,15,150,9,1,2,9,8,3,3,12,1,1,1,6,4,2,1,1,10,5,3,2,12,3,2,20,9,20,14,3,1,3,2,0,5,0,0,8,6,3,0,6,30,4,0
CELL0139,5,7,7,12,40,1,12,1,7,12,7,2,43,10,22,6,0,5,1,2,2,3,11,33,2,10,14,1,18,3,0,0,38,2,2,17,136,6,1,1,11,12,4,3,16,0,1,3,12,6,9,1,1,5,3,3,5,12,2,3,5,8,6,17,4,3,7,4,0,3,4,0,14,6,3,0,2,18,2,0
CELL0140,4,3,20,19,16,4,4,5,8,10,5,7,1,9,9,6,0,4,3,17,2,3,30,15,4,10,8,1,2,2,6,3,2,1,1,0,1,6,8,0,12,1,22,1,0,10,0,4,5,15,3,18,6,28,4,3,27,5,0,5,87,10,17,2,25,18,25,0,9,5,1,78,3,0,7,45,2,2,2,12
CELL0141,9,9,3,2,6,5,1,15,3,0,0,0,8,3,31,1,0,2,4,9,34,17,4,0,1,1,1,0,0,2,5,3,3,0,2,1,1,3,4,5,5,1,1,2,0,6,11,12,1,1,3,3,10,4,13,2,1,3,16,7,18,7,26,13,23,13,14,0,2,5,9,6,1,4,6,2,16,9,3,3
CELL0142,1,1,12,23,10,4,1,1,5,16,3,3,1,8,3,2,2,2,1,15,1,2,13,10,2,6,7,4,3,0,9,3,4,3,0,1,1,4,7,0,10,1,23,0,1,6,2,8,7,3,0,10,6,26,2,3,13,3,0,6,65,8,10,1,25,24,16,2,3,5,1,50,0,3,9,36,0,2,4,8
CELL0143,4,1,6,7,5,1,0,1,7,3,10,7,13,2,2,1,26,5,8,20,5,0,6,5,3,7,38,9,5,13,0,0,0,2,8,3,1,2,0,2,6,3,6,17,2,4,7,3,1,15,15,1,6,9,2,1,10,3,2,21,2,4,6,7,6,9,19,6,2,3,2,2,1,28,17,4,3,1,3,20
CELL0144,6,3,16,18,8,5,4,5,4,17,2,4,2,10,1,3,0,4,2,7,3,2,19,8,1,14,10,2,0,3,7,1,2,3,0,0,2,4,3,0,11,3,22,4,0,4,0,4,6,7,1,7,3,20,4,2,12,2,1,5,97,4,11,1,16,19,17,1,8,9,5,60,3,3,10,49,1,3,2,6
CELL0145,9,21,2,1,14,8,1,23,5,3,0,0,11,2,39,2,0,5,3,12,45,19,4,2,4,6,1,3,0,4,10,2,9,1,4,0,2,3,4,8,17,0,4,8,3,11,16,19,1,3,4,2,8,13,19,2,0,0,18,6,22,18,37,18,32,14,10,1,2,16,7,16,5,2,2,0,30,30,2,18
CELL0146,3,2,8,12,24,0,8,1,1,6,6,4,31,6,16,4,0,2,1,0,3,6,9,30,0,8,9,0,6,4,1,1,23,0,3,11,71,4,5,1,10,5,2,1,7,0,3,4,2,4,7,0,0,9,4,2,2,4,1,2,7,4,12,7,1,1,1,1,0,3,1,0,6,2,2,0,2,14,1,1
CELL0147,5,3,27,31,18,2,0,7,8,29,2,11,3,17,3,8,1,5,3,25,3,5,24,19,2,20,14,1,3,1,11,5,8,3,1,2,2,6,8,0,17,2,29,1,1,6,0,9,1,21,3,17,7,37,2,3,28,3,0,7,107,10,27,0,30,36,20,0,8,4,3,76,1,1,10,60,1,4,5,13
CELL0148,8,3,6,11,26,0,9,0,5,8,1,2,24,5,15,2,1,10,1,0,3,2,10,20,0,8,12,0,16,3,0,0,26,1,1,16,95,2,2,4,9,5,1,0,8,0,2,3,11,3,1,3,0,11,8,4,2,5,3,1,17,2,11,9,0,2,2,4,0,4,2,0,14,2,1,0,1,17,3,0
CELL0149,21,17,2,3,1,8,7,1,20,6,1,9,0,1,1,1,2,2,9,1,0,1,0,4,4,2,13,18,1,28,1,6,2,1,1,3,5,1,2,1,7,16,0,0,1,3,1,7,2,17,14,18,5,1,2,1,3,2,14,4,0,6,1,2,5,0,0,2,7,0,16,17,0,1,3,9,1,8,4,1
CELL0150,8,4,7,16,40,0,8,1,13,10,8,2,32,6,16,3,0,5,0,0,3,4,15,30,1,8,10,0,20,0,0,1,29,0,1,12,115,17,1,4,6,5,4,2,3,2,4,0,10,5,3,2,3,6,4,2,3,5,5,7,8,6,13,4,2,0,5,4,0,2,0,0,10,7,0,0,1,16,2,1
CELL0151,0,1,6,12,16,0,9,1,7,1,3,3,22,5,8,1,1,1,0,1,2,4,9,16,0,8,10,0,9,5,0,0,15,0,1,7,68,1,3,0,2,5,3,1,5,0,1,1,1,4,3,1,3,4,3,3,1,2,3,4,8,2,9,6,0,3,0,4,0,1,0,0,10,1,0,1,2,11,2,0
CELL0152,7,3,11,30,68,2,15,1,14,9,10,5,58,7,33,8,0,6,2,0,4,6,19,52,1,21,24,0,25,6,2,3,48,1,1,23,180,10,7,5,9,12,8,4,22,2,1,3,7,6,9,2,4,8,8,6,7,19,9,2,16,9,15,14,4,5,4,6,1,3,5,0,11,6,0,0,6,34,5,1
CELL0153,4,4,10,14,12,8,3,3,3,12,3,12,2,7,3,7,0,2,2,8,5,2,22,4,1,7,8,2,5,0,6,1,6,3,0,0,2,7,3,0,16,5,24,0,2,4,1,8,2,4,0,8,13,20,0,0,19,1,1,1,79,8,13,3,18,23,17,4,6,2,3,45,0,2,7,32,2,5,1,1
CELL0154,3,8,0,2,5,3,0,9,1,0,0,1,6,3,19,0,1,3,2,6,29,8,2,0,1,2,0,1,0,1,6,0,2,0,1,1,1,2,7,5,3,0,0,2,0,6,9,8,1,0,2,2,7,1,18,1,0,0,11,6,13,10,15,7,11,6,7,2,3,6,2,11,2,1,2,1,18,7,0,5
CELL0155,5,1,5,8,4,0,0,0,7,12,7,8,20,2,12,3,31,8,9,29,9,0,10,8,7,6,35,4,6,13,0,6,0,5,5,3,2,3,1,2,2,5,4,39,6,4,2,9,0,16,38,5,7,11,7,1,30,1,0,28,10,2,4,14,4,15,13,5,4,8,10,1,3,23,17,8,4,3,3,17
CELL0156,4,0,11,4,7,0,1,0,5,11,10,3,8,0,7,1,17,4,6,19,4,1,11,5,10,3,25,1,2,3,0,1,0,2,8,5,0,3,2,0,2,5,2,20,4,1,6,4,2,16,18,1,5,4,3,1,16,4,0,17,1,3,7,9,1,6,11,3,3,0,9,0,1,12,20,11,3,2,3,18
CELL0157,1,2,8,9,38,0,13,3,12,8,7,0,30,5,30,6,1,2,1,0,0,1,10,27,1,15,15,1,21,2,3,0,21,0,1,19,109,7,6,3,9,4,3,2,4,1,2,0,6,3,5,0,1,7,6,4,3,8,5,1,5,3,13,5,3,1,4,0,0,5,2,0,9,6,1,1,5,19,5,1
CELL0158,2,3,6,5,4,1,2,1,3,7,7,2,9,1,5,2,14,10,6,21,4,2,4,6,7,1,23,3,3,7,0,1,1,3,6,5,1,2,0,0,3,2,1,24,2,1,3,1,2,7,22,2,3,4,3,0,9,1,1,18,2,0,7,8,3,6,15,4,4,2,3,0,0,14,18,5,5,2,1,13
CELL0159,29,23,4,10,4,15,8,0,21,9,2,9,3,1,0,4,18,4,16,2,2,3,0,6,1,4,21,26,3,42,5,15,3,1,1,2,2,7,7,1,32,13,0,0,0,4,6,17,1,21,25,12,10,4,1,5,2,7,15,3,0,10,0,2,12,0,1,2,15,1,20,25,1,0,3,22,0,15,8,3
