"Gene","S01_con","S02_con","S03_con","S04_con","S05_con","S06_con","S07_con","S08_con","S09_con","S10_con","S01_tre","S02_tre","S03_tre","S04_tre","S05_tre","S06_tre","S07_tre","S08_tre","S09_tre","S10_tre"
"LOC127819758",9.399,8.486,10.348,9.992,10.463,6.683,6.997,10.993,7.5,5.892,4.846,7.622,4.365,6.066,7.836,5.314,6.869,7.233,4.973,5.384
"LOC110121333",7.924,8.004,6.919,9.336,9.144,4.546,11.269,8.219,6.981,5.078,9.173,6.378,6.765,11.951,11.502,6.303,6.751,6.985,5.902,4.687
"RNU6-1193P",7.55,9.655,7.855,9.739,9.136,7.787,7.329,3.906,10.364,6.792,6.371,11.429,9.93,6.361,8.808,7.365,7.552,3.851,9.685,8.427
"SFRP2",7.878,8.613,9.153,7.533,9.679,7.446,8.035,9.052,4.816,6.509,9.681,7.394,9.596,6.09,7.048,5.553,8.443,9.943,9.351,8.778
"LOC122152349",7.437,5.947,4.886,5.296,8.95,7.307,8.568,10.518,6.513,8.56,9.396,9.134,10.021,9.429,7.541,8.09,7.755,8.583,10.811,7.169
"LOC126861624",8.287,9.147,8.102,9.58,7.537,10.122,7.488,9.46,8.585,6.691,8.502,6.231,4.813,10.705,6.367,8.631,10.076,8.473,11.45,7.257
"LOC129661638",8.673,6.278,9.396,6.518,9.054,8.358,7.413,7.588,8.953,8.012,8.356,9.972,6.8,9.2,9.76,8.126,6.676,7.065,8.353,13.669
"LOC130056568",5.387,7.561,6.72,10.853,6.917,10.417,8.555,5.151,8.892,8.921,6.083,7.61,9.608,7.72,7.201,7.354,5.214,6.5,5.281,6.738
"GEFSP6",7.449,6.513,4.838,5.694,10.665,5.385,6.518,8.263,8.506,9.025,6.695,9.282,7.521,9.165,7.59,6.759,6.896,9.599,8.31,7.902
"LOC130004123",6.638,8.138,10.492,7.183,8.389,3.772,6.762,8.61,9.186,9.992,5.799,10.342,5.089,8.679,8.818,8.772,9.328,8.424,9.053,3.896
"ROR1-AS1",8.812,8.364,9.274,7.23,7.264,9.438,5.05,8.489,8.723,8.832,7.839,8.108,6.821,7.116,10.777,8.887,8.806,8.163,9.839,5.727
"LOC129995401",7.85,8.255,7.881,10.496,9.214,6.502,6.581,6.156,10.072,8.336,9.835,7.904,7.766,8.223,8.027,9.524,8.195,10.547,6.693,10.543
"LOC124905010",5.854,6.93,6.544,7.301,7.218,5.594,7.847,6.874,8.778,8.019,6.099,7.556,6.314,7.128,7.643,8.014,5.949,9.69,6.532,10.277
"LOC128772238",8.601,8.12,7.697,9.294,10.577,8.247,7.1,10.495,12.376,7.653,6.383,6.433,8.998,9.174,9.626,5.612,8.162,7.064,7.037,9.139
"LOC130002161",4.48,9.536,9.087,8.216,8.43,9.196,6.177,9.233,6.136,8.772,4.913,8.812,9.768,7.831,6.568,6.137,10.505,10.826,8.971,6.386
"LINC02859",9.441,8.699,8.218,5.394,7.031,7.066,8.038,6.294,10.328,7.935,5.903,7.837,5.491,6.008,7.887,9.632,7.517,11.477,7.108,9.211
"LOC130009618",5.434,8.188,6.208,9.044,8.463,9.887,8.828,7.236,10.11,9.561,10.265,8.305,6.791,8.742,10.214,7.819,7.422,5.714,6.319,5.508
"LOC127895189",10.795,10.913,4.414,6.751,8.969,11.232,5.785,7.561,8.629,5.906,7.907,8.518,9.086,5.081,5.442,6.798,7.732,8.162,7.023,9.392
"IGKV2D-38",7.018,10.22,8.041,12.573,7.929,10.13,10.039,4.666,6.79,8.164,9.041,9.13,7.76,9.748,8.739,6.404,10.332,7.498,5.521,11.205
"LOC129936668",7.296,8.858,10.272,6.897,6.66,7.416,8.983,10.438,4.952,4.983,5.332,8.472,10.44,8.803,5.699,6.697,9.477,8.118,8.356,9.516
"LOC127460375",6.028,6.483,9.344,7.142,7.377,11.891,8.934,9.047,6.857,7.86,7.12,8.452,5.361,8.164,4.356,8.227,10.007,5.306,9.684,10.564
"LOC130056101",5.091,6.425,10.97,9.434,5.417,7.072,5.717,10.438,8.051,7.336,9.42,11.513,11.419,8.183,10.367,9.232,6.502,8.086,7.722,7.509
"LOC127821798",8.351,11.081,8.89,7.66,7.994,9.873,6.783,8.939,7.345,7.078,7.976,10.556,6.865,5.941,10.341,8.75,6.941,6.752,8.784,8.159
"LOC130062915",5.549,5.721,7.154,7.417,4.745,8.42,7.94,6.089,9.259,6.73,10.008,9.554,9.163,9.207,7.57,8.373,6.004,6.399,6.849,7.82
"DIP2C-AS1",9.149,9.047,6.704,6.199,9.989,7.274,3.697,9.021,9.283,12.198,9.824,9.466,7.463,7.058,8.748,8.448,7.507,8.243,7.79,9.066
"PANX2",4.734,12.146,4.704,8.662,5.43,10.287,10.198,5.7,8.412,8.635,5.685,9.932,8.358,5.267,7.21,8.532,9.846,7.603,7.513,7.68
"NPC2",6.851,6.563,8.249,6.975,6.664,7.873,8.013,5.16,6.623,8.858,9.845,9.913,13.12,10.153,9.959,10.454,11.374,10.341,7.071,10.347
"LOC106020711",8.864,10.032,8.859,6.831,6.748,6.531,6.422,10.617,5.804,9.181,4.098,7.59,7.911,5.966,8.837,10.691,7.446,9.5,7.324,7.849
"TRIM15",7.64,6.818,7.506,7.738,6.687,7.051,8.445,4.439,7.466,9.076,8.26,10.28,9.656,7.698,6.002,7.14,8.729,9.675,7.549,6.948
"ASPRV1",8.979,6.873,8.421,8.62,12.619,7.42,9.762,6,8.453,7.887,8.068,10.098,6.058,9.082,8.388,8.162,6.342,8.13,7.185,13.359
"LOC111365205",8.26,7.45,5.78,7.493,7.671,4.249,5.461,7.492,6.175,8.883,7.454,13.339,4.064,7.745,7.887,8.506,10.411,6.229,10.36,8.597
"LOC130008712",7.958,8.241,9.436,7.103,9.569,5.753,8.216,7.707,8.898,6.873,8.444,6.285,9.192,7.594,9.182,8.606,8.31,9.383,9.053,7.082
"LOC127272395",10.888,7.152,9.942,7.44,8.095,8.203,7.336,7.89,7.024,10.205,10.563,11.379,10.17,7.693,10.813,9.239,9.013,9.719,8.757,7.395
"LOC105374117",6.304,6.484,9.331,7.582,5.944,8.61,8.112,7.404,9.539,7.931,6.58,8.868,7.922,10.598,6.923,7.47,8.104,10.575,6.174,10.774
"KANK1P1",7.772,8.833,7.585,4.808,9.005,10.656,9.07,5.177,9.951,7.744,8.31,8.992,9.448,8.151,7.079,7.99,9.435,9.345,5.567,10.884
"LOC105371211",6.648,8.891,7.429,8.982,6.981,8.237,8.547,10.248,6.038,9.699,9.741,8.711,7.596,11.008,6.29,9.774,8.202,8.193,6.037,7.06
"LOC127403033",6.611,8.405,6.605,7.692,6.43,8.871,7.237,7.996,9.561,9.525,9.347,9.591,9.003,9.428,7.316,6.535,7.122,10.913,8.249,6.276
"LOC127399736",7.464,9.545,8.441,6.015,5.6,9.857,10.511,9.543,8.282,8.434,4.783,9.527,7.041,6.007,10.43,7.295,9.69,5.237,5.469,6.829
"RNA5-8SP6",6.435,6.711,7.733,4.189,8.473,6.929,8.856,10.676,7.886,6.815,8.064,12.493,9.313,6.612,10.184,11.16,9.403,12.948,11.518,9.598
"LOC127276253",9.139,8.28,8.084,7.786,7.699,7.506,11.886,8.777,7.445,7.922,5.213,5.165,7.906,5.263,6.078,8.31,9.296,5.157,7.035,9.823
"LOC127403637",9.311,12.259,9.531,11.005,6.532,7.391,10.212,8.978,5.464,3.527,8.224,8.233,5.317,9.536,9.495,6.931,9.673,6.921,7.417,6.727
"TCAF2P1",8.618,4.015,6.925,7.449,7.675,7.472,5.772,7.874,6.41,7.344,7.867,10.278,7.571,8.766,11.517,10.93,9.981,9.429,8.508,9.636
"LOC129996937",4.833,6.718,10.138,8.398,10.412,10.013,8.315,8.932,7.251,8.67,8.792,13.198,5.449,8.804,7.743,8.744,8.936,7.403,7.405,6.324
"LOC129931320",7.185,9.668,6.901,7.144,9.168,7.151,7.881,9.989,6.844,10.371,5.623,9.065,7.502,8.301,8.22,9.191,7.196,6.838,8.07,9.369
"LOC130061230",8.549,8.789,6.696,8.451,9.926,9.518,9.181,10.794,7.986,11.274,7.388,9.67,7.199,7.996,7.631,8.937,5.731,9.735,6.379,6.755
"LOC130057570",7.63,8.001,9.717,7.209,10.079,9.238,9.023,9.962,6.04,9.633,7.119,7.998,7.03,8.107,5.298,7.694,5.808,8.237,8.494,6.529
"LOC126863263",10.176,5.414,9.568,7.93,5.307,7.438,8.651,6.722,7.571,8.8,8.076,6.733,5.855,7.146,9.741,9.135,5.833,9.279,4.055,6.904
"LOC130003607",7.265,7.665,10.167,7.935,7.621,5.706,8.46,7.868,9.3,9.936,8.68,6.484,7.049,9.875,7.356,7.419,9.19,7.537,11.038,4.845
"LOC127397510",7.695,8.172,6.974,6.912,6.562,8.805,9.273,8.373,8.8,10.792,7.102,6.887,9.012,11.675,6.837,9.771,6.541,8.429,9.484,9.901
"LOC127891413",8.343,8.444,11.949,5.431,9.666,8.627,6.345,7.106,10.06,7.455,10.167,6.421,7.253,7.225,8.82,7.288,6.616,10.322,7.402,6.132
"LOC127883845",8.652,7.317,5.906,9.854,6.416,10.969,7.297,8.841,6.414,5.512,8.109,6.695,8.349,10.165,7.247,8.48,6.003,9.303,9.972,5.137
"LOC129664503",8.577,8.631,6.964,11.938,8.685,5.981,9.221,7.45,7.779,7.826,7.773,9.798,7.368,5.559,8.12,8.897,7.827,7.719,8.858,5.495
"MDGA1",7.095,7.931,8.831,8.921,7.298,7.731,10.095,7.485,6.099,8.21,7.833,9.893,7.663,8.212,9.666,8.591,5.866,8.496,10.5,9.808
"MAPK6P6",10.203,10.221,8.781,6.97,9.449,5.261,10.146,6.291,8.975,10.213,6.821,8.157,6.391,10.941,9.609,5.902,7.926,8.543,8.344,8.497
"LOC123956146",8.619,11.37,9.479,7.119,7.171,8.345,8.679,7.895,8.896,6.407,9.321,7.151,8.698,9.85,5.636,7.188,8.957,10.064,5.569,8.864
"LOC127399273",8.513,7.468,8.675,10.092,6.991,6.567,8.758,7.39,6.865,7.162,9.539,9.301,8.083,8.384,8.026,10.314,8.641,8.62,8.904,10.554
"LOC130002707",6.328,6.57,8.226,7.386,9.748,8.435,8.581,7.704,8.996,9.061,8.896,9.322,8.117,9.033,6.075,5.168,8.344,10.789,8.147,8.046
"LOC129662847",6.391,9.914,8.351,5.918,8.079,7.855,8.495,8.798,7.011,10.955,6.448,8.226,5.735,6.055,9.497,7.074,6.081,7.901,5.105,8.45
"LOC127822512",6.879,7.381,7.179,6.963,6.892,6.518,9.344,7.292,10.95,7.077,8.192,9.034,8.099,6.595,10.155,4.984,8.202,8.957,5.838,7.843
"ADH1A",6.892,7.216,9.932,4.786,9.34,8.253,8.574,5.739,9.796,8.37,5.961,3.089,6.46,6.63,6.762,4.279,5.426,5.544,5.804,8.555
"LOC120893132",9.324,6.221,5.624,7.556,7.238,7.456,9.39,10.029,7.65,8.246,10.06,10.312,7.642,12.047,9.608,11.44,11.994,10.854,11.439,8.64
"LOC129660616",9.347,7.746,6.351,8.174,8.91,8.202,11.268,6.777,6.249,8.449,7.557,8.915,9.112,7.083,7.507,8.012,6.646,8.561,9.231,9.44
"LOC127898343",9.19,7.635,10.228,9.624,7.516,8.986,7.4,8.595,8.146,6.797,7.945,9.267,9.968,9.447,7.641,8.013,9.334,11.073,6.069,9.384
"KAT7P1",7.786,5.821,6.637,7.796,8.913,9.024,10.022,10.444,5.654,6.249,10.888,11.819,10.885,8.802,9.889,9.816,13.997,9.389,9.729,12.149
"LOC129993366",6.802,10.804,6.756,10.925,8.024,8.8,9.653,8.557,8.843,8.649,8.799,7.39,5.992,6.133,8.213,8.126,6.981,6.493,7.338,8.779
"LOC116276494",5.431,6.128,4.905,9.525,9.689,11.561,11.444,3.778,9.511,5.778,10.023,8.108,11.77,10.498,8.665,5.501,10.457,8.46,6.301,6.61
"LOC126859720",5.876,8.708,8.1,7.04,7.566,9.098,4.697,9.781,6.615,7.976,2.285,9.667,7.873,8.161,7.912,9.939,7.507,7.774,11.523,5.976
"LOC130057604",10.375,7.407,6.96,6.878,8.533,8.889,11.101,9.398,7.547,6.969,8.397,7.421,5.755,9.862,10.215,7.94,7.396,6.305,10.061,7.047
"LOC127887961",6.641,7.592,5.514,8.569,6.621,8.726,8.199,7.343,7.206,8.49,7.967,7.601,8.477,9.595,5.497,6.992,8.181,7.372,5.368,6.838
"LOC127893036",6.423,7.088,8.843,9.202,10.156,6.163,9.08,5.89,7.402,8.504,11.181,8.32,12.406,10.65,13.132,12.502,10.171,10.298,12.263,6.486
"LOC127458860",7.028,5.287,6.915,9.049,6.447,7.763,6.834,6.705,9.548,6.651,10.427,4.845,8.051,8.476,9.925,9.268,6.459,9.699,8.057,9.392
"LOC127271368",6.407,10.223,8.762,7.071,10.382,5.388,6.235,8.633,8.041,8.555,9.313,8.139,8.916,4.268,10.32,7.391,8.056,7.779,8.248,8.229
"LOC127819871",6.638,9.082,6.788,7.201,6.404,8.353,6.563,9.383,6.85,8.83,8.842,7.594,6.723,6.882,7.75,7.416,9.938,7.992,7.709,8.892
"LOC127400644",10.8,9.918,8.137,5.652,7.603,7.496,9.296,8.741,5.685,6.604,7.885,8.092,6.692,6.626,8.831,7.403,8.004,7.672,9.156,7.271
"LOC127822077",6.785,8.31,5.655,5.468,6.465,6.156,7.498,7.453,8.595,11.976,9.52,7.857,5.458,12.544,8.722,8.583,5.875,8.801,9.521,10.209
"MECR",7.182,5.594,11.259,9.989,9.982,7.595,11.524,4.016,9.984,9.467,12.23,6.408,8.857,9.053,8.659,6.083,7.385,8.184,6.088,7.155
"LOC127271786",7.832,7.249,7.677,3.663,8.488,9.373,8.161,8.574,4.809,8.733,10.301,9.32,6.325,9.365,7.33,6.336,9.18,9.018,5.173,7.654
"LOC130000935",11.139,8.526,6.818,6.001,4.959,7.398,8.9,7.733,5.952,9.462,6.326,6.945,8.367,6.961,5.878,12.867,11.85,9.676,7.987,6.535
"LOC129930500",7.31,3.832,7.524,5.99,9.683,9.372,7.941,7.243,8.503,6.553,7.619,9.461,8.084,8.47,5.493,6.399,2.967,7.322,7.912,7.222
"LOC127409402",8.371,6.187,9.797,5.288,5.582,6.877,9.071,10.035,9.487,9.946,8.307,9.714,9.046,10.201,10.037,5.919,7.951,5.595,6.687,8.064
"LOC127823344",8.488,7.885,7.54,8.777,6.015,6.833,10.44,7.38,8.837,9.2,7.911,9.619,8.022,9.962,7.925,4.98,8.489,5.377,4.901,8.576
"LOC110120965",7.463,6.461,7.973,8.841,11.268,5.805,8.908,7.728,10.771,7.457,9.727,7.215,7.947,5.57,8.786,6.17,2.706,8.139,6.408,10.549
"LOC129992658",4.431,6.827,8.974,9.239,7.829,9.803,7.631,10.514,6.675,8.386,8.912,5.723,8.484,6.667,6.485,6.962,6.271,6.553,9.477,8.299
"LOC127398565",10.17,7.896,7,11.178,7.221,4.712,7.424,8.421,8.367,6.586,7.391,6.622,6.021,9.242,5.138,10.034,10.895,6.538,6.456,8.297
"KRT18P59",7.67,6.161,9.2,7.958,9.034,7.58,6.964,8.99,12.678,9.578,8.957,7.549,7.644,8.998,9.2,8.113,9.869,6.817,5.535,3.18
"PRKN",8.691,6.596,8.302,5.91,3.413,8.395,7.53,8.724,8.488,11.386,7.91,9.637,5.893,9.127,6.53,9.192,7.227,8.603,7.42,9.372
"LOC130006784",6.801,10.222,6.769,6.421,9.038,9.26,11.562,6.078,9.883,5.455,9.413,7.371,7.41,8.325,6.783,8.382,9.561,9.275,4.578,7.227
"RNU6-907P",8.904,7.328,7.803,12.093,7.122,9.497,6.805,6.133,5.713,5.569,6.61,7.074,8.634,8.065,6.798,6.761,9.094,8.284,7.66,9.787
"LOC127830441",9.353,10.953,9.84,7.748,8.135,9.817,9.597,10.27,5.199,10.247,9.335,6.789,8.766,8.372,10.324,7.196,6.977,7.104,5.351,5.461
"CA3-AS1",10.353,7.98,9.162,7.918,8.963,7.515,9.29,9.306,6.621,9.137,8.107,5.969,11.229,6.297,9.363,6.757,5.589,8.584,6.897,7.585
"H2AC17",6.505,11.605,6.136,7.092,8.927,7.395,7.332,9.233,8.601,7.83,7.676,9.951,8.577,9.259,7.257,6.752,6.337,7.17,9.748,8.979
"MPI",8.349,7.44,7.634,6.376,5.737,4.603,4.365,9.879,7.183,6.402,9.956,9.558,8.813,7.634,7.768,7.299,7.244,9.711,6.22,9.363
"LOC127830598",7.619,5.8,6.63,7.8,10.185,6.984,10.613,7.124,7.666,8.733,8.413,6.357,9.329,5.926,8.864,10.105,9.71,5.849,6.307,6.708
"LOC130009617",7.334,8.275,7.116,9.672,7.809,9.576,7.965,7.58,8.674,7.958,6.421,9.446,6.838,7.789,5.618,7.896,6.104,7.142,10.034,7.884
"MTND4P24",6.474,8.153,8.56,7.793,9.718,5.543,7.522,9.336,7.715,4.327,5.467,6.473,6.423,7.501,7.161,6.397,6.085,4.906,6.442,4.813
"ZNF442",8.913,8.607,9.687,6.53,10.433,7.736,7.586,5.859,4.023,6.46,12.715,8.257,9.874,9.531,9.651,10.618,10.854,10.167,11.521,8.982
"LOC130061170",8.656,8.149,9.469,10.45,7.932,8.211,8.779,9.756,7.824,6.083,7.276,9.929,9.362,8.542,10.244,7.01,6.195,9.07,7.706,6.049
"LOC127822220",11.034,6.567,9.262,7.05,8.083,9.544,8.111,7.963,9.045,8.971,8.847,8.077,8.887,7.192,6.704,10.882,10.972,8.398,7.414,7.83
"LOC127815557",4.614,8.132,8.183,7.812,8.655,7.508,7.879,6.171,9.064,8.469,9.712,8.245,8.663,7.226,7.425,6.606,6.354,5.703,7.777,7.397
"BNC2-AS1",11.162,5.258,7.743,7.337,9.163,9.441,8.821,9.57,8.28,8.767,8.67,12.656,10.986,10.633,9.704,11.436,12.102,8.635,8.973,12.099
"LOC129390341",7.034,6.84,9.598,9.395,8.878,7.442,8.335,7.682,8.775,6.277,8.155,5.655,5.769,7.072,8.264,7.689,7.87,4.844,7.857,8.598
"THAP3P1",9.794,10.825,10.394,8.513,9.183,7.928,6.103,7.203,8.673,7.936,3.912,6.344,8.301,4.929,5.836,8.595,6.109,9.602,4.833,4.911
"RNU6-1191P",8.247,7.65,6.232,7.852,7.372,7.237,7.365,8.312,8.108,6.924,5.84,6.062,5.69,6.306,5.619,3.136,6.399,9.057,6.326,4.994
"LOC127396518",8.828,7.657,6.65,5.766,7.931,9.323,9.156,8.442,6.03,8.68,5.356,8.945,7.275,6.112,7.534,7.117,3.854,6.434,8.957,8.539
"NPAP1P2",8.376,9.418,7.675,9.912,9.522,9.122,5.359,9.521,9.569,9.636,7.938,6.666,4.419,10.093,5.378,5.538,8.732,6.865,11.667,7.766
"TDP2",9.999,12.427,6.743,8.898,9.094,8.326,10.412,7.645,6.14,11.251,7.613,8.476,8.343,7.126,7.092,9.692,8.412,7.908,7.808,7.876
"LOC127271809",6.948,8.897,7.34,8.237,5.84,7.676,11.999,8.667,7.769,9.188,8.358,6.543,5.901,7.355,5.483,8.583,6.698,9.031,8.194,10.388
"LOC127896645",9.172,7.389,8.263,6.703,9.896,6.322,8.842,8.343,6.695,7.152,7.222,7.88,7.358,7.85,7.857,9.687,9.622,11.088,5.491,5.192
"MIR3065",5.606,9.307,8.291,6.463,8.862,8.03,8.039,6.789,6.158,8.687,8.396,8.203,10.095,10.026,6.891,6.815,7.548,8.025,6.613,9.605
"LOC127821426",6.614,7.291,10.553,5.155,7.538,8.544,10.713,7.293,7.131,9.257,6.805,7.068,8.568,8.364,4.978,5.448,8.182,5.567,6.306,4.405
"TRIM29",8.877,7.969,6.286,7.861,8.496,7.352,8.467,11.607,6.869,7.251,6.268,9.398,8.064,10.072,8.902,11.211,6.714,10.659,9.704,8.871
"PAPLN",8.511,3.637,7.065,7.578,7.992,8.433,5.114,6.847,8.791,9.053,5.132,6.878,4.784,7.028,8.5,6.471,4.766,3.889,6.793,4.699
"LOC123477792",7.613,6.44,7.844,7.673,7.675,8.812,7.932,10.675,7.09,5.217,8.097,8.782,5.021,8.666,7.226,9.038,6.241,4.742,8.002,8.088
"FAM204CP",7.802,8.48,7.43,9.644,7.109,8.819,6.023,7.806,7.591,10.297,7.28,8.744,9.755,7.372,10.272,8.427,5.427,6.422,8.241,7.893
"RNU6-913P",8.303,5.856,4.714,9.744,7.668,8.685,5.088,4.832,5.54,9.57,9.236,9.504,10.317,8.041,6.753,9.294,9.149,8.397,6.159,6.489
"POLR2MP1",9.405,7.063,8.684,7.813,7.529,9.844,7.934,7.896,10.267,7.57,5.966,3.592,6.059,4.735,7.943,4.41,3.968,6.651,8.083,6.747
"LOC129390121",5.117,7.206,8.627,8.075,7.196,8.129,6.015,6.614,9.411,5.255,9.416,8.491,8.73,4.722,8.312,6.845,7.732,8.949,6.225,8.145
"KAZA2",8.35,7.369,8.222,7.409,9.048,9.534,10.271,7.423,10.159,7.208,8.247,8.699,7.649,8.046,8.914,5.749,8.489,7.139,6.64,8.825
"LOC130000432",5.456,6.335,6.958,9.861,7.161,11.079,2.236,5.85,9.906,7.515,8.348,8.123,6.134,6.149,6.916,7.094,6.816,8.244,8.527,5.935
"LOC127273157",10.202,6.982,11.368,10.816,11.631,10.031,9.916,6.422,8.111,6.315,5.891,9.459,5.657,5.852,7.403,10.042,7.273,6.092,8.941,7.752
"LOC129996400",9.377,9.458,5.37,6.524,6.908,9.682,7.581,9.551,8.601,8.208,8.712,10.254,6.589,5.242,7.03,8.265,5.548,8.515,7.364,11.24
"LOC130067512",7.501,7.1,9.239,7.351,8.295,9.427,11.439,7.158,6.514,8.777,11.43,6.039,8.35,8.653,5.422,5.567,8.402,7.929,7.496,9.062
"LOC129936093",9.874,11.826,10.446,7.661,7.891,7,10.735,6.505,7.535,9.159,11.292,4.72,7.786,8.622,6.989,7.395,7.379,9.068,7.401,9.05
"LOC129934243",7.232,6.189,5.149,8.706,9.492,7.075,8.171,9.027,6.308,6.811,9.791,9.25,10.905,9.342,8.91,5.814,9.197,7.434,6.724,7.966
"ADCK2",4.421,8.182,6.905,7.959,5.076,8.277,6.564,8.363,9.878,9.453,9.528,7.38,8.388,6.774,7.691,7.507,5.141,8.098,9.041,10.111
"HPS3",5.683,9.046,9.267,8.631,9.174,11.732,6.556,8.708,8.558,6.998,7.853,6.801,7.144,8.155,6.929,9.016,5.308,7.575,10.19,11.124
"LOC130063106",7.853,9.403,9.534,8.385,7.425,8.745,5.524,6.695,10.787,7.849,5.741,10.546,9.464,7.253,5.712,5.822,7.833,4.957,9.215,4.983
"LOC127814968",6.515,7.75,8.014,4.953,6.724,7.648,5.985,7.175,7.746,10.232,6.614,9.609,8.222,11.191,11.706,6.713,9.131,9.989,9.638,6.573
"HMGN1P35",8.382,10.533,8.3,8.084,9.083,7.048,7.411,8.899,7.879,8.499,5.629,7.865,9.353,8.994,10.858,7.082,9.407,9.805,8.891,5.977
"RNF11P2",10.827,7.971,8.79,7.216,8.901,7.435,9.004,8.076,8.324,10.852,8.071,8.513,10.261,7.161,11.222,8.957,8.714,9.057,5.648,7.241
"LOC127821512",7.487,6.483,8.318,6.97,9.431,8.677,8.688,9.023,5.432,5.681,8.365,9.094,9.952,8.928,4.846,7.242,8.416,9.708,6.224,8.712
"LOC120908909",8.088,8.856,7.922,7.122,7.517,6.578,3.634,7.448,6.94,7.305,10.092,6.743,8.852,8.441,7.074,8.273,7.333,9.015,8.28,8.154
"LOC130056170",9.507,8.595,7.021,11.785,6.836,8.511,6.042,7.518,6.472,8.086,8.399,12.131,5.531,6.814,5.949,6.736,6.06,6.161,9.317,7.921
"LOC127409497",10.939,4.249,6.095,9.538,8.91,8.845,10.704,8.515,4.008,6.807,7.574,6.802,7.793,7.519,10.796,4.181,11.057,3.336,6.266,7.286
"LOC127458815",4.036,7.255,8.432,8.746,6.689,10.271,8.602,6.028,7.548,5.556,10.78,5.714,5.492,6.883,8.766,6.938,7.48,10.743,7.337,6.4
"MAML2",9.33,7.38,8.228,6.966,9.53,7.16,6.46,8.959,9.004,10.907,8.071,7.579,8.566,9.696,4.679,10.012,7.812,8.613,7.909,8.161
"LOC110120694",6.759,8.228,8.875,11.54,8.172,5.509,7.651,7.35,9.449,6.883,8.619,7.74,7.827,8.028,7.779,6.228,7.914,7.867,10.967,6.951
"MGC2889",7.961,9.706,6.74,7.174,6.333,10.629,5.081,7.637,8.107,2.878,9.333,8.44,10.961,10.664,8.141,11.148,9.538,5.022,9.312,7.588
"ZNF875",4.775,5.023,9.299,4.643,7.781,9.248,9.102,7.399,6.773,7.489,10.422,7.278,12.913,7.799,8.033,6.149,4.441,5.814,11.274,8.032
"LOC127830517",6.904,7.912,9.51,8.04,9.317,10.436,9.034,8.472,9.237,8.992,10.223,8.369,9.791,7.576,7.275,9.115,8.24,9.789,9.421,10.511
"LOC127887948",9.993,2.652,7.574,11.133,8.762,10.344,10.409,7.828,9.919,7.829,7.718,8.513,9.312,9.172,8.264,6.671,8.191,8.935,7.893,7.074
"LOC129661931",9.163,7.255,8.09,5.152,7.397,6.548,7.694,6.405,6.683,7.789,6.181,11.634,8.777,5.254,5.023,9.594,4.561,7.646,7.76,5.425
"LOC124904757",6.354,8.261,11.546,8.054,8.215,6.531,7.77,6.998,12.516,6.266,8.868,7.961,7.742,5.961,8.617,8.741,9.125,8.3,9.933,6.927
"LOC127829082",8.278,7.203,6.406,4.53,8.455,7.823,7.294,5.735,10.496,9.031,8.507,9.355,8.303,6.204,9.569,11.237,12.473,6.578,5.017,7.73
"LOC129934863",7.387,8.499,7.334,9.439,7.476,9.135,7.767,6.916,7.473,9.546,6.531,5.041,6.431,10.498,6.363,9.263,9.369,8.478,8.203,5.061
"LOC127402881",5.355,9.648,8.026,8.229,8.367,3.913,10.246,7.243,7.363,6.955,8.684,9.127,9.024,5.46,7.066,9.284,7.142,8.319,8.965,8.684
"LOC129660723",6.866,8.455,11.858,7.172,9.89,7.699,7.42,9.809,9.671,9.821,7.36,5.319,7.894,8.048,10.849,6.297,8.704,8.762,8.107,10.347
"LOC130002685",10.169,7.301,7.774,7.373,8.217,5.442,7.174,7.79,7.828,7.995,8.395,10.308,10.558,9.779,8.319,8.949,8.969,9.829,10.583,9.86
"LOC124908409",7.211,7.361,8.14,8.594,8.644,11.039,7.671,7.64,9.477,9.661,9.537,8.181,9.002,7.568,9.25,7.054,10.329,5.672,8.05,9.498
"LOC127398521",6.121,7.193,5.56,7.373,9.079,9.886,5.945,9.824,8.31,6.696,8.336,7.272,7.826,8.308,9.482,8.082,7.87,6.298,7.905,7.51
"LOC112163645",9.077,8.328,9.466,8.978,5.619,8.059,7.242,8.267,7.143,5.504,8.906,9.412,6.849,7.144,6.637,7.172,6.532,7.878,8.189,6.774
"LOC130005361",7.898,7.322,7.921,7.004,8.564,9.36,7.621,7.532,5.763,7.946,9.761,7.253,10.305,10.048,7.299,7.825,5.019,6.443,9.667,6.166
"LOC129998021",6.735,10.117,7.552,8.619,10.132,5.871,11.177,9.766,8.732,10.771,5.721,9.414,6.562,5.495,8.572,8.084,5.488,6.873,8.532,7.366
"LOC124905562",8.208,5.465,5.62,8.205,9.437,5.726,8.007,7.522,8.341,5.992,5.567,7.903,8.834,8.366,9.1,4.389,10.19,7.25,6.979,6.293
"LOC129662939",3.391,7.383,9.644,7.871,8.02,6.622,5.766,8.741,8.681,8.094,6.683,10.34,6.397,6.991,7.678,7.91,7.385,5.102,8.194,9.499
"ANKRD6",9.059,7.855,8.052,6.956,6.65,7.306,8.822,6.277,10.062,7.459,12.382,7.487,6.404,8.009,8.727,8.845,10.674,9.604,7.797,6.734
"NDUFB5P2",6.539,7.895,6.514,5.926,7.986,9.329,6.065,5.245,5.645,10.174,9.061,6.936,9.885,7.757,7.394,8.72,7.816,6.603,10.574,8.838
