"Gene","S01_con","S02_con","S03_con","S04_con","S05_con","S06_con","S07_con","S08_con","S09_con","S10_con","S11_con","S12_con","S13_con","S14_con","S15_con","S16_con","S17_con","S18_con","S19_con","S20_con","S01_tre","S02_tre","S03_tre","S04_tre","S05_tre","S06_tre","S07_tre","S08_tre","S09_tre","S10_tre","S11_tre","S12_tre","S13_tre","S14_tre","S15_tre","S16_tre","S17_tre","S18_tre","S19_tre","S20_tre"
"THAP9-AS1",8.458,6.864,7.108,4.469,4.965,6.576,8.21,8.567,7.755,6.122,7.54,6.412,6.931,7.734,4.817,8.841,8.703,8.008,7.685,5.836,7.151,6.987,6.454,6.56,7.719,4.886,5.946,4.524,8.097,5.977,6.445,6.84,8.383,6.819,7.929,8.417,8.434,6.261,8.101,8.554
"LOC127825667",4.269,8.445,6.475,5.913,6.122,5.519,7.806,6.657,7.147,7.72,6.33,6.551,6.396,8.099,6.789,7.904,7.75,6.964,6.86,7.197,8.396,6.801,9.399,8.946,7.365,6.821,6.102,7.42,7.897,5.173,7.096,8.495,6.889,9.233,5.521,6.95,7.58,9.287,7.106,6.956
"LOC127405604",4.282,5.664,7.252,6.31,8.542,5.688,8.216,7.223,7.495,5.585,7.614,6.54,7.384,8.911,8.695,7.601,5.939,8.54,9.092,5.887,5.282,7.191,6.984,7.494,6.805,7.211,6.104,8.458,8.192,7.876,6.395,7.944,9.11,8.357,8.788,8.353,7.585,6.067,7.655,6.113
"CYP4F35P",5.322,6.449,6.281,7.089,4.88,5.818,6.932,8.948,7.678,7.425,6.997,6.542,7.09,5.785,7.724,8.427,8.225,7.463,7.192,6.406,8.424,4.933,9.929,6.034,6.658,4.508,7.022,7.988,7.612,6.244,5.857,5.486,7.241,8.564,6.782,6.748,3.898,8.057,6.018,8.508
"LOC124906347",8.394,6.793,7.915,6.196,7.887,7.498,8.587,7.131,8.755,7.327,6.937,5.452,6.084,7.283,7.858,6.163,6.004,7.608,4.465,8.198,10.871,11.306,8.337,9.61,10.329,8.478,9.186,8.62,8.24,8.597,10.21,8.495,8.735,6.63,7.127,9.229,8.639,10.546,10.022,6.556
"LOC127817994",8.163,7.856,7.517,7.256,6.584,5.638,7.221,7.812,8.488,7.88,7.808,8.528,6.677,6.69,7.75,7.915,6.59,9.59,7.22,8.913,7.503,8.081,5.213,7.758,8.324,6.854,5.355,6.683,9.114,5.198,6.002,5.887,7.462,6.637,6.838,6.331,7.016,6.173,7.562,6.977
"LOC129389042",5.905,6.605,7.013,10.216,6.541,7.015,7.063,7.933,4.829,8.396,8.923,6.257,7.128,6.459,5.37,8.048,8.043,4.891,6.437,7.108,7.574,8.292,7.223,5.675,6.452,6.658,6.876,7.151,10.694,7.822,5.607,6.281,8.151,6.367,5.445,6.595,7.473,5.821,4.98,3.495
"LOC130006574",7.06,7.906,6.668,6.497,4.494,5.328,6.892,8.788,6.227,8.246,6.437,6.661,6.559,5.76,5.298,6.102,8.179,8.055,4.661,7.796,10.036,7.803,7.124,7.438,7.624,7.046,7.043,6.872,8.053,6.395,8.133,7.455,6.504,4.597,8.882,6.891,5.624,8.802,8.418,6.366
"LOC127457296",7.81,7.147,7.392,7.129,6.081,6.998,10.003,6.583,10.29,8.58,5.447,5.829,6.071,7.742,7.695,9.919,4.111,5.33,8.162,8.002,8.93,8.933,7.493,7.033,6.722,8.309,6.946,6.586,5.361,6.301,8.98,8.371,8.168,6.076,7.858,5.744,8.516,7.533,4.845,5.84
"LOC126861723",7.631,7.234,7.941,6.036,7.538,7.203,8.079,7.138,8.084,7.374,8.502,4.093,8.219,7.533,6.546,7.95,8.958,5.035,6.463,6.065,5.457,6.533,7.121,9.497,8.04,8.693,5.675,6.54,8.792,6.019,6.826,8.193,6.64,8.377,7.146,5.359,6.525,9.931,4.687,8.056
"ECTD8",7.692,9.758,8.84,8.408,6.476,8.65,3.855,6.365,4.591,5.55,5.172,7.31,7.265,9.465,5.491,7.288,7.787,4.716,4.903,5.296,7.873,6.588,5.835,5.049,7.982,6.109,7.974,6.186,9.45,6.6,5.28,8.026,9.213,6.768,9.196,4.924,6.267,8.314,5.753,7.894
"RN7SL560P",7.257,6.12,5.215,5.398,8.571,6.859,6.41,5.199,7.407,8.292,7.436,7.935,7.717,4.249,5.785,7.508,6.775,6.611,7.446,7.53,7.357,6.722,7.107,6.622,6.318,9.256,6.016,9.848,7.968,4.603,7.879,7.148,9.054,5.229,6.057,5.948,8.842,7.205,7.6,5.856
"LOC126863187",7.425,8.268,6.221,6.446,7.086,8.032,7.993,4.121,6.716,9.217,8.009,6.138,7.783,9.57,6.248,7.265,5.598,6.226,7.647,7.091,6.983,8.397,4.772,11.86,8.317,9.29,8.247,9.295,9.296,7.452,6.186,6.792,5.783,5.749,7.507,5.697,7.777,7.127,7.328,7.609
"LOC130002822",5.128,8.427,9.223,7.345,6.985,4.728,6.185,6.003,8.837,7.531,7.312,8.958,8.52,6.215,9.104,8.875,6.551,8.33,6.438,7.129,5.838,5.593,3.908,3.892,5.454,4.703,2.334,5.263,6.425,6.807,4.385,6.149,4.959,5.046,4.579,4.387,2.347,9.371,4.705,1.9
"LOC127818209",9.749,9.168,6.787,8.118,6.887,7.425,5.923,7.078,6.237,6.123,9.425,7.68,7.99,8.458,5.377,6.451,6.669,8.622,8.346,6.608,6.036,7.009,9.295,5.578,7.194,5.509,5.179,7.448,6.494,5.215,12.003,8.945,4.318,8.016,6.897,7.119,9.301,7.741,8.1,6.993
"LOC124903009",6.76,7.421,9.086,7.329,7.539,6.964,5.989,6.109,6.473,7.338,6.866,4.647,5.261,7.201,7.443,7.857,5.722,5.808,6.504,5.094,6.876,7.449,6.716,7.615,7.185,6.836,7.195,6.17,7.355,7.064,8.226,5.564,7.437,8.02,7.073,7.323,6.705,7.692,5.327,5.504
"LOC127814551",7.64,7.326,5.962,7.838,8.674,8.74,7.462,6.951,9.033,6.347,8.507,8.542,5.112,7.673,6.728,5.818,7.258,6.877,6.463,8.895,6.899,8.238,6.721,5.316,5.975,6.606,7.788,5.035,8.011,7.76,8.791,5.903,9.082,7.923,7.58,7.244,5.684,9.022,6.284,6.586
"LOC100422493",5.23,7.199,8.534,5.182,8.109,5.095,6.313,7.22,6.144,7.234,8.878,9.728,6.679,7.305,9.354,4.09,8.325,3.272,7.611,6.597,7.8,5.287,8.152,9.243,6.418,7.518,7.616,8.159,5.565,5.558,4.949,6.736,7.774,4.828,7.055,7.02,6.495,6.934,4.946,6.43
"RAPSN",6.525,7.93,5.883,6.25,8.055,7.994,6.987,8.361,6.299,7.306,6.953,5.919,8.015,8.625,5.283,5.375,8.28,5.604,7.699,8.217,7.387,5.428,10.597,6.305,6.294,6.295,7.892,7.115,4.647,6.206,5.514,5.978,5.958,7.655,8.519,8.48,6.246,8.021,8.107,8.982
"LOC130059501",7.983,7.794,5.869,6.882,9.004,6.465,6.826,4.632,5.568,4.386,7.754,5.715,7.705,6.145,5.501,8.734,5.324,9.154,10.018,6.059,8.665,5.395,7.729,8.314,9.252,6.264,7.461,5.774,6.57,9.191,8.514,6.464,5.222,8.823,7.039,6.762,6.166,5.571,6.794,5.948
"LOC112841600",7.19,6.634,7.384,8.367,6.448,7.037,6.803,9.823,5.799,9.198,5.991,7.06,8.575,7.953,6.057,8.399,6.558,7.5,6.208,7.745,9.028,8.473,6.504,7.802,7.627,5.658,5.834,8.776,6.487,6.285,8.989,7.213,5.369,10.021,6.062,7.144,8.188,6.288,6.099,5.623
"LOC127829005",7.341,8.152,6.643,6.98,6.933,6.961,6.314,7.151,5.288,7.819,8.623,7.319,6.526,5.055,4.581,6.679,5.372,6.799,7.271,6.671,10.352,11.727,9.861,8.83,9.263,8.004,8.54,9.317,8.281,9.578,9.647,9.035,7.733,10.568,10.016,7.165,11.044,9.876,8.218,8.903
"LOC127739471",5.302,7.772,5.554,6.678,9.424,7.308,5.976,8.265,7.58,7.79,7.936,6.628,5.686,5.874,6.443,7.369,7.485,6.269,7.678,7.897,9.771,6.711,6.424,6.802,6.969,6.454,9.306,6.257,7.448,7.359,7.142,9.074,7.47,6.398,5.836,8.893,7.271,6.24,7.905,7.39
"LOC129997427",7.64,7.91,5.562,7.102,6.364,6.201,8.99,4.673,6.377,6.355,4.825,6.756,5.314,7.713,5.41,5.007,7.11,5.717,5.4,8.017,9.321,5.961,6.975,4.845,5.336,6.873,4.775,7.599,7.538,5.982,5.856,5.607,7.526,7.877,8.801,6.643,5.934,6.283,6.126,5.093
"SNORD116-5",6.336,10.659,7.4,5.586,7.947,7.38,8.153,9.024,8.344,5.885,7.163,6.672,8.812,7.415,6.001,6.966,8.757,6.083,4.509,7.47,8.196,8.101,3.455,5.436,7.824,9.553,6.506,5.75,6.513,7.509,7.234,6.24,7.671,6.374,6.982,6.909,8.243,7.613,7.624,8.842
"DFNB40",4.841,7.36,5.589,5.153,7.399,7.506,7.175,7.126,6.466,8.429,7.664,7.747,9.185,6.685,8.766,7.132,5.768,7.841,6.337,6.367,6.555,5.052,5.732,5.327,5.485,8.302,5.806,8.587,7.745,8.437,6.222,6.873,10.21,6.793,5.899,8.372,7.063,7.908,6.16,5.121
"LOC124908611",7.809,6.332,8.322,7.558,9.651,6.695,7.181,6.346,7.054,5.079,8.177,7.696,5.879,6.839,7.079,5.914,5.021,7.414,10.088,6.534,6.355,6.213,7.39,6.752,5.732,5.487,7.943,8.365,7.336,7.89,5.442,6.537,7.34,7.617,8.635,6.874,6.983,5.627,8.513,7.121
"CFAP251",7.02,7.549,8.682,5.82,9.078,6.479,7.297,6.206,6.05,8.526,7.057,7.403,6.096,7.246,8.417,7.258,6.041,9.834,6.306,6.529,8.254,9.234,5.258,9.398,6.525,6.737,7.397,8.506,6.895,5.878,4.177,4.33,8.208,7.29,6.475,4.465,6.295,6.218,5.715,8.657
"LOC130063261",6.046,6.655,5.431,7.376,7.311,9.64,9.401,6.873,7.596,4.497,5.564,7.344,9.81,8.141,6.934,6.346,8.087,6.931,7.127,6.414,7.662,5.8,6.239,7.355,5.455,8.349,7.263,6.913,8.364,6.51,5.451,7.556,6.521,7.602,7.579,3.987,6.176,5.763,7.65,6.192
"RN7SKP28",7.358,5.999,4.725,5.343,7.782,5.502,6.53,5.935,9.056,7.607,6.868,6.905,5.78,4.658,5.933,6.803,7.538,7.601,8.282,6.837,8.093,6.303,6.355,8.454,5.751,8.273,8.163,7.094,9.348,5.503,4.853,7.51,6.496,6.729,9.152,7.086,5.554,5.562,8.607,8.706
"LOC127823096",4.584,6.511,4.146,6.047,3.116,6.653,5.501,6.147,7.357,5.63,9.371,7.285,5.783,7.285,7.189,6.063,8.56,6.116,7.199,6.902,7.837,5.111,6.488,6.264,8.457,6.385,6.993,6.524,5.889,6.768,6.668,7.18,8.896,7.902,4.415,4.963,7.82,9.121,5.36,7.639
"LOC130064172",9.703,7.143,8.014,7.078,6.918,7.762,7.097,4.648,8.034,5.823,5.67,8.787,5.554,4.933,6.636,7.158,6.486,6.651,8.149,7.837,8.848,7.556,5.647,6.205,5.964,5.772,6.084,6.646,5.406,5.982,9.15,6.153,7.067,7.168,7.917,8.06,9.211,6.689,7.821,4.997
"LOC129993372",3.931,8.264,5.589,5.52,7.892,7.215,7.733,6.673,6.943,5.87,5.694,8.425,5.342,8.789,7.857,8.353,5.866,7.711,6.15,7.265,7.173,5.957,6.173,7.821,6.171,6.737,6.177,11.571,8.256,7.699,6.135,9.737,8.557,7.337,6.895,6.566,4.714,7.775,5.005,6.358
"LOC130004213",7.425,7.464,8.321,6.788,10.199,8.687,7.171,5.74,7.002,7.281,6.475,5.548,6.153,8.119,5.922,7.759,10.483,8.552,7.706,6.216,9.757,7.093,8.185,5.967,4.675,5.93,6.578,5.535,6.382,5.918,4.284,4.863,7.073,8.613,5.014,6.629,8.895,8.817,6.847,7.358
"CCNG2P1",6.704,5.929,6.726,7.299,7.168,7.573,6.461,5.429,5.954,8.752,3.903,8.049,9.236,6.595,7.408,6.511,6.31,9.568,5.395,7.68,7.536,8.607,6.269,5.352,7.095,8.751,6.324,8.489,7.14,7.137,6.516,8.007,6.831,5.813,6.772,5.619,4.366,7.053,6.092,7.165
"LOC127885651",5.465,6.798,5.26,9.087,7.815,7.945,8.121,6.052,5.757,7.309,5.332,5.583,6.405,8.523,5.781,7.412,6.465,6.557,8.125,7.659,8.815,9.335,10.109,6.653,7.691,5.824,8.193,3.661,6.856,6.745,5.259,8.987,7.271,6.418,3.891,8.812,6.127,6.92,6.579,7.018
"LOC130008906",7.43,5.011,5.861,6.14,7.109,8.239,8.979,8.032,4.931,8.509,4.754,6.419,4.8,6.376,7.688,6.372,9.133,5.64,5.834,6.57,4.768,6.433,3.827,4.374,5.479,4.749,6.99,4.412,7.134,4.122,6.538,2.982,7.711,6.044,4.951,5.505,3.871,2.754,5.988,6.354
"LOC132090923",6.471,6.737,7.061,7.584,5.371,5.043,7.07,6.148,5.802,7.635,8.465,8.352,7.667,4.092,6.563,4.738,4.461,6.425,7.733,7.433,9.433,9.129,9.028,7.048,8.931,9.063,8.991,9.168,7.504,7.695,11.111,7.991,7.941,9.025,9.759,8.813,11.024,7.989,9.52,8.318
"LOC130055375",8.983,5.295,9.622,7.916,7.116,6.906,9.422,9.115,7.806,3.788,8.273,7.276,4.388,5.118,8.437,4.59,6.658,8.56,7.831,7.021,6.327,7.526,7.849,8.528,7.457,5.938,6.691,5.825,8.981,8.588,5.683,8.03,7.108,7.861,4.711,8.698,6.758,7.204,6.953,6.69
"LOC127828338",5.566,5.193,7.485,10.032,7.818,7.83,5.17,9.822,7.679,7.266,5.536,8.344,6.016,6.88,6.9,5.064,7.666,7.952,6.39,6.726,4.984,6.151,8.14,6.591,7.234,8.548,8.897,8.097,9.398,7.591,8.04,8.247,6.581,7.639,6.501,6.173,7.571,7.599,4.832,7.466
"LOC110120757",8.738,8.251,4.913,9.302,7.38,9.069,5.962,4.967,7.259,6.099,7.636,6.612,8.563,5.793,7.623,7.622,9.052,7.04,8.605,6.45,7.202,6.52,8.596,10.136,7.239,7.388,9.981,8.848,8.939,7.1,11.762,8.81,10.798,7.6,6.039,8.423,9.052,8.18,9.18,6.672
"LOC127406899",7.719,6.768,6.347,8.17,7.956,4.459,8.467,6.254,7.214,8.434,6.532,7.015,6.739,7.31,8.629,8.669,7.178,8.628,6.576,5.714,9.714,5.058,9.058,8.138,4.446,5.771,5.36,7.645,6.296,6.562,8.523,7.244,7.125,4.976,6.574,5.528,8.091,6.505,7.278,7.928
"LOC127407210",5.627,7.004,5.445,8.73,6.994,5.715,6.258,6.877,7.105,5.351,7.094,3.539,3.824,9.297,7.873,6.876,7.285,7.056,9.413,6.511,5.729,6.66,6.977,7.757,6.771,7.393,10.77,7.448,9.091,5.647,6.51,7.642,6.2,9.402,6.536,7.527,7.426,4.979,8.41,4.584
"LOC127895404",6.753,7.665,5.608,6.546,6.42,8.287,8.502,6.045,5.927,6.004,8.978,7.169,8.666,6.584,7.2,6.013,5.174,9.422,4.91,6.222,4.513,7.316,5.767,7.502,9.325,6.77,6.635,7.889,8.816,5.429,8.398,7.258,6.271,6.271,5.848,6.719,6.384,6.372,5.969,8.993
"LOC127270808",5.818,6.407,7.97,8.381,8.319,8.285,6.139,8.763,6.195,6.78,4.432,7.472,5.075,7.071,5.45,8.222,8.612,5.467,5.992,6.004,6.62,6.105,7.695,5.243,8.002,5.223,7.469,6.406,6.676,5.402,7.475,6.937,6.012,8.192,6.152,6.161,7.503,9.51,6.21,7.074
"LOC127892170",4.399,6.726,6.432,6.194,5.322,6.323,8.596,7.201,7.785,8.255,6.619,8.882,6.782,8.224,7.561,7.439,6.206,6.805,7.676,6.989,6.014,8.039,7.483,6.396,6.679,5.473,10.048,3.962,7.224,9.001,6.86,6.205,5.636,5.87,7.374,5.88,8.478,8.003,7.132,5.945
"RN7SL438P",9.482,6.256,8.401,7.852,7.981,4.883,6.506,5.923,6.591,6.665,7.445,10.25,7.455,9.388,5.186,9.261,6.544,7.409,7.93,7.032,7.858,8.044,3.952,5.927,4.766,5.705,6.259,6.97,7.684,7.61,6.613,5.453,7.768,6.933,7.241,9.429,6.551,7.122,5.049,8.46
"LOC129663920",9.04,6.541,7.316,7.152,7.177,5.727,6.958,6.334,7.291,8.374,4.416,7.095,5.096,3.779,8.238,7.677,7.223,7.772,7.438,8.007,6.807,6.998,6.395,7.04,5.505,6.372,8.593,5.115,6.097,5.275,8.127,7.351,7.375,9.362,6.287,7.877,3.23,6.997,7.73,5.498
"TRBV4-3",7.182,5.635,7.065,6.339,3.607,8.9,7.464,5.588,6.34,8.003,7.099,6.021,5.929,8.081,6.192,7.835,6.672,9.086,7.804,7.156,7.237,8.298,6.496,5.31,6.523,7.089,7.633,7.912,5.798,8.217,6.155,7.185,6.255,6.521,8.07,6.875,9.287,7.758,6.964,8.222
"LOC127883227",5.153,8.025,9.15,7.53,6.345,4.069,5.382,6.373,5.095,7.848,8.182,7.207,6.78,5.992,7.343,8.454,8.266,6.697,8.085,7.945,6.635,7.772,7.185,5.73,7.834,7.599,8.329,7.019,7.381,6.407,7.813,7.711,6.44,7.275,7.514,7.604,7.479,8.122,5.795,7.098
"LOC130000320",7.667,7.805,6.308,8.113,8.68,6.585,6.945,8.417,8.376,3.874,6.762,5.442,6.389,6.969,5.774,8.143,5.852,7.394,4.83,6.343,7.046,8.728,8.386,8.147,6.793,7.41,6.858,7.728,7.425,9.283,7.159,5.976,6.997,6.643,5.542,8.137,6.569,7.65,5.68,9.182
"ATP5MC1P4",5.716,5.979,7.427,7.822,4.304,7.73,7.028,5.758,6.872,6.713,7.09,7.209,7.364,4.38,7.173,5.687,6.534,8.136,9.335,4.626,7.784,9.613,4.581,7.357,6.736,8.207,8.159,9.898,2.947,7.513,7.879,8.055,5.783,7.336,6.486,6.008,8.791,8.139,7.249,6.395
"ABHD2",7.776,9.316,11.441,5.559,8.89,6.83,8.614,7.801,6.656,7.095,7.039,6.868,6.979,6.109,7.063,8.628,9.532,5.831,6.309,8.093,8.194,5.512,6.929,5.211,6.56,7.334,6.182,8.858,6.48,8.485,8.177,8.227,7.581,4.197,6.254,7.173,5.27,7.034,9,7.879
"LOC124906971",8.128,6.675,6.538,4.925,8.871,6.949,5.637,6.67,7.547,8.518,7.304,7.881,5.034,8.62,6.865,6.791,8.079,5.335,7.784,4.62,6.072,7.955,2.655,7.984,5.727,6.263,6.27,10.269,6.23,7.333,5.247,6.654,5.001,5.545,7.873,6.961,8.006,9.198,5.354,5.837
"LOC127882544",7.246,6.609,9.324,6.723,8.54,9.105,8.665,4.861,9.743,7.231,7.805,6.759,5.253,7.945,6.401,8.484,6.708,5.247,6.405,8.3,9.563,6.432,6.395,6.723,6.86,6.407,6.663,6.687,7.134,6.507,6.683,7.073,6.312,5.162,7.522,9.108,8.425,7.083,7.078,5.75
"LOC130009436",6.91,5.051,4.939,5.414,6.91,6.504,6.878,5.979,7.044,7.493,6.806,7.456,6.267,5.662,5.118,7.815,7.167,7.781,8.214,6.537,8.486,7.675,7.212,9.267,7.056,4.955,6.793,7.881,5.859,6.621,5.426,9.881,7.502,5.794,6.192,7.957,7.475,6.784,6.124,8.881
"LOC127405289",8.399,7.044,7.358,7.013,6.273,7.318,6.521,4.841,8.846,8.037,4.444,8.969,7.264,7.226,10.404,6.672,6.055,6.323,6.509,8.574,6.463,6.816,6.353,8.246,6.983,8.086,8.589,7.172,5.721,8.554,6.641,5.705,5.357,6.951,5.236,6.215,6.872,8.013,7.951,7.049
"LOC127822612",8.392,5.816,6.289,6.976,4.979,6.404,8.205,9.456,8.114,7.556,8.953,6.742,9.022,6.502,5.531,7.449,9.117,6.448,6.878,7.781,5.961,4.899,7.406,6.104,6.354,7.682,6.849,7.506,6.693,4.806,8.999,6.459,5.972,6.434,7.348,8.752,6.075,6.162,9.863,6.103
"FABP4",7.548,7.457,5.021,6.349,6.899,7.658,7.394,7.325,6.34,5.803,5.995,6.48,9.094,4.851,7.822,6.766,6.663,6.058,8.005,5.684,7.938,6.09,8.339,8.399,5.723,8.82,7.729,5.679,6.093,5.59,7.894,7.022,7.468,8.251,6.041,6.121,7.662,10.189,7.808,8.068
"LOC130008253",6.838,7.254,6.196,4.815,6.708,6.487,8.148,7.186,7.83,4.866,6.351,8.032,6.975,6.079,5.848,8.55,5.939,7.778,9.807,6.95,5.979,5.206,7.37,5.694,7.687,4.667,6.043,7.817,7.268,5.692,6.634,10.135,8.792,7.896,6.87,7.134,7.701,6.427,7.881,7.115
"LOC127824033",8.218,8.118,10.023,6.411,9.484,7.448,9.104,7.019,7.213,6.01,6.407,4.751,4.497,8.762,5.325,6.232,6.388,6.747,6.517,5.862,5.53,5.376,6.432,6.97,7.42,8.577,6.833,7.335,6.318,6.543,7.778,6.817,7.214,6.174,7.03,7.683,7.798,6.586,7.822,6.774
"DTNB",7.261,6.124,6.75,6.44,7.341,6.852,6.93,7.315,8.093,4.72,7.29,6.897,8.098,6.359,8.91,7.968,5.921,6.066,8.148,3.768,5.09,4.135,6.481,6.164,4.48,6.748,8.539,6.019,5.604,8.415,6.394,7.114,8.496,8.08,8.055,3.792,8.8,6.526,6.347,5.804
"LOC129937329",8.883,4.839,6.265,4.841,6.309,10.095,4.722,6.621,7.864,5.11,6.849,4.586,8.444,5.473,6.366,4.006,6.956,8.689,5.836,8.504,7.404,6.822,6.344,6.605,8.113,8.424,5.718,6.211,5.129,8.838,6.764,5.017,5.395,5.868,7.746,7.111,8.199,4.87,5.976,8.485
"LOC128316846",5.333,7.507,8.37,7.776,8.301,9.217,6.336,6.488,6.499,7.159,7.515,6.142,6.494,7.875,6.8,5.948,6.377,7.213,7.992,6.845,7.941,5.163,7.267,7.331,5.2,7.45,5.263,6.518,6.914,6.367,5.602,8.191,7.922,8.498,8.127,4.465,8.165,6.861,9.112,7.282
"LOC129993758",6.89,7.574,6.097,6.784,8.08,6.186,6.719,5.848,5.058,7.103,6.39,9.758,7.375,6.917,9.5,6.648,8.035,6.867,6.285,7.286,6.134,6.618,6.449,7.948,4.504,5.104,7.912,8.004,6.784,7.387,6.849,6.935,7.299,4.69,6.692,6.025,5.931,8.599,5.271,6.838
"LOC129996268",8.432,8.669,7.307,7.072,6.362,6.284,7.107,6.768,7.564,5.675,7.074,8.951,5.947,5.972,7.953,5.311,7.156,6.178,8.228,4.935,6.43,4.612,6.379,1.939,1.957,3.788,2.277,5.162,4.681,3.776,4.326,4.295,4.709,5.502,5.579,3.227,4.236,5.523,3.667,2.663
"LOC127815578",6.102,6.788,7.364,7.777,7.613,5.153,4.982,6.866,7.325,7.415,7.356,8.836,6.916,7.169,7.424,8.724,5.449,10.483,7.879,7.492,4.725,6.766,4.94,8.152,9.725,5.331,6.08,8.422,8.337,8.39,6.575,5.066,7.157,6.247,6.019,6.473,8.305,8.025,6.914,7.835
"LOC126862654",4.757,7.649,6.455,8.509,6.191,5.599,6.079,5.753,6.271,6.086,7.976,8.652,7.418,3.255,6.354,6.181,8.915,6.9,8.425,6.011,5.974,6.044,6.498,8.562,5.961,6.786,7.314,6.794,5.428,8.064,8.202,8.336,8.315,6.611,5.123,6.504,6.752,7.808,9.528,9.407
"LOC129664851",7.736,7.598,6.511,5.299,6.114,4.441,6.391,7.188,7.764,8.111,6.28,8.108,8.094,7.86,6.669,4.722,8.223,7.931,6.586,6.826,7,6.567,6.882,8.326,8.419,5.136,5.521,6.685,7.905,9.163,9.001,7.042,7.757,7.036,7.789,7.505,5.033,7.794,9.263,7.103
"LOC129936211",6.225,6.381,9.165,10.026,5.843,7.84,6.715,5.273,6.697,5.658,7.37,5.112,7.681,5.813,6.671,6.074,7.313,6.942,6.751,5.464,8.826,7.689,8.484,10.494,8.387,7.574,5.683,5.751,8.604,6.734,10.54,7.362,9.583,7.538,9.103,9.715,9.742,7.238,10.752,9.531
"MMP10",6.364,4.976,6.792,6.124,6.481,5.748,6.175,7.316,9.051,7.663,7.574,8.496,7.45,7.964,6.487,8.297,7.652,5.845,6.339,7.345,5.334,7.351,6.978,6.724,7.602,6.69,5.703,6.961,8.2,5.055,9.489,5.383,5.952,6.886,6.04,9.027,5.21,5.162,7.662,6.511
"LOC127399338",8,6.104,9.828,7.116,5.706,6.837,6.335,6.915,7.195,5.811,6.952,7.257,5.342,9.2,8.874,4.64,8.461,5.884,5.878,6.927,7.39,4.987,7.387,7.64,7.655,6.054,6.069,9.454,6.141,7.052,6.861,6.95,7.084,8.948,6.505,7.411,7.105,5.61,5.843,6.604
"LOC127275342",9.749,7.193,6.736,7.71,8.088,9.306,9.297,8.18,6.482,6.696,6.663,5.604,8.756,7.805,6.984,6.266,7.545,8.673,5.698,7.138,6.39,8.662,7.883,7.748,4.802,7.526,7.678,8.119,7.764,6.717,8.311,8.183,6.937,4.656,9.439,8.127,7.515,7.005,6.695,6.955
"RNU4-73P",7.058,7.176,6.678,6.382,7.853,7.852,6.765,7.007,8.677,5.005,8.39,8.502,3.936,6.951,6.001,7.711,8.489,6.473,5.632,10.614,6.131,5.348,6.864,5.74,4.76,10.17,6.912,6.816,7.273,7.736,4.366,6.6,9.417,8.401,7.647,7.168,6.419,6.648,5.898,7.706
"SNX5P1",8.231,5.216,6.205,8.461,6.847,5.314,5.315,7.691,4.079,5.897,7.369,7.358,5.857,5.11,8.206,5.238,7.973,5.167,8.342,7.164,6.94,8.285,6.634,6.479,10.362,10.264,9.128,10.436,11.158,9.237,7.263,9.919,6.111,10.791,11.408,8.37,9.904,9.908,9.525,11.159
"FREM3",4.238,6.879,3.248,6.581,9.121,5.904,5.607,8.872,6.779,9.16,3.449,7.047,8.51,4.995,7.162,7.358,6.846,7.05,4.875,6.265,6.635,7.001,6.268,7.259,6.402,5.19,4.943,7.448,7.817,5.909,9.057,7.196,5.172,5.596,4.527,7.232,6.425,6.996,7.993,7.909
"PAK5",7.118,5.546,4.531,6.729,7.655,4.591,7.033,7.424,8.102,6.347,6.782,8.393,6.062,6.838,4.598,7.362,8.556,7.253,5.761,6.987,6.673,5.463,7.02,3.465,4.916,9.422,7.75,7.025,6.858,8.442,10.152,7.191,7.128,7.36,7.367,5.35,6.102,6.4,5.263,7.158
"LOC102724520",4.739,7.968,6.875,10.137,7.904,5.419,9.425,8.123,7.049,5.717,6.435,7.573,6.49,5.491,5.803,7.453,4.69,5.779,6.553,5.004,8.349,6.57,7.928,5.979,7.771,5.134,8.678,7.127,8.465,5.825,7.087,5.284,9.088,7.087,7.425,6.899,9.08,8.172,7.468,6.765
"LOC127407953",4.787,7.101,6.039,7.058,6.488,8.93,7.791,6.557,7.02,6.612,7.27,4.838,10.076,6.423,6.256,8.712,7.096,8.761,7.996,7.055,6.814,11.369,6.386,8.084,8.572,7.904,8.663,8.083,11.47,9.794,10.19,9.14,11.084,9.743,8.322,9.62,8.77,7.442,8.813,10.713
"LOC124902632",8.831,6.35,9.03,7.573,8.846,7.597,5.333,6.295,7.826,8.603,7.494,6.899,8.229,5.39,7.546,6.478,6.434,9.132,4.631,5.93,7.54,5.039,4.659,5.094,7.745,6.021,4.617,4.291,6.383,5.501,4.803,5.436,7.138,4.823,4.558,4.964,4.34,5.989,4.804,5.584
"LOC127405824",7.908,7.795,7.435,4.223,7.157,5.206,6.932,6.627,5.32,7.73,7.517,5.633,5.179,9.094,5.977,6.463,7.966,8.065,8.105,6.796,6.502,7.454,8.067,8.856,9.172,8.65,8.24,5.777,7.996,6.024,7.355,8.234,7.212,5.939,4.894,7.426,8.022,8.429,5.404,5.914
"LOC129994492",7.749,5.87,6.347,7.19,6.39,7.788,5.994,5.788,6.381,6.821,7.935,8.871,6.355,6.27,6.967,6.055,7.241,8.384,6.751,8.274,8.355,8.284,6.199,8.857,7.198,7.502,6.885,6.08,6.377,6.545,6.609,5.355,8.783,5.766,8.247,10.144,7.571,6.141,8.354,7.975
