,Epithelial_prog00,Epithelial_prog01,Epithelial_prog02,Epithelial_prog03,Epithelial_prog04,Epithelial_prog05,Epithelial_prog06,Epithelial_prog07,Epithelial_prog08,Epithelial_prog09,Fibroblast_prog00,Fibroblast_prog01,Fibroblast_prog02,Fibroblast_prog03,Fibroblast_prog04,Fibroblast_prog05,Fibroblast_prog06,Fibroblast_prog07,Fibroblast_prog08,Fibroblast_prog09,Myeloid_prog00,Myeloid_prog01,Myeloid_prog02,Myeloid_prog03,Myeloid_prog04,Myeloid_prog05,Myeloid_prog06,Myeloid_prog07,Myeloid_prog08,Myeloid_prog09,Tcell_prog00,Tcell_prog01,Tcell_prog02,Tcell_prog03,Tcell_prog04,Tcell_prog05,Tcell_prog06,Tcell_prog07,Tcell_prog08,Tcell_prog09,NicheResp00,NicheResp01,NicheResp02,NicheResp03,NicheResp04,NicheResp05,NicheResp06,NicheResp07,NicheResp08,NicheResp09,NicheResp10,NicheResp11,NicheResp12,NicheResp13,NicheResp14,NicheResp15,NicheResp16,NicheResp17,NicheResp18,NicheResp19
SP0103,1,1,1,2,1,1,2,1,0,1,0,0,1,3,1,2,0,3,2,3,7,15,9,6,9,11,10,5,8,6,2,2,3,2,3,3,2,1,2,1,5,1,2,2,1,0,2,0,4,1,0,3,2,2,2,3,4,2,0,0
SP0104,1,0,1,2,2,0,4,0,1,3,2,3,1,2,2,1,2,0,1,2,3,0,1,2,1,1,1,1,0,2,10,5,18,8,10,8,13,11,14,13,1,1,0,2,1,5,2,4,2,0,1,4,2,0,2,0,1,3,2,1
SP0105,1,4,3,1,0,3,2,2,0,2,0,2,0,1,2,0,2,1,1,4,1,2,0,0,1,2,2,1,3,1,11,9,8,6,7,11,16,5,11,15,2,1,0,3,0,0,1,0,1,2,0,1,3,5,1,1,1,0,3,1
SP0106,1,2,2,1,4,1,1,3,0,4,5,8,12,11,17,12,8,10,5,5,1,4,1,1,1,3,0,1,3,1,2,3,1,2,2,2,0,4,1,0,1,3,2,1,1,0,2,0,4,2,0,1,1,1,1,1,2,2,0,1
SP0107,0,2,3,3,1,1,1,1,0,2,1,1,0,5,1,2,1,0,3,0,1,1,5,2,0,3,1,0,1,0,4,14,7,13,8,7,5,5,6,8,0,1,1,1,3,1,0,1,0,4,1,1,3,1,1,2,3,3,4,0
SP0108,5,10,8,10,9,10,7,6,7,10,1,0,3,1,1,0,2,0,1,3,3,1,0,2,5,1,0,2,3,1,1,1,1,3,4,1,0,1,0,1,1,2,4,4,4,3,1,0,0,1,4,0,1,0,2,0,0,2,1,1
SP0109,2,1,1,1,1,1,1,3,2,0,3,0,2,3,3,0,1,1,1,1,0,3,0,2,1,1,2,1,1,0,9,6,13,15,12,14,16,10,13,11,3,3,3,2,3,0,2,2,2,0,2,0,1,3,4,1,1,0,0,4
SP0110,15,9,5,7,11,12,6,11,9,7,0,1,1,3,3,3,1,1,0,0,1,1,1,0,2,0,1,2,2,2,4,2,2,3,1,1,1,1,1,2,1,1,3,0,0,2,0,1,1,0,2,1,0,2,1,0,3,3,0,1
SP0111,0,0,1,0,1,3,0,0,1,0,0,1,0,0,1,0,1,1,1,0,12,12,12,10,5,7,11,14,7,13,0,3,4,3,3,1,0,1,1,0,4,4,1,3,3,1,2,3,3,1,0,2,3,0,2,1,1,3,2,3
SP0112,4,9,8,7,10,5,10,13,6,11,0,0,2,0,0,0,1,2,1,0,2,1,1,2,2,1,3,0,2,2,2,3,0,3,2,3,1,2,0,1,2,2,2,3,2,0,0,1,1,0,0,0,0,1,0,3,1,1,1,2
SP0113,1,3,2,0,2,0,1,3,1,1,0,4,4,2,1,2,3,1,0,1,13,16,6,5,10,11,11,4,12,7,1,1,0,3,1,2,3,2,0,1,3,1,1,0,0,4,4,1,0,3,2,0,0,0,1,4,0,1,1,1
SP0114,1,1,2,2,1,4,2,2,0,2,1,5,0,1,0,0,0,2,1,1,12,18,5,4,13,5,8,6,14,10,3,1,0,0,3,2,1,2,1,2,2,5,0,3,2,3,2,4,0,4,0,2,0,0,1,1,4,0,1,2
SP0115,1,1,1,2,0,0,4,4,1,1,2,1,1,2,2,1,0,2,1,1,1,4,2,1,0,1,3,0,1,2,9,10,5,17,13,9,11,16,11,17,1,1,2,2,2,0,3,0,3,1,4,1,1,3,3,1,1,1,1,2
SP0116,8,8,12,12,10,10,3,10,9,12,2,2,1,1,0,6,2,1,1,2,6,3,3,0,1,1,0,0,1,2,1,0,0,1,4,5,3,1,2,1,0,2,0,3,1,2,2,1,1,2,0,0,1,1,0,2,1,2,0,0
SP0117,2,4,3,2,1,1,1,3,1,2,3,3,1,5,1,1,2,2,1,2,6,6,12,2,17,10,2,5,11,3,1,0,1,0,3,2,1,1,1,0,2,0,2,0,3,1,2,1,4,1,4,1,1,2,2,0,2,3,0,1
SP0118,4,16,10,7,16,3,8,6,8,12,0,3,1,1,1,1,2,1,2,2,1,3,2,1,2,0,1,2,2,0,2,0,6,2,1,1,3,3,0,0,5,0,1,1,2,1,0,1,1,0,0,0,1,3,2,4,1,5,2,1
SP0119,1,0,1,0,1,2,1,2,0,4,2,0,1,0,2,0,1,1,1,0,4,3,1,0,1,1,4,3,0,3,8,15,11,6,10,14,8,9,18,10,3,1,3,3,2,2,2,2,1,0,2,0,3,2,0,3,4,3,2,1
SP0120,2,2,0,1,0,1,1,2,1,0,1,4,0,1,7,1,0,1,1,2,9,5,10,6,2,9,9,10,10,13,0,3,0,1,1,1,2,1,1,2,0,2,0,2,3,1,2,4,0,5,4,1,1,3,1,1,1,1,1,2
SP0121,2,1,1,0,0,0,2,0,0,1,0,2,2,3,1,0,3,2,1,2,1,2,0,0,1,1,0,0,3,1,14,5,7,9,9,11,6,7,9,14,1,1,2,4,4,1,0,0,2,1,1,1,1,1,1,3,2,5,2,1
SP0122,0,2,1,2,1,2,1,1,0,1,1,1,0,4,1,1,1,3,0,1,1,1,1,0,1,0,1,2,0,4,15,4,9,14,9,8,11,7,12,4,2,2,4,3,0,0,1,1,2,1,3,1,3,0,1,0,1,4,3,2
SP0123,2,3,2,2,1,0,0,1,0,1,1,0,0,1,3,0,2,2,2,3,0,3,3,0,0,0,2,4,2,1,14,11,7,5,13,9,7,9,9,10,1,1,0,0,1,0,0,1,1,2,1,0,3,1,3,2,4,1,4,1
SP0124,1,2,1,1,0,1,2,3,1,2,1,1,3,0,0,1,0,3,2,0,1,2,0,5,1,2,2,0,2,1,14,10,8,9,14,9,9,7,9,3,0,0,2,0,1,4,3,0,1,2,1,1,3,1,5,4,2,1,2,0
SP0125,4,3,1,3,2,3,4,1,0,1,7,15,3,9,16,5,6,11,8,7,3,6,0,1,1,2,1,2,0,1,0,0,0,1,1,0,1,1,0,0,0,0,1,1,1,3,1,2,5,1,0,3,1,3,2,0,1,0,0,0
SP0126,1,1,0,2,1,0,3,1,1,2,2,2,1,3,0,0,4,3,3,2,0,5,2,1,0,0,2,2,3,1,9,11,6,7,8,6,4,8,13,8,0,0,0,1,0,3,0,2,0,2,3,2,2,1,3,1,1,3,2,0
SP0127,2,2,1,3,1,1,3,0,5,0,1,2,1,2,2,2,3,0,1,1,1,1,0,1,1,0,1,3,1,2,12,9,8,7,16,6,8,8,5,13,2,1,1,1,2,0,0,1,0,0,1,2,1,2,0,5,4,1,1,1
SP0128,2,2,1,3,1,1,2,1,0,4,1,1,2,1,1,0,2,4,3,2,2,3,0,0,3,1,1,1,1,2,12,8,20,12,16,10,11,11,14,6,1,1,1,4,0,1,2,3,2,0,1,3,4,2,3,2,4,3,1,1
SP0129,8,19,4,5,10,7,6,6,13,5,3,0,1,1,1,0,2,1,1,1,1,0,0,1,1,0,1,0,2,1,0,0,1,2,3,2,2,1,0,0,3,2,0,3,1,1,1,1,2,0,1,2,0,0,4,0,1,1,0,2
SP0130,6,8,8,4,13,12,14,11,12,15,3,1,1,1,0,2,1,0,0,3,0,1,0,2,2,0,1,2,3,2,2,2,1,2,1,3,1,0,1,1,3,4,0,2,2,2,0,1,2,1,0,0,1,1,0,0,0,1,1,1
SP0131,7,5,5,5,9,11,5,11,10,12,0,1,1,0,1,0,0,1,1,0,0,1,1,0,2,1,1,1,2,3,1,2,0,3,1,0,0,1,0,1,1,1,1,2,3,4,1,3,1,1,2,1,2,1,4,1,2,1,2,2
SP0132,1,0,3,1,4,1,3,0,2,1,2,0,1,2,2,3,3,2,1,2,7,11,4,9,5,7,8,10,10,9,0,5,3,2,3,2,1,1,0,1,0,1,0,3,2,0,1,1,4,3,2,2,1,3,0,3,4,0,1,0
SP0133,1,3,4,0,1,1,2,0,1,0,6,26,8,13,5,7,4,15,9,2,3,1,0,3,3,1,0,1,1,2,0,0,0,0,1,1,4,3,0,0,2,0,2,1,2,2,3,3,2,0,0,0,0,2,2,1,0,2,0,0
SP0134,10,11,9,11,8,4,10,12,9,5,4,3,0,1,1,2,2,2,1,0,2,2,1,2,1,1,1,0,2,0,0,1,4,2,1,0,0,2,1,2,1,2,0,0,2,3,0,3,1,2,0,0,1,4,2,3,0,0,1,3
SP0135,3,0,3,0,2,3,3,1,0,2,2,3,0,2,1,0,2,3,1,4,8,7,11,17,10,8,14,4,6,5,2,3,3,1,0,1,0,2,2,2,3,3,2,2,0,2,1,4,1,0,3,1,1,1,0,2,4,1,0,1
SP0136,0,0,1,1,2,4,3,0,1,2,7,6,9,8,13,7,6,7,7,13,3,1,2,1,1,2,0,2,3,2,1,1,2,0,1,0,1,1,1,2,3,1,1,1,1,0,1,3,2,1,0,1,2,2,3,1,0,2,1,3
SP0137,0,2,3,3,0,3,3,2,1,1,1,0,2,1,1,1,1,2,1,0,1,1,2,3,5,0,0,3,0,3,15,12,13,12,7,5,12,5,13,22,0,2,3,2,2,0,2,1,2,2,0,0,4,0,3,1,3,1,0,1
SP0138,2,2,1,1,1,0,4,1,2,0,10,9,10,4,11,7,8,17,9,12,2,1,1,2,0,2,2,0,1,1,0,1,4,0,0,3,2,1,0,2,1,1,2,3,1,2,3,2,3,1,2,4,1,2,3,0,1,2,2,2
SP0139,2,0,2,1,1,3,1,1,1,2,7,10,4,13,11,18,13,10,15,9,1,2,2,3,3,3,0,0,0,2,1,3,2,0,1,3,0,0,0,2,2,0,0,0,3,0,2,1,1,1,1,4,3,6,2,0,2,1,2,2
SP0140,10,10,9,4,12,4,3,7,8,13,0,2,3,2,2,2,1,3,2,1,3,1,0,0,2,0,0,0,5,2,0,0,3,3,0,5,0,3,2,0,1,0,3,1,0,2,3,1,1,1,2,3,1,2,2,3,6,1,0,3
SP0141,1,0,0,1,4,0,1,1,2,1,0,0,0,2,2,3,2,0,1,0,1,1,4,0,1,1,2,0,4,3,8,10,8,7,8,4,5,6,13,8,1,7,1,2,5,1,1,0,1,3,0,2,3,3,1,2,2,0,2,0
SP0142,2,2,0,3,1,5,3,1,0,1,0,1,0,1,0,1,5,1,1,0,2,1,0,1,1,2,2,0,2,0,4,8,14,11,9,12,9,7,14,2,0,3,0,0,0,3,0,1,0,5,1,1,6,2,1,0,6,1,0,5
SP0143,8,5,22,10,5,12,11,5,8,7,1,1,2,0,0,1,1,1,0,2,1,1,1,1,0,1,1,2,4,0,0,2,3,2,0,0,1,3,0,1,1,0,3,2,1,0,2,3,1,4,2,2,4,1,4,0,3,4,1,1
SP0144,2,2,3,2,1,2,1,4,4,2,0,1,1,3,1,1,2,2,0,0,3,1,1,3,0,2,1,1,0,2,9,11,18,13,11,7,5,5,8,12,0,2,1,1,0,0,2,1,2,2,3,0,1,2,2,0,2,2,0,1
SP0145,6,5,11,9,9,7,10,6,11,5,1,0,0,1,2,0,1,0,1,4,0,0,2,2,1,1,0,0,3,3,1,2,1,1,0,1,1,3,1,1,1,2,0,1,0,1,1,0,2,1,1,0,0,2,0,1,3,0,1,2
SP0146,3,0,3,2,1,2,1,2,1,1,3,2,1,0,1,2,0,0,2,0,0,3,1,3,1,1,1,1,0,1,9,16,4,11,12,6,8,6,7,4,3,0,1,1,2,0,0,1,1,1,1,0,0,0,0,4,0,2,2,1
SP0147,1,1,2,0,0,1,2,0,3,3,18,8,8,15,3,14,13,16,16,8,1,0,0,1,1,1,1,0,0,0,1,1,0,2,0,0,1,3,0,1,2,0,2,0,0,1,1,0,0,3,0,2,2,1,1,1,1,4,3,6
SP0148,4,2,1,2,1,1,0,1,2,2,17,7,5,23,11,6,3,8,7,8,2,2,6,0,0,1,0,2,0,0,3,5,0,1,2,3,1,0,1,3,0,1,0,1,0,0,2,4,2,2,3,0,1,2,2,3,0,1,3,1
SP0149,1,4,0,2,0,2,0,0,1,3,12,12,11,10,9,13,8,6,4,12,1,3,2,4,3,0,6,1,1,0,0,1,1,1,2,2,2,1,0,1,1,0,1,3,4,4,1,1,0,0,3,3,2,3,1,2,1,5,2,1
SP0150,9,12,14,7,12,2,8,11,15,7,2,0,2,2,1,1,1,2,2,1,2,2,0,0,0,1,2,2,2,3,1,2,2,0,3,0,2,1,3,2,3,1,1,0,3,0,0,0,2,1,4,2,1,0,3,2,0,0,1,0
SP0151,2,2,0,2,1,4,0,1,0,1,3,2,3,1,0,3,2,0,1,0,11,7,9,11,11,8,4,10,4,5,0,1,2,1,1,1,0,3,2,1,1,3,1,3,3,2,0,2,1,1,0,1,0,1,1,2,0,4,2,0
SP0152,4,3,1,0,2,2,1,0,3,2,2,1,2,4,1,3,2,1,0,0,2,0,2,2,0,0,1,0,0,2,13,12,5,7,3,15,5,13,9,11,3,1,2,0,1,1,3,3,3,1,2,1,2,2,3,3,0,1,0,2
SP0153,1,1,0,3,3,1,1,0,2,0,12,8,12,9,12,19,2,15,6,6,1,3,3,1,4,0,1,0,3,3,3,1,4,2,1,2,2,1,0,3,0,2,0,0,2,0,1,1,3,1,4,1,2,5,0,2,0,2,1,0
SP0154,2,1,2,1,0,0,1,3,1,1,3,2,2,1,1,0,1,0,1,1,1,0,3,1,3,3,2,4,1,2,11,11,9,11,7,5,10,9,12,11,1,5,0,1,0,3,1,2,1,0,1,2,5,3,0,0,5,4,4,0
SP0155,15,14,10,6,4,6,9,9,8,8,6,1,1,1,0,0,6,2,1,3,0,0,2,1,3,2,1,1,2,0,4,2,1,0,3,2,3,2,2,0,0,5,2,0,2,3,0,2,0,0,1,1,1,2,3,0,1,2,2,0
SP0156,0,3,2,1,2,2,2,2,1,0,2,5,2,1,2,3,0,0,0,1,1,2,2,2,2,1,2,2,0,5,9,8,9,11,10,10,8,6,8,5,1,5,0,0,1,1,0,1,2,2,1,1,10,1,2,1,5,1,4,0
SP0157,3,1,2,0,1,1,3,0,0,1,2,1,0,0,0,0,2,2,0,0,8,14,10,13,11,7,10,9,7,5,2,1,2,1,1,2,5,0,0,1,0,1,1,0,1,3,1,0,2,1,3,1,2,0,4,1,1,3,1,2
SP0158,1,2,1,1,4,0,4,1,0,0,8,6,14,5,9,7,6,5,10,13,1,5,0,0,3,2,2,3,1,2,1,1,4,2,1,0,0,1,0,4,2,3,0,3,5,0,2,2,2,1,3,0,2,4,1,3,2,1,1,2
SP0159,2,2,4,1,0,3,0,1,1,1,2,2,1,3,0,2,1,2,0,1,2,2,1,0,1,1,0,1,2,1,2,5,10,15,7,10,12,15,6,6,3,2,2,1,2,3,0,2,0,3,2,1,1,0,2,1,3,1,2,1
SP0160,2,1,1,0,2,2,2,4,1,2,10,11,15,6,13,11,6,12,10,11,0,2,0,0,5,0,1,5,1,2,0,1,1,1,0,0,0,0,2,3,3,4,2,2,2,2,1,0,3,1,0,0,3,2,2,2,3,1,1,2
SP0161,3,2,0,2,1,0,2,0,0,1,3,1,2,0,2,0,2,0,0,3,0,1,2,1,4,1,0,0,0,1,4,13,8,8,11,13,9,8,12,12,3,3,3,0,1,2,1,2,0,0,2,2,5,2,0,3,1,1,1,0
SP0162,0,0,2,1,1,1,0,1,1,1,1,0,0,2,3,0,1,0,0,1,10,13,9,3,7,7,11,2,5,10,4,0,0,3,0,2,1,1,0,2,2,0,1,3,0,1,3,4,2,0,3,3,2,3,4,0,1,0,1,4
SP0163,1,1,0,1,3,5,1,0,1,1,9,7,10,6,16,6,12,7,8,2,1,1,1,2,1,1,0,1,2,0,3,1,2,2,0,0,1,1,2,1,0,0,0,0,1,0,2,4,0,1,2,2,1,1,2,0,1,1,1,1
SP0164,1,2,1,1,3,3,3,1,1,1,10,8,6,10,13,13,11,7,11,13,4,1,3,3,0,2,0,0,2,3,4,1,3,1,1,2,1,2,1,0,6,0,2,1,3,1,1,0,3,0,1,0,1,2,0,1,3,0,2,0
SP0165,4,3,0,1,1,1,0,3,1,0,1,0,3,1,1,0,0,2,3,2,2,0,3,2,0,2,3,1,4,1,10,3,7,14,8,13,8,15,5,10,2,3,0,1,2,1,2,0,0,1,2,1,2,4,2,1,1,1,1,2
SP0166,0,1,2,2,1,0,3,0,2,1,1,1,0,1,1,0,1,3,1,2,7,4,8,13,4,4,14,8,8,6,1,1,3,1,0,2,0,1,1,0,3,4,2,2,4,1,1,1,3,0,4,1,2,2,1,0,1,2,0,2
SP0167,1,1,3,1,0,0,1,1,0,1,0,3,0,0,1,2,5,3,1,3,10,7,9,7,8,6,14,12,10,10,1,2,0,1,0,0,1,1,4,2,1,2,0,0,2,2,1,0,0,2,5,5,3,4,1,1,1,2,2,0
SP0168,2,4,1,3,1,3,0,2,1,0,2,2,0,1,2,1,2,0,2,2,1,3,0,1,0,0,1,2,3,0,12,7,14,8,13,10,9,6,3,10,2,2,0,1,1,3,6,1,2,1,1,5,1,1,2,1,1,1,0,0
SP0169,0,2,5,0,3,2,0,4,3,3,1,1,1,0,1,1,1,1,0,1,7,9,17,5,11,4,6,7,6,11,0,3,0,1,1,1,3,0,0,3,0,3,1,0,3,0,1,3,3,2,1,2,3,2,1,1,1,2,2,1
SP0170,3,2,3,2,0,1,2,1,2,3,1,2,0,1,0,1,2,3,1,1,12,10,14,10,9,11,10,10,5,13,0,0,1,0,0,4,1,2,0,1,3,0,2,2,0,1,1,1,3,1,3,2,1,0,0,0,2,2,1,5
SP0171,1,2,2,2,1,1,1,0,1,0,9,6,8,17,8,10,10,7,11,4,1,0,2,1,1,1,3,0,0,3,2,1,3,2,0,2,2,0,1,3,1,0,1,0,0,4,2,2,1,1,2,0,1,3,1,0,1,2,1,3
SP0172,10,3,13,12,11,10,3,4,16,10,3,2,1,0,3,2,0,1,2,1,2,0,1,0,3,2,0,3,2,2,0,0,3,0,1,1,0,0,1,0,1,2,1,0,0,4,0,2,1,0,3,2,1,1,2,2,2,7,1,2
SP0173,0,3,1,1,2,1,1,0,2,0,5,9,6,8,12,11,3,6,14,15,1,0,1,1,1,0,0,0,3,2,2,4,1,0,1,2,1,0,0,1,2,1,2,0,0,2,0,3,1,1,1,5,2,1,1,1,3,0,3,2
SP0174,2,0,1,3,1,0,3,0,3,2,2,0,1,3,1,0,4,0,1,1,10,8,7,9,13,9,9,7,5,11,3,2,0,1,1,1,1,1,2,1,2,2,1,3,2,4,1,2,2,3,0,1,3,5,5,1,1,0,2,2
SP0175,2,2,5,0,0,3,2,2,6,0,4,2,1,3,1,2,3,1,0,1,2,2,1,1,0,2,2,3,2,1,9,8,5,7,17,4,9,15,9,9,0,3,3,0,1,2,0,0,2,1,0,1,2,4,1,3,3,1,6,0
SP0176,9,3,8,8,19,9,1,4,3,10,1,2,0,1,0,2,3,0,0,2,1,0,1,1,0,2,0,2,1,3,0,0,1,1,1,2,1,1,0,1,0,1,2,1,6,0,4,0,0,1,0,0,7,1,2,1,1,1,4,2
SP0177,1,0,2,2,0,1,3,0,2,1,4,5,9,6,10,4,9,8,15,9,3,0,1,2,2,0,1,0,1,0,3,0,0,1,1,0,2,2,4,0,0,3,1,2,4,1,1,1,0,0,3,1,2,0,4,1,3,1,1,0
SP0178,2,2,2,3,1,2,0,1,2,1,4,14,14,8,8,4,14,6,5,6,3,0,1,1,1,0,2,2,1,0,2,0,1,0,0,2,2,0,1,0,1,1,5,1,0,1,2,1,0,3,0,0,0,1,0,3,4,0,1,3
SP0179,1,0,1,4,1,1,2,0,3,0,4,2,1,1,2,2,1,1,1,3,8,17,15,7,5,9,8,10,9,11,1,1,2,1,2,2,1,3,0,0,2,0,0,2,1,1,4,2,0,3,5,2,5,0,0,1,1,2,2,1
SP0180,0,2,0,0,1,1,2,0,0,1,1,2,1,0,0,2,1,3,1,4,2,0,1,3,0,2,2,2,3,2,7,6,11,8,8,15,15,9,10,5,2,3,3,1,0,1,3,2,0,2,2,5,1,3,2,1,0,1,2,1
SP0181,1,4,1,0,2,2,4,5,0,3,0,2,1,0,0,1,0,1,0,1,2,0,3,2,1,4,0,4,0,0,9,7,9,7,10,24,5,9,4,5,1,3,1,0,1,1,1,2,1,0,3,3,1,3,4,4,1,3,2,1
SP0182,1,0,2,2,1,1,1,1,0,1,7,10,12,14,12,9,5,13,5,10,2,6,0,4,2,1,2,1,1,1,0,2,1,0,0,0,1,2,2,3,2,4,2,2,3,0,1,1,0,0,0,1,0,2,6,3,2,3,2,1
SP0183,1,2,2,0,1,0,2,3,2,2,2,1,0,2,1,4,3,1,2,0,2,1,1,0,2,6,1,3,3,0,9,11,10,10,13,12,10,14,11,12,1,0,4,1,1,0,1,3,1,2,0,0,3,3,0,2,0,0,1,2
SP0184,0,1,4,2,4,2,4,0,2,1,11,3,11,15,9,5,4,12,9,17,0,0,1,1,2,0,1,2,2,2,2,0,0,0,1,0,0,2,4,1,1,1,1,0,3,0,5,2,4,0,3,4,0,3,1,0,0,1,0,1
SP0185,1,3,0,0,3,0,1,2,1,0,11,11,4,6,7,6,5,8,9,10,0,1,3,1,3,2,2,0,2,1,3,2,2,4,1,2,1,2,0,1,2,1,2,1,2,2,0,2,0,2,0,3,1,1,0,1,3,1,3,3
SP0186,4,2,3,1,1,3,0,3,4,0,2,0,2,1,1,2,0,4,2,0,16,11,15,6,7,13,5,8,12,11,1,0,3,1,0,3,2,0,0,0,1,0,3,0,2,2,0,1,1,3,1,4,2,1,1,3,2,2,4,1
SP0187,2,0,2,1,2,2,2,2,2,4,5,8,13,11,7,14,8,11,9,14,2,1,0,0,1,5,2,2,0,1,0,0,1,2,1,1,1,2,1,1,2,5,4,0,2,0,3,0,3,0,3,1,2,2,3,0,2,1,2,0
SP0188,1,4,1,2,3,0,1,0,0,0,8,7,11,14,5,4,9,13,12,7,3,0,1,1,0,1,1,3,3,3,2,1,0,1,2,1,0,1,0,1,1,1,2,1,1,2,2,4,2,3,4,0,2,4,0,3,2,2,1,2
SP0189,7,6,12,9,11,10,16,2,9,12,2,3,0,0,0,1,0,1,0,1,2,1,2,2,0,3,1,1,5,0,4,0,0,0,1,2,4,1,3,0,3,3,1,2,0,1,2,1,2,0,0,0,3,1,6,1,3,1,1,1
SP0190,1,0,0,1,1,1,1,2,4,1,3,1,4,0,2,0,1,1,1,0,5,6,13,14,7,9,7,9,9,13,2,0,1,5,2,0,0,3,2,2,0,1,3,0,1,0,1,4,0,1,2,0,3,2,0,2,0,2,1,0
SP0191,0,3,2,2,1,2,1,0,0,3,0,0,0,1,2,1,0,1,1,1,15,11,10,6,14,5,11,17,17,9,0,2,1,2,1,1,1,0,2,2,0,2,0,2,1,0,0,2,0,2,1,0,3,3,2,0,2,0,0,1
SP0192,12,14,16,8,7,10,8,9,17,14,3,2,2,1,1,1,3,0,1,0,1,0,0,1,1,0,1,1,2,2,3,0,1,1,0,1,0,0,1,1,1,2,1,0,1,2,2,0,0,0,0,2,0,2,1,3,1,3,0,2
SP0193,3,0,1,1,1,1,0,1,0,2,2,0,3,1,2,0,3,1,2,1,1,0,2,2,0,1,1,1,2,0,11,7,6,12,17,5,12,12,4,14,1,0,1,0,1,3,3,1,0,2,0,1,1,4,2,4,2,5,0,0
SP0194,9,14,7,7,14,12,3,8,16,8,0,1,4,0,1,2,1,4,2,1,1,2,1,0,1,2,3,2,0,0,2,2,3,2,1,0,0,0,0,0,3,4,3,4,4,1,3,0,1,1,1,1,0,2,4,4,0,3,4,1
SP0195,0,0,2,1,0,0,1,1,0,1,2,0,1,2,1,1,2,1,1,3,10,6,7,5,10,4,6,9,9,9,1,0,0,0,0,4,1,3,3,2,0,2,1,0,0,0,1,2,0,5,1,1,1,2,0,1,1,2,2,2
SP0196,6,9,9,9,16,11,18,7,11,8,4,0,1,1,2,3,1,1,0,0,0,0,3,4,1,2,0,4,2,1,0,3,3,2,0,2,0,1,4,0,1,0,1,0,0,3,2,2,2,2,3,0,1,5,2,0,2,2,3,2
SP0197,1,2,2,1,2,1,1,1,0,2,0,3,1,1,2,3,1,2,2,2,0,2,3,2,0,2,4,0,3,0,14,10,17,6,16,9,10,11,15,7,1,1,1,0,1,1,0,1,1,1,0,1,1,1,0,3,1,2,0,4
SP0198,14,15,13,6,5,10,9,16,7,0,1,0,1,0,2,4,0,1,1,3,2,1,2,0,2,3,2,1,0,0,1,3,3,1,3,3,0,1,0,1,2,2,1,2,1,3,0,1,0,1,1,3,2,2,0,0,2,2,3,1
SP0199,1,2,1,1,1,1,4,2,0,3,2,1,2,2,4,1,4,4,3,1,1,2,0,0,3,2,1,0,0,3,12,5,6,12,15,11,9,15,6,7,1,2,1,2,1,3,1,1,4,0,2,4,1,0,0,2,2,4,2,1
SP0200,11,13,9,7,12,10,3,11,8,13,0,3,1,2,1,4,2,0,2,0,2,4,1,2,1,0,1,1,0,0,2,2,0,0,0,2,2,0,2,3,4,1,0,1,0,1,0,2,1,1,1,0,4,2,1,0,0,1,1,1
SP0201,11,9,4,7,10,6,14,14,8,12,3,0,3,2,1,1,5,2,1,1,2,1,3,2,1,0,2,2,1,0,1,3,0,0,2,2,0,1,3,0,2,1,0,3,1,1,1,1,2,2,3,3,1,4,1,1,1,1,0,4
SP0202,1,1,2,1,2,0,1,1,1,3,1,4,0,3,2,0,0,0,0,0,0,1,1,2,2,4,2,0,3,1,5,13,14,13,10,10,12,2,9,10,1,2,2,2,3,2,2,0,2,3,0,1,3,2,1,0,2,1,2,3
SP0203,0,2,1,1,0,1,0,1,0,2,2,0,0,1,1,1,1,3,2,3,13,10,8,6,14,13,8,8,10,9,2,2,1,0,0,1,0,3,2,3,1,0,4,0,3,1,4,1,2,0,0,0,0,3,1,3,2,0,4,0
SP0204,1,0,0,0,1,0,4,1,2,0,2,1,4,0,3,2,2,3,0,0,3,2,1,0,1,0,0,1,2,1,18,7,10,10,7,15,10,16,8,4,1,0,0,0,1,2,2,1,3,1,1,2,2,0,3,1,0,1,1,2
SP0205,9,9,9,7,7,10,3,14,7,12,4,0,2,2,0,0,2,1,3,2,3,3,1,2,1,4,1,1,1,1,2,2,1,2,0,2,2,1,0,0,0,0,0,1,0,1,0,1,0,0,1,4,2,2,2,1,2,3,3,0
SP0206,0,2,0,1,3,3,3,2,2,2,12,6,15,14,5,5,11,9,5,13,1,1,0,0,4,1,0,0,2,0,1,2,0,2,1,1,1,0,0,2,0,1,3,1,1,2,0,4,1,3,1,3,3,1,0,0,2,1,2,3
SP0207,0,0,1,3,1,2,2,0,2,1,2,1,2,2,3,1,1,0,0,4,1,1,1,0,1,0,1,3,0,1,4,16,5,7,7,4,11,12,5,6,1,1,1,1,1,2,1,2,0,0,1,1,2,1,2,1,1,2,1,1
SP0208,2,1,0,1,0,0,0,1,0,1,1,2,2,2,1,2,0,1,0,2,13,10,7,12,1,15,6,7,11,6,1,1,1,3,1,1,0,2,1,3,0,1,2,2,4,0,1,1,2,1,2,0,2,1,0,0,3,3,2,1
SP0209,1,1,2,1,2,2,0,3,1,6,1,1,1,1,1,1,4,0,0,1,2,3,1,0,1,1,2,1,2,0,15,6,7,5,8,12,13,11,8,13,1,3,2,1,2,0,4,1,1,2,3,2,1,1,1,3,1,3,1,0
