,Epithelial_prog00,Epithelial_prog01,Epithelial_prog02,Epithelial_prog03,Epithelial_prog04,Epithelial_prog05,Epithelial_prog06,Epithelial_prog07,Epithelial_prog08,Epithelial_prog09,Fibroblast_prog00,Fibroblast_prog01,Fibroblast_prog02,Fibroblast_prog03,Fibroblast_prog04,Fibroblast_prog05,Fibroblast_prog06,Fibroblast_prog07,Fibroblast_prog08,Fibroblast_prog09,Myeloid_prog00,Myeloid_prog01,Myeloid_prog02,Myeloid_prog03,Myeloid_prog04,Myeloid_prog05,Myeloid_prog06,Myeloid_prog07,Myeloid_prog08,Myeloid_prog09,Tcell_prog00,Tcell_prog01,Tcell_prog02,Tcell_prog03,Tcell_prog04,Tcell_prog05,Tcell_prog06,Tcell_prog07,Tcell_prog08,Tcell_prog09,NicheResp00,NicheResp01,NicheResp02,NicheResp03,NicheResp04,NicheResp05,NicheResp06,NicheResp07,NicheResp08,NicheResp09,NicheResp10,NicheResp11,NicheResp12,NicheResp13,NicheResp14,NicheResp15,NicheResp16,NicheResp17,NicheResp18,NicheResp19
RF0103,13,13,6,2,14,5,15,14,4,12,2,1,2,1,0,4,3,0,0,0,4,3,2,0,0,1,1,2,1,0,1,1,2,2,0,2,2,1,0,0,2,2,1,2,4,1,1,2,1,3,0,1,3,1,0,3,0,3,0,0
RF0104,13,7,10,10,7,13,20,7,9,8,0,1,1,1,2,2,0,0,5,1,1,3,0,3,0,0,1,1,0,3,0,3,2,1,1,1,2,0,1,0,3,0,0,0,3,1,0,1,1,3,3,0,1,0,1,0,0,0,1,1
RF0105,2,2,1,1,1,2,2,1,1,2,1,2,0,1,1,0,1,1,2,0,4,1,1,1,0,1,1,0,4,1,6,7,5,14,12,6,6,7,6,8,4,1,0,0,3,0,1,0,2,0,0,2,2,0,1,0,1,1,1,0
RF0106,2,1,0,4,0,2,2,1,4,3,0,0,1,1,2,1,1,1,0,4,1,0,1,0,3,1,0,2,2,1,10,7,5,6,16,13,14,6,10,5,0,0,1,1,3,0,1,1,0,0,3,2,1,1,1,0,3,0,0,2
RF0107,3,2,4,2,1,2,6,3,1,2,1,1,3,1,1,0,3,4,4,2,7,10,14,6,11,13,9,10,12,10,2,2,2,0,2,1,3,3,1,0,2,1,1,0,3,1,3,0,1,1,2,4,0,1,1,0,2,3,0,4
RF0108,1,1,2,1,4,2,2,2,0,1,12,10,10,10,8,15,12,8,19,11,2,1,0,1,0,2,2,0,1,1,0,2,2,0,5,1,1,3,1,4,0,2,2,0,0,1,3,4,0,1,2,0,1,0,0,1,1,2,1,0
RF0109,3,2,3,4,1,7,0,1,3,2,2,0,1,2,2,0,1,0,1,3,2,0,2,1,3,1,3,0,0,0,6,12,7,2,13,7,8,13,8,7,4,1,1,1,4,1,5,2,2,2,3,1,2,1,1,1,0,0,1,4
RF0110,8,10,8,12,13,11,9,7,12,5,1,1,0,2,1,3,0,1,1,1,1,0,2,1,4,0,3,0,0,1,2,1,2,2,0,1,0,2,1,5,1,0,4,0,3,0,1,0,1,4,1,0,2,0,1,0,2,0,2,1
RF0111,10,5,17,6,13,13,11,13,8,9,1,1,2,2,1,2,2,0,0,0,2,1,1,2,2,0,2,1,2,3,0,3,1,1,0,2,2,2,3,3,2,0,0,2,2,5,2,3,1,0,2,1,1,1,1,0,3,2,0,1
RF0112,15,10,11,8,16,23,5,10,6,5,2,1,2,0,0,0,3,1,0,6,3,3,2,3,3,1,1,1,1,2,0,6,3,2,3,1,5,2,0,2,4,1,1,0,1,1,3,1,1,3,2,1,2,1,0,0,1,3,1,2
RF0113,17,6,6,7,16,10,8,6,12,5,3,2,1,3,1,1,2,1,0,5,3,1,2,1,1,2,4,1,2,0,0,2,1,1,4,1,0,2,2,1,2,3,2,1,3,1,2,0,4,2,0,0,1,2,1,1,1,2,2,0
RF0114,10,6,5,4,10,16,9,17,4,12,4,2,1,3,3,2,1,2,3,0,1,0,2,1,0,0,3,1,1,4,2,2,3,0,1,1,3,4,0,2,1,0,1,1,2,1,2,1,1,2,0,0,1,0,0,2,3,0,0,2
RF0115,10,18,7,11,11,17,9,14,5,15,0,2,1,0,2,1,0,0,1,1,0,2,2,0,0,2,0,0,1,3,2,0,0,2,1,2,2,1,2,0,3,0,0,3,0,2,2,3,4,1,3,0,0,1,2,2,1,1,1,1
RF0116,1,1,2,4,3,1,1,2,1,2,15,24,8,11,12,11,10,10,9,13,3,1,1,1,0,1,0,2,1,1,1,2,1,1,2,0,0,1,3,2,1,0,1,1,0,1,2,1,0,1,0,0,2,1,2,0,0,3,1,0
RF0117,2,0,0,2,4,2,0,2,1,1,0,6,1,6,0,4,3,1,2,1,6,12,7,17,12,12,16,15,14,24,1,1,3,3,1,0,0,0,1,3,1,0,0,2,2,0,2,4,2,2,0,4,0,0,1,0,1,1,0,1
RF0118,3,0,3,0,3,0,1,1,1,3,1,2,1,2,1,0,0,2,0,0,7,10,8,7,8,8,10,14,8,11,1,1,0,0,3,1,2,0,0,1,3,1,3,0,1,1,2,1,4,0,0,0,1,1,0,0,2,1,1,3
RF0119,2,1,0,4,1,1,1,2,1,0,5,2,3,2,5,1,0,1,1,1,5,5,15,16,9,0,9,10,11,17,2,2,0,2,1,2,3,1,5,2,2,1,2,0,0,1,1,2,2,1,2,4,1,1,0,1,0,2,0,2
RF0120,3,2,1,1,3,1,1,0,0,1,2,1,1,1,1,1,2,2,3,0,8,10,5,6,7,14,13,8,5,3,1,1,0,0,2,0,1,3,2,2,3,1,0,1,2,2,4,3,2,2,2,1,1,1,2,2,2,1,0,3
RF0121,3,2,1,2,5,2,3,1,3,0,0,1,2,3,2,0,0,3,5,0,6,8,7,12,10,5,18,14,13,7,1,0,0,0,4,0,0,4,0,0,1,1,2,2,0,2,2,1,2,1,1,0,2,2,0,2,1,3,1,3
RF0122,2,2,2,0,1,3,1,0,0,1,1,1,1,1,0,4,2,3,3,2,7,9,11,8,18,9,14,15,5,11,1,4,0,1,3,1,0,1,3,3,2,1,0,3,1,1,1,0,3,3,0,2,2,2,2,2,1,0,1,1
RF0123,11,12,8,7,12,11,13,15,9,8,2,2,0,0,1,1,2,1,3,2,2,2,0,2,2,1,1,0,0,1,2,3,2,1,7,0,0,0,5,1,5,1,1,1,1,3,1,0,1,2,1,1,1,2,0,1,1,0,2,0
RF0124,0,1,1,0,3,1,2,2,1,1,0,1,4,1,1,2,1,2,1,0,1,0,0,1,5,2,0,0,1,0,11,16,5,13,11,9,10,13,13,10,3,1,3,1,3,0,1,0,1,0,2,0,4,1,3,0,1,0,1,0
RF0125,3,2,0,1,2,2,3,0,2,2,13,9,10,5,10,16,8,7,8,4,1,0,2,0,1,4,1,3,2,1,0,0,3,1,4,0,1,0,2,0,4,1,2,0,2,1,1,1,0,1,2,3,1,2,0,1,1,1,0,2
RF0126,2,0,1,1,1,2,2,0,1,0,12,8,10,17,7,9,7,3,12,7,1,4,0,2,1,0,1,1,0,1,3,2,1,5,2,2,3,0,4,1,2,0,0,1,0,1,0,1,1,2,3,3,2,1,1,1,3,1,0,0
RF0127,3,2,0,2,5,1,1,3,2,0,1,1,0,2,1,1,1,0,0,2,0,2,3,2,1,0,0,1,4,1,11,9,4,5,13,2,15,13,8,14,1,2,2,3,1,2,1,1,2,2,2,3,2,0,4,0,2,1,1,4
RF0128,2,0,3,1,0,1,0,0,1,2,1,1,4,0,3,1,1,3,0,1,0,2,0,1,3,0,3,1,2,1,6,14,6,10,10,13,6,7,13,6,4,3,3,3,1,2,1,3,0,0,1,2,3,0,0,1,1,0,0,0
RF0129,10,6,5,9,18,8,17,10,14,6,2,1,0,6,0,0,4,0,0,4,5,1,2,1,1,1,1,1,1,3,0,1,1,2,2,4,1,2,1,2,3,2,0,0,2,2,2,2,0,0,2,1,1,1,0,0,0,3,2,1
RF0130,14,11,4,7,13,8,25,9,10,10,2,0,2,1,1,1,3,0,2,1,2,0,0,1,2,0,0,2,1,1,0,1,3,0,2,1,0,3,2,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,3,0,3,2,1,4
RF0131,3,2,3,1,2,1,1,4,2,1,5,13,10,11,5,13,7,10,25,6,0,3,1,0,0,1,5,2,0,1,0,0,1,2,3,2,1,4,0,1,1,3,3,0,0,2,4,2,2,0,3,6,1,1,2,1,0,0,2,1
RF0132,3,2,2,2,4,2,2,1,0,3,1,3,0,4,0,3,2,0,1,1,1,1,2,2,2,1,2,2,1,0,8,14,9,11,11,2,5,20,5,17,3,3,1,1,1,0,3,1,4,0,0,3,1,0,3,3,0,1,0,3
RF0133,3,0,1,5,2,3,2,0,3,1,1,2,2,0,0,0,0,2,2,1,12,5,7,11,9,10,23,7,13,6,1,1,4,3,4,0,0,1,2,2,2,1,0,2,1,3,3,1,1,1,0,2,3,1,0,1,3,0,2,2
RF0134,6,10,10,8,13,13,10,8,8,9,0,3,1,2,0,2,2,1,5,2,3,2,0,3,2,0,1,2,3,1,0,2,0,3,4,0,0,2,3,3,3,0,0,0,2,0,2,3,1,3,3,5,1,1,1,2,0,2,1,3
RF0135,8,6,11,6,20,6,9,8,11,20,1,2,1,1,0,2,1,2,5,0,2,0,4,1,0,0,1,1,2,0,4,1,1,0,4,1,3,0,2,3,0,0,1,1,0,2,1,2,3,2,2,2,2,2,1,0,1,2,2,1
RF0136,4,14,9,5,11,3,7,9,19,14,1,0,0,0,5,4,0,0,3,0,3,1,3,1,1,3,2,0,2,1,1,0,2,1,4,1,1,0,1,1,4,2,4,1,1,0,0,2,3,2,2,1,2,2,0,1,3,1,1,1
RF0137,3,2,3,0,1,3,1,1,1,3,3,8,17,5,15,9,6,6,4,13,0,2,1,0,1,1,1,2,1,0,1,0,3,1,3,1,2,0,1,1,0,1,2,1,1,3,5,0,2,1,0,3,1,2,1,2,2,1,0,2
RF0138,1,2,1,0,3,4,5,2,1,0,12,7,7,9,8,6,12,11,7,15,3,2,1,1,0,0,0,2,1,1,3,2,2,1,1,1,3,1,1,1,0,1,1,2,1,1,1,2,2,0,3,1,2,1,1,1,2,0,0,1
RF0139,4,2,0,1,2,1,3,2,0,2,10,11,11,13,9,15,18,9,7,4,0,1,1,2,2,0,0,2,1,1,0,5,1,3,1,0,0,1,3,0,1,3,1,0,6,3,4,1,1,0,1,0,6,0,2,3,2,1,4,1
RF0140,14,6,8,13,11,6,12,14,4,5,1,0,2,2,1,2,1,1,0,2,4,1,3,0,1,2,0,2,0,1,1,1,1,3,2,3,0,2,0,3,0,1,0,0,1,2,2,2,3,1,1,1,1,0,2,3,2,0,1,1
RF0141,2,2,3,0,2,2,0,5,3,0,11,12,8,5,10,10,13,8,15,6,2,1,2,2,1,2,2,2,1,0,0,0,0,1,1,4,1,4,0,0,2,0,1,1,0,2,0,1,1,3,3,1,0,1,0,1,1,0,0,0
RF0142,16,12,7,10,13,7,18,9,14,15,1,0,2,1,1,1,3,1,0,0,3,1,1,0,1,3,3,2,2,1,2,1,0,1,0,1,2,0,3,2,3,1,4,0,2,1,1,3,1,1,2,0,1,2,2,0,3,1,2,0
RF0143,1,0,0,1,1,1,0,2,3,3,15,9,14,12,7,15,15,16,8,10,1,1,1,1,0,1,1,2,1,0,1,3,0,2,0,2,1,1,2,0,2,1,3,1,7,2,2,2,3,0,0,2,1,2,0,0,4,1,0,0
RF0144,12,13,0,9,10,9,4,8,13,9,2,1,1,3,0,4,1,2,1,0,0,3,3,2,1,2,4,0,2,2,2,1,2,0,3,0,1,2,1,1,0,1,1,1,1,0,2,0,1,0,1,2,0,2,0,1,4,1,1,1
RF0145,1,2,1,2,5,2,3,1,2,2,2,2,2,4,3,0,2,0,4,2,2,2,1,0,0,0,1,0,1,1,8,12,10,7,8,6,12,7,7,9,0,0,2,1,1,2,3,0,6,0,1,1,0,1,0,3,1,3,3,0
RF0146,2,1,1,3,4,1,2,0,3,1,1,0,3,5,0,1,4,1,2,1,10,9,14,12,6,6,7,8,10,6,4,4,1,0,0,1,1,3,0,1,1,0,0,2,0,1,2,4,2,1,3,2,2,1,1,2,1,0,2,0
RF0147,9,12,11,10,11,11,11,6,4,9,1,2,1,0,2,1,1,1,2,0,3,2,2,2,0,3,0,2,1,2,1,1,0,0,3,1,3,0,1,0,3,1,0,0,2,1,2,1,2,2,0,3,0,0,0,3,1,2,1,0
RF0148,0,1,2,1,2,2,0,1,1,2,4,3,4,1,1,2,1,4,1,2,2,2,0,0,0,1,1,1,1,3,10,10,9,9,15,15,10,15,16,10,1,2,1,0,2,3,1,1,3,3,3,1,2,3,0,2,1,1,1,0
RF0149,4,1,1,1,2,0,2,2,0,0,1,2,2,1,1,1,3,0,2,1,11,9,9,7,9,10,7,9,15,11,0,1,1,5,0,1,2,2,4,0,4,3,4,3,1,1,1,2,2,4,0,0,1,2,1,0,2,0,3,1
RF0150,9,18,6,5,9,3,15,4,13,7,1,1,1,1,1,1,4,3,4,2,2,1,1,3,0,0,0,0,2,3,1,2,0,0,2,0,1,3,2,2,0,1,0,1,3,0,1,1,0,0,1,1,0,1,0,0,1,3,0,1
RF0151,2,1,1,3,1,1,2,0,1,2,0,1,3,2,1,1,2,2,2,2,3,9,10,3,10,4,13,10,6,2,0,1,1,0,2,1,2,0,1,0,5,0,0,2,4,1,1,2,7,0,6,1,2,1,2,1,0,4,1,1
RF0152,1,0,1,2,5,3,1,2,0,0,0,2,0,0,1,2,2,1,4,0,1,1,0,0,1,3,2,1,2,0,7,10,6,7,10,8,11,15,7,10,4,1,0,1,2,0,3,3,2,3,2,0,0,1,2,1,3,2,1,1
RF0153,4,3,1,2,0,3,2,5,2,2,16,10,6,9,8,15,4,13,10,19,3,1,0,1,1,0,4,2,1,5,3,0,2,4,3,2,0,0,2,0,0,3,3,1,1,0,3,0,0,1,1,1,0,4,4,0,0,5,1,0
RF0154,1,2,1,2,2,1,2,2,2,1,0,2,2,4,1,2,1,0,0,2,1,1,2,1,1,4,0,1,0,0,5,9,14,12,9,8,7,9,14,12,2,1,4,0,2,1,0,1,3,3,1,2,2,0,1,1,0,1,0,1
RF0155,1,1,0,0,0,0,0,1,3,1,2,2,2,3,1,2,1,2,3,0,0,0,0,1,3,1,2,1,1,3,11,7,12,8,8,9,15,6,8,16,1,2,1,2,1,0,1,1,4,1,0,1,1,2,1,1,1,1,1,1
RF0156,2,0,1,3,5,2,1,3,1,2,1,4,4,1,2,2,3,2,2,1,2,2,1,1,1,0,2,5,0,1,4,6,17,18,11,4,10,7,8,7,1,1,1,1,1,1,1,1,2,0,1,1,3,1,0,0,1,0,1,0
RF0157,8,11,9,16,14,11,9,7,9,7,3,0,3,1,2,2,1,3,1,0,1,2,1,1,0,1,0,1,2,0,2,2,1,0,1,2,1,2,1,3,0,1,1,2,1,3,2,0,1,5,1,1,0,0,1,4,3,4,3,1
RF0158,3,1,0,0,0,1,2,1,2,1,0,1,1,1,0,4,1,3,1,0,8,5,16,2,7,5,11,11,11,10,2,2,1,0,1,1,3,1,0,1,1,1,0,2,2,3,0,2,2,5,0,1,1,2,1,0,0,0,2,0
RF0159,1,1,0,1,4,2,1,3,0,1,5,6,8,23,7,17,5,9,15,13,2,0,0,0,0,1,2,2,1,1,2,0,2,1,4,2,0,2,0,3,0,1,1,1,3,1,1,1,1,6,2,0,1,1,3,2,1,3,2,0
RF0160,1,4,2,3,0,0,0,1,1,0,11,10,11,18,6,13,8,10,16,11,2,1,1,2,2,1,1,3,0,2,1,1,0,2,2,0,0,1,1,1,2,1,2,0,0,2,2,1,4,1,1,3,0,0,0,1,0,2,2,0
RF0161,1,2,1,1,3,4,0,0,0,4,3,0,0,2,1,1,1,1,0,1,9,7,6,10,3,10,15,8,5,13,1,1,1,2,1,2,2,3,0,3,2,1,3,0,1,0,2,3,4,0,4,3,0,1,0,6,0,1,2,4
RF0162,2,1,0,0,3,1,3,2,2,1,2,0,1,0,0,0,1,2,0,1,1,0,4,6,2,2,2,6,2,0,9,11,5,3,14,8,13,4,9,10,3,2,2,1,1,0,0,2,0,0,1,1,1,1,1,2,0,3,0,0
RF0163,0,2,1,1,4,0,1,2,0,1,1,1,1,1,1,0,3,3,3,3,2,1,1,0,2,2,0,4,1,0,14,15,5,11,11,6,6,4,16,12,4,2,4,1,1,3,1,1,1,0,1,4,1,2,2,0,0,3,2,0
RF0164,4,1,1,0,2,2,1,0,3,1,14,7,7,19,6,8,10,17,10,7,1,2,2,0,1,2,3,0,2,3,3,3,3,1,4,0,1,0,1,2,3,0,1,2,2,0,1,1,0,1,2,2,2,3,1,0,0,0,1,1
RF0165,1,5,1,2,4,0,0,6,1,2,2,1,1,0,0,2,4,1,1,5,5,17,4,6,8,4,13,14,4,11,2,5,3,4,2,2,1,0,1,2,1,0,5,1,0,2,1,1,1,2,2,0,1,3,0,2,2,2,1,2
RF0166,1,1,0,3,0,2,2,2,2,2,17,10,8,6,9,7,10,9,17,20,1,2,0,1,1,2,0,1,0,1,0,0,3,1,2,0,1,1,1,1,3,1,1,1,1,0,0,2,1,2,2,1,2,2,2,4,1,0,0,0
RF0167,7,9,5,7,9,5,8,7,7,13,1,0,2,1,2,1,0,1,1,0,0,3,0,1,1,1,1,1,0,1,0,0,1,1,1,1,0,0,2,0,2,4,2,1,0,3,2,1,1,1,1,1,0,2,0,2,1,2,0,1
RF0168,0,2,1,0,1,1,2,1,1,1,0,0,1,1,0,1,3,3,2,0,4,6,6,7,12,4,10,6,9,15,5,0,3,2,2,1,1,2,3,2,1,2,1,0,2,0,3,1,1,2,2,0,1,2,1,1,3,0,0,0
RF0169,10,4,12,11,11,12,6,18,8,13,2,1,0,0,0,0,2,1,1,4,2,3,1,2,1,1,4,4,3,0,3,1,3,2,2,1,0,0,0,3,1,1,1,1,1,2,3,0,1,0,4,3,1,1,0,1,2,1,2,1
RF0170,14,9,11,9,14,7,13,8,10,15,1,1,4,1,0,2,2,1,1,4,1,1,0,0,1,0,2,0,1,2,1,1,4,1,2,3,0,0,1,3,3,1,0,1,2,2,2,2,1,2,1,0,1,0,1,2,0,2,1,3
RF0171,2,3,2,2,0,2,1,3,3,0,2,0,0,2,0,2,1,3,2,2,3,9,5,8,15,7,7,15,4,9,1,3,1,2,2,0,1,0,1,0,1,0,2,1,3,0,1,0,0,1,2,1,1,3,1,1,2,1,1,4
RF0172,0,2,0,0,1,0,3,0,2,2,0,2,0,2,0,3,1,2,0,1,4,4,13,9,8,8,7,16,11,15,2,2,3,2,0,0,0,0,3,2,2,1,0,0,4,3,4,1,0,1,4,2,1,1,1,0,4,0,0,0
RF0173,1,0,0,3,0,2,0,1,2,0,4,0,2,1,0,0,2,2,2,0,8,7,10,13,13,8,11,5,8,8,0,1,0,2,2,2,0,0,0,3,0,2,1,1,0,0,2,1,1,3,1,4,0,0,0,1,1,2,1,5
RF0174,1,1,1,0,1,2,1,2,2,1,4,2,1,1,1,0,2,2,2,2,5,16,13,7,5,7,8,14,6,4,1,1,1,1,0,3,0,2,2,1,2,2,2,2,3,0,3,2,0,1,3,0,2,0,0,0,1,1,1,1
RF0175,1,2,2,2,0,2,3,4,0,0,15,5,6,13,6,14,7,8,10,15,2,1,4,1,1,1,3,4,1,3,1,1,1,0,2,0,2,1,1,2,3,1,1,0,1,1,1,4,1,1,1,0,2,1,1,0,1,0,2,0
RF0176,23,11,6,5,16,2,17,11,9,4,0,0,3,0,0,4,2,2,1,1,0,0,2,3,2,1,0,0,4,1,3,0,2,1,0,0,1,2,0,0,0,3,0,1,1,4,1,1,3,2,0,2,0,2,1,1,0,0,1,2
RF0177,3,0,5,0,1,1,2,0,4,2,4,8,12,14,10,10,16,8,11,5,2,4,3,0,0,1,1,1,4,2,2,2,0,6,2,3,3,3,2,1,1,2,3,1,2,2,6,1,4,1,0,4,3,0,1,0,0,2,0,1
RF0178,1,1,2,3,1,0,0,2,0,2,1,3,3,0,0,3,3,0,2,0,1,3,0,3,3,1,0,0,0,1,9,7,11,7,9,7,3,8,6,3,1,1,1,3,1,1,0,0,0,0,1,2,5,0,0,0,3,0,2,2
RF0179,14,4,12,17,18,15,6,9,19,14,0,2,3,0,1,3,0,1,0,1,3,1,1,1,2,4,1,0,0,3,2,2,0,0,4,2,3,1,0,2,5,1,2,1,1,1,1,0,1,1,3,4,1,1,0,0,1,1,1,6
RF0180,1,0,0,0,1,2,3,1,0,1,1,2,0,2,1,1,1,2,2,1,16,8,13,2,9,7,13,12,7,13,3,2,2,1,0,0,1,1,2,2,2,0,2,0,5,1,1,0,2,4,1,1,2,1,1,1,1,2,0,1
RF0181,2,2,2,0,2,1,2,2,1,2,10,12,11,7,8,5,2,10,16,17,1,0,1,1,1,2,1,0,3,2,1,1,1,2,2,3,1,3,0,0,1,3,1,3,0,1,4,1,2,2,1,1,3,1,1,1,0,2,1,1
RF0182,10,5,9,11,16,18,6,5,8,8,0,0,2,3,0,2,0,1,3,2,3,1,0,4,1,6,1,1,0,1,3,2,2,1,0,0,2,1,2,2,2,1,1,2,4,1,0,1,1,0,1,1,0,1,0,0,1,1,0,0
RF0183,12,5,6,10,9,6,2,9,11,18,1,2,2,4,0,0,3,1,1,0,2,2,0,0,0,2,4,0,1,1,1,0,3,1,3,1,0,2,2,3,4,3,2,2,0,2,0,1,1,1,3,0,2,1,4,0,0,0,2,2
RF0184,2,3,1,1,1,0,1,0,1,3,0,1,0,2,1,2,0,1,1,1,9,14,10,10,8,3,11,10,8,11,2,0,0,1,1,4,1,2,3,2,0,0,1,1,1,2,0,3,3,2,1,0,1,0,2,3,3,3,1,0
RF0185,16,14,4,13,14,14,7,8,8,7,2,2,3,2,1,3,1,2,1,0,1,2,0,0,0,2,1,1,1,2,1,1,1,0,1,1,0,3,1,2,3,2,1,1,1,2,2,0,0,2,0,1,2,1,2,0,1,2,1,2
RF0186,15,8,13,12,10,13,7,10,8,5,0,3,2,2,2,2,2,4,2,0,1,1,5,3,1,2,2,2,0,2,3,0,0,0,4,0,1,1,0,2,6,2,0,1,3,2,1,1,2,2,2,2,2,2,2,4,0,0,2,3
RF0187,2,1,2,1,1,1,0,1,0,0,3,0,1,3,2,1,2,1,4,1,13,17,9,13,5,7,15,11,9,11,2,1,1,0,0,2,0,1,0,4,2,1,2,2,1,1,0,0,0,2,1,1,1,1,1,2,2,1,3,1
RF0188,0,1,1,1,1,0,2,0,4,0,1,1,3,1,1,2,0,0,0,0,1,3,1,1,1,0,1,4,1,2,11,5,12,5,9,9,12,9,5,13,3,2,4,2,4,0,4,3,1,1,1,2,1,0,1,2,2,2,0,0
RF0189,3,4,2,0,1,4,3,1,0,1,2,4,1,2,2,2,3,1,1,0,12,6,12,9,8,7,10,10,9,6,0,0,3,1,4,0,2,0,1,0,4,2,1,0,1,4,3,2,2,0,2,1,2,1,1,2,1,0,2,1
RF0190,0,1,2,1,1,0,3,2,2,6,0,0,1,0,1,2,0,0,2,0,10,13,12,4,7,5,10,11,10,9,2,2,0,1,0,1,0,8,3,3,2,0,1,1,0,0,1,2,1,1,1,2,0,2,0,0,0,1,0,1
RF0191,1,1,2,2,2,1,2,2,4,1,0,3,2,1,0,1,1,0,3,1,3,13,15,7,10,3,11,11,5,9,0,1,3,2,1,0,0,3,1,0,0,1,3,1,0,2,2,4,4,4,0,1,1,1,2,1,2,2,3,1
RF0192,0,1,3,1,1,2,4,1,1,0,2,1,1,3,0,2,0,0,1,2,7,8,11,7,6,6,12,10,6,8,1,1,2,1,0,1,1,3,3,2,4,1,1,2,3,2,0,1,1,1,0,3,2,2,1,4,0,0,1,4
RF0193,1,0,2,1,2,2,1,3,0,0,1,3,0,2,0,1,0,1,1,0,13,6,19,9,12,5,8,15,9,12,0,0,1,5,2,0,0,0,4,1,3,1,2,1,4,3,0,1,1,1,1,1,3,1,1,0,1,1,0,1
RF0194,15,5,9,16,17,6,7,16,7,14,2,1,0,1,2,2,2,0,0,2,2,1,0,2,1,0,0,1,1,1,1,4,1,1,2,0,1,1,0,1,1,1,4,2,1,0,1,0,3,0,1,0,1,1,1,2,0,0,3,1
RF0195,1,1,0,0,1,0,1,3,2,1,1,1,4,0,1,0,1,2,3,1,7,7,7,6,12,5,12,7,3,17,0,1,0,0,2,1,0,3,0,2,1,5,2,0,2,0,5,7,4,2,1,5,1,0,0,3,1,0,0,0
RF0196,5,14,4,8,10,5,14,9,8,8,1,2,1,1,5,2,3,2,0,1,0,0,1,1,0,2,0,2,1,0,2,4,1,1,2,1,4,0,1,1,1,1,3,1,1,2,0,2,0,0,1,0,2,1,2,1,2,3,2,2
RF0197,10,8,16,3,7,8,14,7,15,14,0,1,2,0,2,5,1,2,0,1,1,1,3,1,3,1,2,2,1,3,1,0,0,1,1,1,1,1,1,1,2,0,2,0,2,4,0,1,0,1,2,2,0,3,2,0,4,2,4,2
RF0198,5,2,1,1,1,1,3,0,6,1,3,1,1,2,0,0,3,4,0,0,2,1,1,1,2,2,1,4,2,2,15,8,5,8,11,7,12,8,6,15,1,0,1,0,1,3,1,0,1,1,0,1,2,1,3,0,1,3,1,3
RF0199,0,3,1,2,3,2,3,1,1,0,7,9,4,8,14,8,8,7,9,5,0,4,1,0,2,0,0,0,1,2,0,0,3,1,1,2,4,2,2,2,0,1,1,1,3,0,1,0,1,2,2,2,1,0,4,5,1,3,0,2
RF0200,0,3,1,2,2,1,1,0,1,2,5,0,2,0,1,1,2,3,2,3,15,14,2,12,9,7,15,6,13,2,2,2,4,0,0,1,0,1,0,1,3,0,1,0,2,3,1,1,1,3,2,2,1,3,1,0,0,1,0,1
RF0201,12,16,1,16,10,5,12,12,13,7,1,1,4,1,0,4,0,4,4,0,1,2,1,2,2,0,3,4,0,0,0,1,1,0,1,2,2,0,3,1,1,0,5,0,1,1,1,1,0,1,1,1,0,0,2,3,1,5,0,1
RF0202,5,0,1,1,3,2,2,0,1,0,1,1,5,2,0,1,1,2,1,3,7,8,5,12,10,10,19,9,12,13,0,1,3,2,2,4,0,2,0,2,4,1,2,0,0,3,0,1,2,1,2,2,0,1,3,5,0,2,0,1
RF0203,0,1,1,2,1,0,2,0,1,1,2,5,1,1,0,3,2,1,2,2,6,10,16,10,7,14,11,14,16,8,2,3,1,1,3,1,1,5,2,1,1,1,4,0,4,0,1,3,2,1,0,1,3,3,1,1,0,0,1,2
RF0204,1,2,0,1,4,4,4,1,2,2,3,6,1,2,3,3,1,1,1,2,1,0,3,0,1,4,0,0,2,1,10,9,3,7,12,7,4,7,13,5,1,1,0,0,1,2,0,4,1,3,2,1,3,1,4,0,2,5,2,0
RF0205,2,2,4,1,1,4,1,1,0,5,2,1,2,2,0,1,0,1,3,0,0,1,3,1,1,0,1,2,1,0,4,7,10,8,4,6,10,15,7,10,3,0,2,0,2,0,1,2,1,3,3,2,0,3,1,4,0,2,2,5
RF0206,7,14,13,15,14,19,10,7,8,11,4,1,1,4,2,1,3,1,0,0,2,1,3,0,1,0,2,2,2,0,2,2,3,1,1,0,3,3,4,2,3,3,1,1,0,3,1,0,1,0,1,2,2,1,0,0,0,0,1,1
RF0207,17,10,11,8,19,8,10,9,8,8,1,0,1,0,0,1,1,3,1,2,0,0,0,0,2,1,3,2,2,0,3,5,3,3,1,1,0,1,1,0,0,1,5,1,2,0,2,1,2,0,1,4,0,2,2,1,0,3,2,1
RF0208,12,7,12,8,11,10,18,3,8,16,3,1,1,2,0,1,1,0,1,1,1,3,1,0,0,0,0,1,1,0,1,1,3,1,0,0,2,2,1,2,5,1,1,3,1,2,0,3,0,1,3,1,1,2,2,0,1,1,1,3
RF0209,7,7,14,17,10,16,13,9,13,9,1,2,1,1,2,0,0,2,2,2,0,1,1,2,1,0,0,0,4,0,3,1,3,2,0,4,0,1,0,1,4,2,3,0,0,0,1,1,0,1,5,1,0,0,1,1,0,2,0,1
