"","Drug01","Drug02","Drug03","Drug04","Drug05","Drug06","Drug07","Drug08","Drug09","Drug10","Drug11","Drug12","Drug13","Drug14","Drug15","Drug16","Drug17","Drug18","Drug19","Drug20"
"G123",-0.0796,0.2559,-0.6133,-0.2809,0.1315,-2.1322,-0.6487,0.6663,-0.1095,1.2374,-0.084,0.6373,-0.2066,0.2092,-0.5785,-1.0226,0.6961,-0.9444,-1.9594,0.6424
"G124",0.1163,0.6547,2.8048,-0.5285,0.2267,-1.7374,-0.32,0.1244,-0.6474,-0.775,-1.0002,-1.6387,-2.2211,-1.9862,1.427,1.0472,1.3234,1.7782,0.5561,0.9951
"G125",-0.6138,-1.3828,1.3321,-0.8493,-0.5106,-0.2746,1.4994,1.0302,0.8395,0.7107,-0.7743,-0.0367,-0.4006,2.1094,-0.015,-1.2185,-1.3755,0.255,0.2479,-0.6974
"G126",-0.7531,-1.5512,-1.1018,-1.1763,0.1722,0.5367,1.6506,-0.5427,-0.664,0.6917,-1.3845,0.5608,0.8685,-0.129,0.7914,0.8829,2.121,-1.9239,-0.4274,-0.8872
"G127",-0.357,-0.823,-1.1028,-0.8815,0.9201,0.894,0.0633,1.5372,0.2372,0.4149,0.2294,-0.7228,-0.6348,0.0682,-0.3002,0.7797,0.2254,1.1218,1.6267,-0.5766
"G128",1.2783,0.4051,0.9525,0.8542,1.9311,-0.1971,0.6993,1.7677,-0.0849,-0.6376,0.9062,-0.5076,0.2217,0.7709,1.1276,0.664,-0.4226,-0.4934,1.0238,-0.6826
"G129",0.495,2.5358,-0.078,0.2347,-0.4669,1.8063,1.2621,-0.4624,-0.3861,1.5344,-0.7509,0.2223,-0.8319,-0.0502,1.0949,1.4324,0.937,0.7118,-0.7322,-0.7611
"G130",1.1209,-0.7939,-0.6812,-2.4042,-0.4034,-0.0298,1.4474,-1.0046,0.4136,0.2722,2.3722,-0.3416,-0.714,-1.7604,1.0641,-1.4884,0.2503,-1.1997,1.0451,0.152
"G131",-0.3069,-0.5075,0.0199,-0.5765,-0.4851,0.7311,-0.4939,1.1966,-1.2527,0.5819,-0.3816,1.2539,-2.054,-0.3934,1.3637,-1.265,-0.2862,1.3459,-0.8518,-0.1321
"G132",-0.2127,0.7806,-1.1527,0.136,-0.2006,-0.8199,-0.5049,-0.3809,-0.2172,0.4617,-0.2934,0.6578,-0.3014,0.0849,-0.9777,0.1638,0.5455,-1.303,-0.0612,-0.2483
"G133",-2.0254,1.696,-0.7723,-1.0995,-1.2221,0.8236,-0.9022,-0.9985,-1.5208,-1.8981,1.9691,-0.9003,-0.6867,1.063,-0.665,0.4361,0.164,1.3679,-1.1699,-1.2049
"G134",-0.5678,0.3335,1.4824,-0.4686,-1.3986,0.529,-0.137,1.0115,0.3546,0.9712,1.9362,0.2043,0.7046,-0.0968,-0.3024,0.9376,0.5816,-0.4902,1.1601,-1.3451
"G135",0.5645,-1.1818,-0.7439,-1.4884,-0.6417,-1.1802,1.0652,-0.6659,1.4844,0.0323,0.0858,0.2997,1.1859,0.9894,0.0748,1.7338,-1.7625,2.1441,-1.2312,-1.3679
"G136",0.9932,0.4531,0.4699,-1.8282,0.6901,0.0211,-1.2003,0.4016,-0.8628,-1.041,-0.5806,0.3156,0.4326,0.7103,-0.7417,-1.8228,0.5522,-0.3595,-0.9315,0.4925
"G137",-0.9959,1.462,-1.78,-0.2965,2.0887,-0.0809,2.299,-2.4778,0.4539,0.334,0.0399,-0.386,0.7029,1.3554,-1.3296,0.5144,-0.0479,1.7401,-0.8777,0.2751
"G138",0.3373,0.8564,0.1333,0.7964,-0.9799,0.8262,-0.3382,-0.8879,2.5423,-0.2876,0.4317,1.431,-0.0441,-0.9689,-0.3302,-0.1141,-0.3206,-0.5863,-0.1947,0.5868
"G139",1.002,1.5427,1.4806,0.9659,1.2036,0.0254,0.8783,-0.7765,0.4646,-0.3381,0.6222,0.2677,-0.144,-0.1481,-1.8905,0.0055,0.1922,0.0158,0.2108,0.291
"G140",0.9243,-0.7362,-1.5888,0.0246,0.1205,-0.8229,-0.6818,0.2491,0.6608,0.6664,0.2964,-0.7617,-0.3693,-0.4326,2.5052,-0.9217,-0.412,-0.6262,0.41,-0.7116
"G141",-0.9241,-0.3343,0.0463,-0.0483,0.1482,-1.0644,0.339,-0.1217,-0.0969,-0.0768,0.347,1.7182,-0.2697,-1.4412,1.4245,-1.3268,-1.9113,-0.8487,2.4193,-0.4743
"G142",-1.4052,1.1917,1.3156,1.294,-0.7206,0.8718,-0.6326,0.3357,-0.3494,-1.0426,-1.7784,0.8022,-0.1776,0.9587,1.3327,0.3425,0.5555,1.0949,-0.3759,0.0919
"G143",-0.2342,0.9777,1.1282,-0.4565,-0.2565,-0.8745,-0.7498,-0.8895,-0.2731,-0.5085,0.2156,2.3759,0.1489,-1.7444,-1.618,1.1726,0.4352,0.8293,0.2058,2.1348
"G144",-0.5787,1.0491,0.2332,0.4685,-0.1533,-0.9193,-1.811,1.337,-0.2009,0.327,-0.844,0.3111,-1.3715,1.9126,-0.6323,0.5283,-0.7743,1.5999,-0.4237,-0.4461
"G145",1.2694,-1.3229,-1.0652,0.263,1.607,0.6098,2.0695,2.4735,-0.0013,-1.0038,0.0599,-0.9776,1.0985,-2.7759,-0.0201,-0.0236,-0.1408,0.0722,0.7363,0.9552
"G146",0.1027,0.1825,-0.4215,-0.9304,0.4676,0.3332,1.016,-0.8535,0.3895,-0.2561,-0.1468,0.4452,0.3892,-0.1392,-0.7257,2.0259,0.5526,0.1469,-0.1369,0.8806
"G147",0.739,0.0053,1.3711,0.7473,-0.8054,-1.3672,-0.5105,0.1538,-1.2363,-1.2123,0.5969,-0.2632,1.2269,1.557,0.2223,-2.0097,-1.6871,0.0795,0.2695,-0.1024
"G148",0.3564,0.3276,1.5037,0.4216,-1.2997,-0.2364,-1.3483,1.4034,-1.3174,1.1978,-0.1521,-0.9043,-0.2647,0.3002,0.3624,-0.9267,0.6204,-0.1016,-0.0527,-0.1341
"G149",0.8614,-0.4453,-2.052,-0.201,0.7132,-0.0242,0.0908,1.1532,0.0382,-1.8762,-1.0652,-0.5677,-0.3264,0.6532,2.5253,-1.3531,-0.0136,-0.5851,-1.0606,-0.9422
"G150",0.6124,0.8214,1.689,-0.0706,0.8828,-0.3129,0.9301,-0.9164,-1.8913,0.1573,0.9596,-0.4011,-3.0033,1.9882,0.0224,-0.7932,-0.2811,-0.6285,-0.5065,0.4931
"G151",0.4229,-0.0994,0.3161,0.7442,2.1102,0.9963,1.2961,0.5907,-0.03,0.4081,-0.2225,-0.2474,-0.4425,-0.4107,-0.4413,1.0058,-0.3407,0.7132,1.9168,1.0602
"G152",1.7615,0.3754,0.964,0.6788,-0.3448,-3.2498,0.5741,-1.0664,0.8727,-0.1693,-0.1409,-0.7724,0.4338,-1.1493,0.2773,0.7949,-0.2191,0.1071,0.3272,0.9422
"G153",0.095,0.8496,0.377,0.377,1.0011,-2.3361,-0.2143,0.9547,1.021,0.594,1.2452,0.1636,-1.3457,-0.8979,-0.3793,-0.906,-0.7796,-0.3565,-0.2877,1.5478
"G154",-0.7312,0.9996,2.0505,0.3925,0.4061,1.3545,0.2373,-0.6957,-0.5915,1.5275,0.1639,-0.7993,0.2313,0.441,-2.4827,-0.0848,-1.4604,-0.7998,-0.4272,0.116
"G155",-0.8182,2.0053,1.9606,-1.3827,-1.6329,1.0483,-1.0792,-1.1371,-1.0573,0.4994,0.4044,-1.5772,0.787,-0.3527,0.0814,0.9065,1.1758,-0.4755,-0.047,0.9504
"G156",-1.3567,-0.246,-0.0297,0.808,2.6983,-0.4812,-0.0536,0.6784,-0.9937,0.4354,-0.7598,-0.9922,-0.435,-0.2283,0.1591,0.4281,0.9995,-0.4866,0.2334,-0.9164
"G157",-0.382,0.9873,1.7557,-0.26,0.4279,0.5066,-0.0647,1.3257,-1.3115,1.2343,0.8454,0.7158,-0.6012,-0.0217,-0.3791,-1.117,-0.402,0.8269,-0.3412,2.2009
"G158",0.2365,-0.218,-0.913,1.3163,-1.1815,0.3379,-0.6214,-0.773,1.3152,-1.5651,0.5681,1.2188,-0.1191,-0.5742,-2.7244,0.8122,-0.0411,-0.213,0.8611,-2.6147
"G159",1.4879,0.7581,1.4796,1.9102,0.2199,1.31,0.1784,-0.0715,0.5227,-0.1783,2.2177,2.346,-0.7235,1.9598,-1.4314,1.0419,-0.1161,-1.4445,-0.037,0.6613
"G160",0.0494,-0.2176,-1.2749,-1.4641,0.2449,0.412,0.9692,0.1911,0.0471,-1.0854,0.6442,1.2466,-0.5161,-1.0381,0.7522,-0.2861,0.8395,1.3111,0.4104,1.6026
"G161",-0.2921,0.4618,-0.9647,-0.2843,0.389,0.6376,0.8307,1.0098,2.0303,-0.3686,-1.9982,1.0225,-1.7757,0.4193,0.5827,1.6683,0.0558,-1.069,-0.4891,-0.2139
"G162",-0.3165,-0.22,0.1907,-0.2714,-0.416,-0.5673,-0.6109,-1.9743,-0.5681,0.0799,-0.7899,-1.2998,0.3693,0.2993,0.3872,0.7472,1.0405,0.4435,0.2853,-0.0197
"G163",-0.7125,-0.3062,0.4566,-1.1961,-0.7781,-0.2775,-2.4094,-0.7861,1.189,-0.8231,-0.0741,1.8683,0.3048,-1.7335,0.3651,-1.8727,0.5331,2.2201,-2.7764,1.3134
"G164",0.9849,0.2051,0.18,0.4467,-1.1131,0.3029,-1.6196,-0.9325,-0.2132,-0.3151,1.658,-0.0341,2.1434,1.2927,1.6618,-0.3072,0.3105,-0.7347,0.5537,-2.448
"G165",1.2966,-0.233,-0.4623,0.2475,-0.7399,-0.1996,1.2959,-1.0103,-3.0295,0.2352,0.2647,-0.4123,-1.7812,0.1773,1.2119,-0.0773,0.9092,1.1757,0.4716,1.0845
"G166",1.4859,-0.5393,-0.2265,-1.304,0.3174,0.3987,1.2635,0.6481,0.1849,-0.4044,-0.884,-0.1413,1.3287,2.5269,-2.031,0.9156,-1.4517,-0.3619,-0.575,-1.4196
"G167",-0.6257,0.7948,-0.3452,0.0289,0.8207,-0.0133,-1.8547,1.1245,2.2235,-0.995,2.2006,0.5684,1.9571,-0.2433,1.0341,0.3221,1.5912,1.2055,0.0272,-0.9501
"G168",-0.8678,1.4068,0.065,-1.0498,-1.1697,0.244,0.4292,1.8834,1.4633,0.3522,-0.6724,-1.555,-2.1046,0.1992,-0.6913,-0.4998,0.7903,2.2779,1.6651,-0.2284
"G169",-1.3261,-0.249,-0.826,-1.3324,0.4815,-0.6114,-0.6255,-0.5301,-1.2068,-0.534,1.0085,-0.5597,1.5419,-1.4012,-1.0473,0.5283,-1.5129,0.2627,1.6085,-1.0213
"G170",-1.7022,1.4189,0.5925,0.6699,0.8541,-0.5049,0.2479,-0.9508,0.7628,1.0043,0.4601,-0.9506,-1.0314,-0.0323,-1.6042,-0.6428,0.6485,0.4336,-0.2088,0.9826
"G171",0.2238,0.2465,1.8161,0.7567,-0.0678,-1.9444,-0.4259,-0.9287,0.5522,0.9594,1.1836,0.1578,1.0008,-0.7175,0.5958,-1.641,-1.3426,1.5124,-0.31,0.818
"G172",-0.5037,-0.2681,0.9609,0.8632,0.8456,-0.0404,-0.1591,0.2442,-0.1804,-0.8932,0.1043,0.7768,0.7201,1.2016,-0.3175,-1.6611,-2.3218,0.4343,0.33,-1.203
"G173",1.2973,-0.9661,-0.129,-0.3656,-0.1981,-0.2648,0.0624,-0.1587,0.0169,0.11,-1.098,1.1148,1.6483,-0.8935,1.3416,0.1364,1.4229,0.2609,-0.1665,-0.7438
"G174",0.9545,0.7723,0.1842,-2.6775,0.7838,-0.4054,-1.631,0.0644,0.5262,-0.6418,0.8425,-2.4065,0.5399,0.1868,1.5183,0.2457,-0.3285,0.2149,1.0524,-0.2799
"G175",0.0267,0.1962,0.5286,0.2558,-1.3271,0.8582,2.1226,0.7977,-1.1521,-1.2483,0.3334,-0.0483,-0.4422,-1.7683,-0.3487,0.553,-0.2337,-1.6742,-0.1673,-0.3129
"G176",-0.4434,0.1206,0.9052,0.0038,1.3324,-1.4716,0.0859,0.3884,-0.6654,-0.6339,0.1413,-0.562,-1.3027,0.3875,-1.6374,-1.43,0.7598,-0.3919,0.0051,-0.5143
"G177",2.2074,-0.6329,0.7419,0.5357,-0.3032,-0.3514,-1.2902,2.446,0.874,0.1646,1.1345,-0.7555,-0.6526,0.9539,-0.2167,-0.5971,0.4347,1.4649,0.1222,0.2522
"G178",-1.036,0.0082,1.0137,1.6444,0.1075,-1.0037,-0.3421,0.5113,-1.9269,-1.2322,-0.2462,-0.9243,-1.1369,0.5064,-1.2389,-0.9026,-1.612,0.2714,1.0377,-0.6451
"G179",0.6541,-1.4711,-1.4352,0.318,-1.0902,0.65,0.2667,-0.0927,0.5951,1.7739,-1.1466,-0.2574,-1.5022,0.377,-0.6832,-0.742,-1.8722,-0.29,-0.0366,0.8277
"G180",0.0295,-1.0985,0.6805,-0.037,0.3084,-2.2594,1.3546,1.5126,-1.391,-1.1591,-1.1329,-0.7801,0.2343,0.6785,0.8001,-1.263,-0.3022,-0.3039,1.1856,0.5767
"G181",-1.0944,1.4519,0.6196,-0.4113,0.2436,0.3942,-1.0561,0.0822,0.4516,-1.5034,-0.2014,-0.3027,0.5612,0.4444,1.0363,-0.7819,1.7043,1.3791,-0.9528,-0.5768
"G182",1.0702,-1.1374,-1.0624,0.4679,1.6385,-0.2488,-1.267,1.2601,-0.2742,-0.5869,-1.2196,2.2762,-0.9449,0.3208,-1.8078,0.6664,-1.3297,0.4598,0.35,0.498
"G183",-0.6886,-1.2979,-1.132,1.4066,2.2186,0.3733,-1.4888,-0.7253,-0.9964,-0.663,-0.4139,-0.152,0.764,0.0435,0.2266,0.3304,0.893,0.7615,-0.5754,-1.8906
"G184",0.0039,0.4105,-0.8241,-0.4951,1.4103,-0.0699,-0.3782,0.2932,0.9054,0.0231,1.8496,0.508,0.9389,-0.3699,-0.2803,-2.0871,-0.7092,-0.6954,0.8977,1.2551
"G185",-0.784,0.1626,-1.1167,-2.8627,-1.5004,0.4976,0.669,0.1537,-0.4732,0.7757,0.6926,0.2372,-0.1388,0.4798,-0.2325,-0.1035,0.4482,-1.2606,1.4024,0.8066
"G186",1.9239,-0.4302,0.5515,0.9632,-0.5564,-0.004,-0.1243,-1.0489,1.8936,-0.0961,0.4954,-0.9611,0.9336,0.1804,0.0454,0.187,-1.0952,0.8366,-0.0292,0.7657
"G187",0.6044,-0.4648,1.5528,-0.1754,1.192,-0.6839,0.1289,-0.2751,0.1847,0.3955,0.0991,-0.0338,-0.303,0.2275,-0.2269,-0.8189,1.2903,-0.6944,0.0271,-0.1386
"G188",1.5364,0.0606,-1.1479,-0.3846,-0.851,0.4246,-0.4981,-0.549,-0.2659,-1.6537,0.6599,-0.5498,0.7812,-1.1232,-0.4299,-0.0173,-0.5515,-1.0129,0.0616,-1.0743
"G189",0.5652,-1.3342,0.331,0.099,-0.6646,-1.4574,-0.0794,0.9879,0.2834,0.1337,-0.4254,0.0544,-0.6143,0.0579,1.1133,-0.9298,0.5748,0.1433,1.2764,0.6629
"G190",0.8383,-1.0882,-0.0865,-0.1395,0.0619,0.091,0.5335,0.4789,-0.9675,-1.9043,-0.4102,-0.3078,-0.1697,-0.6661,0.0814,-0.0229,-1.21,-0.0797,-0.0209,2.1679
"G191",0.1202,-0.837,0.7902,1.8969,-1.6182,0.4716,0.4446,1.0159,0.7001,-0.8603,-0.6899,0.8885,0.4947,-0.5137,0.7104,-0.3818,0.2272,-1.2864,-0.49,-0.1828
"G192",-1.3835,-0.0137,0.8788,-1.4277,-0.6218,-1.0768,-0.2128,1.1316,0.6601,-0.4573,0.1767,-0.1261,2.2676,1.6441,-1.0624,-1.479,-1.4577,0.6426,-0.854,0.5619
"G193",-0.5718,0.9941,0.6212,0.3866,-0.0982,-0.7827,0.1249,0.7068,-0.391,-1.3485,-0.7784,1.227,1.3528,0.5879,0.4978,-0.8197,-0.8909,-0.1266,-0.482,-1.1542
"G194",0.7234,-0.8065,-0.6395,-1.5255,0.2645,0.1518,-0.1062,-0.6199,0.3221,-0.6416,-0.3781,-0.1216,1.4509,1.0437,1.0689,-1.4432,0.4773,0.3134,1.8194,-0.3803
"G195",-0.7423,-0.0604,-0.0588,0.1397,0.5935,-0.2876,-1.5855,0.3275,0.6505,-0.5087,-0.4762,-2.2185,0.441,-0.4445,0.0065,0.4034,-1.048,-0.9926,0.2841,1.665
"G196",-1.9363,1.613,-1.0786,-0.4107,0.0582,-0.8871,1.157,-0.6339,-0.9542,1.9753,-1.8019,-0.0885,-0.1704,0.6128,0.716,0.7045,-1.4353,2.2226,1.3017,0.2616
"G197",-1.0676,-0.1704,-1.5522,-0.5075,-1.2257,0.6559,3.0933,-0.1775,0.6241,0.5321,0.3561,-1.5602,0.7901,-1.2349,1.0341,1.4607,0.2053,0.4282,-1.4365,0.5382
"G198",0.7461,-1.1506,1.3186,-0.5961,-1.0617,1.8932,-0.2677,0.6156,-2.7207,0.6713,-1.0146,0.4353,-0.1649,0.4673,-1.3392,-0.227,1.448,-0.1018,-1.0862,-0.6234
"G199",0.533,-1.0434,0.7882,1.1046,-0.3904,0.236,0.0423,-0.8149,0.8928,-0.1007,-0.102,0.8308,-0.5947,1.3751,-0.9317,-0.292,-0.5473,1.1969,-0.1285,1.4296
"G200",-0.1339,-0.3372,-1.1256,-0.1895,0.6346,-1.8416,1.6287,1.5743,0.8266,-0.2378,0.8185,0.5949,-1.3313,0.4663,0.2803,-1.0066,1.2696,1.0421,-2.1025,-1.166
"G201",-1.7285,-1.4883,-1.7404,-2.0319,1.4802,1.8719,2.0093,1.501,-0.4696,-3.9212,-1.8079,-0.2246,1.598,0.5018,-0.7668,1.3179,0.7839,-0.4747,0.3984,-0.8243
"G202",-4.1494,-2.4058,-1.7303,-1.274,1.2135,2.1468,-0.4041,2.8336,-2.4309,-0.9624,-1.3136,0.9026,-0.8099,1.8286,0.9325,0.63,-2.0045,1.2022,2.5333,1.2452
"G203",-2.4196,-1.7061,-0.0421,-1.0727,1.3326,1.6544,0.4101,2.2737,-1.2848,-2.5583,-2.9307,-1.6399,-0.5654,-0.9605,-3e-04,-1.0934,0.0952,0.7423,-1.5729,-1.5141
"G204",-1.9637,-0.9265,-4.0117,-1.7785,3.0937,0.5947,1.1369,0.4778,-1.1116,-1.1508,1.2206,-0.7067,-0.8374,0.8281,0.229,-0.4846,0.9176,-2.1706,1.905,-0.5084
"G205",-2.0966,0.3315,-2.5551,-2.8694,1.2285,1.0371,1.2323,3.2952,-0.5088,-0.1043,0.7911,-2.7335,0.4996,-1.9676,-1.2738,-0.6726,1.6375,0.9611,1.3785,-0.5059
"G206",-3.7763,-1.2788,-2.5473,-1.9367,2.2311,0.4213,1.5767,3.4051,-0.371,-0.5636,-1.9547,-1.476,-0.4285,0.7037,-1.3081,-0.4698,1.7958,-2.4941,0.6124,-1.2815
"G207",-1.8151,-0.4893,-2.6248,-2.1964,1.4176,-1.1533,0.6992,0.5838,-3.3616,-1.4378,-0.3491,-1.4649,-0.0416,0.698,1.0031,-0.8062,-0.0372,0.3148,-0.8341,-0.1837
"G208",-3.5469,-1.9957,-2.8273,-1.3496,1.0265,0.742,0.4986,1.8344,-2.1451,-1.2421,-0.6122,-1.559,-1.6058,-1.5152,-0.3906,1.6246,-0.2495,0.88,1.5496,0.8513
"G209",-2.0279,-1.6641,-2.1551,-3.4577,1.5542,1.0207,2.143,2.485,-0.8203,-0.5265,-0.8344,-1.0278,0.6102,-0.9589,0.7294,-0.4118,2.7096,1.5216,1.6154,0.1658
"G210",-2.3458,-1.8405,-2.666,-2.8023,1.6338,2.2252,2.0408,0.5107,-1.6868,-1.7369,0.8879,-2.3438,0.4294,2.266,-0.0834,-2.5195,0.8657,0.7601,-1.2723,-0.4509
"G211",-3.4117,-2.5595,-2.213,-2.771,0.063,0.8067,2.5633,-1.0379,0.0203,-1.9804,-1.4778,0.6848,-1.3091,0.8364,-0.0698,1.3763,0.7496,-1.7784,-0.0056,-0.7416
"G212",-2.3272,-1.9517,-1.8843,-2.4949,2.5836,0.9115,1.7336,1.006,0.1969,-0.2814,-0.8442,-3.4966,-2.1645,-0.443,-0.9994,-0.2463,-0.0404,0.6499,-0.6403,0.2005
"G213",-1.6689,-1.7822,-2.4419,-3.2679,0.2682,1.7673,2.2111,0.7768,-1.2361,-1.2198,-0.165,-2.9696,-0.2377,0.0207,1.4959,-0.173,1.8631,-0.5544,0.1062,0.1458
"G214",-2.0574,-2.2061,-3.2314,0.031,2.2443,2.4982,2.2331,2.638,-2.6411,-2.3632,-0.2747,-2.2518,-0.411,0.372,0.9377,-0.5125,-0.4916,0.477,0.4105,0.9101
"G215",-2.4839,-2.0961,-1.9716,-2.4673,3.1528,2.7147,2.6645,3.2267,-2.073,-0.254,-1.1953,-2.3991,-1.7922,0.9562,-1.0789,-0.7889,-1.8032,0.4907,0.0241,-1.6385
"G216",-1.8628,-1.5155,-2.3446,-0.7266,1.4125,1.0724,2.7016,-0.3788,-1.2883,-2.1485,-1.1463,-1.9173,-0.2536,0.7278,-1.76,0.644,1.3854,1.2832,2.2528,0.2587
"G217",0.3433,-3.0145,-1.5828,-1.3824,-0.7569,2.2788,0.87,0.502,-1.1957,-2.1836,-1.0728,-0.8405,0.4663,2.4415,-0.5743,-0.1284,-0.2482,0.692,0.1086,0.6101
"G218",-2.6741,-2.2516,-1.4339,-2.22,1.2122,0.6501,1.1693,0.881,-0.6659,-0.4759,-3.103,-4.3836,1.247,-0.1211,0.1889,1.1797,-1.089,2.3448,0.4555,0.8553
"G219",-0.9446,-1.8568,-1.9178,-2.0216,2.6961,3.655,1.1381,1.8762,-1.8179,-0.6213,-3.0656,-1.9526,0.6132,-0.1378,-0.5046,0.2804,0.2217,0.6358,-0.1299,-0.2976
"G220",-2.3166,-2.1661,-1.2792,-1.5852,1.8528,1.5438,2.3032,2.324,-0.9255,-1.4092,-0.0067,-2.52,1.3169,-0.2224,0.7855,-1.26,1.7295,0.8015,0.6748,0.1795
"G221",-3.0084,-3.1171,-1.5886,-3.8461,1.3739,0.3338,1.9314,1.8842,-0.7723,-0.9772,-1.7786,-0.5535,-1.2845,0.1234,-0.8245,-0.3284,-0.6586,-1.1322,0.7161,-1.8804
"G222",-2.5791,-3.282,-3.1955,-2.1684,1.1613,1.4494,1.9283,0.6973,-1.1858,0.8591,-0.1257,-2.8137,-1.041,0.9893,2.5176,-0.7876,-2.1578,-1.4604,0.9321,-0.6055
"G223",-0.1865,-0.3797,-1.5176,-3.833,0.4787,1.7567,-0.1175,0.9053,-2.3229,-1.0025,0.4682,-1.5791,-1.0215,1.4357,-0.6468,-2.7213,-0.5352,0.5423,-0.0031,-0.69
"G224",-3.0692,-1.7722,-3.1388,-1.8141,2.132,1.5147,0.9144,2.878,-0.314,-1.8993,-0.4815,-2.4527,-1.1874,0.8981,-1.7649,-1.0073,1.0603,-1.4677,-0.7927,-0.187
"G225",-0.7985,-2.6464,-3.497,-1.9199,2.4718,1.7105,0.0746,1.8845,-1.2483,-2.2064,0.1022,0.1732,0.6456,-0.1027,-2.7707,0.3987,-1.0687,0.3618,0.1363,1.3714
"G226",-2.4597,-3.2553,-1.902,-1.0598,1.8251,1.509,0.8842,0.6715,-0.3446,-0.9703,-1.0888,-0.8265,0.7418,0.9692,0.8008,0.2722,0.2651,0.2413,-0.6367,-0.4734
"G227",-2.2214,-1.3421,-2.1874,-0.4746,1.2232,2.0819,0.9733,0.1758,-0.7012,-1.1362,-1.5444,-1.5705,0.11,-2.1127,-0.8342,-2.2933,1.8265,-1.9181,0.2734,1.7617
"G228",-3.8135,-2.3934,-3.2844,-2.5745,2.0278,0.8013,0.8946,0.3373,-0.4882,0.5431,-1.8886,-1.6218,0.4798,0.0758,-0.5339,2.3414,-0.6648,-0.3443,-0.1962,-0.3453
"G229",-0.8354,-1.4906,-2.9905,-2.5022,2.4575,3.5493,1.3902,0.3493,-2.2866,0.051,0.4349,-2.4307,0.3375,-1.5496,-0.487,0.1737,1.1799,-0.9187,-0.8055,-2.0937
"G230",-3.1574,-2.6645,-2.7141,-0.8647,3.0413,3.1316,0.8165,2.2019,-2.9644,0.0357,-0.5539,-2.2351,0.6957,-1.9008,-0.4991,1.8629,0.547,-0.948,-0.2119,-1.1678
"G231",-2.6865,-1.6763,-2.7377,-2.0169,1.1844,1.861,0.673,0.5531,-0.7514,-0.944,-1.2449,-1.6012,0.2609,0.1238,1.8784,-0.552,-1.1726,1.1707,-0.5168,1.1413
"G232",-1.8618,0.1024,-1.1738,-3.9132,1.3337,2.4807,1.3008,0.4775,-1.0218,-0.3703,-0.768,-1.3088,-0.4352,0.4524,2.3374,-0.4849,-0.2459,0.1871,-2.2054,-0.0692
"G233",-1.7995,-2.2192,-1.7432,-3.7685,3.0353,1.2076,1.7772,1.4464,-1.0453,-0.5786,-1.2406,-3.0615,-0.2231,0.0503,0.2886,1.3173,1.2356,0.0585,-0.239,0.6469
"G234",-2.578,-1.8906,-1.6809,-2.9425,0.8895,1.6914,1.3075,1.4041,-0.7085,-0.8135,0.0644,-0.19,-0.8317,0.4876,0.6415,-0.7011,-2.3629,1.1253,-0.1099,0.4837
"G235",-1.7006,-2.0252,-1.8066,-3.1574,-0.1703,1.9223,1.6402,1.0818,-1.4876,-1.5494,-0.2089,-1.5497,1.5245,0.4913,0.003,-1.0233,-0.828,-0.7564,1.5985,-0.1932
"G236",-2.4525,-1.901,-1.5622,-2.2165,-0.2733,2.7126,-0.4874,0.4109,-1.0117,0.36,-2.7734,-3.157,-0.3274,-1.893,-0.4118,-0.3083,0.7888,-0.1564,-0.4015,-0.094
"G237",-2.1255,-2.2,-1.368,-1.7208,-0.1066,2.1385,1.3891,2.4446,-0.1629,-1.4874,-0.0425,-1.2809,-0.4243,-0.7197,-2.164,0.4558,-0.4945,1.0457,-0.5125,0.5074
"G238",-1.4545,-1.617,-1.7667,-3.042,2.9274,2.1418,1.0066,1.1637,0.4185,-2.3043,0.1586,-0.9524,1.0124,0.4133,-0.2539,-0.3301,-0.1886,0.1585,0.2091,0.7166
"G239",-2.2204,-1.5453,-2.4736,-1.8605,1.7365,1.6786,1.1902,2.239,-1.71,-4e-04,-1.949,-1.1842,-0.1056,1.5997,-1.406,-0.2983,1.7196,0.6743,0.3605,-0.8409
"G240",-3.6895,-1.5227,-3.0326,-0.4477,0.435,2.0948,1.1039,1.1285,-2.8989,-1.6629,-1.4398,-1.3875,0.6736,1.6385,0.4314,-0.3617,-2.4865,-0.1544,-1.6251,-1.9687
"G241",2.6201,3.1133,1.9466,3.7489,0.0492,-0.2528,1.2463,0.5182,0.4152,0.6762,1.6178,1.0408,-0.2184,1.1306,-0.4688,-0.2021,-0.5809,1.0917,-0.8001,-0.813
"G242",2.0723,2.5599,3.6792,4.0488,-0.539,1.7347,1.5093,0.7586,0.724,0.7925,0.3245,1.5102,-0.048,1.3131,-1.0943,1.0863,-1.042,1.1811,-0.1447,0.5863
"G243",1.3015,1.7369,2.7726,2.7677,0.06,0.6899,-1.0956,0.4445,-0.1862,0.8851,0.4503,2.7788,1.2255,-0.5013,0.9229,1.0624,2.2337,0.0178,1.1808,0.025
"G244",1.6576,2.4117,3.0552,2.5468,1.5218,-0.1572,-0.4655,1.1084,0.7309,1.4369,1.4804,0.9181,0.546,-0.9362,-0.1541,0.6028,-0.1689,0.4314,2.3668,0.5258
"G245",3.017,2.3516,3.1321,3.5127,-0.4565,0.375,0.2031,-2.4896,2.1904,1.6556,2.1194,1.3712,1.2879,1.0218,-1.1024,0.6871,-0.0961,-0.4414,0.3232,0.9701
