"编号","状态","分类","语言","文件名","脚本名","用途","结果图","非肿瘤消化适配","主要R包","主要Python包","项目来源","路径"
"058","本次新增","08_单细胞_空间转录组_细胞轨迹","R","058_单细胞Scissor疾病相关细胞筛选__464_Scissor算法.R","单细胞Scissor疾病相关细胞筛选.R","将 bulk 表型信息与已注释 Seurat 对象关联，用 Scissor 识别疾病相关和对照相关细胞，并汇总细胞类型分布。","Scissor+/- UMAP图；Scissor细胞类型分布柱状图；Scissor分组汇总表；细胞映射表","很适合。可把非肿瘤消化系统bulk队列与单细胞图谱连接起来，是有新意的桥接模块。","Seurat; ggplot2; Matrix; Scissor","未标注","从压缩包 464.Scissor算法.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\058_单细胞Scissor疾病相关细胞筛选__464_Scissor算法.R"
"061","本次新增","08_单细胞_空间转录组_细胞轨迹","R","061_scFOCAL官方GUI输入准备__489_scFOCAL分析.R","scFOCAL官方GUI输入准备.R","读取 Seurat 对象与细胞ID-细胞类型映射表，生成 scFOCAL GUI 可上传的 RDS，并启动 scFOCAL Shiny交互界面。","scFOCAL官方交互页面输出；本脚本主要准备RDS输入并启动GUI","适合。可作为非肿瘤消化系统单细胞功能定位/细胞类型解释的交互分析入口。","Seurat; scFOCAL; shiny","未标注","从压缩包 489.scFOCAL分析.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\061_scFOCAL官方GUI输入准备__489_scFOCAL分析.R"
"062","本次新增","08_单细胞_空间转录组_细胞轨迹","Python","062_scTour拟时序向量场_Python参考__491_scTour_tutorial.py","scTour拟时序向量场_Python参考.py","Python 脚本，复现 scTour 官方教程：训练 scTour 模型，推断 pseudotime、潜在空间和向量场，并输出UMAP/向量场图。","celltype UMAP；batch UMAP；pseudotime UMAP；vector field向量场2x2图；pseudotime表；训练日志；h5ad结果","适合但不是R脚本。可作为单细胞轨迹/向量场高级图参考；R主线可暂时只记录，不强行改写。","未标注","Python: scanpy; sctour; matplotlib; argparse; json; pathlib","从压缩包 491.SCTOUR.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\08_单细胞_空间转录组_细胞轨迹\062_scTour拟时序向量场_Python参考__491_scTour_tutorial.py"
"028","原有整理","09_孟德尔随机化_GWAS处理","R","028_MR_GWAS暴露数据处理__02gwas.mrcieu数据筛选，筛选强关联的SNP__01gwas数据库，VCF格式.筛选强关联的SNP.R","01gwas数据库，VCF格式.筛选强关联的SNP.R","处理 GWAS/VCF 暴露数据，筛选显著关联 SNP。","未检测到明确作图输出","未标注","gwasglue; pbapply; TwoSampleMR; VariantAnnotation","未标注","MR_GWAS暴露数据处理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\09_孟德尔随机化_GWAS处理\028_MR_GWAS暴露数据处理__02gwas.mrcieu数据筛选，筛选强关联的SNP__01gwas数据库，VCF格式.筛选强关联的SNP.R"
"029","原有整理","09_孟德尔随机化_GWAS处理","R","029_MR_GWAS暴露数据处理__03去除连锁不平衡性__02去除连锁不平衡.R","02去除连锁不平衡.R","对候选 SNP 去除连锁不平衡，保留独立工具变量。","未检测到明确作图输出","未标注","pkg","未标注","MR_GWAS暴露数据处理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\09_孟德尔随机化_GWAS处理\029_MR_GWAS暴露数据处理__03去除连锁不平衡性__02去除连锁不平衡.R"
"030","原有整理","09_孟德尔随机化_GWAS处理","R","030_MR_GWAS暴露数据处理__04添加EAF值__添加EAF值.R","添加EAF值.R","为暴露 SNP 数据补充或整理 EAF 等位基因频率信息。","未检测到明确作图输出","未标注","pkg","未标注","MR_GWAS暴露数据处理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\09_孟德尔随机化_GWAS处理\030_MR_GWAS暴露数据处理__04添加EAF值__添加EAF值.R"
"031","原有整理","09_孟德尔随机化_GWAS处理","R","031_MR_GWAS暴露数据处理__05.去除弱工具变量__去除弱工具变量.R","去除弱工具变量.R","计算 F 统计量并剔除弱工具变量。","未检测到明确作图输出","未标注","pkg","未标注","MR_GWAS暴露数据处理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\09_孟德尔随机化_GWAS处理\031_MR_GWAS暴露数据处理__05.去除弱工具变量__去除弱工具变量.R"
"032","原有整理","09_孟德尔随机化_GWAS处理","R","032_MR_GWAS暴露_芬兰结局__gwas为暴露，芬兰为结局。MR分析.R","gwas为暴露，芬兰为结局。MR分析.R","将 GWAS 暴露与 FinnGen 结局数据进行孟德尔随机化分析并输出敏感性分析图表。","散点图；森林图；漏斗图；Leave-one-out敏感性图；曼哈顿图；QQ图；Radial MR图","未标注","gwasglue; qqman; RadialMR; TwoSampleMR; VariantAnnotation","未标注","MR_GWAS暴露_芬兰结局","C:\Users\fsy\Desktop\原始代码\按分析用途分类\09_孟德尔随机化_GWAS处理\032_MR_GWAS暴露_芬兰结局__gwas为暴露，芬兰为结局。MR分析.R"
"033","原有整理","09_孟德尔随机化_GWAS处理","R","033_MR_GWAS暴露_芬兰结局__新建文件夹 (2)__gwas为暴露，芬兰为结局。MR分析.R","gwas为暴露，芬兰为结局。MR分析.R","将 GWAS 暴露与 FinnGen 结局数据进行孟德尔随机化分析并输出敏感性分析图表。","散点图；森林图；漏斗图；Leave-one-out敏感性图；曼哈顿图；QQ图；Radial MR图","未标注","gwasglue; qqman; RadialMR; TwoSampleMR; VariantAnnotation","未标注","MR_GWAS暴露_芬兰结局","C:\Users\fsy\Desktop\原始代码\按分析用途分类\09_孟德尔随机化_GWAS处理\033_MR_GWAS暴露_芬兰结局__新建文件夹 (2)__gwas为暴露，芬兰为结局。MR分析.R"
"043","原有整理","09_孟德尔随机化_GWAS处理","R","043_论文配套GitHub_AD多组学个体预测_Wu2025__Multimodal-AD__2.Mendelian randomization-EN.R","2.Mendelian randomization-EN.R","AD GWAS VCF→TwoSampleMR 数据格式转换 + 孟德尔随机化主分析（IVW、MR-Egger、加权中位数、敏感性分析、LOO、漏斗、曼哈顿、QQ）。","散点图；森林图；漏斗图；Leave-one-out敏感性图；曼哈顿图；QQ图","未标注","VariantAnnotation; gwasglue; TwoSampleMR; KYNMCZRJ; dplyr","未标注","论文配套GitHub_AD多组学个体预测_Wu2025","C:\Users\fsy\Desktop\原始代码\按分析用途分类\09_孟德尔随机化_GWAS处理\043_论文配套GitHub_AD多组学个体预测_Wu2025__Multimodal-AD__2.Mendelian randomization-EN.R"
"055","本次新增","09_孟德尔随机化_GWAS处理","R","055_免疫细胞疾病MR方向性检验__345_731免疫细胞MR.R","免疫细胞疾病MR方向性检验.R","批量读取免疫细胞暴露与疾病结局GWAS/VCF数据，进行 TwoSampleMR 主分析、异质性、多效性和 Steiger 方向性检验。","本脚本主要输出结果表；可接入现有MR森林图/漏斗图/leave-one-out/Radial MR可视化模块","适合。可用于免疫细胞与非肿瘤消化系统疾病的因果方向筛选。","VariantAnnotation; gwasglue; TwoSampleMR; R.utils; ggplot2; RadialMR; dplyr","未标注","从压缩包 345.731种免疫细胞和疾病的MR分析，方向性检验.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\09_孟德尔随机化_GWAS处理\055_免疫细胞疾病MR方向性检验__345_731免疫细胞MR.R"
"","原有整理","10_TWAS_单细胞eQTL权重","R",".Rhistory",".Rhistory","未标注","未标注","未标注","未标注","未标注","未标注","C:\Users\fsy\Desktop\原始代码\按分析用途分类\10_TWAS_单细胞eQTL权重\.Rhistory"
"036","原有整理","10_TWAS_单细胞eQTL权重","R","036_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__R__hom_het_components_fit.R","hom_het_components_fit.R","OneK1K 单细胞 eQTL 共享/特异成分模型拟合：通过弹性网回归对每个细胞类型估计同质（hom）+ 异质（het）成分系数，作为 TWAS 第一步。","未检测到明确作图输出","未标注","data.table; doParallel; foreach; glmnet","未标注","论文配套GitHub_TWAS免疫细胞癌症_Qin2026","C:\Users\fsy\Desktop\原始代码\按分析用途分类\10_TWAS_单细胞eQTL权重\036_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__R__hom_het_components_fit.R"
"037","原有整理","10_TWAS_单细胞eQTL权重","R","037_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__R__Model_fit_using_hom_het_components.R","Model_fit_using_hom_het_components.R","基于第一步得到的同/异质成分进一步拟合预测模型（弹性网），输出预测残差与系数，用于后续 FUSION TWAS。","未检测到明确作图输出","未标注","data.table; doParallel; foreach; glmnet","未标注","论文配套GitHub_TWAS免疫细胞癌症_Qin2026","C:\Users\fsy\Desktop\原始代码\按分析用途分类\10_TWAS_单细胞eQTL权重\037_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__R__Model_fit_using_hom_het_components.R"
"038","原有整理","10_TWAS_单细胞eQTL权重","R","038_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__R__Weights_Pre.R","Weights_Pre.R","合并前两步的系数，形成 FUSION TWAS 所需 weights 文件准备步骤。","未检测到明确作图输出","未标注","data.table","未标注","论文配套GitHub_TWAS免疫细胞癌症_Qin2026","C:\Users\fsy\Desktop\原始代码\按分析用途分类\10_TWAS_单细胞eQTL权重\038_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__R__Weights_Pre.R"
"039","原有整理","10_TWAS_单细胞eQTL权重","R","039_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__R__Gen_weights.R","Gen_weights.R","按细胞类型生成 FUSION TWAS 所需 weights .RDat 文件（targetC / S_targetC / S_allC 三种权重矩阵）。","未检测到明确作图输出","未标注","data.table","未标注","论文配套GitHub_TWAS免疫细胞癌症_Qin2026","C:\Users\fsy\Desktop\原始代码\按分析用途分类\10_TWAS_单细胞eQTL权重\039_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__R__Gen_weights.R"
"040","原有整理","10_TWAS_单细胞eQTL权重","R","040_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__vignettes__FUSION_targetC.R","FUSION_targetC.R","FUSION TWAS 推断脚本（targetC 权重），用于在目标细胞类型权重下整合 GWAS 进行 TWAS 关联检验。","未检测到明确作图输出","未标注","optparse; plink2R; glmnet","未标注","论文配套GitHub_TWAS免疫细胞癌症_Qin2026","C:\Users\fsy\Desktop\原始代码\按分析用途分类\10_TWAS_单细胞eQTL权重\040_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__vignettes__FUSION_targetC.R"
"041","原有整理","10_TWAS_单细胞eQTL权重","R","041_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__vignettes__FUSION_S_targetC.R","FUSION_S_targetC.R","FUSION TWAS 推断脚本（S_targetC：使用 hom + tiss 共享成分的目标细胞权重）。","未检测到明确作图输出","未标注","optparse; plink2R; glmnet","未标注","论文配套GitHub_TWAS免疫细胞癌症_Qin2026","C:\Users\fsy\Desktop\原始代码\按分析用途分类\10_TWAS_单细胞eQTL权重\041_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__vignettes__FUSION_S_targetC.R"
"042","原有整理","10_TWAS_单细胞eQTL权重","R","042_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__vignettes__FUSION_S_allC.R","FUSION_S_allC.R","FUSION TWAS 推断脚本（S_allC：所有细胞共享成分权重）。","未检测到明确作图输出","未标注","optparse; plink2R; glmnet","未标注","论文配套GitHub_TWAS免疫细胞癌症_Qin2026","C:\Users\fsy\Desktop\原始代码\按分析用途分类\10_TWAS_单细胞eQTL权重\042_论文配套GitHub_TWAS免疫细胞癌症_Qin2026__OneK1K-TWAS__vignettes__FUSION_S_allC.R"
"054","本次新增","11_WGCNA共表达网络","R","054_WGCNA无符号共表达网络__335_GEOwgcna.R","WGCNA无符号共表达网络.R","对表达矩阵进行 WGCNA 无符号共表达网络分析，完成样本质控、软阈值选择、模块识别、模块-性状相关、hub gene筛选和模块可视化。","样本聚类树；软阈值选择图；网络拓扑图；模块树状图；模块颜色图；模块-性状相关热图；模块成员关系图；hub gene散点图；模块表达热图/箱线图","很适合。GEO/转录组非肿瘤消化系统疾病机制分析建议优先补入主线。","WGCNA; limma; ggplot2; reshape2; pheatmap; RColorBrewer; gridExtra; scales; viridis; corrplot; cowplot","未标注","从压缩包 335.WGCNA分析更新，无符号网络方法.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\11_WGCNA共表达网络\054_WGCNA无符号共表达网络__335_GEOwgcna.R"
"048","本次新增","12_TCGA_肿瘤预后生存_仅参考","R","048_TCGA单基因OS_DSS_DFI_PFI生存曲线__111_预后分析.R","TCGA单基因OS_DSS_DFI_PFI生存曲线.R","对 TCGA 单基因表达进行 OS、DSS、DFI、PFI 四类生存终点的 Cox 分析和高低表达组 Kaplan-Meier 曲线绘制。","OS生存曲线；DSS生存曲线；DFI生存曲线；PFI生存曲线；HR/95%CI/p值标注","肿瘤参考。非肿瘤消化系统通常没有 TCGA 生存终点，除非有随访/复发/事件时间数据，否则只借鉴图形和代码结构。","limma; survival; survminer; dplyr","未标注","从压缩包 111一个代码绘制单基因预后指标OS、DSS、DFI、PFI 生存曲线.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\12_TCGA_肿瘤预后生存_仅参考\048_TCGA单基因OS_DSS_DFI_PFI生存曲线__111_预后分析.R"
"057","本次新增","12_TCGA_肿瘤预后生存_仅参考","R","057_TCGA预后风险模型可视化__414_风险模型分析.R","TCGA预后风险模型可视化.R","基于 TCGA 风险评分文件绘制风险分布、生存状态、风险基因热图、KM生存曲线和1/3/5年时间依赖ROC。","riskScore风险分布图；survStat生存状态散点图；风险基因表达热图；KM生存曲线；1/3/5年timeROC曲线；AUC表","肿瘤参考。非肿瘤消化系统若有队列随访和风险评分可改造，否则主要借鉴图形样式。","survival; survminer; timeROC; ggplot2; viridis; ggsci; MetBrewer; ComplexHeatmap; circlize","未标注","从压缩包 414.TCGA预后诊断模型的分析.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\12_TCGA_肿瘤预后生存_仅参考\057_TCGA预后风险模型可视化__414_风险模型分析.R"
"060","本次新增","12_TCGA_肿瘤预后生存_仅参考","R","060_TCGA单基因免疫相关双蝴蝶图__482_双蝴蝶图.R","TCGA单基因免疫相关双蝴蝶图.R","在 TCGA 疾病组样本中计算目标基因与免疫浸润细胞、免疫检查点基因的 Spearman 相关，并用 linkET/cowplot 组合成双蝴蝶相关图。","免疫浸润相关三角热图；免疫检查点相关三角热图；目标基因-两侧变量连接线；双蝴蝶组合PDF；相关性结果表","肿瘤参考。图形很新，但脚本默认TCGA肿瘤样本和免疫检查点；非肿瘤消化系统可改为炎症因子/免疫细胞评分/通路评分双侧相关。","limma; dplyr; ggplot2; linkET; RColorBrewer; cowplot; grid","未标注","从压缩包 482.TCGA数据双蝴蝶图.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\12_TCGA_肿瘤预后生存_仅参考\060_TCGA单基因免疫相关双蝴蝶图__482_双蝴蝶图.R"
"047","本次新增","13_转录因子调控_基因组圈图","R","047_转录因子基序调控网络__107_RcisTarget_Motif网络.R","转录因子基序调控网络.R","基于 RcisTarget 对候选基因集进行 motif/转录因子富集分析，并构建 motif-TF-gene 调控网络。","AUC直方图；显著基因富集曲线；incidence matrix曲线；igraph多布局网络图；visNetwork交互网络HTML；Sankey网络HTML","适合。可用于非肿瘤消化系统差异基因、WGCNA模块基因、单细胞marker的转录调控解释。","RcisTarget; igraph; visNetwork; DT; reshape2; htmlwidgets; data.table; networkD3","未标注","从压缩包 107.转录因子（基序转录调控）网络.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\13_转录因子调控_基因组圈图\047_转录因子基序调控网络__107_RcisTarget_Motif网络.R"
"053","本次新增","13_转录因子调控_基因组圈图","R","053_基因染色体位置圈图__330_circlize.R","基因染色体位置圈图.R","读取目标基因及基因组坐标，使用 circlize 绘制基因在染色体上的圈图分布。","染色体ideogram圈图；基因标签圈图；基因位置信息表","适合但偏展示。非肿瘤消化系统候选基因集可用作补充可视化。","circlize; RColorBrewer","未标注","从压缩包 330.基因在染色体位置分布圈图.rar 整理","C:\Users\fsy\Desktop\原始代码\按分析用途分类\13_转录因子调控_基因组圈图\053_基因染色体位置圈图__330_circlize.R"
