"geneSymbol","GSE_A_S01","GSE_A_S02","GSE_A_S03","GSE_A_S04","GSE_A_S05","GSE_A_S06","GSE_A_S07","GSE_A_S08"
"IMPDH1P8",8.405,5.156,8.551,6.559,5.898,6.214,7.183,7.736
"LOC127824361",4.952,8.077,6.597,7.644,5.213,7.422,7.241,7.249
"LOC126861671",7.39,7.852,8.069,6.961,7.742,7.459,7.067,10.005
"RGS2",9.158,7.308,6.899,5.546,6.829,5.01,7.266,6.351
"LOC105376789",7.554,4.589,8.001,8.225,6.591,6.966,7.121,7.108
"LOC127458478",7.339,7.42,10.2,6.861,6.676,7.186,7.339,8.195
"LOC111811967",4.812,5.417,5.731,5.763,5.731,8.261,5.957,5.332
"LOC129930544",7.356,7.455,5.866,6.181,7.589,7.088,8.372,8.788
"LOC130005871",7.629,7.485,7.321,7.805,7.058,7.722,8.516,6.667
"LOC129992815",9.51,7.412,6.48,10.084,8.195,6.535,10.304,4.325
"LOC105375913",6.236,6.868,9.033,4.444,8.812,7.777,5.503,7.804
"LOC127897087",5.893,5.016,6.873,5.628,7.433,5.25,7.138,5.932
"ARL4C",5.878,7.865,7.138,7.123,5.795,8.392,7.162,8.748
"LOC122149325",5.137,6.631,6.852,6.763,6.332,4.259,9.168,7.22
"LOC129389507",6.257,6.343,7.056,8.79,7.618,8.385,6.245,6.034
"LOC110121097",7.691,6.168,7.101,7.494,7.548,6.546,6.849,6.974
"IL18RAP",5.603,5.972,6.33,6.74,5.725,7.441,6.833,6.608
"RNU1-101P",7.054,7.141,9.969,7.539,8.357,6.139,6.724,7.624
"NPCA1",6.006,5.975,8.863,8.559,6.487,8.362,7.125,8.518
"LOC129933609",7.876,6.124,7.785,8.022,4.787,5.784,5.887,8.737
"LOC125418065",4.158,6.759,4.467,6.677,6.348,8.66,8.799,6.019
"LOC125078050",7.807,8.429,7.083,5.682,6.547,5.636,7.158,7.198
"LOC127269776",9.091,5.998,7.108,6.097,8.148,6.133,6.268,8.666
"LOC130064574",7.744,7.333,5.298,7.606,6.117,6.117,6.624,6.715
"LOC130057328",4.603,4.069,9.058,5.848,5.316,5.952,7.295,9.351
"LOC127825256",6.43,6.781,4.992,9.511,5.458,6.351,7.809,7.741
"LOC105373389",8.309,7.037,4.804,7.929,6.67,9.656,6.327,8.388
"LOC127889368",7.447,6.337,8.706,7.19,8.53,6.453,5.335,7.454
"LOC127830653",7.051,8.219,5.756,8.24,5.741,6.375,6.553,9.801
"ERVK-14",8.662,8.427,6.185,6.821,5.036,6.399,8.413,10.826
"LOC126805605",5.041,7.431,9.236,8.446,5.669,6.244,8.28,5.77
"OR7E16P",4.808,5.89,8.282,7.793,7.219,9.639,4.883,7.967
"LOC129998997",7.296,8.712,8.136,8.74,4.888,7.864,8.487,6.827
"LOC121587544",7.013,6.819,6.457,8.068,5.514,6.713,9.105,7.509
"LOC129997394",5.922,5.415,8.076,8.352,9.025,6.241,5.264,10.153
"LOC127893210",7.395,8.445,5.824,4.14,7.824,6.556,7.306,4.904
"LOC129931990",7.121,5.007,7.967,8.643,7.223,7.672,8.1,8.908
"LOC127397701",7.747,9.851,8.736,6.742,6.379,7.997,7.46,8.578
"LTBP2",7.791,6.193,4.082,4.443,7.39,8.757,6.412,6.406
"LOC127814452",6.436,4.226,5.861,10.481,6.278,9.663,7.356,8.303
"LOC127406336",5.218,5.038,7.656,9.77,10.39,7.3,5.711,4.529
"SERF2-C15ORF63",6.423,6.65,7.981,7.295,6.086,8.342,6.974,7.396
"LOC127459276",7.018,4.975,6.725,7.176,8.625,8.274,6.853,8.081
"ZBTB8A",7.419,7.768,5.332,6.882,7.966,7.601,7.847,7.293
"LOC130056576",5.548,5.646,4.48,7.599,8.186,5.832,7.719,4.655
"LOC127274396",8.34,7.38,9.026,6.645,6.172,6.45,8.279,6.477
"LOC129390287",6.475,7.708,7.448,7.333,7.608,9.146,7.441,5.612
"LOC129995900",4.957,8.791,6.292,6.2,5.369,5.579,4.71,7.137
"LOC129933529",7.872,8.383,8.32,6.757,6.229,3.628,5.07,7.448
"HNRNPC",6.832,6.289,6.723,9.527,6.926,6.488,3.175,3.404
"TP53TG3E",7.692,5.678,6.534,6.799,9.136,8.571,6.372,7.527
"LOC129389385",7.926,4.362,6.662,6.178,4.849,8.018,5.604,5.966
"LOC126860369",5.053,5.82,6.013,3.533,6.394,6.99,8.129,6.081
"LOC127400420",7.465,6.096,5.633,6.738,6.453,9.021,6.707,6.25
"LOC129993764",7.128,5.968,6.678,7.246,7.142,6.439,6.713,7.352
"LOC127830594",6.581,8.87,2.213,7.98,9.024,7.229,5.171,7.476
"LOC129936075",7.131,5.44,8.31,10.776,4.919,8.367,7.244,8.533
"LOC127829167",7.383,9.022,7.254,7.059,6.376,6.264,5.232,4.24
"LOC127815342",8.097,6.135,6.231,6.536,6.445,5.826,5.901,6.475
"ACKR3",7.833,6.397,5.208,5.909,8.866,5.586,6.971,5.535
"LOC129664266",6.66,7.663,8.081,3.65,6.051,6.987,7.63,6.873
"LOC124903376",6.894,6.489,6.553,7.098,5.982,6.191,4.831,7.363
"HNRNPA3P2",7.681,8.409,8.186,9.865,6.659,9.096,5.962,8.198
"LOC127408322",8.114,8.238,10.299,4.9,9.05,7.058,6.498,7.348
"LOC127882885",6.141,9.099,7.843,9.569,7.364,6.397,5.637,6.489
"HNRNPA1P11",8.17,5.833,5.728,6.492,7.037,8.732,6.577,6.535
"LOC127891612",8.751,6.373,6.449,6.904,5.642,6.41,6.234,8.789
"LOC127401642",5.043,8.691,6.463,4.417,6.152,7.742,7.998,7.038
"LOC124906991",5.209,9.457,4.605,3.335,4.687,5.526,6.849,7.842
"LOC130002006",8.417,5.436,7.1,7.654,8.238,6.771,5.976,6.408
"LOC129934934",6.898,4.624,6.137,3.176,8.659,6.371,7.401,6.695
"LOC127819572",6.755,7.068,5.243,8.232,3.743,7.13,8.844,7.176
"LOC127884847",7.308,5.187,6.713,7.645,8.373,6.827,7.57,7.787
"PURG",7.316,6.548,6.326,6.284,7.966,4.92,7.428,7.053
"LOC127823718",8.145,8.883,7.94,8.43,4.365,6.285,7.077,5.015
"LOC127890141",5.008,8.137,7.265,7.728,7.129,6.144,6.282,5.031
"LOC129994025",3.045,8.994,7.963,7.581,8.759,6.863,6.697,6.55
"HOTAIR",7.876,7.499,5.78,4.768,5.563,7.893,6.847,6.96
"LOC127274823",6.779,7.653,8.768,7.951,5.368,8.225,9.041,5.321
"LOC127271635",5.03,7.088,7.292,5.863,8.069,7.768,6.103,7.196
"LOC129661515",7.917,5.223,9.041,7.301,9.117,7.348,9.452,4.39
"LOC129932868",6.222,8.288,5.398,8.106,7.108,6.303,7.369,4.87
"LOC130006271",7.381,7.089,6.001,5.666,5.266,6.401,7.279,8.68
"LOC127401264",6.727,8.125,7.25,6.492,6.903,6.111,5.193,5.548
"LOC130056236",9.16,7.762,6.066,7.943,5.595,5.142,5.583,8.653
"LOC127897186",9.417,7.169,7.214,6.995,6.82,5.505,8.088,7.367
"LOC129931322",7.396,4.897,9.008,7.915,9.406,6.277,7.074,5.684
"LOC111556107",5.285,9.584,6.41,7.937,4.232,8.519,5.48,6.476
"LOC112997587",6.571,9.882,4.908,4.725,6.931,6.906,6.181,8.82
"COPS5P2",5.457,6.211,8.589,6.504,8.168,8.482,9.393,6.891
"LOC130065909",8.083,8.755,7.239,7.895,6.88,5.221,5.832,6.238
"LOC130000498",6.444,8.078,7.619,5.614,7.358,6.416,6.398,6.371
"LOC124905091",7.964,6.382,5.099,7.76,8.674,5.585,7.551,4.122
"LOC126807565",7.229,6.742,6.694,5.64,8.683,7.312,6.882,7.708
"LOC127886827",7.952,11.426,6.482,6.725,6.905,7.007,7.508,7.978
"LOC127830768",8.141,6.653,6.537,5.141,5.982,8.217,5.545,5.981
"LOC124904996",6.991,8.53,7.975,7.467,8.307,7.782,7.311,7.783
"LOC130008783",6.989,5.662,6.547,8.949,6.473,4.909,7.216,7.249
"LOC130060291",7.844,7.774,7.438,9.256,7.236,8.284,6.082,7.468
"LOC127898195",5.217,6.632,6.717,7.263,6.99,7.267,6.493,6.724
"TRA-AGC16-1",9.515,7.558,5.426,4.133,10.363,7.62,7.455,7.216
"LOC110120831",6.941,6.974,6.761,8.022,7.202,7.311,5.303,7.014
"LOC124905277",5.87,5.776,5.846,6.585,5.031,4.777,7.416,5.958
"LOC124901105",7.48,6.546,7.728,5.625,7.623,6.219,5.818,8.217
"LOC127822363",4.84,9.743,7.598,7.266,6.044,6.489,6.992,8.481
"LOC127825117",7.407,6.329,10.237,6.744,10.01,4.056,7.322,5.965
"LOC124905426",10.574,6.796,5.214,8.465,6.209,6.703,7.8,12.397
"LOC126860379",6.928,6.357,7.222,7.398,7.94,7.608,8.93,6.286
"LOC130063780",9.175,7.548,8.305,7.287,6.896,7.773,5.775,9.044
"LOC127888058",6.824,5.825,9.759,6.471,4.839,7.414,7.069,6.695
"LOC127888218",5.261,7.162,8.607,4.696,6.98,6.787,4.52,5.237
"LOC130065007",4.798,6.773,5.086,5.654,6.964,7.161,4.862,6.978
"LOC126859831",9.023,5.255,6.826,5.536,4.341,7.45,7.411,8.854
"LOC105369930",7.534,6.828,8.153,6.894,7.678,4.521,5.711,7.829
"LOC126861460",8.215,6.881,5.528,6.234,5.919,7.421,8.089,4.983
"LOC130007598",12.13,6.842,6.176,7.552,7.939,6.244,6.801,7.752
"LOC124909457",7.766,5.936,9.197,7.793,4.443,5.85,6.851,7.129
"LOC130065949",7.16,5.718,6.153,7.635,9.33,7.172,6.662,5.542
"CYP8B1",6.844,6.536,6.265,8.905,6.709,6.455,7.888,5.251
"LOC127889179",9.055,6.255,6.078,6.616,8.826,3.502,9.016,7.589
"LOC127886685",6.259,8.387,7.128,5.287,5.91,9.682,6.5,8.343
"LOC126861936",7.843,7.022,10.282,7.098,6.993,8.075,6.191,7.139
"LOC127402209",6.299,8.065,5.273,8.186,5.737,4.742,6.585,6.463
"LOC124907541",4.769,8.157,8.299,7.553,6.534,7.712,8.612,5.951
"LOC129995651",7.544,10.188,8.521,5.552,6.579,5.888,6.24,9.761
"RUNX2-AS1",6.513,5.186,6.004,8.79,6.689,9.634,5.659,7.789
"LOC128462415",6.335,6.674,7.109,4.472,7.741,6.157,10.098,5.181
"LOC129929272",6.71,6.802,4.533,5.661,7.266,6.26,5.905,7.012
"SPMIP4",4.918,5.569,9.135,8.33,8.126,7.431,6.546,6.515
"LOC127828772",6.645,6.491,9.058,8.589,8.668,9.945,8.398,5.202
"LOC127890137",9.172,6.839,6.931,6.31,5.803,7.944,9.789,6.96
"LOC127893630",3.904,6.892,9.076,5.606,6.703,9.781,7.584,8.746
"LOC110121128",7.785,6.296,6.399,7.791,8.739,5.496,6.33,5.343
"PHKA1P1",7.135,4.918,8.077,6.757,6.669,6.38,5.494,7.845
"LOC130006875",8.87,6.92,7.945,4.905,3.912,6.573,8.444,7.92
"RWDD3-DT",5.189,7.06,5.599,8.407,7.28,6.51,5.863,6.823
"LOC127398625",8.709,6.634,5.932,8.213,10.056,6.489,9.164,7.124
"CBR3",5.454,5.519,7.234,4.703,7.134,7.208,9.08,9.752
"LOC126862103",6.206,7.36,6.688,5.021,7.96,9.758,7.755,4.95
"LOC127408662",6.909,8.567,5.153,6.389,7.688,6.874,7.532,5.669
"IL3RA",4.699,7.113,8.859,5.178,8.302,8.423,8.076,7.255
"LOC121132677",3.268,4.845,7.768,5.753,8.393,6.967,5.002,8.339
"LOC127889978",9.056,6.54,8.487,7.477,6.121,8.082,5.042,8.322
"LOC130010058",4.388,7.228,6.525,5.897,8.248,6.212,6.387,7.429
"NDFIP1",6.319,7.062,7.441,7.247,6.193,10.198,6.692,7.236
"LOC129994629",6.172,6.733,8.533,5.813,7.988,7.12,7.71,7.315
"LOC127402930",8.729,8.392,7.344,8.507,8,7.044,8.006,7.696
"LOC127405610",7.673,7.639,7.694,6.83,8.974,6.019,6.736,3.294
"LRRC37A4P",4.872,6.107,6.24,8.088,7.245,7.134,8.443,6.258
"LOC124252638",5.399,6.305,6.174,7.764,6.843,8.181,6.361,6.208
"LOC127888553",5.456,6.959,6.82,6.276,3.9,4.974,6.857,7.682
"AP2A2",6.453,5.699,5.897,5.064,7.699,7.747,7.291,7.261
"LOC127820199",10.02,7.435,6.241,8.094,5.984,4.219,6.393,8.983
"LOC129931737",7.686,5.943,6.949,7.678,5.953,6.02,6.869,5.982
"LOC127818358",9.792,6.597,7.164,5.913,8.166,8.56,7.717,8.081
"LOC125177334",10.323,4.293,8.641,8.116,8.27,7.983,7.002,5.642
"VN2R12P",6.683,5.826,7.43,10.326,7.836,5.236,6.421,6.253
"LOC129929609",5.262,8.922,6.794,6.442,6.039,6.88,10.055,4.025
"C1orf74",6.426,6.449,9.253,8.897,7.755,5.85,5.279,7.067
"LOC127825672",6.567,5.8,5.688,7.648,7.811,6.626,8.451,8.732
"LOC107984246",8.424,6.974,5.905,9.154,8.057,7.288,7.229,6.866
"LOC121725054",7.003,6.394,9.2,6.33,6.666,8.084,6.384,5.835
"LOC108281119",5.533,7.276,7.706,8.133,7.543,7.11,5.534,3.868
"LOC127892630",8.058,5.495,6.974,7.21,8.469,6.831,6.599,5.545
"LINC02971",6.796,7.758,7.317,6.379,8.116,6.697,6.099,7.592
"LOC130065502",6.772,5.467,7.889,6.431,5.529,8.845,6.905,6.351
"LOC130065117",6.623,8.152,9.834,7.478,5.722,6.234,7.552,9.175
"LOC127273454",8.607,6.094,8.086,9.235,6.276,6.932,9.155,6.75
"LOC126806979",8.539,6.175,6.98,8.366,8.278,4.774,5.188,6.225
"LOC127890440",7.58,6.391,9.111,7.879,7.025,8.996,5.99,5.372
"TSPY18P",8.326,7.488,8.089,6.656,7.561,5.682,5.195,7.744
"LOC127739539",6.875,9.94,8.934,7.177,6.601,8.037,9.187,5.185
"LOC129994798",6.676,6.142,7.527,7.168,6.791,6.105,7.359,7.052
"PHKA1-AS1",8.475,9.315,8.769,7.426,8.531,7.733,9.055,6.977
"LOC127827121",10.088,6.926,11.352,6.383,9.009,7.477,5.669,8.472
"LOC124909293",7.248,7.306,8.653,6.2,8.822,4.533,5.279,8.424
"LOC130067171",8.674,5.6,4.013,6.793,6.839,8.486,7.021,5.187
"RNU6-592P",7.171,7.251,7.193,8.483,8.359,7.645,3.139,9.244
"LOC127826136",6.102,7.575,6.888,5.464,5.629,8.83,7.591,6.912
"RPL32P35",6.387,7.364,8.898,6.343,7.721,7.525,6.878,5.205
"LOC129389767",7.571,3.838,6.069,5.048,6.651,9.139,6.068,10.098
"LOC125177415",7.337,4.671,4.883,4.59,9.982,6.841,6.991,5.28
"LOC127407875",5.586,7.021,5.754,7.93,6.805,6.602,4.385,7.512
"RN7SL116P",7.976,5.818,7.517,6.56,9.15,7.409,6.957,6.334
"LOC124625847",7.037,5.75,5.921,7.935,6.351,6.243,5.72,6.227
"LOC105369543",7.836,7.346,8.696,7.44,7.384,8.608,7.878,6.188
"LOC129663918",7.458,9.04,9.277,5.396,8.657,9.524,5.652,5.394
"LOC124902242",7.283,5.496,7.249,7.944,4.105,8.191,6.547,8.99
"LOC127397856",7.355,7.213,5.902,8.401,7.03,5.277,6.602,5.002
"LOC129992810",7.449,6.978,6.069,6.16,7.493,7.77,5.735,7.015
"LOC130002638",5.848,10.024,4.855,7.249,7.052,3.97,6.009,6.605
"OR2A1",11.806,6.792,9.844,6.031,6.035,7.479,8.081,7.179
"MIR129-1",6.862,6.888,7.947,6.334,7.893,8.074,6.28,7.292
"LOC129391093",8.153,7.633,6.2,7.465,6.461,10.646,4.998,6.162
"LOC105371060",9.49,5.323,5.502,5.768,5.144,9.127,5.599,4.702
"LOC127830783",7.325,6.682,6.595,6.611,7.83,4.853,5.686,5.696
"LOC127460293",6.512,8.666,5.828,8.919,8.391,8.749,5.061,4.882
"LOC126859772",5.474,5.574,5.917,6.125,7.174,8.466,5.937,9.082
"LOC130057630",5.043,5.849,7.327,7.855,9.826,7.209,7.496,7.712
"LOC130068635",8.571,9.282,9.769,8.968,9.382,8.571,6.3,5.992
"LOC132090519",8.874,9.703,6.7,7.698,6.532,5.782,8.8,5.603
"LOC130068642",5.276,7.596,4.713,7.592,7.932,7.628,5.635,5.11
"LOC128966631",6.297,7.729,8.074,5.996,8.971,6.746,6.121,5.947
"LOC127407610",7.123,4.923,4.89,10.092,7.992,7.312,6.73,6.707
"LOC124904467",5.299,9.846,9.086,5.576,10.935,8.341,7.343,6.905
"LOC105379216",6.901,5.485,7.768,5.037,6.977,7.272,7.662,5.963
"LOC127883856",7.133,6.336,8.213,6.653,5.882,7.652,7.805,7.212
"LOC130066693",6.451,5.352,5.811,6.209,8.01,5.586,7.826,7.114
"LOC127897292",6.415,9.845,7.129,3.123,5.619,6.365,7.943,7.793
"LOC125387252",5.451,7.994,7.789,5.897,8.15,7.051,4.886,7.059
"LOC127895350",5.61,5.683,8.009,7.029,7.553,5.948,5.009,7.827
"LOC130002261",6.248,6.469,8.403,7.425,8.205,6.595,9.676,6.539
"LOC122056817",7.414,5.681,6.79,5.586,5.557,9.238,5.986,7.278
"LOC107988033",8.93,8.694,7.228,3.616,7.033,7.422,6.459,8.561
"LOC127271674",5.44,7.812,4.954,6.85,9.141,6.365,6.522,8.103
"LOC268276",7.831,7.027,9.036,6.85,8.449,6.678,9.226,7.256
"LOC129992823",4.601,7.431,5.538,5.067,7.387,6.572,6.472,9.019
"LOC127270803",6.603,9.877,7.151,8.337,6.297,7.422,5.975,7.207
"RTL8A",8.735,5.842,6.588,6.565,6.873,7.643,6.003,8.584
"TCF19",6.566,7.744,10.205,6.449,7.927,7.143,8.42,6.004
"LOC127825132",7.004,7.292,7.361,7.04,7.467,3.953,5.649,6.081
"LOC124905765",6.792,9.868,7.136,4.548,5.797,6.329,5.486,4.03
"DYNLT4",6.592,9.019,6.962,9.685,6.809,6.91,4.842,8.082
"REG1B",6.648,7.751,7.591,6.883,5.94,7.361,7.363,6.851
"LOC132090345",6.838,6.454,6.402,5.493,7.148,5.966,6.558,5.642
"LOC129992789",6.943,8.027,4.531,6.813,10.244,6.37,6.182,10.838
"LOC127406838",7.469,7.062,6.169,7.383,8.338,3.741,7.118,7.77
"LOC101927145",5.585,6.862,7.688,6.223,8.41,5.211,7.859,6.639
"LOC105372825",8.109,7.241,8.572,6.24,9.326,8.888,6.428,7.257
"LOC127889108",4.573,5.425,4.658,4,7.429,7.024,6.382,5.649
"ZNF239",9.49,6.554,7.999,7.779,6.044,8.432,9.079,8.463
"EVI2A",7.088,5.735,8.116,7.277,7.113,9.912,7.817,7.449
"LOC130063943",8.223,4.423,8.407,6.386,5.266,6.058,8.458,5.766
"LOC127459020",5.183,4.908,7.965,8.267,6.533,9.998,7.596,7.937
"LOC130003061",6.955,5.506,6.945,7.319,6.718,8.317,5.487,9.183
"LOC105377213",6.704,8.081,7.419,8.621,7.109,9.056,8.415,9.754
"ADAM8",5.049,5.355,5.395,6.941,3.779,10.17,8.275,6.295
"LOC130004473",7.107,9.588,6.491,6.564,6.343,8.379,7.259,7.193
"LOC127825069",7.397,7.531,9.102,6.254,6.249,7.803,5.49,8.937
"LOC127396769",8.475,6.293,6.696,8.049,6.026,7.415,6.176,6.518
"IQCF6",7.106,6.844,7.237,9.382,8.02,9.547,8.542,9.436
"LOC127893983",8,7.313,8.266,8.096,8.495,4.064,8.643,5.224
"TNRC18",6.415,7.204,3.585,6.719,6.688,6.154,7.437,5.474
"LOC124908636",7.138,7.258,6.948,7.041,7.948,5.347,5.971,8.968
"LOC129390361",7.913,7.908,5.598,6.449,4.869,8.835,5.782,7.518
"LOC127399752",6.467,8.01,3.836,5.417,7.268,5.88,6.039,7.795
"LOC127824089",9.079,6.633,6.758,6.523,4.93,8.119,7.35,7.913
"LOC129932781",7.293,6.755,7.533,4.342,5.592,7.825,6.716,6.997
"USP30",9.486,7.003,8.205,5.433,10.642,7.869,3.879,6.419
"LOC105374989",6.124,5.363,7.033,8.939,5.951,7.164,3.986,7.638
"LOC131696449",5.069,7.932,7.33,6.408,8.65,4.946,9.873,8.885
"LOC127887261",3.767,6.846,7.543,6.095,7.962,6.469,5.983,5.729
"LINC02713",7.758,3.828,6.911,9.092,9.609,10.285,7.383,7.241
"LOC127458809",6.502,6.408,4.975,7.58,5.135,5.288,6.999,7.621
"LOC129998988",8.459,7.369,5.916,9.539,5.304,8.043,7.237,5.944
"ENUR2",7.579,4.213,9.764,6.282,8.459,6.617,8.104,6.569
"SCGB1C1",6.595,6.26,6.979,6.237,4.388,6.097,8.991,8.708
"LOC130059890",7.715,6.476,5.352,9.279,5.256,6.054,9.614,7.974
"LOC123864092",6.569,7.715,6.393,5.756,10.008,3.961,5.805,7.088
"LOC127888055",4.722,4.769,6.611,6.117,8.557,6.427,6.986,8.744
"LOC127457295",7.804,7.443,8.131,4.505,8.195,6.261,7.517,7.236
"LOC127266985",6.355,6.83,6.624,7.239,8.101,4.184,4.736,8.709
"LOC127272994",7.922,5.612,8.026,5.058,7.761,6.026,9.437,7.079
"LOC127272563",7.913,8.499,4.702,6.058,4.844,7.03,4.262,5.503
"LOC127457055",5.506,6.658,8.462,7.763,7.149,7.291,8.533,6.977
"LOC129938232",8.534,8.87,8.087,7.661,7.203,10.385,8.657,7.891
"LOC127889987",7.652,7.756,7.457,6.488,7.534,8.393,8.118,7.878
"LOC127823614",9.337,7.145,7.336,6.387,9.039,5.678,4.94,6.889
"TTC38",8.147,7.328,6.149,7.666,6.724,8.624,6.344,4.831
"LOC127405883",6.322,4.848,7.269,6.813,6.937,5.945,7.154,6.459
"LOC127814507",5.083,5.636,10.253,7.087,7.292,7.205,5.484,5.81
"LOC127275778",8.884,6.886,7.821,7.876,7.048,6.476,6.358,7.027
"LOC129663494",6.365,4.15,6.491,8.035,6.676,8.671,6.216,5.531
"LOC107986196",6.547,7.141,7.281,5.336,8.528,7.157,8.945,5.877
"MIR3130-2",6.659,6.761,9.314,9.408,8.386,8.772,6.981,6.877
"LOC130063185",9.846,7.431,8.232,7.904,5.872,8.199,5.565,7.754
"LOC129931560",8.266,6.582,6.366,5.835,7.607,7.569,7.996,6.925
"LOC127274846",6.191,8.552,8.883,7.937,5.479,10.309,8.002,9.294
"LOC127273662",6.6,5.493,8.067,4.957,5.21,7.712,7.839,5.722
"LOC127814983",5.958,8.439,6.597,6.174,6.462,6.533,7.222,6.661
"LOC124905396",6.415,7.533,8.43,7.7,7.454,7.432,6.919,6.047
"WNT3A",10.475,8.166,6.306,6.536,8.88,5.536,3.645,5.496
"LOC105369463",6.986,8.88,8.35,10.062,7.155,4.968,8.934,6.841
"LOC126860084",8.391,7.875,8.381,6.645,7.227,5.916,7.376,7.545
"LOC129931473",6.435,4.83,8.571,9.269,8.848,9.697,8.006,6.856
"LOC127271579",7.966,8.683,3.058,6.158,5.981,5.421,5.628,7.165
"LOC127896501",6.611,4.829,7.328,6.621,6.99,5.027,8.311,5.304
"LOC100288172",8.257,7.816,9.307,10.317,4.823,6.458,4.572,6.352
"PPP2R5D",4.65,5.394,6.214,6.835,7.936,6.482,6.908,6.06
"RN7SL132P",7.995,8.398,6.855,6.137,4.854,7.44,5.108,4.077
"LOC127406572",8.855,5.973,6.647,4.564,8.13,4.196,5.048,11.565
"LOC129937891",7.278,7.291,7.016,7.978,5.842,5.554,6.83,8.282
"LOC126806566",6.783,6.175,7.322,6.466,8.844,7.828,7.24,6.513
"COX8CP1",8.671,7.159,4.123,6.653,4.863,6.822,5.628,6.014
"RNY4P22",9.185,6.665,9.733,5.516,8.042,6.69,7.739,5.42
"LOC127888897",7.185,8.097,6.878,7.168,5.604,7.926,8.529,6.956
"TMEM26-AS1",7.989,8.754,8.469,7.337,8.79,6.158,5.767,10.199
"LOC130006986",8.84,8.286,7.126,5.282,7.504,6.485,7.386,7.283
"LOC127819312",9.29,5.411,7.955,5.324,5.613,9.326,8.105,5.867
"LOC129935558",10.454,6.796,6.448,6.797,5.237,7.535,7.484,6.6
"OSBPL9P1",7.775,6.616,6.874,5.802,9.497,8.145,4.86,6.109
"LOC129997023",7.011,7.79,7.305,6.357,8.282,7.809,8.193,4.597
"LOC129664649",6.673,5.18,6.111,7.841,8.268,6.5,6.378,7.213
"MCOLN1",6.703,6.364,4.985,7.145,8.508,7.962,6.985,6.554
"LOC121740736",8.137,7.657,9.43,5.326,9.834,9.926,6.304,7.121
"LOC130064184",7.527,8.271,7.396,7.887,5.798,7.439,7.256,7.035
"LOC130055512",5.984,6.066,5.776,8,8.292,6.997,6.375,7.414
"LOC129931880",7.477,4.487,6.287,6.746,6.284,6.136,7.297,9.963
"LOC127399609",6.118,6.543,6.026,5.907,5.308,7.96,9.401,6.503
"HNRNPCP3",5.958,6.045,5.925,7.085,7.157,6.895,5.359,7.728
"LOC126806694",9.354,7.421,8.186,9.683,4.933,6.417,7.714,8.828
"RNU4-6P",6.211,7.174,5.583,5.285,5.721,5.282,5.963,6.879
"LOC127276058",5.679,7.264,8.894,6.377,9.054,4.437,7.021,8.521
"LOC130057894",10.11,9.183,4.739,6.153,5.941,6.137,7.364,6.922
"LOC127460500",4.338,5.566,8.086,5.705,5.309,6.357,6.331,7.373
"OR7E154P",7.528,6.757,8.577,7.497,7.019,6.206,9.32,5.086
"LOC127889986",7.476,8.234,7.705,6.374,6.343,5.216,4.463,8.145
"LOC127459411",8.373,7.198,7.242,5.567,6.046,5.059,7.887,8.168
"LOC124905590",8.674,5.203,4.833,6.128,8.315,6.094,8.798,7.56
"LOC130000574",10.567,8.542,6.001,5.786,7.212,5.521,6.298,6.894
"FLJ43315",7.001,7.034,7.535,7.414,4.4,4.997,5.283,7.334
"ZNF705A",3.339,8.412,5.639,4.441,8.096,6.139,6.464,7.893
"LOC127816130",7.841,5.056,5.442,7.77,7.431,5.597,5.808,7.279
"LOC130063256",7.193,6.769,5.867,9.044,6.039,3.798,9.195,7.154
"LOC130062103",8.618,6.311,6.946,6.248,7.145,9.323,7.532,5.724
"GUCY1A1",5.99,6.766,6.837,4.523,6.404,7.753,7.017,8.896
"LOC127890661",10.307,5.231,7.594,7.33,7.941,6.024,7.683,5.502
"BEND3",7.024,4.679,10.357,4.398,5.513,5.74,7.826,2.683
"LOC127403970",7.916,6.674,10.742,6.084,5.103,7.994,6.958,6.345
"RNF13",6.299,6.728,7.154,5.599,5.395,7.043,6.945,9.615
"LOC129663669",6.568,4.899,9.488,6.888,8.051,7.801,6.774,6.366
"RNA5SP108",8.715,7.552,8.127,7.452,5.342,6.41,5.735,6.022
"LOC129390522",4.91,8.306,7.118,5.046,7.184,7.5,6.508,9.026
"LOC130008816",8.324,6.191,7.883,5.668,7.956,7.477,5.886,8.391
"LOC124902817",7.809,8.603,10.013,8.1,6.57,7.892,9.052,6.315
"LOC127456979",7.192,5.796,5.409,6.42,6.872,7.169,8.57,6.355
"LOC130056563",6.062,4.735,6.536,7.915,5.837,5.728,6.246,6.987
"LOC129663935",6.138,6.695,8.73,7.153,7.081,6.231,9.725,7.461
"LOC127818383",8.306,6.165,5.391,6.236,6.408,8.799,9.934,4.864
"LOC129995582",6.175,7.385,5.528,8.785,8.65,6.282,4.625,8.945
"GKN3P",6.889,7.437,8.135,8.943,7.256,6.14,6.935,4.987
"LOC130009930",4.764,6.862,4.51,7.302,7.352,5.815,6.073,9.549
"KBTBD6",10.442,7.157,8.153,6.504,5.471,7.975,8.925,8.85
"LOC129663787",4.342,6.441,8.644,9.266,6.819,6.724,7.203,8.419
"LOC130002632",5.708,6.626,8.86,5.525,8.109,6.105,6.616,6.186
"LOC124902063",7.656,6.624,8.652,8.523,5.744,5.381,4.548,8.754
"TRBV10-1",6.934,6.25,8.641,7.106,5.803,5.727,6.645,7.228
