# synthetic, for demo only -- 由 make_example_data.R 生成,不是真实实验数据
gene,C0001,C0002,C0003,C0004,C0005,C0006,C0007,C0008,C0009,C0010,C0011,C0012,C0013,C0014,C0015,C0016,C0017,C0018,C0019,C0020,C0021,C0022,C0023,C0024,C0025,C0026,C0027,C0028,C0029,C0030,C0031,C0032,C0033,C0034,C0035,C0036,C0037,C0038,C0039,C0040,C0041,C0042,C0043,C0044,C0045,C0046,C0047,C0048,C0049,C0050,C0051,C0052,C0053,C0054,C0055,C0056,C0057,C0058,C0059,C0060,C0061,C0062,C0063,C0064,C0065,C0066,C0067,C0068,C0069,C0070,C0071,C0072,C0073,C0074,C0075,C0076,C0077,C0078,C0079,C0080,C0081,C0082,C0083,C0084,C0085,C0086,C0087,C0088,C0089,C0090,C0091,C0092,C0093,C0094,C0095,C0096,C0097,C0098,C0099,C0100,C0101,C0102,C0103,C0104,C0105,C0106,C0107,C0108,C0109,C0110,C0111,C0112,C0113,C0114,C0115,C0116,C0117,C0118,C0119,C0120,C0121,C0122,C0123,C0124,C0125,C0126,C0127,C0128,C0129,C0130,C0131,C0132,C0133,C0134,C0135,C0136,C0137,C0138,C0139,C0140,C0141,C0142,C0143,C0144,C0145,C0146,C0147,C0148,C0149,C0150,C0151,C0152,C0153,C0154,C0155,C0156,C0157,C0158,C0159,C0160,C0161,C0162,C0163,C0164,C0165,C0166,C0167,C0168,C0169,C0170,C0171,C0172,C0173,C0174,C0175,C0176,C0177,C0178,C0179,C0180,C0181,C0182,C0183,C0184,C0185,C0186,C0187,C0188,C0189,C0190,C0191,C0192,C0193,C0194,C0195,C0196,C0197,C0198,C0199,C0200,C0201,C0202,C0203,C0204,C0205,C0206,C0207,C0208,C0209,C0210,C0211,C0212,C0213,C0214,C0215,C0216,C0217,C0218,C0219,C0220,C0221,C0222,C0223,C0224,C0225,C0226,C0227,C0228,C0229,C0230,C0231,C0232,C0233,C0234,C0235,C0236,C0237,C0238,C0239,C0240,C0241,C0242,C0243,C0244,C0245,C0246,C0247,C0248,C0249,C0250,C0251,C0252,C0253,C0254,C0255,C0256,C0257,C0258,C0259,C0260,C0261,C0262,C0263,C0264,C0265,C0266,C0267,C0268,C0269,C0270,C0271,C0272,C0273,C0274,C0275,C0276,C0277,C0278,C0279,C0280,C0281,C0282,C0283,C0284,C0285,C0286,C0287,C0288
G021,0,5,0,1,4,1,0,1,2,2,3,1,0,2,4,2,2,0,0,1,3,0,2,0,4,3,4,2,2,4,1,2,1,5,4,4,2,0,3,5,3,5,1,3,2,4,4,0,0,2,0,1,0,2,1,0,1,1,0,1,0,0,1,0,2,0,0,1,0,1,0,2,0,2,0,1,1,2,0,0,1,2,1,0,2,2,0,0,1,5,1,0,0,2,1,1,0,0,0,4,0,1,2,0,3,0,2,3,1,2,1,0,3,1,1,0,1,2,1,0,4,4,2,1,0,0,1,1,2,1,0,4,1,1,2,1,0,7,4,1,0,3,2,1,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,1,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,1,4,1,3,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,2,1,0,0,0,2,2,0,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1
G022,13,2,9,7,7,5,3,5,10,6,9,5,13,8,3,5,8,7,5,13,6,6,6,4,3,9,18,6,4,10,6,7,4,7,6,14,7,5,2,4,3,2,7,12,4,13,7,2,7,8,3,5,8,4,3,10,11,5,4,3,3,3,5,4,4,6,4,15,5,8,3,7,9,12,15,7,8,9,9,4,11,16,10,5,9,2,10,4,10,13,4,12,6,8,6,10,2,4,3,7,3,2,4,4,4,6,5,4,1,2,4,3,5,5,5,2,1,7,5,2,7,9,8,8,7,10,3,1,4,6,4,17,12,14,1,9,4,3,4,5,4,15,7,5,3,0,0,2,2,0,3,3,4,4,7,3,3,2,1,2,1,1,1,6,2,1,1,0,3,4,3,4,7,0,3,5,1,2,8,4,3,9,6,10,4,5,10,3,3,4,3,11,0,1,1,4,3,2,5,5,3,4,3,0,0,3,1,1,0,1,1,0,5,4,3,4,4,6,4,5,1,1,6,1,5,5,4,4,4,4,0,2,3,1,1,1,4,1,2,6,4,1,5,3,3,0,2,1,6,1,2,2,5,0,15,1,3,6,3,3,1,5,2,4,3,1,0,7,2,5,3,2,2,4,0,3,5,2,4,2,6,5,1,3,6,2,1,3
G023,0,0,0,2,2,2,1,1,1,2,3,4,2,1,1,2,5,2,0,1,0,0,0,0,2,3,5,8,2,2,2,0,0,2,5,2,4,2,2,3,0,3,3,1,4,4,6,3,1,1,1,1,0,0,2,2,3,1,1,0,4,1,0,4,2,1,2,2,0,1,0,2,1,0,5,1,1,1,3,2,0,0,0,3,0,2,1,2,3,1,0,3,1,1,1,1,1,5,0,0,2,0,1,1,2,1,1,0,0,2,0,2,0,1,0,2,2,4,1,2,0,3,1,5,1,3,3,3,3,8,5,6,0,4,4,5,2,3,1,3,0,0,3,0,7,3,3,0,5,0,2,0,8,3,5,2,1,3,3,2,3,4,5,4,1,4,5,7,2,3,5,5,2,4,4,9,3,0,5,5,3,8,4,6,3,10,6,4,1,1,5,7,7,4,3,7,1,1,5,0,3,2,0,2,2,2,1,2,1,7,2,6,6,2,2,6,1,5,6,4,3,1,5,1,5,5,0,0,4,5,2,4,7,2,7,6,0,5,3,6,3,6,4,4,5,8,1,1,7,0,2,2,4,5,7,3,4,5,2,4,5,4,4,9,3,1,4,6,5,1,0,4,3,16,2,3,3,3,2,2,0,3,2,4,2,5,2,1
G024,4,3,16,7,3,2,2,6,2,8,5,10,9,4,3,6,8,8,7,1,6,12,9,12,16,20,23,15,8,17,7,10,10,11,3,5,7,5,13,5,9,9,2,3,3,10,5,4,8,6,3,4,3,3,3,2,6,1,4,4,2,7,9,1,7,5,3,12,2,3,5,5,5,10,4,7,8,5,4,0,10,6,4,4,3,8,8,4,4,10,2,9,5,4,2,6,3,3,6,5,5,3,6,1,6,0,7,10,3,2,5,1,4,4,3,5,9,10,7,4,12,8,9,12,1,3,3,7,5,5,10,15,5,4,8,10,4,13,9,8,10,6,11,2,43,30,30,36,25,21,23,33,35,37,35,30,43,18,25,22,46,24,17,38,22,27,55,33,16,12,8,18,16,19,17,11,14,8,13,21,4,39,12,16,12,17,13,20,7,1,21,10,59,37,32,82,29,20,28,39,32,47,34,17,45,59,27,20,61,53,12,39,31,47,56,45,44,25,35,48,20,6,15,18,18,27,16,14,8,31,16,22,24,18,15,30,13,29,28,36,24,10,36,30,7,19,7,14,29,22,7,26,12,25,23,22,26,23,25,17,29,28,22,13,14,8,7,16,26,11,11,36,16,8,20,30,17,19,14,8,29,28,10,7,13,14,13,6
G025,2,2,2,0,0,0,1,2,1,3,3,1,0,0,0,1,0,1,4,1,1,0,1,1,3,2,1,3,1,5,3,1,3,1,1,3,2,1,2,0,2,1,1,1,2,2,2,0,1,0,0,0,0,1,1,0,0,0,0,0,2,0,2,0,1,2,0,0,0,3,1,0,3,1,2,2,4,1,0,1,0,2,1,2,0,0,1,1,3,2,0,3,1,1,2,2,3,2,1,1,3,2,0,1,4,4,1,1,2,0,1,1,3,1,2,2,1,2,3,4,4,1,1,3,1,1,1,0,3,1,0,0,0,1,1,2,1,4,1,0,3,0,1,0,13,11,13,8,23,9,11,15,15,16,24,25,13,5,19,11,15,8,5,31,8,6,17,19,3,6,0,5,6,7,3,8,1,7,4,4,2,11,5,12,4,7,7,10,9,8,5,5,4,1,5,7,8,6,2,9,6,10,8,2,7,10,11,2,16,16,2,11,9,8,12,11,5,4,5,9,10,3,3,9,3,13,8,3,6,3,0,8,8,5,4,9,1,4,5,10,5,6,7,6,7,7,3,5,3,5,7,9,4,2,9,1,2,16,6,5,4,10,4,4,6,3,4,9,8,1,4,4,3,7,4,7,7,5,3,3,6,2,6,0,3,2,3,6
G026,4,2,1,2,2,1,1,5,4,3,0,1,7,4,0,3,2,2,2,5,0,0,2,3,1,2,2,2,4,1,2,1,0,1,1,4,10,3,2,1,1,2,1,0,1,0,2,2,2,3,1,4,2,4,1,1,0,5,2,0,2,2,2,0,0,2,3,0,2,4,2,0,3,5,2,5,8,6,1,11,2,5,3,0,4,0,2,0,1,0,2,2,1,8,2,4,2,1,1,2,5,4,2,5,3,0,2,1,1,3,1,3,0,9,3,1,0,1,2,0,5,5,4,2,6,5,3,3,2,2,1,6,2,3,3,2,3,5,2,3,3,3,3,2,2,0,1,5,0,0,1,1,4,0,2,1,2,1,1,0,1,1,1,2,1,2,2,2,3,3,1,1,2,2,2,0,1,1,2,1,2,1,2,0,4,5,0,1,0,1,1,0,2,3,0,0,0,2,0,3,0,0,1,1,0,3,1,2,2,4,3,0,0,0,2,3,2,0,3,0,1,0,0,2,0,0,1,1,2,2,1,0,1,0,2,0,0,1,0,0,1,2,0,1,2,0,1,0,1,0,1,2,0,1,3,0,1,0,0,1,0,0,1,0,1,0,0,3,2,0,0,0,1,1,0,0,0,1,1,0,0,2,0,0,0,0,1,1
G027,0,2,3,1,1,1,1,1,2,1,2,3,1,2,0,0,2,1,2,1,0,2,3,1,0,2,2,0,1,1,1,2,0,5,0,0,1,1,0,0,0,0,0,0,0,1,0,0,3,1,0,1,0,1,2,2,0,2,1,1,2,3,0,0,1,1,0,0,3,2,1,4,1,0,1,0,0,3,0,0,1,0,1,2,1,0,1,1,2,1,0,4,1,0,1,3,2,1,0,0,0,0,0,0,2,0,2,1,1,0,0,0,1,2,1,3,0,1,2,0,1,2,4,2,2,3,1,0,1,0,1,2,3,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,0,2,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,1,2,0,0,1,0,1,0,2,0,1,1,1,1,1,0,0,1,0,1,0,0
G028,2,1,1,3,1,1,0,0,2,5,1,1,1,1,1,1,4,0,1,2,2,1,2,0,4,5,5,2,3,14,1,6,5,1,5,3,5,6,7,2,4,7,2,4,3,3,4,3,3,6,2,1,0,2,3,1,1,1,6,2,3,4,3,3,0,4,4,2,2,2,2,2,4,2,5,1,6,3,4,5,1,6,3,1,3,0,4,5,3,2,1,4,1,7,2,4,3,1,0,2,6,0,0,1,2,3,0,3,3,3,3,2,2,3,6,2,2,5,3,1,5,1,5,5,1,7,3,4,3,7,6,1,6,3,5,2,2,3,4,4,2,3,3,0,12,6,14,17,2,10,7,7,9,8,8,4,12,6,6,9,12,10,11,9,9,10,10,1,1,2,2,3,5,2,3,6,5,3,4,1,3,8,2,6,3,7,3,5,2,5,2,4,12,4,5,12,1,2,4,4,2,3,3,1,5,11,4,15,3,3,9,3,3,3,3,5,7,8,10,17,12,4,16,8,8,11,7,12,9,10,14,9,11,9,2,6,11,13,13,10,10,7,8,7,4,5,7,7,12,6,5,9,2,9,10,7,11,12,7,8,5,14,11,3,1,0,1,3,5,3,5,5,0,3,5,8,2,4,2,1,2,5,2,3,6,5,3,1
G029,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,2,1,2,2,2,4,1,2,0,0,2,2,0,0,2,1,0,0,3,0,1,0,1,0,1,0,0,0,0,1,1,1,1,0,0,0,2,0,2,1,0,0,0,1,0,0,0,0,1,1,2,1,3,0,0,2,3,0,3,0,3,0,0,0,1,1,1,0,1,2,1,0,1,1,0,1,0,0,6,2,0,2,0,1,1,0,0,1,1,0,1,1,0,2,2,0,0,2,0,1,1,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,3,0,0,3,0,1,0,3,0,4,3,6,1,2,1,3,2,1,1,3,1,0,3,3,3,0,2,0,5,1,0,1,3,0,1,2,4,4,6,9,5,8,2,3,5,5,4,2,11,1,4,4,4,4,2,7,3,3,6,4,3,1,3,3,2,3,0,4,3,2,2,4,2,3,2,4,1,1,7,2,2,6,2,1,1,1,0,1,4,1,3,2,3,0,7,1,0,0,5,2,2,3,2,4,3,2,5,12,6,1,5,7,1,2,6,2,5,10,2,4,10,2,3,2,2,2,1,4,3,4,1,6,3,4,5,1,0,4,1,3,4,2,2,6,10,5,6,3,4,1,2
G030,1,0,1,0,0,0,0,0,0,0,0,0,0,2,1,0,1,2,0,0,0,1,0,0,1,2,2,0,1,2,0,0,0,2,1,2,0,0,1,0,0,2,1,0,0,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,2,0,0,0,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,1,0,2,0,1,3,0,0,0,1,0,2,0,1,0,0,1,0,1,0,1,1,0,1,0,1,1,1,4,0,2,0,2,0,2,0,0,0,0,0,0,0,1,0,2,3,6,2,0,2,2,1,1,5,2,1,1,3,3,0,3,1,7,3,1,3,1,1,2,0,6,5,3,3,7,3,2,4,3,3,1,4,5,1,4,1,9,5,4,4,4,2,5,1,3,3,1,6,1,4,3,4,2,3,3,0,2,1,1,1,3,6,1,2,3,2,5,5,4,2,7,4,4,1,1,1,3,7,1,2,3,7,4,5,1,2,5,3,3,3,1,3,3,2,2,2,2,1,2,5,0,2,0,5,1,4,8,1,2,0,0,5,1,3,2,2,1,3,1,2,2,2,0,4,2,2,1,1,2,0,3,3,4,6,0,2,4,2,1,2
G031,2,1,3,2,0,1,2,4,2,0,1,0,1,0,0,2,2,2,0,0,2,4,1,7,6,7,4,8,7,8,2,11,0,2,5,11,14,8,7,14,7,7,2,2,8,5,8,3,37,17,24,25,22,14,37,23,10,14,23,13,21,44,22,11,15,27,22,33,22,11,26,23,8,9,6,5,11,4,3,2,3,4,3,7,2,6,2,2,8,4,2,11,3,3,1,6,4,7,0,6,3,7,9,4,9,6,3,12,4,6,3,7,7,3,1,6,3,11,17,8,2,2,0,2,1,3,4,0,3,3,2,2,0,1,0,2,3,1,1,2,1,3,0,5,4,1,7,3,5,1,3,3,3,3,4,1,3,1,3,6,2,1,3,5,1,1,5,1,5,3,6,6,7,4,3,5,3,3,8,7,4,8,5,9,2,12,7,2,2,1,5,4,4,4,2,3,3,0,4,8,4,3,4,2,3,3,5,2,2,5,1,5,2,1,5,3,10,16,14,5,3,7,3,7,23,17,8,1,12,5,8,10,7,9,5,12,2,3,12,12,4,3,8,4,4,4,3,3,4,7,4,2,7,6,6,6,4,5,3,4,3,8,3,4,4,1,1,3,4,1,2,4,5,4,5,4,2,1,1,4,2,3,2,2,7,3,2,0
G032,3,4,1,1,0,0,2,1,0,2,2,3,1,2,1,0,2,2,3,2,0,1,2,4,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,2,2,0,0,0,0,1,0,0,0,2,0,0,0,0,1,0,1,1,0,0,8,4,2,3,9,8,0,11,7,4,1,5,2,13,2,2,5,3,4,4,3,7,4,7,3,8,5,5,7,3,3,6,7,5,7,4,2,7,3,7,6,5,1,7,2,3,13,3,0,0,1,1,0,0,0,1,0,2,0,1,1,2,0,0,0,1,0,2,1,0,2,3,19,6,24,9,14,7,5,12,8,10,6,15,4,3,12,3,11,13,1,19,2,15,15,9,0,0,0,0,0,1,0,4,0,3,2,0,2,6,2,2,2,2,0,1,2,1,3,1,13,6,4,14,6,9,2,9,7,10,17,3,4,12,14,10,6,20,4,19,7,3,17,13,2,2,5,12,1,1,5,0,3,3,4,2,1,4,2,3,3,2,1,4,3,9,3,5,2,2,2,1,1,8,2,2,2,4,2,4,3,4,9,2,7,4,4,1,5,3,0,2,0,1,0,2,1,1,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,0,1,0
G033,0,1,0,2,0,0,0,0,0,1,1,0,2,0,0,0,2,1,0,0,1,0,1,1,1,1,1,1,0,1,1,1,0,0,2,1,0,1,0,1,1,2,0,2,1,1,2,1,1,4,1,1,1,3,0,0,1,0,2,1,3,1,1,0,1,0,2,0,0,0,0,0,1,2,1,1,2,0,0,0,0,0,1,0,1,1,0,0,3,0,0,1,0,0,1,0,0,4,1,1,1,2,4,2,4,0,1,4,2,3,2,2,2,0,3,1,5,5,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,1,0,0,0,1,0,0,0,2,1,0,0,0,1,3,2,0,1,1,0,0,0,2,0,1,3,1,0,0,0,1,3,1,0,2,0,1,0,1,1,0,1,0,0,3,1,0,0,1,0,1,0,0,1,5,6,1,4,3,4,2,8,3,5,0,3,4,9,0,1,8,3,3,4,3,2,3,7,2,1,0,2,1,1,1,1,0,0,0,0,1,5,0,1,1,0,2,2,0,1,2,1,1,0,0,0,1,1,1,0,0,1,0,0,1,1,0,0,0,2,2,1,1,0,1,0,0,0,1,3,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0
G034,12,6,4,7,13,2,5,2,3,6,5,3,7,7,1,11,6,6,5,10,2,3,3,3,25,35,43,40,36,52,28,32,32,24,15,29,46,30,19,3,20,38,21,28,13,35,36,27,3,0,0,2,1,3,0,1,2,3,4,2,1,0,1,3,1,0,0,2,0,1,2,0,16,0,14,5,17,8,6,7,5,18,3,4,3,10,7,8,6,11,5,5,8,10,6,3,23,46,19,45,86,36,12,38,58,45,23,40,24,30,27,17,15,53,19,23,43,35,54,40,3,4,1,2,1,4,1,4,3,2,2,10,3,7,2,0,6,4,1,3,3,2,1,1,0,1,2,3,2,3,4,0,1,1,4,0,0,1,0,2,4,0,0,1,1,1,2,2,4,3,4,3,4,2,5,2,2,5,6,3,1,3,4,4,4,3,6,2,4,6,6,0,17,7,7,21,9,8,13,13,4,6,13,5,9,23,4,10,9,12,15,7,14,9,13,5,4,5,6,7,10,1,10,3,3,6,8,2,8,4,6,3,2,4,3,5,7,4,7,14,2,5,4,4,7,5,3,3,13,5,3,3,6,1,10,2,6,6,1,5,3,8,2,4,3,3,10,5,5,0,5,2,5,5,1,3,5,1,0,2,5,6,2,1,8,5,1,4
G035,1,0,0,1,0,2,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,4,3,3,4,6,3,5,8,3,7,1,11,7,4,8,5,3,5,4,4,4,6,5,4,0,0,2,1,2,1,1,0,0,0,0,1,2,0,1,0,0,0,1,2,2,0,3,0,6,1,4,2,9,5,2,4,3,1,7,5,2,6,4,2,2,9,3,1,2,6,0,4,3,3,2,2,5,1,6,1,6,2,1,5,3,3,3,0,2,3,5,3,4,1,4,7,7,5,4,2,1,6,3,4,7,3,5,9,4,0,7,4,4,10,2,0,6,1,0,4,0,0,0,0,0,5,0,0,0,0,1,0,0,0,0,2,1,0,2,0,0,1,0,2,0,2,2,2,3,6,1,2,3,1,1,3,5,1,7,1,1,4,3,1,3,3,2,1,3,1,1,1,0,3,0,0,0,0,2,1,2,2,0,1,0,2,3,2,3,4,0,0,0,0,2,0,0,0,1,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,1,0,3,2,5,1,2,4,1,2,1,1,1,1,5,2,4,5,0,3,3,4,3,7,7,2,0,1,2,1,2,2,1,1,2,3,1,0,0,3,1,2,0,0,0,0,0,0,0,1
G036,6,6,5,7,7,0,8,6,2,2,3,0,5,3,3,2,9,2,3,3,5,8,5,17,5,2,8,3,10,8,4,2,1,1,2,8,3,2,12,1,1,3,2,2,2,4,2,7,3,1,1,2,3,1,3,2,2,0,3,1,1,2,3,2,3,1,3,5,3,2,2,1,1,1,1,0,3,2,2,2,0,6,1,0,0,5,1,1,4,4,0,3,3,2,1,0,0,0,2,0,0,0,1,1,1,0,0,0,0,1,0,0,2,0,0,1,0,1,0,0,4,3,2,6,1,4,1,3,4,2,2,6,1,3,3,3,1,1,6,1,1,5,2,4,1,3,1,0,2,1,3,5,4,1,2,0,0,0,4,3,5,3,4,1,4,1,4,3,2,1,3,1,6,0,4,1,1,2,0,4,3,5,1,4,0,5,1,1,1,0,3,1,0,1,1,0,0,0,0,1,1,0,0,1,1,1,1,0,1,0,1,0,0,0,5,1,1,4,4,6,9,3,7,10,7,5,4,4,9,7,5,6,3,7,2,4,0,5,4,11,0,2,7,5,7,2,3,3,11,5,4,5,1,0,3,3,2,6,5,6,10,2,2,2,4,6,2,4,4,10,3,3,6,1,3,12,5,2,2,2,3,9,2,4,5,5,1,1
G037,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,1,3,0,1,1,0,2,0,0,1,0,0,1,0,0,0,0,0,0,4,0,0,1,2,0,1,0,1,1,0,1,0,2,1,0,2,2,1,0,0,1,1,0,0,0,0,0,2,1,0,1,0,0,0,1,0,2,0,3,1,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,2,0,0,0,1,0,2,0,2,3,1,0,0,1,2,1,1,0,0,2,1,1,0,2,1,2,0,0,0,0,1,1,0,0,0,0,0,0,2,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,1,0,0,2,3,1,0,0,0,2,0,2,0,0,0,0,4,1,0,1,0,1,0,0,3,2,3,0,2,0,0,0,0,1,1,1,1,1,2,0,0,2,0,2,6,1,0,2,2,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,1,0,2,0,1,0,2,0,1,0,2,0,1,2,1,0,2,0,1,0,0,2,0,2,2
G038,0,0,2,1,1,1,5,3,1,0,1,2,2,1,2,5,4,4,1,1,1,1,2,3,12,26,15,8,21,14,7,6,6,14,13,15,15,11,20,10,11,15,14,13,7,14,11,5,0,0,0,1,1,0,0,2,0,0,1,0,1,2,0,1,0,1,0,0,0,0,0,0,4,4,7,1,1,4,7,9,3,4,3,3,1,10,1,4,12,8,7,4,0,2,1,0,2,4,3,4,4,4,5,3,5,9,4,2,7,0,5,2,2,7,1,4,3,7,2,6,4,9,3,3,0,4,2,2,3,3,9,6,3,6,3,4,2,2,1,4,4,5,7,3,1,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,1,2,1,1,3,1,0,1,0,1,0,3,1,3,0,2,1,0,0,1,0,1,0,0,1,0,0,2,2,1,2,2,1,0,3,1,3,2,1,3,1,3,5,4,0,5,4,6,6,1,3,1,0,6,6,1,0,4,2,4,2,4,2,1,2,4,3,2,3,1,1,2,2,0,3,3,1,0,1,2,2,1,3,2,0,0,0,3,3,1,2,8,0,5,0,6,2,1,3,1,1,1,4,5,2,3,4,1,1,0,4
G039,56,27,64,26,37,23,49,44,41,42,51,58,32,51,25,57,51,48,26,45,33,42,43,70,12,21,23,12,9,10,2,16,8,4,8,7,10,5,8,2,1,10,3,9,3,8,6,11,2,3,0,1,2,1,1,1,2,0,2,1,0,4,1,2,1,0,0,0,1,1,2,1,78,25,77,45,73,44,65,71,40,48,24,55,38,104,50,47,92,110,39,97,62,43,42,64,6,7,8,4,9,7,5,2,5,7,3,8,4,6,3,3,3,5,9,0,8,11,10,4,9,9,9,8,3,8,5,1,5,1,3,8,3,3,7,8,3,4,4,11,0,7,6,4,8,3,10,7,2,2,1,2,6,5,8,7,2,11,11,8,6,3,3,6,7,4,5,4,3,5,2,3,2,3,3,6,6,3,8,2,3,3,3,5,2,5,0,12,3,1,6,10,10,9,4,11,6,10,6,11,5,4,5,4,14,10,9,4,13,8,4,8,13,6,12,7,5,2,12,5,4,4,5,1,3,5,2,4,3,3,2,3,3,4,2,1,5,2,9,12,5,4,7,6,5,3,1,6,7,0,1,4,3,5,2,2,3,4,8,3,4,8,6,4,15,9,14,28,19,11,7,13,11,31,25,11,19,10,3,16,21,29,9,17,9,9,6,17
G040,2,0,1,1,1,1,1,0,1,1,2,0,1,0,2,5,1,1,0,6,2,1,0,1,3,2,3,2,11,4,1,1,4,2,2,6,1,3,3,1,1,7,3,1,7,5,6,1,2,5,2,5,6,7,2,1,3,4,8,1,8,3,3,9,5,4,2,5,4,4,1,4,2,4,3,3,6,3,3,2,1,3,1,3,4,3,1,0,7,9,1,2,3,3,1,1,0,2,2,1,0,2,1,1,1,2,0,3,1,2,1,0,2,2,1,2,5,1,1,2,5,8,3,3,0,6,4,3,4,1,3,7,1,5,6,3,2,2,4,3,2,0,2,3,9,3,4,9,4,6,6,2,5,6,7,4,4,3,8,13,6,0,4,2,9,9,4,7,0,3,1,2,5,2,0,0,2,1,3,0,0,0,2,3,6,6,0,5,5,0,0,0,7,0,0,1,0,0,1,1,2,3,0,1,1,1,2,0,3,0,3,3,0,0,2,2,0,7,2,9,7,2,6,3,1,8,5,2,5,9,7,4,10,6,2,5,1,6,5,11,0,0,0,2,1,0,0,1,1,0,1,0,1,0,0,1,1,2,0,0,0,1,0,0,1,0,1,2,0,2,1,2,1,0,0,3,0,0,0,0,0,1,0,0,1,0,1,1
G041,2,4,6,7,2,1,6,2,3,1,2,3,5,3,1,9,5,2,4,3,1,7,0,5,5,4,4,3,4,5,8,0,1,1,4,4,6,2,4,3,6,5,7,3,4,3,4,5,4,5,7,2,4,3,5,3,4,5,4,6,2,5,3,7,3,5,4,5,2,7,6,6,15,2,6,9,7,7,10,4,5,6,9,6,5,12,5,6,13,10,8,10,7,4,2,8,6,16,6,6,31,11,18,13,5,11,8,14,14,5,7,5,9,14,11,9,5,23,48,5,8,27,5,13,10,14,7,3,14,14,9,12,12,4,12,10,13,8,6,14,6,14,7,2,2,2,0,0,0,3,2,5,3,1,2,1,0,0,1,1,1,0,1,3,1,0,1,0,1,5,6,4,6,0,3,0,0,10,2,5,1,12,4,4,4,10,6,3,6,1,7,3,7,4,2,5,3,2,1,1,1,1,2,3,2,2,3,0,0,5,1,2,0,1,1,2,12,6,6,6,10,13,5,4,3,12,8,6,7,4,6,6,17,3,1,8,2,8,9,9,9,8,7,9,4,6,8,6,13,4,4,3,9,4,18,10,1,13,11,5,14,8,10,15,0,1,0,2,2,0,1,2,2,3,0,1,0,0,1,3,3,2,0,0,1,0,1,0
G042,5,7,5,3,5,3,8,2,8,7,12,6,11,4,2,6,4,6,6,7,6,7,6,10,4,4,4,4,3,2,1,3,2,3,1,0,4,2,1,1,0,2,2,2,1,2,2,2,0,3,3,1,0,2,0,0,0,1,2,0,1,0,0,2,3,0,1,3,0,0,1,1,11,0,12,0,9,2,5,4,4,14,3,5,4,4,9,1,3,10,3,7,4,6,3,6,0,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,2,2,0,2,5,1,2,1,0,3,2,2,3,1,4,2,2,3,3,4,1,2,0,1,1,1,1,5,11,9,5,3,4,5,10,10,5,3,12,7,3,1,13,6,5,1,4,6,5,10,5,0,1,1,1,1,0,1,0,2,3,2,1,1,1,0,2,1,1,4,1,1,0,0,0,19,5,14,23,10,5,6,9,8,12,6,9,14,20,13,3,8,13,12,4,13,10,6,12,0,3,3,5,8,0,7,3,6,6,2,2,3,1,3,2,7,4,1,1,1,2,2,5,2,3,2,3,4,4,0,2,3,0,3,6,4,4,9,7,4,3,0,4,4,1,2,4,0,0,0,1,3,0,0,0,1,1,2,1,0,0,0,1,2,1,0,0,0,2,1,1
