# synthetic, for demo only -- 5 cell types x 110 cells x 160 genes, seed=572
cell_id,cell_type,G000,G001,G002,G003,G004,G005,G006,G007,G008,G009,G010,G011,G012,G013,G014,G015,G016,G017,G018,G019,G020,G021,G022,G023,G024,G025,G026,G027,G028,G029,G030,G031,G032,G033,G034,G035,G036,G037,G038,G039,G040,G041,G042,G043,G044,G045,G046,G047,G048,G049,G050,G051,G052,G053,G054,G055,G056,G057,G058,G059,G060,G061,G062,G063,G064,G065,G066,G067,G068,G069,G070,G071,G072,G073,G074,G075,G076,G077,G078,G079,G080,G081,G082,G083,G084,G085,G086,G087,G088,G089,G090,G091,G092,G093,G094,G095,G096,G097,G098,G099,G100,G101,G102,G103,G104,G105,G106,G107,G108,G109,G110,G111,G112,G113,G114,G115,G116,G117,G118,G119,G120,G121,G122,G123,G124,G125,G126,G127,G128,G129,G130,G131,G132,G133,G134,G135,G136,G137,G138,G139,G140,G141,G142,G143,G144,G145,G146,G147,G148,G149,G150,G151,G152,G153,G154,G155,G156,G157,G158,G159
C0136,Bcell,5,5,5,0,5,4,4,1,6,3,6,0,3,5,6,1,3,2,2,3,2,2,1,3,5,3,1,6,1,0,8,4,4,8,17,3,8,4,4,10,2,1,1,11,2,0,8,3,11,3,14,8,3,2,12,1,8,9,4,2,5,0,7,10,1,0,0,2,2,1,0,6,10,4,4,1,1,1,1,0,3,5,8,1,2,3,6,15,5,2,2,1,0,7,7,6,3,1,0,1,6,0,2,2,2,5,3,1,2,0,1,0,3,3,2,5,6,4,1,2,2,0,9,4,1,4,3,3,0,0,2,2,5,0,4,0,1,7,1,1,4,7,1,1,0,2,2,6,0,4,2,4,1,10,0,0,1,4,1,5
C0137,Bcell,9,6,9,1,5,8,4,7,10,4,7,2,2,4,4,1,3,0,3,11,6,3,0,4,6,0,1,12,0,0,12,8,8,7,18,3,14,3,6,16,6,6,3,13,8,3,10,10,14,24,22,7,4,6,16,3,5,25,5,1,7,2,11,15,1,6,3,3,5,1,1,9,15,5,3,5,9,4,7,2,5,3,4,3,1,7,18,13,7,8,8,3,3,4,5,1,2,3,1,3,9,4,5,0,3,9,7,3,3,2,0,3,4,3,6,6,9,6,4,9,2,3,11,2,6,7,2,2,2,3,2,3,6,2,3,3,4,12,3,2,4,13,0,4,7,1,16,8,1,7,6,6,3,6,0,1,3,2,3,3
C0138,Bcell,11,1,12,2,2,15,4,8,13,7,12,0,1,5,10,3,7,4,5,5,4,4,0,4,6,5,2,18,4,3,18,14,6,8,21,5,7,10,12,11,7,9,3,17,16,4,13,12,19,20,27,17,4,4,13,7,13,16,7,2,16,2,12,17,1,2,0,2,5,2,6,10,24,2,11,10,6,6,5,0,6,6,3,5,3,4,9,19,4,8,5,0,1,4,7,4,4,4,2,3,8,6,4,1,3,2,14,0,2,0,2,1,7,5,9,7,19,11,1,4,3,3,7,6,3,7,3,2,1,10,5,3,4,1,5,1,2,13,5,2,0,16,2,4,2,4,11,10,2,6,4,7,5,9,1,1,4,6,5,1
C0139,Bcell,7,3,7,1,5,7,4,3,9,4,5,1,1,4,3,1,3,1,3,1,7,3,2,6,11,2,4,14,2,1,9,5,7,7,10,6,9,4,5,9,1,9,0,11,9,4,5,10,13,19,20,3,7,3,11,3,4,12,6,3,7,1,5,14,1,1,0,2,1,1,2,7,10,3,8,4,1,9,3,0,1,8,5,6,1,5,4,5,4,7,6,1,0,5,2,5,7,2,1,1,10,6,4,2,4,2,5,2,3,0,0,2,3,1,1,6,14,3,1,2,1,2,7,3,2,5,6,1,0,5,3,2,5,2,8,2,3,3,3,1,2,7,3,3,2,7,6,10,2,3,4,3,3,5,2,1,3,5,4,1
C0140,Bcell,5,0,3,1,3,3,3,3,6,2,4,1,1,2,3,0,3,0,1,0,4,0,1,3,3,2,2,4,2,2,6,3,1,4,3,3,4,0,4,9,0,5,0,11,7,1,3,2,9,6,16,0,3,4,17,0,5,6,2,0,5,0,5,5,3,1,0,1,3,1,0,6,6,4,2,0,4,4,5,1,1,5,3,3,2,2,10,5,2,4,1,2,0,3,3,2,0,0,0,2,2,2,1,1,2,6,5,1,0,0,0,0,0,1,2,4,11,4,0,2,1,1,5,3,0,2,2,1,0,2,4,1,1,0,3,1,0,6,0,1,0,6,0,1,1,3,10,7,2,1,3,3,2,6,2,0,1,2,4,4
C0141,Bcell,13,3,7,0,7,10,2,2,11,4,5,1,5,4,8,3,4,2,2,6,6,0,2,4,6,1,2,19,1,3,13,13,5,9,10,6,15,4,5,14,4,7,1,12,4,3,9,7,10,18,20,9,1,4,7,4,9,15,1,7,5,1,14,5,1,3,0,2,12,4,2,8,16,6,5,6,5,6,5,0,3,10,2,5,2,5,12,17,8,6,6,3,1,9,5,5,7,1,2,4,11,10,3,1,5,3,16,4,1,0,0,1,3,2,5,6,7,5,1,3,6,2,16,6,5,5,2,3,0,4,3,4,10,2,5,1,2,4,2,0,1,6,1,3,1,7,9,10,2,3,3,2,2,8,3,0,4,7,5,2
C0142,Bcell,3,1,2,0,5,2,4,1,9,5,6,0,2,3,2,2,6,1,1,4,1,3,1,4,4,1,4,6,2,1,7,6,3,6,6,3,5,5,5,9,1,2,2,17,5,3,6,5,14,12,20,3,4,3,6,2,5,13,6,1,9,0,6,6,2,1,0,3,4,1,5,9,9,2,4,3,3,1,6,1,2,7,3,3,0,1,9,7,4,4,4,1,2,2,3,2,6,4,0,1,4,1,7,1,0,4,5,2,0,0,0,1,2,0,3,9,7,1,2,2,1,2,9,1,3,3,1,1,0,3,0,0,4,0,3,2,1,7,7,2,0,1,0,2,3,2,7,12,4,3,1,6,3,3,4,0,2,6,4,3
C0143,Bcell,7,1,5,1,0,4,4,5,10,4,8,1,2,5,2,2,3,3,0,2,3,2,1,2,3,2,3,10,2,2,8,4,2,5,5,5,5,4,2,8,2,5,0,8,5,2,11,6,9,16,12,8,3,5,5,4,5,7,5,3,3,1,3,12,0,0,1,4,2,2,3,4,9,2,1,4,6,4,3,0,0,1,2,4,3,4,8,7,4,2,1,2,1,4,4,2,1,3,0,1,9,4,4,0,3,5,7,1,0,0,0,1,1,2,4,7,5,4,1,3,2,2,4,2,0,4,1,5,0,3,2,1,7,1,3,0,0,12,3,2,2,6,0,3,5,3,7,10,0,4,2,4,0,8,3,2,3,1,5,4
C0144,Bcell,5,3,1,0,1,2,2,2,1,2,1,1,2,2,5,0,4,1,1,3,1,3,0,4,4,1,2,12,0,1,11,3,3,12,6,4,11,4,5,7,1,6,0,7,9,1,5,3,7,13,19,4,2,1,8,1,5,9,5,0,2,0,4,11,2,1,0,0,3,2,1,6,8,6,4,3,3,0,1,0,2,6,2,2,1,4,9,9,6,1,5,2,0,4,6,3,8,1,3,2,9,2,2,0,2,7,5,1,1,0,1,0,2,1,6,11,2,4,3,6,0,0,3,1,1,4,6,1,1,1,2,2,2,1,2,5,3,8,5,1,2,5,2,0,2,3,7,5,1,5,0,4,1,4,2,0,0,5,6,7
C0145,Bcell,5,0,1,1,1,3,2,2,4,1,3,0,0,0,1,0,2,0,0,2,0,0,1,3,1,0,0,6,0,0,3,1,1,1,0,0,4,0,1,2,2,0,0,1,4,0,2,3,2,6,8,2,2,2,4,0,0,4,0,0,1,0,1,1,3,1,0,3,1,0,0,2,5,1,2,1,0,0,2,0,0,5,2,1,0,2,3,0,0,2,1,0,0,1,3,2,0,1,0,1,2,0,1,0,0,2,5,1,0,0,0,1,0,1,0,2,3,1,0,3,1,0,3,1,1,2,1,0,0,1,1,0,0,0,0,1,0,2,2,0,0,3,1,1,2,2,2,2,0,1,0,2,0,4,0,0,1,2,2,1
C0146,Bcell,6,1,1,0,1,1,2,2,4,2,8,0,1,2,1,1,1,1,0,4,0,1,0,2,5,1,0,2,0,0,3,4,0,4,8,2,4,3,3,4,2,6,2,4,2,3,3,1,4,11,12,4,2,2,5,4,5,8,4,1,6,1,3,7,1,0,0,2,1,0,0,4,5,4,3,2,3,1,2,2,3,6,0,1,1,0,4,7,2,1,4,1,0,2,1,0,1,1,0,0,5,0,2,1,1,1,4,4,0,1,0,1,0,1,0,3,3,3,2,1,0,0,1,3,3,3,3,2,1,3,2,1,4,0,2,1,1,4,4,0,1,8,0,1,3,1,4,3,2,2,0,4,2,5,2,0,0,3,6,1
C0147,Bcell,3,1,0,0,0,3,2,0,3,0,3,0,1,4,1,1,2,1,1,2,1,1,1,4,4,1,0,9,2,1,4,3,0,1,6,0,7,2,0,2,1,5,0,3,1,2,4,4,6,8,5,4,0,1,6,2,1,1,2,0,1,0,1,2,0,0,0,1,2,1,1,2,3,1,3,0,0,3,4,0,0,5,3,2,0,5,1,5,2,5,1,0,2,3,2,4,1,0,0,1,2,1,1,0,2,2,2,1,0,1,0,1,1,1,2,4,4,3,0,0,0,0,4,0,2,2,3,2,0,3,2,0,4,0,4,0,2,4,1,0,0,2,1,2,0,0,5,3,1,4,3,3,1,2,1,0,0,0,3,1
C0148,Bcell,8,0,0,0,1,4,1,2,3,0,4,0,1,2,6,0,3,0,4,1,5,3,1,1,3,0,0,4,0,1,4,5,1,3,5,3,6,2,5,7,1,6,4,9,6,5,6,3,7,8,8,3,2,1,11,3,5,7,1,3,2,1,3,6,1,2,2,1,5,1,1,5,8,0,4,3,2,1,2,0,4,3,2,4,0,2,4,3,3,1,3,0,0,6,2,4,2,1,0,1,4,0,1,1,2,4,3,0,0,1,0,1,1,0,2,0,2,2,2,1,0,0,7,1,4,3,3,2,2,1,4,1,3,1,4,0,1,10,3,1,1,13,1,1,0,0,3,5,1,1,1,2,0,1,2,0,3,1,1,1
C0149,Bcell,4,1,3,3,1,3,4,2,6,2,4,0,0,0,0,1,3,0,1,0,5,1,2,4,1,1,0,4,0,1,5,6,3,2,8,2,9,5,2,7,0,4,0,7,7,0,12,3,6,5,11,6,3,2,10,1,0,8,5,2,7,1,9,7,2,0,1,2,5,0,1,7,3,1,0,2,3,3,3,3,1,5,8,1,2,2,12,11,3,1,1,3,0,1,4,3,1,2,3,3,5,1,0,0,1,5,6,1,1,0,1,0,2,2,1,4,11,1,0,1,1,1,5,4,0,0,1,0,0,0,4,3,3,0,8,0,0,2,3,0,0,5,0,2,2,2,3,3,1,2,0,0,0,1,4,0,2,2,3,2
C0150,Bcell,3,3,4,0,1,0,2,6,4,0,4,0,0,1,2,0,2,2,0,1,3,0,2,3,6,0,1,4,1,1,6,4,2,3,5,0,7,1,2,3,0,4,1,3,2,2,2,7,9,9,12,4,4,0,14,2,4,4,4,0,4,0,5,4,0,0,0,1,1,1,1,5,6,4,3,1,0,1,5,1,3,2,1,0,0,6,5,9,1,2,5,0,0,5,0,2,1,1,2,3,3,3,4,0,3,3,4,1,1,1,0,0,0,0,0,3,2,5,2,0,0,0,8,2,2,1,1,0,3,1,3,1,3,0,4,0,0,3,2,0,0,3,0,2,2,0,5,1,0,3,2,2,0,5,0,0,0,1,0,1
C0151,Bcell,11,6,3,1,1,9,5,2,5,4,4,0,2,3,3,0,2,2,2,6,9,3,1,6,7,0,3,9,2,1,11,5,3,7,8,4,9,3,8,12,3,5,1,7,5,6,10,5,8,10,16,7,2,8,8,4,6,17,2,1,6,1,7,18,2,2,2,2,3,0,3,11,11,3,5,5,5,4,9,2,4,7,1,5,0,2,6,9,5,3,1,2,0,3,2,9,2,7,1,2,13,2,3,0,1,1,3,3,0,1,0,2,3,2,5,8,11,6,0,3,2,2,2,4,2,10,7,5,1,3,6,5,4,0,5,2,2,5,3,2,0,15,2,0,1,4,5,9,1,1,0,3,2,4,1,0,0,5,4,5
C0152,Bcell,1,0,2,0,0,1,0,3,0,1,0,1,0,1,1,0,0,0,0,0,3,0,0,0,1,0,0,3,0,0,1,5,3,1,3,1,0,0,1,2,0,2,0,3,3,0,1,1,3,2,10,3,1,2,3,2,5,1,4,0,5,0,3,3,1,0,2,2,2,0,1,2,4,0,2,1,0,2,1,0,0,2,0,1,1,3,4,2,0,2,3,0,0,0,1,1,2,1,2,0,2,0,1,0,1,1,0,1,0,0,0,0,1,0,1,3,2,0,1,1,0,0,2,1,1,1,1,0,0,1,1,1,1,0,0,2,0,2,0,0,0,3,1,1,1,1,2,1,0,1,0,2,1,2,0,1,0,2,1,1
C0153,Bcell,5,3,7,1,4,6,0,1,6,1,3,1,0,3,3,0,6,3,1,2,1,2,4,1,4,1,1,5,4,0,13,9,0,8,6,1,12,3,9,6,4,7,2,11,8,3,10,5,6,9,12,6,7,3,11,2,4,10,5,0,4,2,10,7,1,1,4,3,3,0,2,8,9,4,3,5,2,6,4,4,2,8,2,3,1,4,12,8,2,4,5,0,1,4,2,3,2,1,2,4,15,1,3,0,0,6,3,3,0,0,0,2,3,1,2,7,10,10,2,2,2,0,5,2,2,3,1,0,1,4,5,4,3,0,4,1,1,6,2,0,2,6,2,1,6,2,8,8,1,6,1,3,0,7,0,2,1,2,1,2
C0154,Bcell,12,1,2,0,2,1,4,4,6,2,3,0,3,4,2,1,2,1,2,3,6,1,0,4,4,2,5,5,1,0,7,5,4,6,7,1,8,5,1,8,2,4,1,10,5,2,6,3,12,9,16,5,0,4,8,1,4,8,0,2,7,1,12,9,0,2,1,2,2,0,1,8,7,4,3,3,2,4,3,0,0,6,2,2,1,5,6,10,7,4,7,1,0,6,2,0,1,2,0,0,12,0,3,0,2,1,7,4,0,0,0,2,3,1,3,4,4,4,2,4,1,0,7,1,0,2,5,3,1,2,3,3,3,1,3,2,3,8,2,2,1,7,1,6,2,1,5,5,1,5,1,2,2,1,2,1,3,7,2,1
C0155,Bcell,10,3,7,4,4,2,2,1,5,0,6,0,0,9,7,2,8,2,0,5,5,3,1,3,2,3,0,9,3,1,8,5,2,9,9,6,6,4,2,10,1,6,2,6,4,2,8,8,4,14,15,4,6,4,10,2,6,14,10,2,7,1,3,12,1,2,0,1,2,1,2,5,10,9,7,2,3,4,5,1,2,4,3,6,0,6,13,10,4,5,5,1,0,5,4,3,8,2,1,3,10,3,6,0,4,6,7,2,0,1,0,1,1,1,4,4,9,3,2,5,1,1,7,4,1,3,4,0,3,2,1,3,6,1,7,2,4,7,6,0,3,8,1,4,0,2,15,6,0,3,2,7,2,2,2,0,1,1,2,2
C0156,Bcell,8,3,8,0,3,6,4,1,6,1,1,0,2,4,4,0,4,1,1,2,1,3,0,4,5,1,3,5,0,0,11,4,1,9,9,0,7,3,3,11,2,7,1,13,2,0,5,3,7,9,17,2,1,4,11,5,3,6,3,3,4,0,4,6,1,2,0,2,2,0,2,3,8,3,4,6,3,4,3,0,2,5,1,3,1,2,11,4,4,1,6,1,0,4,5,1,2,1,2,3,2,0,1,0,2,4,5,1,2,0,2,0,3,1,2,2,6,2,2,2,1,0,5,2,1,4,3,3,0,2,7,1,0,1,7,1,2,3,2,1,0,3,1,2,4,3,10,6,1,1,2,0,2,3,1,1,1,0,5,3
C0157,Bcell,14,2,6,1,4,6,5,11,11,2,7,2,1,6,11,6,3,3,2,3,11,1,1,9,8,3,6,11,1,4,11,15,5,11,20,13,18,5,9,19,5,12,4,21,9,4,11,9,21,16,33,12,7,10,22,5,13,24,10,7,13,2,18,20,3,1,1,3,5,3,4,19,16,7,6,4,7,1,7,1,3,10,5,4,2,5,26,12,6,6,3,6,2,6,3,6,9,5,1,5,18,2,1,1,3,7,6,5,0,0,0,2,2,5,4,10,8,5,4,2,1,2,17,4,3,6,3,4,3,10,3,1,3,1,8,2,5,7,5,1,6,15,0,4,4,6,18,14,1,7,5,5,7,11,1,0,3,8,9,5
C0158,Bcell,5,2,4,1,0,5,2,2,3,1,8,0,1,1,2,2,6,1,0,6,7,2,0,3,3,1,3,6,4,2,13,10,9,6,5,2,9,0,5,17,0,5,0,9,5,4,7,3,8,10,16,10,4,1,8,2,6,14,4,3,7,1,7,8,3,1,1,1,1,0,1,4,12,4,2,0,0,4,8,1,0,10,1,0,0,6,7,8,7,2,5,1,0,3,2,1,2,0,2,3,9,5,4,1,1,2,8,2,0,0,0,4,3,4,3,3,4,2,3,3,0,2,5,2,5,3,5,3,1,2,6,4,1,1,3,1,1,4,1,0,1,5,0,4,3,5,1,3,1,2,0,2,2,1,2,1,2,5,2,1
C0159,Bcell,10,0,1,0,2,4,3,0,8,0,3,1,0,6,1,1,4,0,1,2,8,1,1,0,6,2,0,6,2,0,5,6,4,3,10,3,6,7,4,6,4,4,3,7,6,0,5,2,5,7,13,5,3,4,5,0,8,8,1,1,7,1,7,12,0,0,3,2,2,0,1,3,8,2,2,2,3,1,8,1,2,6,5,4,2,4,8,4,4,1,3,2,0,3,1,2,3,3,0,1,6,5,1,1,2,2,7,2,0,0,0,0,2,4,4,2,3,2,0,2,2,0,4,3,2,1,1,1,5,4,2,1,1,0,4,0,0,6,1,0,2,10,2,0,5,1,6,3,1,4,3,5,2,2,1,1,2,3,4,1
C0160,Bcell,21,3,12,2,8,11,7,10,12,7,12,3,4,6,12,3,9,2,3,6,14,3,4,8,13,2,2,17,7,3,23,14,5,15,21,3,24,7,12,18,6,7,7,28,10,7,12,12,24,30,41,18,5,5,23,8,11,27,6,3,15,5,16,13,2,5,2,6,7,1,2,21,21,8,9,11,5,8,6,1,4,18,6,12,5,2,13,20,10,8,16,6,0,6,10,6,9,3,2,5,14,6,6,2,5,6,18,5,0,1,1,3,2,4,12,14,28,16,9,3,9,1,8,6,6,7,4,7,3,13,3,5,7,3,8,5,2,21,11,2,2,16,2,1,5,8,23,16,2,7,7,5,2,14,2,1,4,4,8,6
C0161,Bcell,4,1,6,2,2,7,2,3,7,3,8,0,3,4,4,1,6,1,0,3,7,3,2,3,7,1,1,6,2,2,9,5,2,7,13,5,7,4,2,10,1,4,2,17,7,3,5,9,10,9,8,9,1,6,14,1,4,12,4,2,5,1,9,14,1,1,1,1,2,0,0,8,13,1,4,3,7,4,8,2,3,4,6,4,2,5,5,4,4,4,5,4,0,4,3,3,5,2,2,1,7,5,4,0,1,9,9,3,0,0,1,1,6,3,3,5,5,2,2,2,0,1,3,2,1,2,6,3,2,2,6,4,8,2,2,2,5,6,3,1,0,10,1,3,4,2,4,5,2,4,2,6,3,8,1,1,1,5,3,1
C0162,Bcell,7,4,2,1,1,11,2,3,5,3,5,0,2,3,3,4,2,2,0,3,8,0,1,2,0,1,2,1,0,1,5,5,1,3,6,6,8,1,4,3,5,3,0,5,3,0,3,4,9,5,14,7,1,2,13,2,3,6,2,0,9,0,4,9,2,1,1,1,1,1,4,10,4,5,3,2,0,2,2,0,2,8,4,1,0,3,5,8,2,3,0,1,0,5,3,0,4,2,0,0,8,4,2,1,1,3,6,2,1,1,0,2,1,1,3,4,4,4,1,1,1,1,4,1,1,5,2,1,0,1,1,1,4,0,3,1,3,8,1,1,1,5,0,0,1,4,5,6,0,2,3,1,1,2,1,0,2,3,3,2
C0163,Bcell,8,0,1,1,1,1,1,4,8,2,3,1,1,3,3,2,0,0,3,3,2,0,0,3,8,1,1,4,0,1,9,5,3,2,5,3,9,1,1,9,1,4,1,4,2,1,7,5,5,5,13,5,2,2,8,0,6,5,4,1,3,1,4,7,0,2,0,3,2,1,2,7,3,2,3,5,1,1,3,0,2,6,0,2,0,2,6,3,4,8,1,2,0,3,4,4,2,0,0,1,4,2,2,0,0,3,3,2,0,0,2,0,0,3,2,3,6,4,1,1,0,0,3,4,4,1,1,1,1,2,2,1,3,1,4,1,1,8,3,3,0,6,2,3,2,5,5,5,2,2,2,1,3,3,2,1,2,4,2,2
C0164,Bcell,0,0,0,1,1,0,2,0,0,1,5,0,0,1,3,1,0,0,0,3,1,3,0,4,3,0,0,2,0,1,4,0,4,4,2,2,5,3,2,7,1,1,1,7,4,0,2,3,3,5,8,4,1,0,2,0,1,9,1,0,2,0,2,4,1,0,0,2,2,0,1,0,10,1,1,1,2,1,1,0,0,5,2,1,0,1,3,5,1,4,3,0,0,1,0,2,2,0,1,2,1,0,1,1,0,1,0,1,1,0,0,0,1,1,1,2,0,2,0,0,0,0,1,1,2,1,0,0,2,0,0,0,1,1,3,1,0,2,0,1,0,1,0,2,2,2,6,1,3,0,0,1,0,2,1,0,0,0,0,1
C0165,Bcell,5,2,3,0,2,6,4,2,5,3,4,0,0,1,2,1,1,1,1,0,1,0,1,2,1,0,1,8,0,1,7,2,1,6,2,0,2,0,2,5,2,0,0,8,1,2,3,4,1,6,8,4,2,2,6,2,2,13,3,0,5,0,1,8,0,0,0,2,2,1,0,2,4,2,0,3,1,3,1,0,1,2,2,1,2,2,5,4,2,4,1,1,0,4,2,2,2,0,0,1,6,2,1,1,1,1,1,2,1,0,0,0,0,3,2,0,2,2,5,5,0,0,2,0,1,1,0,0,0,1,1,1,2,1,2,1,1,7,1,0,2,3,0,1,0,2,5,1,0,2,1,5,1,2,1,0,1,1,2,1
C0166,Bcell,0,0,3,0,1,0,1,1,4,1,1,0,0,1,1,0,1,0,0,1,0,0,0,1,0,0,0,2,1,0,2,4,2,1,4,0,1,1,2,2,1,1,1,2,3,1,4,0,3,3,4,2,0,1,3,3,1,3,2,0,1,1,2,3,1,0,0,1,2,0,0,0,2,1,1,1,2,1,1,0,0,1,0,0,1,1,1,2,3,1,1,1,0,1,1,1,0,0,1,1,1,1,2,0,0,1,3,0,1,0,0,0,0,1,1,1,2,1,0,0,0,0,1,0,0,2,0,0,2,0,0,0,0,0,0,3,0,2,2,0,1,1,0,2,0,0,5,2,0,2,0,0,0,2,0,0,3,0,2,2
C0167,Bcell,3,2,1,0,1,3,0,1,2,1,0,0,0,1,0,0,0,0,0,2,1,0,1,0,1,1,1,6,0,1,7,2,3,3,8,0,5,1,3,6,2,4,1,6,2,1,2,4,2,3,10,4,3,0,7,2,10,6,1,0,4,0,2,2,1,0,0,4,2,0,1,5,2,0,1,1,1,1,3,1,2,4,3,0,0,4,2,5,3,0,0,0,0,2,0,0,0,1,1,0,1,1,3,0,1,2,1,1,0,0,0,0,1,0,1,0,1,0,0,1,1,3,2,1,0,1,1,0,1,1,2,3,2,1,4,2,1,2,0,0,0,2,1,1,2,2,2,2,0,2,1,0,1,2,1,0,1,3,0,0
C0168,Bcell,1,0,2,0,1,2,2,1,3,1,1,0,1,1,1,1,1,0,0,2,2,0,0,0,3,0,1,5,3,1,2,4,1,2,7,1,2,2,3,5,2,1,0,4,3,3,4,4,2,3,9,6,2,1,6,2,2,6,2,0,3,2,3,4,1,0,3,0,2,0,1,3,3,1,0,1,0,0,2,2,2,2,3,2,0,2,3,4,3,1,1,0,0,3,1,0,3,1,0,1,3,2,0,2,2,0,2,1,0,0,0,1,0,0,2,3,5,1,1,1,2,0,1,0,1,3,3,2,0,0,2,1,2,1,2,0,3,0,2,0,1,7,1,1,4,1,5,2,1,1,1,0,1,1,0,0,0,0,0,2
C0169,Bcell,15,4,12,1,6,5,3,2,9,5,10,0,4,3,4,1,6,2,2,7,8,3,0,8,6,2,5,8,2,3,14,10,8,4,14,7,22,10,9,9,5,6,5,16,6,3,11,19,20,14,36,6,7,3,18,9,10,15,9,2,8,0,18,22,1,4,2,1,7,1,4,14,18,9,2,4,8,5,5,0,4,16,7,3,3,2,18,20,8,8,4,4,1,6,5,6,4,4,0,2,12,2,9,1,4,7,14,1,0,1,1,3,1,4,5,13,8,8,4,5,3,1,9,7,4,9,3,2,2,3,5,4,6,2,19,4,4,14,5,1,1,10,2,3,10,3,14,11,3,6,8,7,3,8,1,1,2,7,8,7
C0170,Bcell,5,1,2,2,2,3,0,1,8,0,3,2,0,4,5,4,1,2,0,0,3,2,2,7,4,1,4,9,1,1,7,2,6,4,13,2,15,4,2,15,3,7,0,8,8,3,9,6,9,15,13,4,3,4,10,0,8,5,2,1,9,2,7,8,1,5,1,3,2,0,2,5,16,3,2,3,5,5,2,1,2,5,8,2,0,4,7,4,7,3,7,1,0,5,1,4,3,1,1,0,4,3,3,2,2,9,8,1,0,0,0,1,0,0,4,8,8,5,5,1,0,0,3,2,4,1,5,1,1,3,3,0,4,1,6,1,1,10,3,1,0,2,2,2,2,2,11,1,1,2,1,3,0,4,0,1,1,4,2,2
C0171,Bcell,2,1,2,0,1,0,0,1,2,2,2,1,1,3,2,1,0,1,0,2,2,2,0,1,2,2,3,3,0,1,5,3,1,3,4,2,4,0,5,4,1,2,0,8,2,0,1,1,5,2,5,1,1,1,3,1,2,2,3,1,2,0,2,5,0,1,0,1,2,1,0,3,2,0,0,2,2,3,1,2,0,1,2,2,1,3,4,2,0,4,3,1,0,5,0,0,1,1,0,1,1,0,3,0,1,1,3,1,1,0,0,1,0,0,1,6,2,3,0,0,0,0,2,1,0,1,3,0,0,0,2,0,3,0,1,0,1,3,1,2,1,1,0,0,3,1,6,8,0,0,0,2,2,1,1,0,3,0,1,1
C0172,Bcell,1,0,0,0,0,1,1,1,3,0,0,0,0,1,0,1,0,0,0,1,2,1,0,0,0,0,2,3,0,0,8,2,4,2,4,3,0,1,1,3,2,3,0,2,0,0,2,1,2,2,5,6,0,2,4,0,4,3,0,0,1,0,1,3,0,2,0,1,2,0,1,2,2,2,4,1,2,1,0,0,2,2,0,1,0,2,1,2,2,1,0,2,0,1,2,0,1,0,1,1,3,1,2,1,1,0,5,0,0,0,0,0,0,0,3,1,5,3,1,1,0,1,1,1,2,2,0,1,0,2,2,1,1,1,5,1,1,2,2,0,0,1,0,3,1,0,4,2,0,0,1,2,1,1,1,0,0,1,2,4
C0173,Bcell,3,1,1,1,1,7,1,1,9,2,2,0,0,3,4,0,2,0,0,1,4,2,1,2,0,0,0,4,2,0,8,4,1,2,5,1,6,4,5,5,2,4,0,3,1,1,7,8,5,3,6,1,0,2,2,3,2,5,3,0,5,1,2,7,2,0,1,0,1,0,1,5,3,0,3,1,3,3,1,3,1,5,1,1,2,1,3,5,6,1,0,1,2,4,1,2,1,2,0,2,2,1,3,0,4,2,4,1,0,0,0,0,4,1,2,3,4,3,0,1,0,2,1,2,1,3,2,1,0,1,1,3,0,1,2,2,3,4,4,2,0,3,0,2,0,3,4,2,3,3,3,1,0,6,0,0,2,1,1,2
C0174,Bcell,11,2,2,1,1,4,0,2,6,2,3,0,2,3,3,0,7,1,1,0,3,1,3,2,2,1,4,8,2,1,7,4,4,7,11,2,8,8,4,4,1,5,0,14,4,6,7,7,5,8,10,4,3,2,8,2,10,10,3,1,4,0,7,8,0,0,0,1,2,0,0,4,4,2,2,2,4,2,4,0,1,10,4,2,2,2,8,7,7,1,3,1,0,1,2,2,4,1,1,1,6,4,1,1,1,2,4,2,0,1,1,1,8,2,8,6,5,3,1,2,1,0,1,1,2,2,1,6,1,1,5,5,2,3,5,2,3,10,3,2,4,6,0,2,5,6,7,6,1,2,1,0,0,4,4,1,1,0,4,1
C0175,Bcell,1,2,7,0,2,2,2,2,10,0,5,0,2,6,2,0,2,3,0,5,5,4,2,5,5,0,0,8,2,0,9,2,3,3,9,4,13,1,6,13,4,5,1,11,8,0,12,8,6,16,20,8,5,4,16,3,8,9,5,0,12,1,1,5,4,1,2,3,4,1,3,4,11,6,3,4,1,7,6,0,2,8,4,6,1,3,13,9,2,4,2,1,0,6,2,1,6,1,1,1,10,3,2,0,3,6,3,5,0,1,0,2,0,3,4,4,8,6,3,2,0,1,4,2,5,4,2,3,1,3,5,3,7,0,6,3,2,5,9,1,1,6,1,0,3,3,14,8,4,8,2,3,4,7,1,1,0,3,3,3
