# synthetic, for demo only -- generated by 580_novae_spatial_fm.py
cell_id,slide,x,y,domain_true,cell_type_true,G000,G001,G002,G003,G004,G005,G006,G007,G008,G009,G010,G011,G012,G013,G014,G015,G016,G017,G018,G019,G020,G021,G022,G023,G024,G025,G026,G027,G028,G029,G030,G031,G032,G033,G034,G035,G036,G037,G038,G039
s1_c0128,slide1,1.985,6.792,D0,CT2,5,4,7,7,2,5,0,0,4,3,1,2,3,4,1,0,2,1,4,5,1,1,5,0,1,4,0,0,0,1,3,1,2,4,0,0,6,4,2,4
s1_c0129,slide1,3.142,7.256,D0,CT0,4,1,1,4,0,2,0,0,3,1,3,0,5,0,3,2,1,3,4,1,0,7,3,4,10,6,4,0,1,1,2,0,1,8,2,2,5,0,0,0
s1_c0130,slide1,3.766,6.968,D0,CT1,4,1,1,2,1,1,0,2,0,2,0,3,1,0,0,2,2,2,4,1,2,2,1,0,0,4,0,1,1,0,1,0,0,1,1,3,4,1,3,2
s1_c0131,slide1,4.651,6.933,D0,CT3,1,3,3,0,0,0,1,1,0,3,0,1,2,2,0,7,2,2,0,4,2,2,1,1,10,8,0,1,0,3,5,1,10,1,0,7,1,5,0,1
s1_c0132,slide1,5.811,6.989,D0,CT2,5,4,8,4,2,4,1,0,2,3,4,1,2,3,0,0,3,0,3,12,2,3,4,2,4,1,2,1,0,0,3,0,0,8,0,0,5,2,5,0
s1_c0133,slide1,7.206,6.893,D0,CT3,6,2,4,3,1,2,1,1,1,0,0,2,1,3,0,7,2,1,2,1,3,4,0,1,3,7,0,4,1,2,0,3,4,2,0,3,0,4,1,3
s1_c0134,slide1,8.192,6.876,D0,CT0,6,5,2,4,1,0,0,2,1,2,8,0,5,1,0,0,1,0,0,6,0,5,3,6,8,4,0,2,1,0,1,4,1,5,4,1,6,0,3,2
s1_c0135,slide1,9.06,6.885,D2,CT2,9,3,3,4,1,0,0,1,2,1,4,1,2,6,2,1,0,2,1,5,3,1,3,0,1,6,1,2,0,2,3,0,2,7,1,1,12,3,8,2
s1_c0136,slide1,9.856,7.127,D2,CT0,7,7,0,1,0,0,0,1,2,3,7,4,2,0,0,0,0,2,1,5,1,5,3,8,15,5,3,0,2,0,2,2,2,3,1,4,1,1,2,2
s1_c0137,slide1,10.976,7.184,D2,CT3,3,3,6,2,1,0,1,1,0,4,3,1,2,3,0,3,0,1,0,1,6,1,2,0,5,3,0,7,2,2,0,3,4,3,0,3,2,4,0,3
s1_c0138,slide1,11.946,6.81,D2,CT3,4,2,2,2,0,0,1,0,0,1,1,2,2,3,1,1,1,1,0,0,1,3,1,1,10,5,0,3,2,1,4,3,3,0,1,2,0,2,2,1
s1_c0139,slide1,12.938,7.043,D2,CT0,1,7,1,4,2,2,1,0,1,3,4,0,5,2,2,0,2,1,0,1,1,8,3,6,7,7,2,0,0,0,1,2,2,8,1,2,1,0,2,1
s1_c0140,slide1,13.549,7.142,D2,CT0,6,5,2,9,0,1,0,0,0,2,2,2,3,0,1,3,0,2,0,4,0,11,3,3,9,2,2,1,3,0,1,5,2,4,2,2,9,2,1,1
s1_c0141,slide1,14.846,6.805,D2,CT2,12,2,0,3,2,5,0,0,0,6,6,2,3,5,1,0,2,1,5,13,3,3,3,1,2,1,0,3,1,0,5,0,0,7,1,1,6,2,3,1
s1_c0142,slide1,15.966,6.91,D2,CT2,7,2,6,1,3,1,0,0,1,2,2,4,1,7,0,0,2,1,2,20,1,2,4,0,4,1,0,2,2,1,0,1,1,5,1,0,5,4,7,2
s1_c0143,slide1,17.273,6.813,D2,CT3,2,2,4,4,1,0,0,0,1,2,0,0,0,1,1,5,0,0,0,0,2,0,1,0,10,6,0,4,1,2,1,2,5,1,0,3,1,4,0,3
s1_c0144,slide1,0.029,7.768,D0,CT2,14,5,4,4,2,1,0,0,2,3,2,2,2,2,1,1,0,1,0,6,4,1,1,2,0,3,0,7,0,1,1,0,2,6,0,0,5,2,2,3
s1_c0145,slide1,1.252,8.018,D0,CT1,4,0,4,3,1,0,2,1,0,2,2,2,1,0,2,3,1,4,3,3,2,6,1,0,1,3,3,5,0,3,3,0,1,1,0,1,1,1,3,1
s1_c0146,slide1,1.929,7.867,D0,CT0,2,3,2,5,0,0,0,1,1,2,4,0,5,1,2,2,1,2,0,4,2,8,5,7,6,4,3,0,1,1,4,2,1,6,2,0,4,2,1,6
s1_c0147,slide1,2.955,8.114,D0,CT0,3,2,0,1,0,1,0,1,2,1,4,2,1,1,1,0,3,1,0,3,0,3,1,4,11,3,0,0,1,0,1,8,2,10,2,3,2,0,1,4
s1_c0148,slide1,3.298,7.995,D0,CT2,7,6,4,7,3,0,0,1,2,2,2,1,3,3,2,2,1,3,4,12,3,2,2,1,2,5,0,1,1,2,4,0,3,7,1,0,3,4,3,3
s1_c0149,slide1,5.083,8.074,D0,CT0,1,6,0,3,0,1,1,0,1,1,4,1,2,1,2,2,1,1,1,3,1,2,7,7,10,5,1,1,2,2,1,3,1,10,1,1,4,0,2,3
s1_c0150,slide1,6.098,7.947,D0,CT0,8,6,2,3,0,0,0,0,1,2,1,2,1,1,0,1,2,0,1,0,0,5,9,11,9,9,1,1,0,0,1,8,2,3,3,3,6,2,4,1
s1_c0151,slide1,7.317,7.886,D0,CT0,3,3,1,4,1,2,0,1,0,3,2,2,4,2,0,1,1,0,0,2,1,5,5,6,10,5,0,0,1,1,0,3,2,7,3,1,3,0,3,1
s1_c0152,slide1,7.912,7.984,D0,CT0,2,5,2,9,1,2,0,0,1,1,3,0,2,1,1,0,0,3,2,1,1,1,2,3,5,4,2,1,1,0,1,8,2,5,0,1,6,0,1,2
s1_c0153,slide1,9.017,7.999,D2,CT2,9,4,4,1,3,2,0,0,0,7,1,1,2,5,1,0,0,0,1,8,3,3,4,2,1,1,2,3,0,0,7,1,1,9,0,1,6,3,5,1
s1_c0154,slide1,9.873,7.873,D2,CT0,1,8,1,7,0,1,0,0,0,0,1,0,5,2,0,4,0,1,0,2,0,2,3,7,10,7,3,1,2,0,1,3,1,4,1,2,5,0,2,4
s1_c0155,slide1,10.788,8.077,D2,CT1,4,1,1,0,1,1,2,3,0,2,4,4,0,0,1,4,3,2,2,3,2,0,0,3,3,4,2,4,2,2,1,0,2,2,0,1,1,0,4,1
s1_c0156,slide1,11.872,8.134,D2,CT2,6,4,7,3,3,3,0,0,2,4,1,1,6,4,2,0,1,0,4,13,2,2,0,0,2,1,1,1,1,0,7,0,0,4,0,0,3,3,7,5
s1_c0157,slide1,12.938,8.028,D2,CT2,14,3,8,1,3,0,0,0,2,1,0,3,5,4,0,1,1,0,4,8,2,0,2,1,1,1,1,3,0,0,4,0,1,2,0,0,6,0,4,2
s1_c0158,slide1,14.244,8.308,D2,CT0,2,1,1,6,1,2,0,0,1,4,2,1,8,1,0,1,3,0,1,6,0,6,1,3,7,1,1,0,0,0,1,1,2,3,4,3,4,1,1,1
s1_c0159,slide1,15.0,7.886,D2,CT2,8,6,7,3,1,5,0,1,1,2,1,0,2,2,0,1,3,1,1,10,0,0,3,1,1,3,0,1,0,0,4,0,0,7,0,0,2,5,2,1
s1_c0160,slide1,15.858,8.094,D2,CT2,9,4,6,2,0,3,0,0,2,4,1,3,2,5,0,0,2,0,1,6,2,1,3,0,1,2,1,1,0,1,7,0,0,6,1,1,3,2,6,4
s1_c0161,slide1,17.026,7.926,D2,CT1,2,2,5,1,0,1,2,3,1,2,1,0,0,0,3,2,3,5,5,5,2,2,1,1,0,0,3,2,0,4,4,1,3,2,0,2,2,0,4,1
s1_c0162,slide1,0.039,9.042,D1,CT1,3,1,1,1,2,1,0,2,0,5,2,2,0,0,1,0,1,1,1,1,2,1,1,2,2,3,0,3,2,4,2,0,1,2,0,2,1,1,0,3
s1_c0163,slide1,0.878,8.851,D1,CT3,1,8,5,4,0,0,2,0,0,1,2,2,0,0,1,1,1,1,0,0,3,0,1,0,3,3,1,2,1,1,1,4,1,1,0,5,1,2,2,0
s1_c0164,slide1,2.206,9.201,D1,CT2,17,3,1,4,4,1,1,0,1,3,3,1,4,2,1,0,0,0,4,12,0,0,2,2,4,4,3,2,3,0,4,0,0,7,0,0,5,2,3,0
s1_c0165,slide1,2.66,9.032,D1,CT1,3,2,0,1,0,1,2,1,0,1,1,3,0,0,0,3,1,4,2,1,3,2,0,1,0,3,1,4,4,1,2,0,0,2,1,1,3,0,2,2
s1_c0166,slide1,3.962,9.215,D1,CT3,1,2,4,2,0,1,0,0,0,4,0,2,2,2,1,3,3,0,0,0,1,0,4,0,4,7,0,2,0,4,4,1,4,1,1,2,0,3,4,1
s1_c0167,slide1,5.12,8.772,D1,CT1,2,1,2,2,0,0,1,0,0,1,2,5,1,0,0,3,1,3,2,2,3,1,2,0,3,6,0,4,1,3,0,0,0,0,0,4,1,0,1,2
s1_c0168,slide1,5.759,8.911,D1,CT2,6,2,6,3,0,3,2,1,0,2,0,2,4,3,2,1,1,1,2,15,4,1,7,0,0,2,0,2,0,4,1,1,1,4,0,0,3,4,6,3
s1_c0169,slide1,7.065,8.839,D1,CT1,3,0,1,1,0,2,3,3,0,2,2,3,0,0,1,3,1,8,2,4,2,4,0,2,1,6,1,5,1,2,4,0,0,2,0,1,4,0,2,2
s1_c0170,slide1,8.233,8.904,D1,CT2,6,5,10,5,1,0,0,1,3,3,3,3,2,2,0,1,1,1,3,7,0,2,3,2,2,3,1,2,0,1,0,1,0,7,0,0,4,5,3,4
s1_c0171,slide1,9.082,8.875,D3,CT3,3,4,3,1,0,1,0,0,3,1,2,1,0,3,0,8,0,2,0,0,2,1,1,0,10,6,0,0,0,3,5,4,0,2,1,5,0,5,4,1
s1_c0172,slide1,9.696,8.978,D3,CT3,2,6,2,4,1,2,1,0,1,0,0,0,2,1,0,3,1,2,1,0,2,0,5,0,9,2,0,0,3,2,0,3,4,0,0,2,2,4,3,3
s1_c0173,slide1,10.869,8.997,D3,CT3,2,2,3,1,0,0,0,1,0,0,0,0,0,4,0,2,1,1,0,0,4,1,2,0,6,4,1,4,1,1,1,0,2,1,2,6,0,3,2,2
s1_c0174,slide1,12.222,8.993,D3,CT2,11,2,8,5,5,1,1,1,0,3,4,3,1,3,1,1,0,2,2,7,2,1,5,0,3,6,1,2,2,1,5,0,0,6,1,3,2,2,6,2
s1_c0175,slide1,13.054,8.9,D3,CT3,6,6,4,4,0,0,1,0,0,1,2,1,1,0,0,2,0,0,3,0,1,1,1,2,6,4,0,2,1,2,1,1,4,1,0,6,3,7,1,3
s1_c0176,slide1,13.998,9.034,D3,CT1,2,0,3,0,0,0,2,0,1,2,1,2,1,0,0,0,1,4,0,3,1,1,1,2,2,5,1,5,0,3,1,0,0,2,0,2,2,0,2,0
s1_c0177,slide1,15.079,9.158,D3,CT1,1,2,1,2,0,1,2,1,1,1,3,6,1,0,1,1,3,6,3,3,1,2,2,1,3,2,6,4,0,4,1,0,0,1,1,2,1,0,2,3
s1_c0178,slide1,16.13,8.838,D3,CT3,6,4,2,1,0,0,0,0,2,0,0,1,2,3,0,1,1,0,2,0,3,2,0,1,12,1,0,2,1,2,0,5,4,2,0,3,2,0,2,2
s1_c0179,slide1,16.872,9.0,D3,CT3,1,6,4,6,0,0,2,1,2,1,0,1,2,1,0,2,0,2,0,0,4,1,6,1,10,7,0,3,0,2,4,2,6,1,1,6,1,1,1,3
s1_c0180,slide1,-0.052,9.987,D1,CT0,1,5,1,2,1,1,0,0,1,6,2,0,1,1,1,1,2,0,1,3,0,5,4,8,4,3,3,3,1,0,1,3,2,2,1,1,2,1,2,4
s1_c0181,slide1,1.026,10.084,D1,CT1,1,2,1,0,0,1,0,1,0,3,4,2,1,0,0,2,2,2,0,4,2,1,1,3,0,4,2,6,1,3,3,0,0,1,0,3,2,0,3,1
s1_c0182,slide1,1.902,9.989,D1,CT1,4,1,1,0,2,0,0,5,0,4,7,4,1,0,0,3,0,6,2,1,0,1,0,5,1,3,1,5,3,1,1,0,2,1,2,2,2,1,3,1
s1_c0183,slide1,2.976,9.997,D1,CT2,8,2,4,1,2,3,0,0,1,3,4,2,2,2,1,0,1,0,4,7,2,3,2,1,2,1,0,1,1,1,3,1,0,3,1,0,4,3,4,4
s1_c0184,slide1,4.234,9.822,D1,CT0,2,6,0,4,1,1,0,0,3,3,0,1,5,0,0,0,1,2,2,1,0,5,4,5,12,5,3,0,1,0,0,3,0,3,1,5,2,0,3,3
s1_c0185,slide1,4.826,10.004,D1,CT3,5,1,2,4,0,0,0,0,2,0,0,1,1,3,1,3,0,0,1,0,4,0,0,1,10,7,1,1,2,0,0,2,2,0,1,7,1,3,2,1
s1_c0186,slide1,6.347,9.834,D1,CT1,2,0,3,1,1,1,3,3,0,5,4,3,0,0,1,3,1,0,2,2,2,0,0,0,0,5,4,5,3,1,4,0,1,6,1,3,3,0,3,1
s1_c0187,slide1,7.338,10.093,D1,CT1,3,1,1,2,2,1,3,0,0,4,1,5,0,0,1,0,4,2,1,4,4,3,2,3,1,6,0,1,2,3,4,0,1,0,1,4,6,0,3,0
s1_c0188,slide1,7.692,9.981,D1,CT3,1,5,4,1,1,1,1,0,3,3,1,0,2,1,0,4,1,1,0,0,4,0,2,0,12,4,0,1,0,3,1,1,3,0,1,2,0,4,1,2
s1_c0189,slide1,8.975,10.007,D3,CT0,1,4,2,5,0,0,0,1,1,3,1,1,2,2,0,3,3,2,2,1,3,5,5,7,11,4,1,1,1,0,0,6,2,5,2,2,4,1,2,4
s1_c0190,slide1,10.062,9.84,D3,CT3,3,3,6,2,0,0,0,0,1,0,1,1,0,0,0,2,0,0,3,1,0,0,3,1,5,5,0,1,1,3,2,5,2,3,2,3,1,5,1,1
s1_c0191,slide1,10.863,10.145,D3,CT1,1,2,4,2,2,1,4,0,0,0,1,2,0,0,1,4,2,5,0,2,2,0,1,3,0,5,1,7,1,1,0,0,1,3,0,2,1,1,2,3
s1_c0192,slide1,11.867,10.125,D3,CT3,2,1,2,2,1,1,0,0,2,1,0,1,0,2,1,8,0,2,2,2,1,1,4,0,5,5,0,3,2,1,1,0,3,1,0,5,0,3,0,1
s1_c0193,slide1,12.957,10.155,D3,CT3,5,6,4,5,0,2,1,0,0,0,2,2,0,1,1,6,0,0,0,0,2,3,3,2,7,5,0,3,0,3,1,1,4,0,2,5,1,1,2,1
s1_c0194,slide1,14.133,10.401,D3,CT1,3,0,5,1,1,0,4,2,0,1,5,3,2,0,0,4,2,4,4,0,6,3,1,2,1,6,1,4,2,3,5,0,1,2,0,2,3,0,3,2
s1_c0195,slide1,14.908,9.991,D3,CT3,1,3,1,4,0,0,1,2,2,2,0,0,1,2,0,9,2,0,1,2,7,1,0,1,10,5,0,1,1,4,2,3,2,2,0,3,2,4,2,2
s1_c0196,slide1,16.329,10.217,D3,CT1,1,1,5,1,1,1,5,2,1,3,2,1,0,0,1,6,2,5,2,4,1,1,1,0,2,3,2,1,2,8,3,0,1,1,0,2,3,0,5,2
s1_c0197,slide1,17.052,9.978,D3,CT3,1,4,4,1,1,1,0,1,5,1,1,1,1,0,1,6,1,0,0,0,4,1,2,0,7,5,0,0,0,2,1,2,3,0,1,0,1,2,1,1
s1_c0198,slide1,-0.018,11.071,D1,CT0,6,6,1,2,2,0,0,1,0,2,2,1,1,0,1,1,2,4,0,1,0,4,3,4,8,4,2,0,0,2,2,0,2,5,2,5,1,1,1,2
s1_c0199,slide1,1.261,11.066,D1,CT1,3,1,4,0,0,1,5,1,0,3,4,4,1,0,0,1,1,5,5,3,1,3,2,1,0,9,1,5,1,0,3,0,1,5,1,3,4,0,4,2
s1_c0200,slide1,2.113,11.048,D1,CT1,4,1,3,0,1,0,3,2,0,2,4,1,1,0,1,4,3,4,1,5,1,2,0,2,1,3,2,2,2,6,1,0,0,0,0,2,2,0,1,0
s1_c0201,slide1,3.066,11.118,D1,CT1,1,2,1,1,2,0,1,4,1,4,3,2,0,0,3,5,2,2,2,4,3,4,2,2,0,1,4,9,0,3,1,0,0,2,0,4,3,0,3,1
s1_c0202,slide1,3.94,10.945,D1,CT1,4,0,3,1,1,1,3,2,0,3,2,2,1,0,0,1,2,7,1,3,0,2,0,0,0,8,2,2,1,4,2,0,0,0,1,2,1,1,1,2
s1_c0203,slide1,5.327,11.007,D1,CT1,0,1,3,2,1,1,0,1,0,2,2,3,0,0,1,3,3,4,2,3,0,2,0,1,1,2,1,2,1,3,3,0,2,1,0,2,4,1,1,1
s1_c0204,slide1,6.146,11.096,D1,CT1,4,0,3,0,2,2,2,2,1,3,4,2,1,0,1,1,2,3,2,5,1,2,3,1,1,3,1,3,0,2,1,0,4,3,0,0,4,2,2,1
s1_c0205,slide1,6.963,11.315,D1,CT2,13,5,3,4,2,0,1,0,2,4,4,0,3,6,3,1,1,1,1,7,3,0,3,0,3,2,0,2,0,0,0,0,0,2,0,0,7,4,3,2
s1_c0206,slide1,7.716,10.848,D1,CT1,2,1,2,1,2,1,5,1,1,3,2,7,0,0,1,4,1,5,2,1,1,2,0,4,1,2,1,4,2,1,2,0,0,5,0,3,4,1,4,2
s1_c0207,slide1,9.067,10.675,D3,CT0,3,9,2,3,2,1,0,0,0,1,5,0,4,0,1,3,3,1,1,2,2,5,2,2,11,4,1,0,2,0,3,3,1,10,2,3,6,0,1,3
s1_c0208,slide1,9.794,10.913,D3,CT1,1,1,1,0,2,0,1,3,0,4,5,4,0,0,0,1,2,4,2,3,0,1,0,1,2,2,1,5,2,2,1,0,1,5,0,1,0,0,1,3
s1_c0209,slide1,10.691,11.016,D3,CT3,6,3,2,7,0,0,2,0,2,0,2,0,2,0,0,4,3,0,1,0,2,1,3,0,9,4,0,1,1,5,1,0,2,2,0,3,0,0,2,1
s1_c0210,slide1,11.95,11.031,D3,CT3,0,3,4,4,0,0,1,2,1,1,5,1,1,0,0,1,0,0,0,1,5,1,1,1,5,8,0,1,1,3,0,2,3,1,0,9,0,3,0,3
s1_c0211,slide1,13.051,11.017,D3,CT3,1,4,4,6,0,0,0,2,0,0,2,3,1,1,2,1,0,0,1,1,2,2,3,0,9,1,0,1,2,1,1,1,2,1,0,2,1,4,3,1
s1_c0212,slide1,14.231,11.213,D3,CT3,5,7,2,4,0,0,1,0,1,1,1,1,3,1,0,4,1,1,0,2,2,2,1,0,2,6,1,3,1,2,0,1,4,2,0,3,1,6,2,0
s1_c0213,slide1,15.051,11.176,D3,CT0,2,7,0,2,1,1,0,3,5,3,1,2,3,0,1,0,1,2,1,4,0,4,5,5,9,6,5,0,1,0,1,3,1,5,0,7,1,0,2,1
s1_c0214,slide1,16.145,10.991,D3,CT3,3,3,5,5,2,0,1,1,3,1,1,0,0,0,0,2,0,2,0,1,4,3,3,0,5,2,0,1,0,0,1,5,3,2,0,2,0,5,4,0
s1_c0215,slide1,16.779,10.915,D3,CT2,13,4,4,6,2,3,3,2,0,4,2,1,1,7,3,1,0,0,4,7,0,1,4,2,4,2,1,2,1,1,3,0,1,2,0,0,6,1,6,1
s1_c0216,slide1,-0.004,11.938,D1,CT1,0,1,2,2,2,0,4,1,2,2,2,1,3,0,3,2,1,11,4,3,0,0,0,0,3,1,0,7,0,3,5,0,0,1,1,6,2,0,2,1
s1_c0217,slide1,1.022,11.936,D1,CT3,3,2,6,3,0,0,1,1,2,0,0,2,1,2,1,2,1,0,4,0,3,2,2,1,6,3,0,4,1,1,2,4,3,3,1,5,2,5,1,3
s1_c0218,slide1,2.155,11.959,D1,CT1,2,1,2,1,0,2,1,0,0,1,4,2,0,0,0,0,3,1,2,3,2,2,0,3,0,7,1,6,2,2,4,0,0,1,0,2,3,0,2,0
s1_c0219,slide1,3.021,11.717,D1,CT0,2,1,3,6,1,3,0,0,0,1,2,0,7,0,0,3,1,3,0,2,0,5,3,5,3,3,5,0,2,1,2,1,1,7,1,4,3,0,1,2
s1_c0220,slide1,4.145,11.917,D1,CT1,1,1,3,2,0,1,2,4,0,0,0,5,0,0,0,3,5,2,4,1,3,3,2,2,3,8,0,6,2,0,2,0,1,5,0,1,2,1,2,2
s1_c0221,slide1,4.909,11.924,D1,CT1,5,1,1,1,0,2,1,2,0,2,1,1,0,0,0,1,2,2,1,4,5,2,0,1,1,2,2,8,3,1,2,0,1,2,0,3,3,0,3,3
s1_c0222,slide1,6.064,11.966,D1,CT1,2,0,4,0,2,3,0,3,0,3,7,3,1,0,1,0,3,4,2,1,0,3,2,1,2,2,2,1,2,4,3,1,1,2,0,0,1,1,1,1
s1_c0223,slide1,7.075,11.954,D1,CT2,7,1,6,6,3,2,1,0,3,4,4,0,1,7,3,2,0,1,1,8,5,1,4,3,1,4,0,0,0,0,2,2,1,1,0,2,4,5,3,0
s1_c0224,slide1,7.775,12.121,D1,CT1,0,0,2,0,1,0,0,0,0,2,2,6,0,0,3,5,2,6,2,1,0,1,0,2,0,4,2,3,1,3,1,0,0,1,2,4,4,2,4,0
s1_c0225,slide1,9.032,11.904,D3,CT2,11,4,7,3,3,3,0,1,0,3,3,1,2,9,0,0,0,3,0,8,2,1,3,0,3,2,0,1,0,1,4,2,0,2,0,0,9,2,3,2
s1_c0226,slide1,9.942,11.921,D3,CT3,2,5,2,2,0,0,0,1,1,2,0,0,0,1,0,6,0,1,0,0,1,0,1,0,8,9,1,0,0,2,2,1,6,2,0,6,1,3,0,5
s1_c0227,slide1,10.657,12.098,D3,CT2,7,1,5,1,1,0,0,0,1,3,1,1,2,3,0,2,0,0,0,4,3,3,2,2,3,3,0,0,0,6,1,0,1,6,1,0,3,1,4,2
s1_c0228,slide1,12.173,11.958,D3,CT3,4,1,2,4,0,1,2,1,1,1,1,3,0,2,0,4,2,1,1,0,2,1,1,1,7,4,0,7,1,1,2,2,4,1,2,1,0,0,0,3
s1_c0229,slide1,12.935,12.039,D3,CT3,0,2,3,3,1,0,2,0,1,1,2,1,2,2,0,3,1,0,2,1,3,0,2,2,4,3,1,2,0,1,1,2,5,2,1,3,3,3,2,1
s1_c0230,slide1,13.847,12.12,D3,CT0,2,5,0,7,1,0,0,0,0,2,5,2,4,0,0,0,2,1,2,2,0,6,4,5,7,6,1,0,2,1,0,3,2,15,1,0,5,2,2,5
s1_c0231,slide1,14.932,12.076,D3,CT2,11,3,5,5,0,0,0,0,1,7,1,0,6,3,1,0,0,1,3,6,3,1,2,1,3,5,0,6,0,2,2,0,1,2,0,1,9,2,7,1
s1_c0232,slide1,16.025,12.045,D3,CT3,4,4,4,4,1,0,1,1,0,1,0,3,1,1,1,3,1,0,0,1,4,0,5,0,5,6,0,4,0,0,1,4,2,0,0,3,2,0,0,1
s1_c0233,slide1,17.271,11.965,D3,CT3,2,3,5,4,0,1,0,1,1,0,1,1,2,3,1,1,2,0,1,1,0,1,0,0,1,9,0,1,2,1,1,2,2,0,0,1,0,6,1,3
s1_c0234,slide1,-0.03,13.123,D1,CT2,8,3,2,2,1,2,1,0,1,2,2,0,1,4,1,1,2,1,6,9,0,1,2,0,1,3,0,2,1,2,3,3,0,2,1,1,2,4,5,1
s1_c0235,slide1,1.085,13.032,D1,CT1,4,0,2,1,0,0,3,2,0,4,2,2,2,0,0,4,4,4,2,2,2,2,1,0,1,3,2,4,0,2,2,0,4,0,0,4,3,1,4,2
s1_c0236,slide1,2.247,12.909,D1,CT1,2,1,2,2,0,1,1,1,1,0,6,5,1,1,0,3,4,3,1,1,2,4,1,0,2,4,2,6,1,0,1,0,2,0,0,1,3,0,3,0
s1_c0237,slide1,3.096,12.973,D1,CT1,1,2,3,0,1,1,0,7,1,3,3,6,1,0,3,3,0,3,2,1,2,2,1,1,1,4,1,7,0,2,5,0,1,2,0,5,2,1,4,1
s1_c0238,slide1,4.192,12.781,D1,CT0,5,4,1,5,0,1,0,0,0,4,4,0,4,0,1,1,0,0,0,4,0,7,4,9,10,5,2,0,1,0,0,2,2,8,0,2,3,0,2,5
s1_c0239,slide1,4.914,12.827,D1,CT1,4,0,8,0,0,1,0,2,0,4,4,1,1,0,1,0,1,4,1,3,1,1,0,2,2,2,2,3,0,6,0,0,0,1,0,4,3,1,0,0
s1_c0240,slide1,6.139,12.661,D1,CT1,0,0,4,1,1,0,3,1,0,1,4,5,4,0,0,2,3,1,1,2,0,0,0,0,1,5,1,4,3,1,1,0,1,3,1,3,1,0,3,1
s1_c0241,slide1,6.99,12.878,D1,CT1,0,1,1,3,3,0,1,4,0,3,6,2,1,0,0,2,3,4,2,3,1,6,2,1,0,5,3,5,0,3,4,0,1,1,1,4,0,1,5,1
s1_c0242,slide1,8.193,13.24,D1,CT1,3,0,1,0,2,1,1,2,0,3,4,1,4,0,1,1,3,2,3,2,1,2,0,0,0,1,2,5,4,1,3,1,1,0,1,0,1,1,1,1
s1_c0243,slide1,8.819,12.9,D3,CT2,15,3,4,3,1,4,1,0,0,1,2,3,2,2,2,1,2,0,3,10,2,1,2,0,5,3,0,5,0,0,6,0,1,9,0,0,3,3,2,2
s1_c0244,slide1,9.86,13.142,D3,CT2,10,3,8,6,0,3,0,0,0,2,3,2,6,2,1,0,0,1,3,4,2,3,2,4,3,1,1,2,0,1,6,2,1,8,0,0,3,1,4,0
s1_c0245,slide1,11.228,12.999,D3,CT0,3,6,0,5,1,2,0,0,2,4,3,4,8,0,2,0,2,2,0,0,1,10,3,10,12,5,1,0,1,2,0,5,1,6,0,2,6,1,0,2
s1_c0246,slide1,11.965,12.874,D3,CT3,1,9,8,3,1,0,0,0,0,1,1,1,0,3,0,3,1,2,2,0,3,2,1,1,6,7,0,1,1,2,3,1,2,3,0,1,1,1,1,2
s1_c0247,slide1,12.935,13.241,D3,CT0,5,10,0,3,0,2,0,0,0,3,3,1,7,1,1,1,1,2,2,1,0,5,3,9,14,3,3,2,2,0,1,4,2,3,0,3,1,1,0,1
s1_c0248,slide1,14.014,13.105,D3,CT0,2,2,0,4,0,1,0,1,1,2,2,1,3,3,1,2,0,1,0,1,2,5,6,6,9,3,2,0,3,2,2,1,1,12,1,1,3,0,1,2
s1_c0249,slide1,14.876,12.685,D3,CT1,5,2,4,0,2,0,0,3,0,4,3,6,2,0,1,1,2,2,1,2,2,2,1,0,2,5,0,10,1,2,3,2,0,2,0,4,0,2,5,4
s1_c0250,slide1,16.24,13.187,D3,CT0,6,6,1,5,0,0,1,0,0,1,5,0,4,1,3,1,2,0,0,4,0,7,6,5,8,0,2,1,4,0,2,2,1,6,4,2,3,0,3,0
s1_c0251,slide1,16.775,12.807,D3,CT3,2,4,2,4,1,0,2,0,1,0,1,1,0,0,1,4,1,1,0,2,7,5,1,1,1,3,0,3,2,2,2,1,3,0,0,2,0,6,4,1
s1_c0252,slide1,-0.027,13.968,D1,CT1,2,0,4,1,0,0,3,0,0,2,4,4,2,1,0,0,5,5,3,2,0,1,0,1,0,5,1,7,0,5,0,0,2,3,0,2,3,1,1,1
s1_c0253,slide1,1.062,14.12,D1,CT1,2,1,3,0,1,2,2,0,0,0,6,2,1,0,0,2,2,5,1,1,2,2,0,4,0,8,0,0,1,4,2,0,1,4,0,2,1,0,1,0
s1_c0254,slide1,1.981,13.946,D1,CT0,5,7,1,4,0,1,2,1,1,5,3,2,3,0,0,0,1,1,0,4,0,7,2,7,10,3,4,0,0,0,0,3,3,7,3,7,6,1,1,3
s1_c0255,slide1,2.856,14.201,D1,CT3,1,3,5,3,0,1,2,0,0,1,1,3,2,2,1,5,2,1,0,0,3,0,5,0,7,1,0,1,1,2,3,2,3,1,0,2,0,4,0,3
s1_c0256,slide1,3.844,14.137,D1,CT1,0,0,2,0,3,0,2,1,2,3,1,3,1,0,1,0,2,6,3,2,0,2,0,1,1,5,2,3,2,2,2,0,0,3,0,4,2,0,0,2
s1_c0257,slide1,5.077,13.716,D1,CT2,14,4,4,3,2,3,0,1,2,3,5,2,4,3,1,0,1,2,0,4,3,2,3,1,2,2,1,1,2,0,1,0,0,1,1,0,1,3,2,5
